Nome: ACARAU
Codigo Estacao: 82294
Latitude: -2.885772
Longitude: -40.114075
Altitude: 21.52
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2011-03-17
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;null;null;null;191,6;5,3;15;97,5;1006;31,4;27,1;23,3;null;6,6;3;20;null;
2000-02-29;9;null;null;null;158,9;6,7;20;111,2;1007,5;30,8;26,8;23,4;null;6,1;2,3;20;null;
2000-03-31;9;null;null;null;167,3;6,3;22;188,8;1006,1;30,8;26,7;23,4;null;6,1;2,6;20;null;
2000-04-30;9;null;null;null;144,2;6,8;25;530,4;1007,1;30,7;26,3;23,2;null;5;2,1;20;null;
2000-05-31;9;null;null;null;203,9;5,4;17;80,1;1007,7;31,8;26,9;23,3;null;5,5;2,8;20;null;
2000-06-30;9;null;null;null;248,7;3,6;10;87;null;31,9;26,6;22,3;null;null;null;5;null;
2000-07-31;9;null;null;null;255,5;3,7;8;56;null;32,2;26,8;22,6;null;null;null;5;null;
2000-08-31;9;null;null;null;273,3;2,5;5;10,4;null;32,8;27;22,3;null;null;null;5;null;
2000-09-30;9;null;null;null;270;2,7;11;23,9;null;32,6;27,5;23,6;null;null;null;4,8;null;
2000-10-31;9;null;null;null;315,9;2,4;0;0;null;33,5;27,8;23,4;72;null;null;1;null;
2000-11-30;9;null;null;null;304,6;2,7;1;,3;null;33;27,7;22,8;71,8;null;null;1;null;
2000-12-31;9;null;null;null;263,2;3,8;3;,5;null;32,7;27,6;23,1;76,5;null;null;1;null;
2001-01-31;9;null;null;null;200,6;6,3;18;168,8;null;31,4;27,1;23,6;83,3;null;null;1;null;
2001-02-28;9;null;null;null;135,9;7,1;17;87,3;null;30,5;26,5;23,5;88,4;null;null;1;null;
2001-03-31;9;null;null;null;170,3;6,8;20;139,3;null;31,4;27;23,5;86,9;null;null;1;null;
2001-04-30;9;null;null;null;140,8;7,5;27;197,2;null;30,6;26,5;23,5;90,3;null;null;1;null;
2001-05-31;9;null;null;null;259,9;4;11;60,3;null;32,4;27,3;23;84,6;null;null;1;null;
2001-06-30;9;null;null;null;223,9;4,1;10;41,9;null;32,2;26,8;22,5;83,8;null;null;1;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;9;null;null;null;323,7;,7;1;,2;null;33,6;27,3;22,6;75,5;null;null;8,8;null;
2001-09-30;9;null;null;null;298,7;2,4;0;0;1011,1;32,8;27,6;23,3;72,2;7,8;null;37,1;null;
2001-10-31;9;205,3;null;null;299,6;2,9;2;,3;1010,4;33,3;28;23,4;73,9;8,3;5,6;2;null;
2001-11-30;9;null;null;null;280,9;3,7;0;0;1009,4;33,3;28,3;24,2;74,9;7,8;5,4;89,4;null;
2001-12-31;9;null;null;null;289,4;3,9;7;9,7;1008,5;34;28,8;24,6;75,9;7,8;5,3;84,7;null;
2002-01-31;9;null;null;null;162,6;6,7;19;149,6;1010;31,4;27,1;23,6;85,6;5,7;2,9;89,1;null;
2002-02-28;9;null;null;null;216,6;5,4;12;44,3;1009,8;32,2;27,4;23,3;83,5;9;3,7;89,3;null;
2002-03-31;9;null;null;null;168,7;6,4;22;292,4;1009,9;31,3;26,9;23,5;89,4;7,8;2,4;91,4;null;
2002-04-30;9;null;null;null;134,7;6,9;23;248,5;1009,3;30,8;26,6;23,5;91,6;5,1;2,2;88,6;null;
2002-05-31;9;null;null;null;213,2;5,5;23;148,2;1010,2;31,6;26,9;23,4;90,6;6,2;2,6;90,4;null;
2002-06-30;9;null;null;null;213,3;4,4;13;72;1012,2;31,9;26,6;22,8;88,1;5,7;3,2;91,9;null;
2002-07-31;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-08-31;9;null;null;null;309,8;1,7;2;6,1;1010,9;33,4;27,3;22,8;78,6;9,3;5,3;91,3;null;
2002-09-30;9;null;null;null;287,7;2,2;3;,9;1011,6;33;27,3;23;74,9;8,7;5,7;90,4;null;
2002-10-31;9;null;null;null;302,5;2,8;3;,3;1009,6;33,4;28;24;85,1;9,3;5,9;90,5;null;
2002-11-30;9;170,1;null;null;306,1;3;1;2,1;1009,7;33,2;28;23,7;77,5;9;5,7;2;null;
2002-12-31;9;null;null;null;264,6;4,1;2;2;1009,7;33,2;28,3;24;75,4;8,1;4,9;1;null;
2003-01-31;null;120,9;146,9;146,9;233,3;5,1;11;111,8;1010,1;32;27,3;23,5;79,8;8,1;3,8;1;null;
2003-02-28;null;46,9;128,8;128,8;88,4;8,1;23;323,3;1009,5;30,2;26,4;23,3;90,6;6,1;2,3;1;null;
2003-03-31;null;48;141,6;141,6;120,8;8,3;27;544,9;1009,3;30,5;26,2;23,3;91,7;5,1;2,2;1;null;
2003-04-30;null;50;137,7;137,7;138,8;7,2;25;194,5;1009,7;31;26,6;23,4;90,2;5,3;2,2;1;null;
