Nome: AGUA BRANCA
Codigo Estacao: 82989
Latitude: -9.26472222
Longitude: -37.93805555
Altitude: 603.42
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;117,9;null;null;232,4;5,5;6;50,1;941,8;29,9;24,6;21;73,7;7;3,7;70;null;
2000-02-29;14;103,3;null;null;215,6;5,8;11;289,6;943,4;29,5;24,3;20,8;78,3;7;3,2;69;null;
2000-03-31;14;121,1;null;null;216,7;6,3;8;64,9;942,3;29,7;24,3;20,9;79,9;7;3,8;70;null;
2000-04-30;14;107,3;null;null;211,3;6,9;13;69,1;943,5;29;23,8;21,1;81,8;7;3,9;69,2;null;
2000-05-31;14;90,3;null;null;195,2;6,4;12;95,1;945;27,1;22,6;20,1;83,8;9;4,1;63,7;null;
2000-06-30;14;49,2;null;null;134,5;8,2;23;185,1;947,5;24,9;21,2;19,3;90,1;7;4,1;51,3;null;
2000-07-31;14;60,2;null;null;161,6;7,4;17;146,5;947,5;24,2;20,5;18,5;88,2;9;4;55,4;null;
2000-08-31;14;80;null;null;197,3;7,2;16;112,3;948,3;25,4;20,8;18,2;85,5;7;4,2;62;null;
2000-09-30;14;101,7;null;null;201,3;6,7;12;66,7;947;27;21,8;18,5;80,8;7;5;67,7;null;
2000-10-31;14;172,7;null;null;276,9;4,4;2;5,5;946,4;29,7;23,4;19,1;null;9;5,1;69,9;null;
2000-11-30;14;161,5;null;null;235,2;5;3;56,2;943,5;30,5;24,6;20,3;69,4;9;4,2;69,4;null;
2000-12-31;14;153,3;null;null;246,9;4,6;7;101,9;944,5;29,9;24,4;20;null;9;3,7;67,3;null;
2001-01-31;14;175,7;null;null;259,8;5;3;8,8;945,4;30,1;24;19,4;68;7;4,9;69;null;
2001-02-28;14;168,3;null;null;199,3;5;3;12,3;944,1;31,2;25,1;20,6;65,7;9;4,7;69,2;null;
2001-03-31;14;143,1;null;null;251,3;5,8;8;251,2;944,8;30,2;24,5;20,7;73,6;7;3,9;67,9;null;
2001-04-30;14;134,9;null;null;240,1;5,4;6;21,2;945,5;29;23,7;20,2;73,2;7;4;70;null;
2001-05-31;14;166;null;null;252,9;4,5;3;4,8;945,3;30,3;24,4;20,2;71,8;5;4,1;69,8;null;
2001-06-30;14;67,3;null;null;140,8;7,5;21;118,5;948,1;25,1;21;18,6;87;7;3,8;59,6;null;
2001-07-31;14;42,7;null;null;141,4;8,3;24;183,3;948,6;23,7;20,2;18;91,6;7;3,9;59,3;null;
2001-08-31;14;66,6;null;null;176,8;7,2;24;141,2;950,3;23,9;19,7;17,1;88,2;7;4,3;60,2;null;
2001-09-30;14;127,8;null;null;215;5,3;6;13,2;947;28,1;22,1;18,3;76,8;7;4,6;69,2;null;
2001-10-31;14;152,4;null;null;260,1;4,6;7;88,1;945,8;29,4;23,4;19,1;74,3;7;4,6;67,2;null;
2001-11-30;14;189;null;null;286;4,3;1;1,8;944,4;31,3;24,5;19,4;67,4;9;4,4;70;null;
2001-12-31;14;161,8;null;null;226,3;6,2;9;156,4;944,1;30,6;24,4;20,2;73,6;9;4,8;69,4;null;
2002-01-31;14;65,9;null;null;174,5;7,6;17;194,8;945;27,4;23,1;20,1;86;7;3,4;65,3;null;
2002-02-28;14;79,6;null;null;213,3;6;7;128,3;945,6;28,2;23,4;19,9;81,7;7;3,8;66,4;null;
2002-03-31;14;113,5;null;null;231,6;5,8;7;101,4;945;29,4;23,7;19,9;77,6;7;4,3;67,9;null;
2002-04-30;14;106,6;null;null;197,5;6,5;8;47,4;944,6;28,9;23,6;20,1;77,7;7;3,8;68,9;null;
2002-05-31;14;null;null;null;175,9;7,5;13;114,9;946;26,3;22,3;19,8;86,6;7;3,7;57,6;null;
2002-06-30;14;40;null;null;129,6;9;26;137,8;949,2;24,2;20,8;18,9;93,2;5;3,7;45,2;null;
2002-07-31;14;53,9;null;null;171,7;7,9;13;180,9;949,6;25,1;20,8;18,3;90,1;7;3,6;52,5;null;
2002-08-31;14;74,8;null;null;206,7;7,2;16;76,8;949,7;25,1;20,5;17,9;91,2;7;3,7;63,6;null;
2002-09-30;14;133,6;null;null;254;4,2;4;19,7;948;28,7;22,5;18,3;80,8;7;4,8;67,6;null;
2002-10-31;14;182,6;null;null;284;3,9;2;7,6;946,7;30,2;23,4;18,7;73,9;9;5,5;68,9;null;
2002-11-30;14;199,2;null;null;270,1;3,6;2;8,1;946,2;31,4;24,5;19,8;73,4;7;4,9;70;null;
2002-12-31;14;179,8;null;null;258,3;4;4;24,1;945,4;31,7;25,2;20,5;75,3;9;4,4;69,2;null;
2003-01-31;null;null;142,6;142,6;null;null;null;null;null;null;null;null;null;null;null;null;null;
