Nome: ALAGOINHAS
Codigo Estacao: 83249
Latitude: -12.1486111
Longitude: -38.42527777
Altitude: 129.78
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;0;118,1;null;null;null;5,4;14;70,2;995,7;31,4;25,4;21;78,6;5;1,8;64,7;null;
2000-02-29;0;114,3;null;null;null;5,6;15;94,2;997;31,8;25,8;21,1;78,8;5;1,6;63,6;null;
2000-03-31;0;120,6;null;null;null;5,8;16;53,2;996,3;31,6;25,5;20,7;79,5;4,6;1,6;63,4;null;
2000-04-30;0;76,4;null;null;null;5,8;17;267;997,7;30,1;24,8;20,9;85,3;4,3;1,5;58,7;null;
2000-05-31;18;75,2;null;null;null;5,8;19;138,4;999,1;29,1;23,9;19,9;85;5,3;1,6;61,5;null;
2000-06-30;18;69,8;null;null;null;5,8;19;183,5;1001;27,9;22,7;18,8;86,4;4,3;1,7;59,3;null;
2000-07-31;0;79,5;null;null;183,4;5,4;17;81,9;1002;27,3;21,7;17,3;85,3;4,6;1,4;58,1;null;
2000-08-31;0;80,8;null;null;144,7;7,1;24;142,8;1003;26,9;22;18,4;88;4,6;1,6;58,5;null;
2000-09-30;18;94,9;null;null;181,6;6,5;21;117,4;1001,7;27,9;22,8;18,7;84;5;2;59,5;null;
2000-10-31;9;129,2;null;null;254,6;5;11;17,7;1001;30,3;23,8;18,3;79;5;2,1;59,7;null;
