Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;0;69,8;null;null;157,6;6,4;18;280,8;976,2;31,8;25,6;21,9;89,7;4,3;1;61;null;
2000-02-29;0;75,3;null;null;151,5;6,3;23;276,2;977,6;32;25,9;21,7;89,7;4,3;1,1;62,8;null;
2000-03-31;null;89,3;null;null;null;5,1;19;119,9;976,4;31,5;25,8;21,8;88,4;3,6;null;65,3;null;
2000-04-30;0;85,8;null;null;192,5;5,2;20;136,2;977,5;31,3;25,6;21,6;88,9;3,1;,2;64,7;null;
2000-05-31;0;150,9;null;null;285,6;3,2;3;3,7;978,4;33,1;25,7;20,1;79,8;4,3;1;66,2;null;
2000-06-30;0;180,2;null;null;282,2;2,6;0;0;979,4;33,1;25;18;76;4,1;1,3;66,2;null;
2000-07-31;0;186;null;null;293,4;2,7;1;7,8;978,8;33,3;24,7;17,4;65,9;4,6;1,4;66,8;null;
2000-08-31;14;247,8;null;null;314,4;2,7;1;,2;978,7;35;25,9;17,8;57,4;4,6;1,5;66,6;null;
2000-09-30;14;206,1;null;null;226,3;4,6;6;52,2;977,7;35,2;27,5;21,1;57,5;4,6;1,7;63,4;null;
2000-10-31;0;199,5;null;null;208,4;5,1;9;48,2;978,5;34,9;27,4;21,2;62,9;4,1;1,3;55,6;null;
2000-11-30;0;123,4;null;null;195;5,7;16;117,6;976,7;32,9;26,7;21,7;73,7;4,6;1,4;54,8;null;
2000-12-31;0;86,8;null;null;152;6,2;18;271,5;978,2;31,6;25,9;21,9;81;4,1;1,2;53,1;null;
2001-01-31;5;145,2;null;null;192;5,2;8;30,4;978,9;33,1;26,6;21,8;70,4;5,8;1,3;57,5;null;
2001-02-28;0;71,1;null;null;134,6;6,3;20;159,7;978,2;32;25,3;21,2;81,9;6,1;1,1;53,7;null;
2001-03-31;14;91,6;null;null;180,2;5,8;16;186,6;978,8;32,3;26;21,7;79,9;4;1,1;55,6;null;
2001-04-30;0;108,9;null;null;207,6;4,7;10;78,7;979,2;32,5;25,9;21,2;77,1;3,3;1;58,7;null;
2001-05-31;0;118,8;null;null;248,4;3,7;5;70,6;979,1;33,3;26,2;20,9;75,3;4;1;61,7;null;
2001-06-30;0;183,5;null;null;283,1;2,8;2;1,3;981;33;25;18,6;67,5;3,3;1,3;62,7;null;
2001-07-31;0;214;null;null;312,1;2;0;0;981,1;34,1;24,9;17,6;59,7;4,5;1,4;64,4;null;
2001-08-31;14;269,8;null;null;315,6;2,9;0;0;982,2;34,4;25,4;17,8;62,4;8;1,9;62;null;
