Nome: APODI
Codigo Estacao: 82590
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.37
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;112;null;null;263,8;6,8;13;157,4;995;32,1;28,2;25,8;67,1;9,6;3,6;78,4;null;
2000-02-29;14;89,5;null;null;235,1;7,2;12;164,1;996,4;31,6;27,6;25,5;71,5;11,5;3,8;75,5;null;
2000-03-31;14;93,8;null;null;269,4;8,1;13;73,8;995,1;31,5;28,3;26,1;83;10,6;3,7;77,3;null;
2000-04-30;14;66,2;null;null;259,4;6,9;23;327;996,1;30,8;27,5;25,5;88;12,5;3,3;77,9;null;
2000-05-31;14;73,1;null;null;265,6;6,4;15;120,1;997,4;30,8;27,2;25,2;86,1;7;3,5;82;null;
2000-06-30;14;98,2;null;null;233,1;6,1;8;76,7;null;31,2;27,4;24,8;88,5;null;null;8,9;null;
2000-07-31;14;152,8;null;null;215,3;6,2;10;26,6;null;31,8;27,6;24,6;76,3;null;null;8,5;null;
2000-08-31;14;136,5;null;null;272,2;4,1;7;91,7;null;31,6;27,2;24;77,8;null;null;8;null;
2000-09-30;14;193,3;null;null;275,5;4,7;6;21,9;null;33,6;27,8;23,9;79;null;null;8,3;null;
2000-10-31;14;null;null;null;321,7;3,5;0;0;null;36,3;28,1;22,6;80,2;null;null;8,3;null;
2000-11-30;14;null;null;null;298,6;4,5;3;1,4;null;36,2;28,1;22,9;73,4;null;null;8,3;null;
2000-12-31;14;null;null;null;269,6;5,5;4;16,6;null;35,7;28;23,2;76,8;null;null;8;null;
2001-01-31;14;null;null;null;260,1;6;4;13,4;null;35,7;28,3;23,6;77,6;null;null;8,1;null;
2001-02-28;14;null;null;null;251,7;6,2;6;41,7;null;36,3;28,7;24,2;79,2;null;null;8,2;null;
2001-03-31;5;192,5;null;null;256,3;8;12;106,9;null;34,4;27,8;23,8;84,6;null;null;8,1;null;
2001-04-30;14;null;null;null;201,9;7,7;19;170,4;null;31,5;26,6;23,4;90;null;null;8,2;null;
2001-05-31;14;null;null;null;308,7;4;5;5,7;null;34;27,5;23;86,4;null;null;8,2;null;
2001-06-30;14;null;null;null;237,1;5,5;10;77,1;null;32,8;26,7;22,6;75,5;null;null;8,3;null;
2001-07-31;14;null;null;null;285,7;4,5;4;32,6;null;33,5;27,2;22,4;66,7;null;null;8,3;null;
2001-08-31;14;null;null;null;312,2;2,6;3;3,6;null;34,8;27,5;22,1;59,6;null;null;15,1;null;
2001-09-30;14;null;null;null;297,8;3,1;0;0;998,9;36,1;27,8;23,2;62,2;7,8;null;43,9;null;
2001-10-31;14;372;null;null;290,4;3,9;1;,3;998,1;36,4;28,4;23,4;60,9;9,9;5,4;76,2;null;
2001-11-30;14;null;null;null;291,6;4,2;0;0;997,2;36,5;28,8;23,9;65,2;7,8;5,2;95,9;null;
2001-12-31;14;null;null;null;268,9;5,4;2;5,3;996,3;36,6;29,4;24,6;65,5;7,8;5,4;90,6;null;
2002-01-31;14;null;null;null;222,5;7,6;17;143,2;997,9;32,5;26,9;23,8;81,9;7,8;3,7;93,7;null;
2002-02-28;14;null;null;null;238,2;5,8;8;73,9;998;32,2;26,6;23,1;82,5;8;4,3;95,9;null;
2002-03-31;14;null;null;null;263,1;7;14;100,7;997,7;32,1;26,7;23,5;85,8;7,8;3,3;98,1;null;
2002-04-30;18;null;null;null;233,2;6,7;10;105,7;997,2;31,1;26,3;23,4;88,2;6,2;3,4;98,2;null;
2002-05-31;14;null;null;null;256,4;5,5;13;37,5;998,6;31,7;26,4;22,9;86;7,2;3,5;94,1;null;
2002-06-30;18;null;null;null;226;6;8;20,8;1000,5;32,3;26,1;22,1;77,4;8,7;4,3;98,2;null;
2002-07-31;14;null;null;null;276,7;4,5;3;12;1000,7;34,2;27;22;70,4;10,8;4,4;98,3;null;
2002-08-31;14;null;null;null;301,3;3;1;,5;999,9;35;27,7;22,5;61;11,8;5,7;97;null;
2002-09-30;14;null;null;null;319,3;3,3;0;0;999;36;27,7;22,1;58,1;11,3;5,3;95;null;
2002-10-31;14;null;null;null;329,8;3,5;0;0;997,5;36,6;28,5;23;56,5;12,3;5,5;95,9;null;
2002-11-30;5;405,2;null;null;309,3;3,8;1;1,9;998,5;36,7;28,6;23,5;66,6;10,8;5,2;67,7;null;
2002-12-31;5;null;null;null;279,8;4,3;2;2;998,8;36,6;29,1;24,3;69,3;10,7;5,8;65,7;null;
2003-01-31;5;279,6;172,6;172,6;243,1;5,9;11;187,1;999,3;35,2;28;23,5;70,9;8,3;4,9;65,3;null;
2003-02-28;5;131,7;134,5;134,5;203;8,3;13;162,5;998,4;32,7;27,1;23,7;84,2;9,8;3,4;68;null;
2003-03-31;5;95,7;133;133;236,9;7,9;17;133,7;998,4;31,7;26,3;23,3;90,2;7,1;2,6;70,1;null;
2003-04-30;5;110,4;130,7;130,7;262;7;15;129,4;999;31,5;26,5;23,6;90,9;7,7;3,1;71,5;null;
2003-05-31;5;193,6;127,8;127,8;257,5;5,7;13;95,1;999,6;31,7;26,5;23;89,7;7,6;3,2;70,9;null;
2003-06-30;5;182,3;124,8;101,3;280,9;3,6;9;35,5;1000;32,5;26,3;22,3;82,3;8,3;3,9;71,8;null;
2003-07-31;5;null;143,1;,7;279;2,9;1;,7;1001,4;33,6;27,1;21,9;67,6;12,2;4,3;71,8;null;
2003-08-31;5;419;152,9;14,4;323,6;1,9;2;14,4;1001,4;34,9;27,4;22,2;73,3;13;4,9;69,4;null;
2003-09-30;5;443,3;null;null;308,4;2,5;0;0;1000,7;35,9;28,3;22,8;66,1;10,3;4,2;69,7;null;
2003-10-31;5;402,5;null;null;326,3;2,1;0;0;998,7;36,7;28,7;23,4;64,1;9,2;4,8;67,5;null;
2003-11-30;5;null;null;null;318;2,9;1;,5;997,6;37,1;29,1;23,8;69,4;7,6;5;70,8;null;
2003-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2004-01-31;5;204,7;null;null;172,9;7,9;18;408;997,6;33,2;27,3;23,9;82;8,6;3,3;68,6;null;
2004-02-29;5;98;null;null;233;8;19;296,5;998,6;31,2;26,4;23,4;90,3;6,3;2,7;64,9;null;
2004-03-31;5;141,8;null;null;278,2;6,4;13;89,5;997,9;32,2;27;23,6;85,5;7;3,1;64,7;null;
2004-04-30;5;135,5;null;null;266;7,6;14;145,6;998,2;32,6;27;23,7;86,9;6,2;2,8;69,7;null;
2004-05-31;5;171,4;null;null;271,2;5,4;11;48,7;999,5;31,8;26,3;22,9;85,9;6,6;3;70,4;null;
2004-06-30;5;null;null;null;205;7,4;20;128,1;1001,7;29,9;25,3;22,2;89,6;6,2;2,9;68,7;null;
2004-07-31;5;223,8;null;null;256,6;5;7;34;1000,6;31,5;25,7;21,8;84,2;7,3;4;71,4;null;
2004-08-31;5;313,9;null;null;293,1;3,2;2;7,7;1001,7;33,9;27;22,1;73,1;12,7;4,6;70,9;null;
2004-09-30;5;422,4;null;null;307,4;1,9;2;,2;999,9;35,5;28,1;22,9;70,3;8,7;4,6;68,3;null;
2004-10-31;9;396,9;null;null;330,5;2,8;1;,3;998,8;36,1;28,2;22,7;70,5;8,6;4,9;68,3;null;
2004-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2004-12-31;5;310,3;null;null;272,9;4,4;0;0;997,9;36,2;28,5;23,8;70,3;6,3;5,2;69;null;
2005-01-31;5;281,1;null;null;250,6;5,8;5;57,2;997,4;35,9;28,7;24,2;71,2;6,1;4,2;66,1;null;
2005-02-28;5;209;null;null;238,8;5,9;6;82,5;997;35,3;28,6;24,3;75,5;6,1;3,9;66,2;null;
2005-03-31;5;208,1;null;null;231,8;6,8;12;212,5;998,2;34,3;28;24,1;80,1;7,3;3,7;66,5;null;
2005-04-30;5;122,5;null;null;281,5;6,3;10;66,3;998,1;32,5;27,3;24;85,9;6,3;3;69;null;
2005-05-31;5;116,2;null;null;242,2;7,8;17;102,1;998,9;32;26,7;23,4;85,6;6,3;3;69,4;null;
2005-06-30;5;134,8;null;null;197;6,8;17;60,1;1000,1;31,1;26;22,6;84,7;6,1;3;71,4;null;
2005-07-31;5;273,3;null;null;288,7;3,5;3;12,5;1001,6;33,2;27,1;22,2;72,4;8,6;4,1;71,2;null;
2005-08-31;5;343,7;null;null;305,6;3,2;1;6,2;1001;34,2;27,6;22,7;70,3;8,5;4,4;71,3;null;
2005-09-30;5;333,8;null;null;307,3;1,9;1;,7;1000,3;35,2;27,7;22,5;71,7;8,5;4,9;66,2;null;
2005-10-31;5;407,4;null;null;311,3;2,1;0;0;999,1;36,6;28,7;23,2;66,1;10,4;5,6;66;null;
2005-11-30;5;393,9;null;null;320,1;3,6;2;2;997,4;36,6;29;23,5;66,6;8,3;5,6;68,3;null;
2005-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2006-01-31;5;354,9;null;null;297,6;4,4;2;,4;996,6;36,5;29,2;24,7;69,6;9;5,8;67,7;null;
2006-02-28;5;231,8;null;null;214,4;7,1;6;53,5;997,5;35,2;28,6;24,8;75,5;7,1;4,7;68;null;
2006-03-31;5;150,2;null;null;267,7;7,7;15;160,8;998;32,9;27,4;24,2;83,3;5,5;2,9;67,8;null;
2006-04-30;5;75,8;null;null;228,6;8,5;21;218,8;997,7;31;26,5;23,8;89,3;5,2;2,2;70,2;null;
2006-05-31;5;74,1;null;null;269,1;7,1;17;209,5;999,5;30,2;26;23,2;88,1;7;2,7;71,2;null;
2006-06-30;5;117,6;114,1;114,1;242,9;5,6;6;55,1;1000,3;30,3;25,8;22,2;81,6;8,6;3,5;72;null;
2006-07-31;5;281,5;139;46,1;275,3;4,1;4;4,3;1001,2;33,1;26,7;22;73,8;7,6;3,8;72,6;null;
2006-08-31;5;316,4;144,4;17,4;292,9;3,5;3;17,4;1000,6;34,1;27,1;22,2;73,1;8,2;4,5;70,7;null;
2006-09-30;5;387,8;158,6;0;300,2;2;0;0;1000,3;35,5;27,8;22,8;71,7;9,1;5,1;69,6;null;
2006-10-31;5;455,2;182,8;0;319;2,5;0;0;998,6;36,3;28,5;23,3;69,1;8,6;4,9;69;null;
2006-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2006-12-31;5;377,3;220,9;1,6;301;4,2;1;1,6;998,5;36,3;28,9;24,3;70,6;7,6;5,4;69,3;null;
2007-01-31;5;370,5;201;2,9;275,3;4,8;2;2,9;997,9;36,2;29,1;24,4;70,6;7,5;5,4;68,6;null;
2007-02-28;5;null;138,4;138,4;194,4;7,8;17;176,5;998,3;33,4;27,3;23,7;82,3;8,3;3,6;67,7;null;
2007-03-31;5;null;138,9;138,1;274,7;7,4;17;128,5;997,8;31,7;26,7;23,6;84,9;7;3,8;70,2;null;
2007-04-30;5;180,2;136,6;136,6;248;7,3;15;146,5;998,3;32,4;26,8;23,5;86,4;7,1;3,4;70,7;null;
2007-05-31;5;195,4;139,6;85,1;274,8;5,6;8;74,9;998,7;32,4;26,7;23,3;86;7,2;3,5;71,5;null;
2007-06-30;5;233,1;123;61,5;231,1;5,3;13;61,5;1000,5;31,8;26,2;22,3;84,2;8;4,1;71,6;null;
