Nome: ARACAJU
Codigo Estacao: 83096
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.68
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;127,7;null;null;276,8;2,8;9;64,2;null;1009,8;29,7;26,3;21,5;79,1;6,6;2,6;70;
2000-02-29;9;108,6;null;null;202,5;4,5;14;276,7;null;1010,8;29,5;26,4;21,5;80,3;6,1;2,7;68,4;
2000-03-31;9;125,5;null;null;251,9;4,1;18;75,7;null;1010,1;30,1;26,8;21,6;77,9;5,3;2,6;69,4;
2000-04-30;18;110,1;null;null;200,8;4,8;22;397,3;null;1011,2;29,6;26,2;21,1;81;5;2,4;68,8;
2000-05-31;18;140,3;null;null;237,7;3,6;19;84,6;null;1012,6;29,1;25,8;20,2;77,6;4,8;2,3;69,4;
2000-06-30;18;123,9;null;null;165,8;4,9;23;210,7;null;1014,1;28;24,9;19,8;79,2;5;2,5;68,2;
2000-07-31;9;null;null;null;215,8;3,9;18;98,9;null;1015,1;27,5;25;22,4;76,2;4,6;2,4;40,2;
2000-08-31;27;94,4;null;null;188,8;4,8;25;98,2;null;1016,1;27,4;24,5;21,6;79;6;2,7;9,4;
2000-09-30;27;133,6;null;null;233,9;4;18;98,6;null;1015;28;25,3;22,3;76,8;6;3;9,6;
2000-10-31;9;157,4;null;null;289,1;2,6;5;5,6;null;1014,6;28,7;26;22,8;75,1;5,8;3,5;10;
2000-11-30;9;122,4;null;null;239,6;3,8;11;67,6;null;1011,3;29,2;26,2;22,6;79,5;6,1;3,5;9,4;
2000-12-31;9;119,3;null;null;248,3;3,9;5;83,8;null;1012;29,1;25,9;21,7;81,1;6,6;3,6;9,7;
2001-01-31;9;176,5;null;null;11,4;3,4;7;24,6;null;1013,1;29,9;26,3;21,7;73,3;6,6;3,4;9,9;
2001-02-28;9;149,7;null;null;259,7;3,5;5;71,2;null;1011,6;30,3;27,2;23,2;74,6;6,6;3,5;9,8;
2001-03-31;9;137,6;null;null;245,7;4,7;12;73,1;null;1012,4;30,2;27,1;22,4;76,2;6,6;2,9;9,8;
2001-04-30;14;154,9;null;null;244,3;4,6;22;170,3;null;1013,5;30;27;22,8;73,2;5;2,4;9,7;
2001-05-31;9;127,7;null;null;262,5;3,3;14;101,3;null;1013,6;29,3;26,3;21,7;78;5,1;2,6;9,7;
2001-06-30;14;126,9;null;null;182,9;4,9;21;325,1;null;1016,1;28;25;20,8;78,3;5;2,4;9,4;
2001-07-31;14;109,4;null;null;189,3;5;25;228,2;null;1016,2;27,5;24,6;20,8;78,3;5;2,4;11,3;
2001-08-31;14;149,3;null;null;193,8;5,1;24;163,3;null;1018,6;27,4;24,5;22,2;76,6;5,6;2,6;19,4;
2001-09-30;9;138;null;null;257;3,9;14;91,8;null;1015,3;28;25,4;22,6;77,2;5,3;2,9;20;
2001-10-31;9;131,7;null;null;264,5;3,7;11;117,8;1014,8;1014,2;28,7;25,8;22,8;79,4;8;3,7;19,7;
2001-11-30;9;149,7;null;null;296,3;2,7;6;56;1013,4;1012,5;29,3;26,4;23,3;78,1;6,3;4;19,8;
2001-12-31;9;144,2;null;null;252,7;4;13;56,1;1012,9;1012,2;29,6;27;24,7;78,7;6,8;3,6;22,7;
2002-01-31;9;104,4;null;null;197,2;5,1;22;169,2;1012,8;1011,4;29,6;26,4;23;82,2;5;2,6;19,7;
2002-02-28;9;122,6;null;null;241,8;3,8;10;52,2;1013,5;1012,2;30,3;27,1;23,4;76,5;6,6;3,1;21,8;
2002-03-31;9;159,3;null;null;262,8;3,7;13;57,3;1012,9;1011,6;30,9;27,7;24;74,9;5;2,9;20;
2002-04-30;9;152,8;null;null;227,5;3,4;13;45,9;1012,6;1011,9;30,4;27,3;23,5;73,6;4,1;2,6;21,8;
2002-05-31;9;101,7;null;null;185,9;5;22;279,1;1014,7;1014;29;26;23,2;80,9;4,1;null;19,4;
2002-06-30;14;123;null;null;166,2;4,9;24;201,8;1017,3;1016,5;28,1;25,5;22,9;77;null;null;19,6;
2002-07-31;14;113,7;null;null;205,4;4;20;95,8;1017,8;1017;27,7;24,9;22,4;77,7;null;null;19,5;
2002-08-31;9;153,3;null;null;214,4;4;20;59,5;1018,1;1017,4;27,7;25;22,1;74,7;null;null;21,3;
2002-09-30;9;141,4;null;null;249,9;3;11;34,6;1016,4;1015,7;28,3;25,6;22,9;74,6;5;null;19,9;
2002-10-31;9;167,4;null;null;293,7;2,9;9;12,5;1015,1;1014,4;29,2;26,3;23,2;72,7;5,3;3,6;19,9;
2002-11-30;9;161,3;null;null;283,4;3,1;11;22,8;1014,4;1013,6;29,7;26,6;23,5;75,2;5,8;4;20;
2002-12-31;9;144,5;null;null;297;3;6;4,2;1013,3;1012,5;30,4;26,9;23,7;77,7;6;3,9;19,9;
2003-01-31;9;147;167,7;167,7;313,9;2,2;3;10,7;1013,1;1012,4;30,8;27,6;24,1;77,1;5;4;19,8;
2003-02-28;9;140,8;152,7;152,7;221,3;4,7;16;78,1;1013,4;1012,7;31,1;27,8;24,6;73,9;5;3,1;20,2;
2003-03-31;9;117;165,3;75,3;247;4,1;17;49,5;1012,6;1012;30,8;27,9;24,8;74,4;5;2,8;20,5;
2003-04-30;9;141,2;155,7;46,8;280,3;3,2;9;46,8;1013,1;1012,4;31;27,9;24,3;71,4;6,3;2,5;20;
2003-05-31;9;88,3;136,4;136,4;210,6;5;20;241,5;1014,5;1013,8;29,7;26,7;23,6;78,2;5;2,2;19,4;
2003-06-30;14;98,1;113,9;113,9;202,5;4,9;22;169,5;1015,9;1015,2;28,8;25,8;23,1;75,9;5;2,2;19,2;
2003-07-31;14;127,1;107,2;107,2;202,5;5,2;22;171,3;1018,1;1017,4;28;25,1;22,3;74;4,5;2,3;19,5;
2003-08-31;9;106,2;109,2;109,2;218,7;5,3;22;90,1;1017,9;1017,2;27,8;25;22,4;77,6;5;2,4;19,7;
2003-09-30;9;123,2;null;null;266;4,3;14;57,4;1016,9;1016,2;28,4;25,6;23;75,8;5,6;3;20,8;
2003-10-31;9;125,2;null;null;261;3,9;12;149,4;1015,2;1014,4;28,9;26;23,3;76,3;5,8;3,3;19,4;
2003-11-30;9;106,5;null;null;246,3;4,6;12;130;1013,2;1012,5;29,1;26,4;23,7;79,9;5,8;3,2;22,2;
2003-12-31;9;132,4;null;null;298,1;3,7;4;39,2;1013,2;1012,6;30;27,2;24,2;75,3;5,8;3,7;21;
2004-01-31;9;87,5;null;null;201,7;6,1;18;238,5;1011,8;1011;30,2;26,6;23,1;81,1;5;2,8;22;
2004-02-29;9;103,5;null;null;243,2;4,6;10;42,7;1013,1;1012,5;30,3;27,2;23,8;76,6;5;2,8;20,1;
2004-03-31;9;119,2;null;null;261,7;4,1;13;48,3;1012,6;1011,9;30,8;27,6;23,9;74,8;5;3;19,8;
2004-04-30;9;109,4;null;null;231,9;4,6;14;70,8;1013,4;1012,6;30,6;27,3;23,8;75,8;5;2,7;20;
2004-05-31;14;92,9;null;null;206,7;5,4;16;202,3;1014,9;1014,1;29,6;26,4;23;77,2;5;2,2;19,8;
2004-06-30;14;107,5;null;null;192,4;4,7;20;113,6;1017,4;1016,7;28,8;25,9;23,2;75,3;5,3;2,3;19,7;
2004-07-31;14;98;null;null;158,4;6,4;24;174,8;1016,7;1016;27,7;24,6;22,1;79,6;6,6;2,7;19,7;
2004-08-31;9;77,6;null;null;175,3;5,5;19;173,4;1018;1017,2;27,4;24,4;22,3;80,3;5;2,4;23;
2004-09-30;14;117,7;null;null;220,6;4,7;15;58;1016,7;1016;28,2;25,3;22,8;74,6;5;2,6;22,1;
2004-10-31;9;129;null;null;306,9;3,7;5;5,7;1014,1;1013,4;29,6;26,3;23;75,9;6,3;3,6;20;
2004-11-30;9;111,8;null;null;278,5;3,4;11;14,4;1013;1012,3;30;26,6;23,6;77,5;6,6;3,6;20;
2004-12-31;9;124,4;null;null;330,5;2,2;0;0;1012,4;1011,7;30,6;27,2;23,8;76;6,3;3,6;21,6;
2005-01-31;9;110,7;null;null;295,1;2,7;4;52,6;1011,6;1010,9;31;27,5;24,2;77,2;5,8;3,5;20;
2005-02-28;9;91,6;null;null;221,7;4,2;6;46,8;1011,5;1010,8;31,2;27,8;24,1;78,4;8,3;3,2;28,3;
2005-03-31;9;103,2;null;null;244,8;4,1;13;57,6;1012,1;1011,3;31,5;27,9;24,1;76,8;5,8;3;20,3;
2005-04-30;9;83,4;null;null;197,4;5,2;19;172,1;1013;1012,3;30,3;27,1;23,5;78,4;4,1;2,2;19,6;
2005-05-31;14;83,9;null;null;169;5,8;20;182,3;1013,9;1013,1;29,7;26,6;23,3;80,8;5;2,6;19,7;
2005-06-30;14;85,8;null;null;151,5;4,5;21;101,3;1015,7;1014,9;28,9;25,8;22,8;79,3;5;2,2;19,7;
2005-07-31;14;84,3;null;null;164,6;5,8;25;211;1017,7;1017;27,7;24,6;21,6;79,9;5;2,5;19,7;
2005-08-31;14;111,2;null;null;213,2;5;20;143,8;1017,4;1016,7;27,8;24,9;22,3;78,2;4,1;2,5;22,2;
2005-09-30;9;116,6;null;null;252,2;3,7;11;27,5;1016,2;1015,5;28,7;25,8;23,3;76,4;5;2,9;19,9;
2005-10-31;9;90;null;null;303,2;3,3;10;24,1;1014,8;1014,1;29,8;26,5;23,7;75,5;6,6;3,7;20;
2005-11-30;9;133,8;null;null;null;3,6;5;3,8;1012,4;1011,7;30,3;27,1;24,4;75,7;8,3;4,1;23,9;
