Nome: AREIA
Codigo Estacao: 82696
Latitude: -6.97555554
Longitude: -35.71805554
Altitude: 571.75
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;117,3;null;null;196,2;6,8;13;110;946,6;28,2;23,2;20,4;81,7;6,1;3,1;42,6;null;
2000-02-29;14;100;null;null;186,9;7,2;17;155,3;947,8;28,8;23,7;20,7;82;6,6;3,1;43,3;null;
2000-03-31;14;113,4;null;null;148,5;7,1;17;119,8;946,9;28,1;23,5;21;84,8;6,6;3,3;42,5;null;
2000-04-30;14;73,2;null;null;144,9;7,6;23;270,1;947,6;27;23;20,7;88,6;6,6;3,3;42;null;
2000-05-31;14;74,9;null;null;180,2;7,2;17;120,2;948,7;25,8;22,2;20;88,2;8,3;3,9;43,3;null;
2000-06-30;null;51,7;null;null;126,6;null;21;323,5;null;24,5;null;19,2;null;null;null;null;null;
2000-07-31;null;34,1;null;null;93,3;null;27;349,7;null;23,5;null;18,7;null;null;null;null;null;
2000-08-31;null;52,1;null;null;182,6;null;20;308,1;null;24,6;null;18,4;null;null;null;null;null;
2000-09-30;null;48;null;null;120,5;null;26;222,2;null;25;null;19;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;127,5;null;null;191,1;null;17;177,1;null;28,8;null;20,6;null;null;null;null;null;
2001-04-30;null;65,8;null;null;120,1;null;22;155,3;null;27,1;null;20,2;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
