Nome: BACABAL
Codigo Estacao: 82460
Latitude: -4.21805554
Longitude: -44.77583332
Altitude: 26.6
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;51,3;null;null;160,5;6,8;21;308,3;null;1005,4;null;null;23,7;85,4;3,8;1,4;60;
2000-02-29;9;52,6;null;null;127,4;7,7;19;236,3;null;1007,2;null;null;23,7;84,8;3,3;1,2;60;
2000-03-31;9;47,5;null;null;113,5;7,8;25;493,9;null;1005,8;null;null;23,8;85,4;3,1;1,3;60;
2000-04-30;9;54,9;null;null;157,3;7,2;24;335,8;null;1006,8;null;null;23,9;83,1;6,3;1,5;60;
2000-05-31;14;65,7;null;null;201;6,1;16;235,7;null;1007,2;null;null;24;80,6;4,5;1,5;60;
2000-06-30;14;67;null;null;233,6;4,9;11;76,1;null;1008,1;null;null;23,5;78,7;4,8;1,6;60;
2000-07-31;14;78,8;null;null;246;4,9;9;90,8;null;1008,1;null;null;23,4;76,9;4,6;1,6;60;
2000-08-31;9;91,1;null;null;264,3;4,3;2;3,5;null;1009,7;34,4;27,9;23;75,2;4,8;1,7;60;
2000-09-30;9;86,4;null;null;249,4;4,9;5;11,2;null;1008,1;35,7;28,7;23,8;71,9;5,1;2,3;60;
2000-10-31;36;120;null;null;237,3;5;5;25,5;null;1008,3;36,9;29,1;23,9;69,6;5;2,4;60;
2000-11-30;36;137,3;null;null;232,8;5,1;2;9,5;null;1006,2;37,5;29,6;24,3;67,2;5;2,4;60;
2000-12-31;5;110,6;null;null;184,1;6,2;12;129,5;null;1007,6;35,7;28,6;24,4;75,9;4,6;2,2;60;
2001-01-31;5;58,7;null;null;144,4;7,4;24;239,1;null;1008,5;33;26,9;23,4;85,2;5;1,5;60;
2001-02-28;5;45,2;null;null;119,8;8;21;238,1;null;1008;33,2;26,6;23,3;85,4;5;1,3;60;
2001-03-31;5;54,9;null;null;150,3;8;26;412;null;1008,3;33,2;26,9;23,6;87,7;2,8;1,4;60;
2001-04-30;5;50;null;null;144,2;7,9;24;451,2;null;1008,7;33,4;27,1;23,9;88,5;4,1;1,5;58,3;
2001-05-31;5;66,4;null;null;210,4;5,8;14;232,7;null;1008,8;33,9;28,1;24,6;84,8;4,6;1,6;60;
2001-06-30;9;56,8;null;null;203,2;5,4;16;131,1;null;1010,3;32,5;27;23,4;85,4;5,8;1,5;60;
