Nome: BALSAS
Codigo Estacao: 82768
Latitude: -7.52944443
Longitude: -46.04638888
Altitude: 263.48
Situacao: Temporariamente Fechada
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;32;80;null;null;165;7,6;16;220,9;978,5;29,9;25,5;22,3;83;1;,9;70;null;
2000-02-29;32;73,4;null;null;162;7,9;19;258,9;980,1;29,8;25,3;22,3;83,9;1;,8;69,7;null;
2000-03-31;32;78,4;null;null;null;7,1;17;221,7;978,7;30,3;25,8;22,6;81,8;2;,8;70;null;
2000-04-30;5;80,3;null;null;187,1;6,1;13;127;979,8;30,8;25,8;22,3;80,8;1;,9;69,9;null;
2000-05-31;14;126,4;null;null;251,3;3,8;8;61,3;980,4;31,9;26,2;21,5;71,8;3;1;70;null;
2000-06-30;14;158,8;null;null;275,5;3,1;2;,7;981,4;32,3;26,1;20,6;63,4;3;1,1;70;null;
2000-07-31;14;188;null;null;269,9;2,8;3;7,7;980,9;32,8;26;20;58,4;5;1,4;70;null;
2000-08-31;14;238;null;null;312,4;2,2;1;,2;980,9;34,5;27,6;20,7;52,7;5;1,3;70;null;
2000-09-30;5;212,9;null;null;258,4;4,7;4;13,8;979,6;34,4;28,6;22,8;55,4;7;1,5;70;null;
2000-10-31;32;191,3;null;null;200,2;5,9;5;81,8;979,7;34;28,2;23;61,9;5;1,3;69,7;null;
