Nome: BARRA
Codigo Estacao: 83179
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;137,3;null;null;237;6;8;46,9;963,3;32,3;26,3;21,2;60,4;7;2,3;83,5;null;
2000-02-29;5;110,7;null;null;235,3;6,1;15;206,7;964,6;32,1;25,9;21,4;63,3;5,5;1,8;83;null;
2000-03-31;5;101,4;null;null;255,7;5,9;12;71,9;963,8;31,7;25,8;20,8;63,5;4,5;1,7;83,1;null;
2000-04-30;5;113,9;null;null;253,3;5,5;8;46,7;964,8;32,8;26,3;20,8;60,9;5;1,7;84;null;
2000-05-31;5;172,6;null;null;266,2;4,7;0;0;966,1;32,7;26,1;19,6;57,6;5;1,8;81,7;null;
2000-06-30;5;204,2;null;null;279,3;3,8;0;0;968,3;32,4;24,9;17,6;55,2;6;2;74,5;null;
2000-07-31;5;245,1;null;null;311,7;3,4;0;0;967,9;32,6;24,9;17,1;48,5;5;2,3;74,7;null;
2000-08-31;5;280,2;null;null;308,1;3,3;0;0;968,1;33,5;26,1;18,3;44,4;5,8;2,7;74,7;null;
2000-09-30;5;290;null;null;282,9;4,2;1;58,4;966,8;33,6;26,9;20,5;44,9;7;3,1;74,7;null;
2000-10-31;5;328,2;null;null;303,6;3,9;2;11,2;965,8;35,6;28,7;21,9;42,6;5,8;2,7;74,7;null;
2000-11-30;5;166,3;null;null;230,3;5,8;11;197,3;964,4;31,9;25,9;20,7;66,8;7;2,4;73,9;null;
2000-12-31;5;123,4;null;null;192,5;6,4;11;256,4;965,2;31;25,6;21,2;72,6;4,6;1,9;73,2;null;
2001-01-31;5;155,6;null;null;268,3;4,4;1;15;966,2;32,4;25,9;19,9;61,5;5,6;1,9;56,6;null;
2001-02-28;5;166,8;null;null;233,8;4,6;4;33,4;964,5;34,3;27,3;21,3;56,7;4,6;1,9;48,3;null;
2001-03-31;5;144,5;null;null;251,8;5;11;177,4;965,8;33;26,4;20,9;64,2;5,3;1,6;68,3;null;
2001-04-30;5;192,9;null;null;268;3,7;4;19,9;966,2;33,8;26,5;20;56,4;5;1,8;48,8;null;
2001-05-31;5;218,8;null;null;281,8;3,1;1;14;966,1;34,2;26,9;20,1;51,7;5,5;1,9;48,9;null;
2001-06-30;5;234,2;null;null;272;2,7;1;3,9;968,7;32,2;24,9;17,7;50,5;5,8;2,4;50;null;
2001-07-31;5;271,6;null;null;308,6;2,5;0;0;969,2;32,5;25;17,1;44,9;7;2,7;50;null;
2001-08-31;5;297,6;null;null;295,7;2,7;0;0;970,7;32,3;25;17,3;42,3;6,6;3,3;50;null;
2001-09-30;5;325,8;null;null;297,3;2,4;0;0;966,4;35,5;28;20,6;39,8;6,8;2,9;50;null;
2001-10-31;5;275,5;null;null;252,5;4,9;7;79,4;965,4;35,1;28,4;22,1;48,5;5,8;2,4;50;null;
2001-11-30;5;250,7;null;null;254,4;5,2;7;78,5;964,2;35,1;28,3;22,6;51,6;4,6;2,3;49,4;null;
2001-12-31;5;217,8;null;null;249,2;4,7;10;104,1;964,3;33,9;27,4;21,9;55,9;6,6;2,4;50,5;null;
2002-01-31;5;116,7;null;null;220;5,1;13;333,6;965,7;30,9;25,5;21;72,7;5,8;2,1;48,5;null;
2002-02-28;5;154,5;null;null;263,5;3,3;5;119,2;966;32,4;26,1;19,9;60,8;5,8;1,9;50,3;null;
2002-03-31;5;202,5;null;null;272,9;4,4;1;42,4;965,6;33,7;27,2;21;52,5;5;1,9;50;null;
2002-04-30;5;188,1;null;null;271,2;3,8;4;25,8;965,4;33,3;26,4;20,1;56,5;16;2;51,2;null;
2002-05-31;5;220,2;null;null;276,3;3,3;2;,5;966,7;33,6;26,3;19,2;49,3;5,6;1,9;50;null;
2002-06-30;14;224,2;null;null;259,7;2,6;0;0;969,5;32;24,8;17,1;49,3;5,8;2;49,3;null;
2002-07-31;5;249,9;null;null;302,7;2,3;0;0;969,2;33,3;25,7;17,7;45,1;5;2,2;50,6;null;
2002-08-31;5;292,9;null;null;317,3;1,9;0;0;969;33,3;25,7;17,6;42,2;5;2,6;50,6;null;
2002-09-30;5;293,1;null;null;279,2;3,5;4;37,2;967;34,4;27,5;20,9;45,1;6;3;49,7;null;
2002-10-31;5;369,9;null;null;314,2;2,5;0;0;964,9;36,1;29,3;22,2;36,9;5,8;2,9;50;null;
2002-11-30;5;257,7;null;null;287,4;4;7;173;965,3;34,9;27,7;21,4;49,4;6,6;2,4;49,9;null;
2002-12-31;5;200,6;null;null;245,4;5;11;106,9;965,3;34,3;27,3;21,7;60,1;4,6;2;46,8;null;
2003-01-31;5;144,6;148,2;148,2;211,9;5,5;11;128,7;965,9;32,9;26,6;22;66,3;5;1,9;49,4;null;
2003-02-28;5;177;177,8;124,6;239,5;4,9;5;24,6;965,7;34;27,5;21,6;56,1;5,3;1,9;49,3;null;
2003-03-31;5;189,9;188;146,4;260,6;5,2;8;146,6;965,2;33,6;27,5;22,2;59,7;5,8;2,1;49,4;null;
2003-04-30;5;null;177,1;7,9;270;4;3;7,9;966,1;33,8;27,1;20,9;57,6;5;1,7;50;null;
2003-05-31;5;null;156,9;46,5;225,6;4,7;7;46,5;967,3;32,6;26,3;20,6;58;5,6;1,8;50;null;
2003-06-30;5;null;137,5;0;282,8;2,5;0;0;968,2;32,6;24,9;17,2;49,3;5,3;1,9;50;null;
2003-07-31;5;null;134;0;301,4;1,8;0;0;969,9;32,2;24,5;17;46,6;5,6;2,3;50;null;
2003-08-31;5;null;172,6;8,4;306;3;4;8,4;968,5;33,9;26,5;18,7;43,6;6,3;2,4;50,6;null;
2003-09-30;5;null;null;null;303,2;2,3;0;0;967,6;34,9;27,6;19,9;37,9;5,1;3,2;50;null;
2003-10-31;5;null;null;null;290,9;3,4;1;,6;965,1;36;29,3;21,7;36,4;5,6;3;50;null;
2003-11-30;5;null;null;null;266,6;4,5;5;27,5;964,3;35,6;28,8;22;46,8;5,8;2,9;49,6;null;
2003-12-31;5;null;null;null;291,9;4,2;6;41,9;964,1;36,8;30;22,9;42,8;5,1;2,2;49,3;null;
2004-01-31;5;null;null;null;141,5;7,3;19;309,4;964,6;31,2;25,7;21;73,4;5;1,8;48,7;null;
2004-02-29;5;null;null;null;208,4;5,5;10;131,3;965,9;31,3;25,8;20,6;71,2;4,1;1,8;49,8;null;
2004-03-31;5;null;null;null;220,5;5,2;11;139;965,5;31,3;25,6;20;72,8;4,6;1,6;49,8;null;
2004-04-30;5;null;null;null;286,3;3;2;23,3;965,9;33;26,2;19,1;64,5;3,6;1,5;49,7;null;
2004-05-31;14;null;null;null;271,2;3,1;0;0;967,1;32,6;25,7;18,8;58,9;4,1;1,8;50,6;null;
2004-06-30;14;null;null;null;287,3;2,4;0;0;969,9;31,7;24,2;16,9;56,4;4,1;1,8;50;null;
2004-07-31;5;null;null;null;315,3;1,9;0;0;968,7;31,9;24,1;16,1;51,4;5;2;50;null;
2004-08-31;5;null;null;null;320,3;1,7;0;0;969;33,8;25,7;18,4;45,9;5;2;50,6;null;
2004-09-30;5;null;null;null;317,1;1,6;0;0;967,1;34,7;26,8;17,9;38,2;6,3;2,6;50,7;null;
2004-10-31;5;null;null;null;282,5;3,3;2;27,5;964,6;35,5;28,4;20,6;44,5;6;2,6;50;null;
2004-11-30;5;null;null;null;249,4;4,6;6;35,2;964;35,2;28,2;21,3;50,7;8,3;2,7;49,8;null;
2004-12-31;5;null;null;null;276,5;4,8;6;30,4;963,9;35,2;28;20,2;52,9;5,3;2,2;50,6;null;
