Nome: BARRA DO CORDA
Codigo Estacao: 82571
Latitude: -5.50638888
Longitude: -45.23722221
Altitude: 154.17
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;66;null;null;171,4;6,6;19;175;null;990,9;31,1;25,5;21,3;84,9;5;1,3;59,8;
2000-02-29;5;54,3;null;null;145,4;6,5;26;304,7;null;992,6;30,7;25;20,9;null;5;1,2;59,2;
2000-03-31;5;62,6;null;null;150,1;6,9;27;259,2;null;991,3;30,5;25,1;21,2;89,8;7;1,3;59,1;
2000-04-30;23;58,2;null;null;157,2;6,7;23;288,8;null;992,3;30,5;25,2;21;90,7;3;1,3;59,4;
2000-05-31;14;97,3;null;null;238;4,4;18;76,5;null;992,7;31,2;25,5;20,6;85,8;5;1,5;60;
2000-06-30;14;126;null;null;245,5;3,8;7;7,1;null;993,7;31,2;25,3;19,6;81;7;1,7;60;
2000-07-31;14;154,7;null;null;265,8;3,4;5;19,3;null;993,4;31,9;25,2;19;77,7;5;1,7;60;
2000-08-31;14;154,5;null;null;259;3,5;4;60,2;null;993,6;32,9;25,7;19,1;75,5;5;1,5;60;
2000-09-30;5;78,1;null;null;168,5;5;14;48,6;null;992,3;32,8;26,5;20,9;79,1;4;1,3;59,9;
2000-10-31;5;106,6;null;null;175,7;4,6;3;8,6;null;992,2;33,8;27,5;21,6;74,7;5;1,6;60;
2000-11-30;5;123,6;null;null;176,2;4,6;4;10,8;null;990,2;34,4;28,2;22,2;68,4;5;1,8;60;
2000-12-31;5;97,5;null;null;149,8;5,9;9;183,6;null;991,5;32,8;27,1;21,9;74,1;5;1,7;59,9;
2001-01-31;5;68,4;null;null;150;6,5;16;121,4;null;992,6;31;25,4;20,9;83,6;4;1,4;59,9;
2001-02-28;23;46,6;null;null;134,3;6,5;19;107,4;null;991,9;30,6;25,2;20,6;83,2;4;1,3;60;
2001-03-31;23;45,3;null;null;140,9;6,9;22;312,4;null;992,3;31,1;25,3;21;87,5;5;1,3;60;
2001-04-30;5;54,2;null;null;177;5,9;17;108,8;null;992,6;31,6;25,6;21;85,5;4;1,4;59,9;
2001-05-31;5;59,1;null;null;190,3;5;10;39,6;null;992,8;31,9;26;21,1;85,1;3;1,2;60;
2001-06-30;14;78,7;null;null;228,5;4;6;25,1;null;994,3;31,7;25,3;19,6;78,6;5;1,6;60;
2001-07-31;0;95,5;null;null;269,6;3,1;4;18,3;null;994,1;32,7;25,6;18,9;73,5;7;1,3;60;
2001-08-31;14;153;null;null;303,9;2;1;1,6;null;995,1;34,6;26,9;19,7;62,1;7;1,9;60;
2001-09-30;5;129,4;null;null;207,3;4,4;1;,8;null;992;35,2;28,2;23,2;66;10,3;1,7;59,9;
2001-10-31;5;144,8;null;null;191,3;4,5;4;8,4;1012,3;992,8;35,5;28,9;24;64,3;5;1,7;60;
2001-11-30;5;96;null;null;144,4;5,7;10;136,7;1012,1;991,9;33;27,6;23,9;75,4;5;1,5;59,9;
2001-12-31;5;103,9;null;null;195,1;5,4;10;165,1;1011,2;991,8;33,1;27,8;23,8;75,3;5;1,5;59,7;
2002-01-31;5;52,8;null;null;143,8;6,5;22;363,2;1013,6;993,8;30,6;25,9;22,8;85,6;4;1,2;59,5;
2002-02-28;5;57,8;null;null;null;4,9;15;132;1013,4;993;31,8;26,6;23;81,9;4;1,2;59;
2002-03-31;5;54,6;null;null;174,5;6,2;18;159,9;1013,4;993,7;31,6;26,2;22,8;85,3;5;1,1;59;
2002-04-30;0;49,5;null;null;null;6,4;12;68,6;1012,9;993,1;31,6;26,1;22,8;86,6;3;1;59,3;
2002-05-31;0;59,8;null;null;203;4,7;13;61,7;1013,9;994,1;31,8;26,3;22,5;85,4;5;1,3;59,8;
2002-06-30;0;81,3;null;null;247,2;3,7;6;9,8;1015,7;995,9;32;25,8;20,9;77,2;5;1,6;59,9;
2002-07-31;5;92,3;null;null;250,5;3,3;8;30,4;1015,9;996,2;33,1;26,2;20,9;77;4;1,5;60;
2002-08-31;0;137,3;null;null;289,4;2,8;3;3,3;1014,7;995,2;34,9;27;20,5;67,8;5;1,4;60;
2002-09-30;5;126,3;null;null;222,3;4;7;61,9;1013,9;994,3;34,6;27,8;22,7;68,3;5;1,6;59,9;
