Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.15583333
Longitude: -45.00833333
Altitude: 447.51
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;0;88,1;null;null;null;7,5;15;183,9;null;959,5;30,5;24,8;20,8;81,3;6,5;,9;64,4;
2000-02-29;0;69;null;null;null;7,4;14;248,4;null;961,3;30,5;24,7;21;80,6;4,8;1;66;
2000-03-31;0;83,8;null;null;null;6,4;12;93,9;null;960,1;30,2;24,6;20,8;80;7,3;1,2;68,6;
2000-04-30;0;88;null;null;null;6,4;11;73,5;null;961,3;31,2;24,6;20,5;78,5;4,3;1;71,5;
2000-05-31;0;123,2;null;null;null;4,4;2;9,9;null;962,6;31,8;23,3;17,6;72,3;3,3;,9;73,7;
2000-06-30;0;96,7;null;null;287,4;2,9;1;,1;null;964,5;31,8;22,3;15,4;72,6;5;1,2;71;
2000-07-31;0;185,7;null;null;286,2;4,1;1;,2;null;963,9;32,2;22,7;15,8;66,8;5,8;1,3;70,2;
2000-08-31;0;211,6;null;null;10,4;4;1;,6;null;963,9;34,1;24,1;16,1;57,8;8,8;1,6;65,8;
2000-09-30;18;232,8;null;null;241,4;5,6;2;39,1;null;962,3;34,2;26,5;19,8;53,9;7,3;2;61,6;
2000-10-31;0;224,3;null;null;254,4;5,2;5;12,7;null;961,5;36;27,3;20,3;55,7;6,6;1,8;60,4;
2000-11-30;0;82,9;null;null;152,5;7,3;17;299,1;null;960,1;31,3;25;20,7;81,3;6,6;1,5;60,1;
2000-12-31;0;73,6;null;null;135,4;7,8;20;224,1;null;961;30,6;24,9;21,3;86,1;5,3;1,3;55;
2001-01-31;0;125;null;null;266,8;6,5;6;18;null;962,2;32,3;25,1;19,8;77,7;6,6;1,9;65,9;
2001-02-28;0;103,9;null;null;210,8;6,2;10;41,2;null;960,8;33,5;25,7;20,7;77,2;8,1;1,7;67,5;
2001-03-31;0;92,3;null;null;203,9;6,7;16;163,5;null;961,7;32,1;25,1;20,6;81,7;5,8;1,4;63,5;
2001-04-30;0;92,1;null;null;260,4;5,6;5;24,4;null;962,2;32,7;24,8;19,9;77,9;5;1,3;71,2;
2001-05-31;0;125,6;null;null;267,2;5;1;35,8;null;962,2;34,1;25,3;19,3;70,2;3,3;,9;68;
2001-06-30;18;179,7;null;null;273,7;3,4;0;0;null;964,5;32,4;23,3;16,2;58,5;5;1,8;70;
2001-07-31;18;197,7;null;null;299,2;3,5;1;,3;null;964,7;32,7;23,1;14,9;52,2;6,6;1,8;67,8;
2001-08-31;14;267,5;null;null;274,6;4,5;0;0;null;966;32,8;24,5;16,6;44,3;7;2,6;62,2;
2001-09-30;18;264,9;null;null;253,9;4,5;2;2,7;null;961,7;35,6;27,2;19,8;43,4;5;2,1;54,2;
2001-10-31;18;173,7;null;null;194,4;6,3;16;103,8;1009,8;961,4;33,7;26,6;21,5;62,7;5;1,7;60;
2001-11-30;23;95,4;null;null;161,1;7,9;18;158,4;1009,1;960,3;32,4;25,7;21,4;75,6;4,1;1,3;62,6;
