Nome: BOM JESUS DA LAPA
Codigo Estacao: 83288
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;36;100,1;null;null;214,5;5,4;9;131,8;null;959,8;31;25,5;21;75,1;9,2;,9;70;
2000-02-29;27;108,3;null;null;232;5,3;13;165,3;null;961,2;31,3;25,6;21,2;80,3;5;1;70;
2000-03-31;18;111;null;null;243;5,1;10;74,5;null;960,2;31,1;25,3;20,9;79,7;2,5;1;70;
2000-04-30;18;150,1;null;null;254,9;3,9;3;4,7;null;961,2;32,6;26,1;20,6;67,4;3,6;1,2;70;
2000-05-31;14;207,8;null;null;273,2;2,9;0;0;null;962,4;33,2;25,5;18,9;55;2,5;1,1;70;
2000-06-30;18;212,9;null;null;249,9;1,9;0;0;null;964,1;32,2;24,6;17,8;51,8;3,3;1,1;70;
2000-07-31;14;236,8;null;null;271,1;2,5;0;0;null;963,5;32;24,4;17,5;49,5;4,1;1,3;70;
2000-08-31;14;250,1;null;null;106;2,1;0;0;null;963,6;33,8;26;18,5;44,1;4,1;1,5;28,3;
2000-09-30;14;266,1;null;null;263,6;3,3;3;29,8;null;962,3;33,9;26,7;20,3;47,9;3,3;1,4;5;
2000-10-31;9;303,3;null;null;281;2,9;3;29,3;null;961,3;35,8;28,2;21,4;44,8;3,5;1,1;5;
2000-11-30;36;132,5;null;null;184,6;6,1;14;238,3;null;959,9;31,7;25,9;21,4;68,4;2,5;1,2;5;
2000-12-31;18;86,9;null;null;149,6;6,9;21;427,9;null;960,4;30;24,8;21,2;80,3;4,1;1,1;49,5;
2001-01-31;14;140,1;null;null;297,7;4;8;60,6;null;961,7;31,5;25,5;20,2;69,6;2;1,1;16,3;
2001-02-28;18;145;null;null;263,7;3,9;6;66;null;960,2;33,6;26,6;20,6;65,1;2;,8;53,3;
2001-03-31;18;126,3;null;null;240,6;4,7;9;32,4;null;961,2;32,8;25,9;20,4;69,4;2,5;1,1;53,7;
2001-04-30;14;303,4;null;null;292,6;3,1;2;45,3;null;961,7;33,8;26,5;20;56,2;3,6;1,2;53,3;
2001-05-31;18;279,1;null;null;267,2;3,1;1;3,6;null;961,6;34,2;26,6;20,2;57;4;1,2;52,8;
2001-06-30;14;217,4;null;null;275,4;2,4;2;3;null;964,7;32,2;24,6;18,1;53,5;3,3;1,3;54,2;
2001-07-31;14;225,8;null;null;279,4;2,5;1;2,8;null;964,7;32,4;24,6;17,4;49,4;3,8;1,4;54,7;
2001-08-31;14;257,2;null;null;271,1;2,9;0;0;null;966,5;32;25;17,8;49,6;3,3;1,6;53,7;
2001-09-30;14;272,4;null;null;286,7;2,7;2;33,2;null;961,7;35,1;27,5;20,5;45,1;2,5;1,2;53,3;
2001-10-31;14;216,4;null;null;212,3;5,6;8;110,2;1012,1;961,4;33,6;27,3;22,4;59,7;3,3;1,2;53,6;
2001-11-30;18;175,3;null;null;181,9;6,1;10;106,2;1011;960,2;33,3;27,4;23,5;73;4,1;1,2;54,3;
2001-12-31;14;150,5;null;null;206,3;5,8;14;157,1;1011,4;960,5;31,9;26,1;21,6;74,9;3,3;1,1;54,4;
2002-01-31;36;86,3;null;null;205,4;5,5;17;190,7;1010,3;960,5;30,7;25,4;21,4;85,4;3,3;1,1;53,3;
2002-02-28;14;122,4;null;null;256;3,9;4;115,1;1012,7;961;32,2;26,1;20,9;78;3;1;55,6;
2002-03-31;18;178,3;null;null;278,2;4,3;2;34,6;1012,4;961,1;34;26,7;21,1;76;3,3;1,3;55,2;
2002-04-30;14;192,4;null;null;290,2;2,9;3;59,6;1012,4;961,4;33,8;26,5;20,4;71,1;2,5;1,3;53,3;
2002-05-31;18;212,9;null;null;267,4;2,2;1;37;1013,9;962,8;31,9;25,3;19,6;62,3;3,3;1,2;54,4;
2002-06-30;14;206,8;null;null;259,1;3;2;3;1016,4;965,7;32,2;24,4;17,5;62,7;3,3;1,3;54,4;
2002-07-31;14;228,9;null;null;290,7;2,2;1;,6;1016,5;965,3;33;24,9;17,5;61,5;3,3;1,3;53,9;
2002-08-31;14;262,2;null;null;10,6;1,7;1;8;1016,5;965,2;33,9;25,7;17,7;46;3,3;1,6;52,6;
2002-09-30;14;244,6;null;null;252,3;3,6;3;105,5;1014,1;963;34,5;27;19,7;54,5;4;1,4;53,2;
2002-10-31;14;290,7;null;null;257,1;2,9;1;10,5;1011,2;960,7;36,3;27,9;20,4;47,1;2,5;1,2;53,5;
2002-11-30;14;217,4;null;null;254,3;4,9;10;77,5;1009,6;961,1;35,1;27,6;21,5;58,2;3,6;1,3;53,9;
