Nome: BOM JESUS DO PIAUI
Codigo Estacao: 82975
Latitude: -9.07999999
Longitude: -44.32777777
Altitude: 288
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2023-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;18;83,6;null;null;171,6;7;19;159,1;971,6;31,2;23,8;17,5;81,9;1;,5;84;null;
2000-02-29;0;89,5;null;null;168,8;7,1;14;165,1;973,1;31,8;23,9;16,5;82,2;1,3;,5;84;null;
2000-03-31;18;92;null;null;194,5;6,8;14;140,3;972,4;31,2;23,9;16,6;79,8;1;,6;84;null;
2000-04-30;0;93,2;null;null;186,1;7,2;11;170,1;973,4;31,1;24,3;18,4;81,2;1;,4;84;null;
2000-05-31;0;110,3;null;null;287,7;6;3;31;974,3;32,3;24,9;18,4;69,2;1;,5;84;null;
2000-06-30;32;127,7;null;null;282,2;5,7;0;0;975,1;32,5;24,9;18,1;63;1;,6;84;null;
2000-07-31;32;180,4;null;null;295,6;5,7;0;0;974,2;32,7;24,8;18,4;55,1;1,3;,6;83,4;null;
2000-08-31;18;253,9;null;null;299,7;5;0;0;974,4;34,1;25,9;18,8;51,9;2,5;,7;57,4;null;
2000-09-30;18;289;null;null;245;6,1;0;0;972,9;34,7;27;19,9;53,8;1,6;,8;48,6;null;
2000-10-31;18;288,1;null;null;237,5;6,5;3;10,1;972,2;35,2;27,6;20,5;52,5;2,5;,7;56,3;null;
2000-11-30;18;152,2;null;null;197,7;7,2;11;102,5;970,9;32,1;24,2;18,8;68,5;1,6;,6;36,2;null;
2000-12-31;18;132,9;null;null;157,4;7,5;11;205,9;973,5;31,5;24,8;17,9;67,4;3,8;,7;70,3;null;
2001-01-31;18;179,3;null;null;158,7;7,4;5;80,6;974,6;33,2;26,1;18,3;58,7;1,3;,6;65,4;null;
2001-02-28;18;111,7;null;null;115,1;7,9;9;34,6;973,7;33;26,2;19,1;65,7;1;,6;58,7;null;
2001-03-31;18;147,8;null;null;195,2;7;12;220;974,4;33,8;27,1;19,6;66,3;1;,6;63,9;null;
2001-04-30;18;189,1;null;null;214,7;6,5;4;53;974,1;34,8;27,4;18,7;59,3;3,5;,7;69,8;null;
2001-05-31;18;259,6;null;null;262;6;5;85,4;973,9;36,3;28,2;19,4;54,1;1,6;,6;70;null;
2001-06-30;18;275,7;null;null;274,6;6;0;0;975,9;35,6;27,9;18,8;48;1,6;,7;70,6;null;
2001-07-31;18;297,9;null;null;308,5;4,3;0;0;975,9;36,9;29,1;20,2;42,2;2,5;,7;71,6;null;
2001-08-31;18;271;null;null;309,2;2,6;0;0;977,3;36;28,4;19,8;40;2,5;,8;76,1;null;
2001-09-30;18;341,5;null;null;288,8;5,4;2;29,4;973,4;37,4;29,8;20,9;43,6;1,8;,6;69,9;null;
2001-10-31;18;292,8;null;null;239,9;7,2;6;58,5;972,4;35,4;28,2;20,2;50,9;1,3;,5;68,6;null;
2001-11-30;18;269,8;null;null;189,7;7,5;6;125,8;971,7;33,4;27,1;20,7;59,7;1,6;,5;66,4;null;
2001-12-31;0;293;null;null;199,9;7;13;137,3;972,1;33,7;27,2;19,7;63,2;1,6;,5;65,8;null;
2002-01-31;0;222,6;null;null;167,2;7,6;18;360,1;974,1;33,1;27,4;19,5;68,7;1,3;,4;60,1;null;
2002-02-28;0;268,5;null;null;214,6;5,5;4;101,4;973,8;36,1;29;20,4;52,9;,8;,4;68,1;null;
2002-03-31;18;233,3;null;null;203,5;7,1;8;57,8;974,1;33,4;26,7;19,5;59,5;1,6;,5;68,5;null;
2002-04-30;18;247;null;null;228,5;6,1;6;98,5;973,5;34,3;27,6;20,2;57,3;1,3;,5;67,9;null;
2002-05-31;18;228,4;null;null;267,8;4,9;3;14,6;974,7;33,2;25,9;19,9;51,7;,8;,5;68,8;null;
2002-06-30;18;279,5;null;null;263,8;4,3;0;0;976,8;38,3;30;20,8;46,8;1,3;,6;69,2;null;
2002-07-31;18;263,3;null;null;298,6;1,7;0;0;977;37,5;29,3;20,2;44,3;1,3;,7;69,8;null;
2002-08-31;18;241,6;null;null;318;1,1;0;0;976,5;36,8;28,9;20,8;41,8;1,6;,7;70;null;
2002-09-30;18;277,9;null;null;255,8;4,1;4;165,5;975,4;36,2;28,7;20,7;46,8;1,6;,6;67,4;null;
