Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;216,1;null;null;253;7,3;13;117,7;970,4;32;26,9;22,9;67,3;8,6;3,2;43,3;null;
2000-02-29;14;179,1;null;null;243,4;7;14;150,7;971,8;31,8;26,3;22,2;70,1;8,8;3;42,7;null;
2000-03-31;14;167,2;null;null;228,3;6,9;6;127,3;971;31;26;22,2;71,4;6;2,9;43,3;null;
2000-04-30;14;205,8;null;null;218,4;7,2;11;55,7;971,9;32;26,5;22,4;67,3;7,1;3,5;43,3;null;
2000-05-31;14;279,8;null;null;225,9;5,7;4;2,6;973,1;32,1;26,4;21,8;60,9;7,1;4,2;43,3;null;
2000-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-07-31;14;292,6;null;null;203,3;5,7;4;8;974,6;30,2;24,5;20;62,8;9,3;4,5;44,2;null;
2000-08-31;14;328,7;null;null;235,6;5,4;6;5;975,1;31,2;25,2;20,4;58,9;9,3;5;43,1;null;
2000-09-30;14;406,6;null;null;232,9;5,1;6;7,1;973,6;32,2;26,2;21,4;55,1;9,5;5,7;43,3;null;
2000-10-31;14;502,2;null;null;289,4;4,4;0;0;972,8;34;28,1;22,5;46,1;9,5;5,5;44,3;null;
2000-11-30;14;361,7;null;null;252,5;6,9;6;17,1;970,3;34;28,4;23,4;52,9;9,5;4,3;43,3;null;
2000-12-31;9;321,7;null;null;247,6;6,6;8;114,3;971,1;33,1;27,7;23,2;57,4;6,3;3,2;43,3;null;
2001-01-31;14;440;null;null;270,5;6,2;3;1,8;971,8;33,7;27,9;22,6;50,4;9,1;4,3;44,1;null;
2001-02-28;14;null;null;null;170,5;7,5;6;70,2;970,6;33,1;27,6;23,2;58,7;6,3;3;43,3;null;
2001-03-31;14;226,6;null;null;238,6;7,2;8;259,3;971,7;32;26,6;22,2;65,9;7;2,8;43,9;null;
2001-04-30;14;304,9;null;null;247,1;6,5;1;8,8;972,1;32,8;27;22,1;57,1;8,8;4,1;43,3;null;
2001-05-31;14;333,5;null;null;280;5,1;1;,3;972,8;33,5;27,8;22,5;54,1;6,5;3,4;47,5;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;14;310,1;null;null;217,6;6,1;7;20,4;977,6;29,7;24,4;20,5;68,3;9,1;5,1;59,6;null;
2001-08-31;14;354,3;null;null;240,4;5,2;6;5,3;979,5;29,3;24;19,5;62,7;8,3;5,8;59;null;
2001-09-30;14;432,8;null;null;266,5;4;0;0;975,8;33;26,9;21,4;52,6;7,8;5,4;58,8;null;
2001-10-31;14;458,7;null;null;280,2;4,5;4;31,8;974,5;34,3;28,3;22,6;50,5;8,8;4,8;59,1;null;
2001-11-30;14;474,6;null;null;300,9;4,5;0;0;972,9;35,2;29,5;23,8;44,4;8,1;4,4;60,2;null;
2001-12-31;14;461,5;null;null;259,7;6,7;9;128,3;972,6;34,6;28,8;23,9;51,6;10,6;5,1;59;null;
2002-01-31;14;119,5;null;null;160,3;7,9;18;214,6;974,2;29,8;25,2;22,2;76,9;7;2,5;57,1;null;
2002-02-28;14;248,4;null;null;241,8;6,4;1;,3;974,3;null;null;22,7;59,2;7,8;3,9;59,3;null;
2002-03-31;14;291,9;null;null;250,2;6,5;7;105,1;974;null;null;22,8;58,7;7,1;3,8;59,8;null;
2002-04-30;14;257,4;null;null;224,7;6,6;3;25,8;973,7;32;27;22,6;57,7;7,6;3,7;59,3;null;
2002-05-31;14;280,2;null;null;217,3;5,9;5;10,1;975,3;31,6;26,5;22,3;59,3;7,5;4,1;58,5;null;
2002-06-30;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-07-31;14;276,8;null;null;245,3;4,8;7;8,2;977,5;30,5;25;20,2;59,2;9,6;4,6;60,2;null;
2002-08-31;14;366,2;null;null;279;4,7;5;,9;977,5;30,6;25,2;20,1;52,8;9,8;5,2;59,3;null;
2002-09-30;14;422,3;null;null;288;4,1;0;0;975,4;33,3;27,5;22,1;46,1;8,6;4,8;59,3;null;
2002-10-31;14;509,4;null;null;307,7;3,7;0;0;973,6;34,2;28,4;22,4;44,7;9,5;5,2;59,2;null;
