Nome: CAETITE
Codigo Estacao: 83339
Latitude: -14.07277777
Longitude: -42.48722221
Altitude: 876.29
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2019-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;106,9;null;null;220,6;5,7;12;78,6;913,5;27,5;null;null;72,9;9,3;3,2;66,1;null;
2000-02-29;14;133,5;null;null;226,2;5,3;5;18;915,1;28,8;null;null;67,4;8,3;3,6;69;null;
2000-03-31;14;133;null;null;207;5,7;10;28,6;914,3;28;null;null;72,9;7,5;3,7;66,1;null;
2000-04-30;14;140,6;null;null;204,7;5,2;6;66,9;915,6;27,5;null;null;68,8;10;4,2;67,7;null;
2000-05-31;14;157,6;null;null;225,7;4,2;4;3,7;916,5;27,3;null;null;61,3;10;3,9;67,4;null;
2000-06-30;14;154,8;null;null;217,2;4;2;1,8;918,2;25,5;null;null;63,8;9,1;4,6;66,3;null;
2000-07-31;9;164,2;null;null;228,8;4,5;9;24,5;917,5;25,2;null;null;64,2;9,5;4,8;67,7;null;
2000-08-31;9;193,7;null;null;251,2;3,4;1;1,2;918;27,3;19,5;16,1;56,2;10;4,6;62,8;null;
2000-09-30;14;180,7;null;null;244,2;4,2;4;25,6;916,7;27;21,3;16,6;57,8;10;5,1;55,5;null;
2000-10-31;14;267,1;null;null;287,5;3,3;2;12;915,7;30,5;24,2;17,9;47,8;9,5;4,5;59,2;null;
2000-11-30;14;118;null;null;162,5;6,5;11;138,8;913,7;27,8;22,5;18,5;68,3;8;3,2;48,3;null;
2000-12-31;14;67,3;null;null;141,4;7,2;21;357,2;914;26,4;21,9;19;83,7;6,6;2,1;55;null;
2001-01-31;14;118,9;null;null;235,6;4,8;7;47;914,3;27,1;21,8;17,9;71,3;8,3;3,8;46,2;null;
2001-02-28;14;164,8;null;null;246,1;3,3;1;4,4;914;30,1;24;19,1;57,2;8;3,4;46,7;null;
2001-03-31;14;121,6;null;null;200,8;5,5;8;84,5;915,1;28,2;22,8;18,9;71,1;7,6;3,5;44,5;null;
2001-04-30;14;160,7;null;null;253,2;4,3;3;16,6;915,9;28,2;22,6;18,3;63;8,3;4,3;45,6;null;
2001-05-31;9;154,3;null;null;215,3;4,4;6;11,7;915,8;28,5;22,7;18,2;60,3;8,8;3,2;45,7;null;
2001-06-30;9;145,6;null;null;210,4;4,2;3;14,8;918,5;25,3;20,1;16,1;63,2;10,5;4,5;45,5;null;
2001-07-31;9;163,5;null;null;219;4,3;3;17,8;918,7;25,6;19,9;15,3;60,4;11,6;4,7;46,7;null;
2001-08-31;14;168,1;null;null;230,8;5,2;6;13;920,3;25,1;19,6;15,1;61;10,8;5,5;47,4;null;
2001-09-30;14;202,5;null;null;265,9;3,5;5;11,3;916,3;28,2;22,1;16,7;53,3;10,8;4,7;46,4;null;
2001-10-31;9;167,2;null;null;172,1;6;10;96,4;915,7;28;22,7;18,1;60,8;11,6;3,9;44,5;null;
2001-11-30;14;137,6;null;null;183,8;5,7;13;141,1;914,6;28,7;23,3;18,9;68,3;9,5;2,8;45,9;null;
2001-12-31;14;141,3;null;null;207,6;5,9;12;141,1;914,5;27,9;22,8;18,6;68;10;3,7;43,7;null;
2002-01-31;14;87,1;null;null;184,5;5,6;14;225,1;914,1;27,2;22,1;18,8;75,1;9,6;3,2;45,3;null;
2002-02-28;14;111,7;null;null;213,3;4,5;6;105,2;914,7;28;22,6;18,5;70,1;8,1;3,3;47,3;null;
2002-03-31;14;147,1;null;null;246,7;4,3;4;30,2;915,1;28,3;22,8;18,5;68,8;10,5;4,6;47,5;null;
2002-04-30;14;152,3;null;null;231,2;4,4;4;23,4;915,3;28,2;22,7;18,8;65,5;8,3;4,2;45,5;null;
2002-05-31;14;165,8;null;null;246,4;3,3;4;7,6;916,6;27,5;21,5;16,8;60;8,3;4,1;45,6;null;
2002-06-30;14;144,4;null;null;205,5;4,5;7;19;919,6;24,9;20,1;16,3;64,7;10,8;5,1;45,2;null;
2002-07-31;14;165,7;null;null;230,3;3,8;3;9,8;919,3;26;20,4;16;60,7;9,5;4,3;46,2;null;
2002-08-31;14;202,3;null;null;281,2;3,1;5;15,4;919,2;26,5;20,7;15,8;53,1;14,3;5,5;45,9;null;
2002-09-30;14;177,4;null;null;214,3;4,1;8;57,2;917,2;27,7;22;17,4;58;9,5;4,7;44,7;null;
2002-10-31;14;245,3;null;null;297,4;2,8;1;6,5;915,6;29,9;23,5;17,4;44,3;21;4,4;46,7;null;
2002-11-30;14;177,9;null;null;248,8;4,3;6;79,1;915,5;29,3;23,4;18,4;57,6;10;4,1;45,6;null;
2002-12-31;14;159,7;null;null;194,2;5,3;12;233;914,7;29,9;24,1;19,1;64,3;8,8;3,1;45,3;null;
2003-01-31;9;93,3;107,7;107,7;183,4;6;17;87,9;915,4;28,4;23,2;19,2;74,4;9,1;2,5;45,4;null;
2003-02-28;9;153,6;100,5;100,5;253,5;4,4;4;9,6;915,1;29,5;23,7;19,1;57,7;10,8;4,1;46;null;
2003-03-31;5;170,2;162;124,6;228,3;4,8;6;115,5;915,2;29,8;24;19,5;60,9;10;3,5;46,5;null;
2003-04-30;14;146,3;94,1;48,8;245,5;3,9;6;48,8;916,1;28,7;23,3;19,1;62;9;3,7;44,7;null;
2003-05-31;9;142,6;82,2;15,5;198,7;5,1;7;15,5;917,1;27,6;21,9;17,7;64,2;10;4,2;45,5;null;
2003-06-30;9;148,5;67,6;5,4;242,3;3;2;5,4;918,3;25,9;20,5;15,9;60,9;7,5;4,1;46,3;null;
2003-07-31;9;166,7;61,6;9,6;250,2;3,2;8;10,2;919,8;25,1;19,5;14,7;61,1;11,6;5,1;45,5;null;
2003-08-31;9;156,4;72,9;8,7;214;4,2;5;8,7;919,1;26,2;20,7;15,9;60,4;11,1;4,7;44,6;null;
2003-09-30;5;208,4;null;null;253,9;3,6;3;19;917,6;28,1;22,1;16,6;53,1;10;5,4;46,9;null;
2003-10-31;5;236,3;null;null;272,6;3,6;1;2;915,6;29,8;23,6;17,6;48,1;9,1;4,9;46,1;null;
2003-11-30;5;194,5;null;null;232,6;4,8;7;89,3;914,3;29,3;23,7;18,5;57,1;10;4,1;45,6;null;
2003-12-31;5;194,5;null;null;244,8;4,3;8;82,5;914,1;30,6;24,8;19,6;58,9;9,8;3,3;46,6;null;
2004-01-31;9;103,5;null;null;130,6;7;15;343,2;913,1;26,6;22,4;19,3;77,3;6;3,2;44,3;null;
2004-02-29;5;84,9;null;null;180,2;5,6;12;108,3;915;27,1;22,4;19;79,1;8;2,6;43,3;null;
2004-03-31;9;60,9;null;null;137,9;6,9;17;253,1;915,4;25,5;21,2;18,4;83,9;6,6;2,9;42,7;null;
2004-04-30;14;87,4;null;null;203,2;5;4;8,2;915,9;26,2;21,4;18,2;79,3;8,3;3,5;44,7;null;
2004-05-31;14;102,6;null;null;208,3;5,2;3;3,6;917,5;25,7;20,9;17,6;76,4;10;3,9;43,8;null;
2004-06-30;9;105,1;null;null;209,8;4,9;9;13,9;920;24,1;19,3;15,9;74,6;9,1;4,7;41,4;null;
2004-07-31;9;132,4;null;null;221,8;4,2;4;4,4;918,8;23,8;18,5;14,7;68;11,3;4,7;44,9;null;
2004-08-31;5;161;null;null;256,2;3,2;0;0;919,3;26,4;20,4;15,6;55;10;4,1;46,1;null;
2004-09-30;14;222,8;null;null;278,3;2,7;1;,8;917,6;27,7;21,6;15,7;49,9;9,3;4,9;46,3;null;
2004-10-31;14;189,6;null;null;248,6;3,9;8;80,3;915,1;29,3;23,1;17,9;58,3;9,6;4,3;46,1;null;
2004-11-30;14;158,7;null;null;212,4;4,9;9;202,2;914,4;28,9;23,3;18,4;64;9,5;4,3;45,8;null;
2004-12-31;14;119,2;null;null;237,7;4,4;4;86,1;914,4;28,3;23;18,4;69,4;10;3;47,9;null;
2005-01-31;14;91,4;null;null;199,6;6;12;240,6;913,8;28,1;23;19,4;75,1;7,6;2,6;45,2;null;
2005-02-28;14;76,3;null;null;185,6;6;14;155,5;914,2;27,6;22,8;19,6;79,6;9,1;2,9;43;null;
2005-03-31;14;85,1;null;null;204,1;5,1;10;106,7;915,3;27,9;23;19,5;76;6,1;2,5;45,7;null;
2005-04-30;14;111,1;null;null;203;5;6;11,7;916,2;27,5;22,4;18,7;72,4;7,8;4,1;46,3;null;
2005-05-31;14;106,7;null;null;200,3;4,9;6;45;917,1;26,2;21;17,2;69,5;9,1;4,1;45,1;null;
2005-06-30;14;102,7;null;null;189,1;4,9;9;26,3;918,7;24,8;19,7;15,9;71,6;8,8;5;45,2;null;
2005-07-31;14;134,1;null;null;236,2;4,1;6;11,5;920,2;24,7;19,1;14,9;65;8,8;4,4;43,8;null;
2005-08-31;14;169,8;null;null;261;3,8;4;7,2;919,1;26,4;20,4;15,7;56,8;8,1;5;46,1;null;
2005-09-30;14;177,5;null;null;238,7;3,5;4;43,4;917,4;28,6;22,4;17;56,4;8,5;4,5;46,3;null;
2005-10-31;14;230,2;null;null;303;2,2;2;41,8;915,8;30,7;24,1;17,7;47,8;9,5;4,3;46,1;null;
2005-11-30;9;123,3;null;null;175,8;5,6;13;132,5;914,4;28,2;22,8;18,5;67,2;11;3,7;44,4;null;
2005-12-31;14;118;null;null;176,5;5,9;8;68,3;914,2;27,7;22,6;18,7;70,1;6,5;3,4;45,5;null;
2006-01-31;9;177,6;null;null;257,7;4,6;2;1,4;915,1;30,1;23,7;18,5;57,1;8,3;4,1;46,2;null;
2006-02-28;9;139,1;null;null;242,2;4,6;9;120;913,8;31,5;25,2;20,2;61,4;9,1;2,9;46,1;null;
2006-03-31;14;97,2;null;null;153,9;6;17;217,5;914,7;28,2;23;19,5;78,3;7,8;2,4;44,3;null;
2006-04-30;9;63,5;null;null;186,2;6,3;13;115,9;915;26,1;21,5;18,6;81,9;8,3;3,3;42;null;
2006-05-31;9;81;66,1;66,1;197,6;4,8;5;39,2;917,5;24,7;19,9;16,4;73,8;8,3;3,1;44,1;null;
2006-06-30;9;96,1;52,9;32,6;189,1;4,5;6;25,1;919,5;23,2;18,5;14,8;70,9;9,1;4,5;43,4;null;
2006-07-31;9;132,2;58,6;3,7;237,3;3,5;4;3,7;919,6;24,6;18,9;14,3;61,2;11,3;4;44,6;null;
2006-08-31;9;174;74,6;,3;280,7;3;1;,3;918,4;26,7;20,7;15,8;53,4;10;4,6;46,7;null;
