Nome: CALDEIRAO
Codigo Estacao: 82474
Latitude: -4.328706
Longitude: -41.721691
Altitude: 183.51
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2015-02-26
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;0;64,2;null;null;209,7;7,7;13;256,5;null;32,3;26,3;22,5;87,1;7;,7;16,7;null;
2000-02-29;0;26,4;null;null;169,3;8,1;19;230,6;null;31,9;25,9;22,6;88,7;3;,6;16,7;null;
2000-03-31;0;50,4;null;null;190,1;7,7;24;214,8;null;32;26,2;22,9;88,3;6,6;,8;18,9;null;
2000-04-30;0;47;null;null;169;7,7;21;262,3;null;31,4;26;22,9;87,6;3;,6;16,8;null;
2000-05-31;0;53;null;null;227,7;6,1;7;29,5;null;32,6;26,4;22,2;83,3;9;1;16,8;null;
2000-06-30;0;123;null;null;219,6;5,7;3;5,4;null;33,3;26,3;21,3;79,9;null;null;4,8;null;
2000-07-31;0;172,5;null;null;227,7;6,3;11;83,3;null;33,4;26,7;22,2;79,7;null;null;4,7;null;
2000-08-31;0;116;null;null;270,4;4,5;3;31,2;null;35;27,1;21,2;76;null;null;4,7;null;
2000-09-30;0;130,6;null;null;269,7;5,2;7;27,8;null;36,6;28,3;21,4;71,7;null;null;4,7;null;
2000-10-31;36;null;null;null;291,8;4;1;7,4;null;37,9;29,3;21,7;70,1;null;null;4,7;null;
2000-11-30;5;null;null;null;277,1;4,5;2;5,4;null;37,7;29,3;21,8;69,7;null;null;4,7;null;
2000-12-31;5;null;null;null;228,5;5,2;5;37,5;null;35,7;28,4;22,1;71,9;null;null;4,7;null;
2001-01-31;0;null;null;null;183,4;7,5;14;190;null;32,8;26,1;21,4;85;null;null;4,7;null;
2001-02-28;0;null;null;null;157,5;8,1;19;349;null;31,8;25,4;21,5;88,3;null;null;4,7;null;
2001-03-31;0;34,1;null;null;170,2;8,1;16;185,7;null;31,8;25,8;21,9;88,4;null;null;4,7;null;
2001-04-30;0;31,8;null;null;125,6;8,5;24;340,6;null;31;25,7;22,8;90,4;null;null;4,7;null;
2001-05-31;0;null;null;null;256,2;4,8;9;50,8;null;33;26,5;22,2;85,2;null;null;4,7;null;
2001-06-30;0;null;null;null;239,4;5;10;54,1;null;32,9;26,2;21,7;80,1;null;null;4,7;null;
2001-07-31;0;null;null;null;271,7;4,8;5;4,7;null;34,4;26,5;20,5;74,6;null;null;4,7;null;
2001-08-31;0;null;null;null;306,1;3;0;0;null;36,1;26,8;19,4;69,7;null;null;4,7;null;
2001-09-30;0;null;null;null;278,5;4;0;0;null;37,8;28,6;21;63;null;null;6,4;null;
2001-10-31;9;253,7;null;null;299,5;3;3;16,5;null;38,4;29,2;20,2;60,6;8;3,3;55,8;null;
2001-11-30;9;null;null;null;265,5;4,4;0;0;null;38;29,4;20,3;59;null;null;7,2;null;
2001-12-31;0;null;null;null;237,6;5,1;0;0;null;36,2;28,6;20,1;63,9;null;null;6,7;null;
2002-01-31;0;null;null;null;166;7,3;0;0;null;32;25,8;20,3;84,3;null;null;6,7;null;
2002-02-28;0;null;null;null;217,5;5;0;0;null;33,6;26,3;19,8;80;null;null;6,7;null;
2002-03-31;0;null;null;null;195,2;7,1;0;0;null;32,3;25,8;20,3;84,7;null;null;6,6;null;
2002-04-30;0;null;null;null;169,9;7,6;0;0;null;32,2;25,7;20,3;86,4;null;null;6,7;null;
2002-05-31;0;null;null;null;231,4;5;0;0;null;32,9;26;19,7;82,6;null;null;6,6;null;
2002-06-30;0;null;null;null;230,3;4,3;0;0;null;33,4;25,6;18,1;79,2;null;null;6,7;null;
2002-07-31;0;162,8;null;null;268,9;3,7;5;12,2;null;35,1;26,3;18;73,4;8;1,7;55,7;null;
2002-08-31;14;null;null;null;297,5;2,7;0;0;null;37,1;26,7;14,9;67,1;null;null;7,1;null;
2002-09-30;18;null;null;null;287,6;3,3;1;,3;null;37,8;null;15,9;null;null;null;7;null;
2002-10-31;32;null;null;null;297,6;3,2;2;11;null;38,1;29,1;20;62,2;null;null;6,7;null;
2002-11-30;0;199,8;null;null;288,6;2,7;0;0;null;38,1;29,5;21,6;61,8;8;2,2;56,2;null;
2002-12-31;0;null;null;null;236,1;4,8;5;98,7;null;36,6;28,9;22,3;66,8;null;null;7,1;null;
2003-01-31;0;null;150,3;150,3;232,3;4,7;12;92,4;null;35,7;27,9;22,3;72,4;8;1,7;56,2;null;
2003-02-28;0;34,4;130,1;130,1;118,9;7,8;17;252,1;null;33,5;26,2;21,6;81,5;8;,8;56,7;null;
2003-03-31;0;31,2;143,7;143,7;167,5;7,2;23;521;null;32,4;25,5;19,2;83,5;5;,7;56,1;null;
2003-04-30;0;28,3;140;140;169,3;7;17;220,5;null;32,5;26,7;19,8;79,1;6;,7;56,7;null;
2003-05-31;0;72,3;140,9;140,9;178;5,9;11;106,8;null;33,1;26,5;19,4;78,5;6;,9;56,7;null;
2003-06-30;0;34,2;137,3;137,3;232,4;4,1;9;91,6;null;33,5;26,4;19,5;76,6;6;1,4;56,8;null;
2003-07-31;0;107,2;142,6;24;275,1;3;2;7;null;33,7;26,6;19,1;70,5;8;1,4;56,7;null;
2003-08-31;0;158,3;147,4;36,5;306,1;3;3;36,5;null;35,7;28,3;23,1;63,3;8;1,5;56,7;null;
2003-09-30;0;162,5;null;null;294,5;3,1;4;14,2;null;36,7;29,1;23;null;9;2,1;54,4;null;
2003-10-31;0;251,8;null;null;302;2,7;1;,6;null;37,8;29,9;23,5;55,6;6;2;26,7;null;
2003-11-30;0;241,3;null;null;268,4;3,5;8;53,5;null;37,3;29,4;23;60,4;8;1,4;26,7;null;
2003-12-31;0;292,1;null;null;266,9;3,9;6;25,9;null;37,2;29,2;22,8;61,8;6;1,2;26,7;null;
2004-01-31;0;76,8;null;null;137;6,2;18;369,5;null;32,2;26,2;21,8;81,9;7;,8;26,1;null;
2004-02-29;0;41,6;null;null;156,8;5,8;22;469,8;null;31,6;25,7;21,7;85,9;3;,3;26,1;null;
2004-03-31;0;61,7;null;null;227,9;4,7;15;153,8;null;31,6;26,4;23,2;82,6;3;,5;26,1;null;
2004-04-30;0;46,3;null;null;188,2;5,5;19;233;null;31,2;26,5;23,4;85;4;,4;26,7;null;
2004-05-31;0;120,9;null;null;266,8;3,8;8;87,3;null;32,2;26,9;23,1;79,2;3;,6;26,7;null;
2004-06-30;0;158,4;null;null;233,1;4,9;11;65,2;null;31,3;26,2;22,2;77,4;5;1;26,7;null;
2004-07-31;0;143,3;null;null;273,3;3,5;6;41,4;null;33,2;26,8;21,9;71,5;7;1,5;26,7;null;
2004-08-31;0;194,5;null;null;301,6;3,4;1;3,2;null;36;28,3;22,3;62,4;5;1,3;26,7;null;
2004-09-30;23;178,3;null;null;null;2,9;1;9,7;null;37,3;29,5;23,2;60,6;5;1,7;26,1;null;
2004-10-31;0;213,4;null;null;300,8;2,1;0;0;null;37,8;29,6;22,8;57;4;1,2;26,7;null;
2004-11-30;0;223,3;null;null;281,3;2,5;2;4,6;null;38,1;30,1;23,9;56,5;5;1,1;26,7;null;
2004-12-31;0;229;null;null;255,9;3,4;6;30,3;null;37,4;29,5;23,4;58,5;5;1,3;26,7;null;
2005-01-31;0;165,3;null;null;247,1;4,6;7;355,2;null;34,6;28,4;23,1;66,4;7;1,1;26,1;null;
2005-02-28;0;98,5;null;null;199,2;5,2;9;152,9;null;33,5;27,5;23,7;76,4;4;,7;26,7;null;
2005-03-31;0;100,4;null;null;198,3;6;18;286,7;null;31,8;26,6;23,4;82,9;3;,4;26,7;null;
2005-04-30;0;41,2;null;null;195,7;5,3;16;254,5;null;31,6;26,9;24;83,2;6;,6;26,7;null;
2005-05-31;0;65,6;null;null;205,2;4,4;10;112;null;31,4;26,8;23,2;79,3;8;,8;26,7;null;
2005-06-30;0;83,9;null;null;224;3,1;2;26,7;null;32,3;26,7;21,7;75,6;5;1;26,7;null;
