Nome: CAMACARI
Codigo Estacao: 83226
Latitude: -12.691233
Longitude: -38.337536
Altitude: 41.17
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2006-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;102,6;null;null;208,8;5,1;17;67,8;1005,6;31,1;26;22,2;80,1;null;null;67,3;null;
2000-02-29;null;95,6;null;null;160,4;5,1;13;214,6;1006,9;31;26,3;22,2;81,1;null;null;65,8;null;
2000-03-31;null;87,9;null;null;202,2;5,2;20;138,2;1006,3;30,6;26;22,2;82,3;null;null;66,5;null;
2000-04-30;null;63,5;null;null;136,7;6,4;24;322,1;1007,6;29,3;25;22;87,3;null;null;60,8;null;
2000-05-31;null;41,5;null;null;168,7;5,5;22;218;1009,1;28,7;24,3;21,1;87,5;null;null;63,5;null;
2000-06-30;null;47,5;null;null;140,4;5,7;22;247,6;1011;27,4;23,3;19,9;85,7;null;null;63,5;null;
2000-07-31;null;57,9;null;null;195,1;5,2;21;183,4;1011,1;27,1;22,4;18,9;85,2;null;null;63,9;null;
2000-08-31;null;67,1;null;null;153,4;6,7;26;161;1012,1;26,9;22,8;19,7;85,4;null;null;61;null;
2000-09-30;null;79,6;null;null;169,8;6,2;18;219,9;1010,8;27,8;23,6;20,2;82,2;null;null;61,3;null;
2000-10-31;null;118,4;null;null;242,8;4,2;10;12,6;1010,1;30,1;25;20,3;76,3;null;null;67,4;null;
2000-11-30;null;109,1;null;null;224,9;5,7;12;123,4;1007,4;31;25,6;21,5;79,5;null;null;67,5;null;
2000-12-31;null;119,3;null;null;194,8;5,3;10;61,2;1007,9;31,2;25,9;21,7;78;null;null;65,3;null;
2001-01-31;null;118,5;null;null;241,7;4,3;15;69,9;1009,6;30,8;25,6;21;77,1;null;null;65,5;null;
