Nome: CAMARATUBA
Codigo Estacao: 82695
Latitude: -6.561813
Longitude: -35.135316
Altitude: 135.51
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2008-08-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;260,8;null;null;248,4;4,7;16;175,7;995,4;30,2;25,9;21,8;80,3;null;null;54,7;null;
2000-02-29;14;231;null;null;219,2;5;11;138,2;995,9;28,5;26,6;22,3;73;null;null;58,5;null;
2000-03-31;14;165,7;null;null;281,6;4,2;null;137,3;995,3;29,7;26,5;22,2;75;null;null;54,8;null;
2000-04-30;14;244;null;null;225,7;4,9;16;167,6;996,5;29,6;26;22,4;79,1;null;null;48,3;null;
2000-05-31;14;152;null;null;239,5;3,9;17;177,7;997,4;29,8;25,8;21,9;76,6;null;null;52,1;null;
2000-06-30;14;121,6;null;null;176,2;5,5;16;424,2;998,1;29;24,9;21;81;null;null;46,3;null;
2000-07-31;14;98,1;null;null;132,3;6,4;20;274,5;998,5;28,3;24,4;21,2;83;null;null;42,4;null;
2000-08-31;14;122,6;null;null;243,4;5,2;15;206,3;999;29,7;25,5;22,4;null;null;null;50,1;null;
2000-09-30;14;null;null;null;214,2;4,7;16;238,4;998,4;29,9;26;22,7;70,1;null;null;51,6;null;
2000-10-31;14;192,9;null;null;240,4;4,7;2;10,2;998,3;30,3;null;null;null;null;null;55,9;null;
2000-11-30;14;184;null;null;232,9;5,1;8;38;997,3;30,8;null;null;68,6;null;null;54,9;null;
2000-12-31;14;210,3;null;null;220,1;5,3;11;71,8;998;30,2;null;null;71,6;null;null;47,9;null;
2001-01-31;14;246,8;null;null;208,6;5,2;5;67,4;997,5;30,7;null;null;68,1;null;null;54,5;null;
2001-02-28;14;347,2;null;null;231,2;5;3;17;996,9;31,2;null;null;66,7;null;null;58,2;null;
2001-03-31;14;185;null;null;231,3;5,4;10;121,4;997;29,4;null;null;72,1;null;null;55,8;null;
2001-04-30;14;144,1;null;null;179,9;5,7;16;248,4;998,7;29,2;null;null;80,5;null;null;32,4;null;
2001-05-31;14;207,3;null;null;295,2;4,3;6;71,7;997,6;30,7;null;null;70,8;null;null;57,7;null;
2001-06-30;14;134,8;null;null;147,9;5,2;16;175,8;999;29;25,2;21,9;78,4;5,4;null;37;null;
2001-07-31;14;141;null;null;223,8;5,5;17;93,8;999,2;28,5;25;21,4;76,8;8;2,9;32,8;null;
2001-08-31;14;125,5;null;null;228,8;5,1;10;72,5;998,3;29,2;24,8;21;75,9;8;3,1;30,5;null;
2001-09-30;14;197;null;null;254,5;4,8;10;65,2;998,5;29,5;26,7;22,5;67,5;4,6;2,7;49,3;null;
2001-10-31;14;187;null;null;247,5;4,9;1;2;998;29,9;27,4;22,8;64,3;3,4;2,8;55,9;null;
2001-11-30;14;203,4;null;null;259,2;5,1;4;14,2;997,8;30,7;27,5;22,9;63,8;5,7;3,1;63,4;null;
2001-12-31;14;167;null;null;236,6;5,1;10;67,9;998,2;29,6;27,5;23,1;64,8;8;3,3;57,2;null;
2002-01-31;14;110;null;null;182,2;5,3;13;146,4;998,3;29,8;26,4;22,6;70,9;5,5;2,3;52,1;null;
2002-02-28;14;148,1;null;null;256,3;4,8;9;53,6;998;30,2;27,1;23;67,8;5,5;2,7;54,8;null;
2002-03-31;14;166;null;null;254,2;4,9;10;200,1;998;30,1;26,4;21,5;71,7;5,5;2,7;50,5;null;
2002-04-30;14;82;null;null;195,4;5,1;14;136;998,5;29,7;25,5;20,9;77,9;5;2;49,8;null;
2002-05-31;14;101,6;null;null;234,1;5,1;12;90;998,4;30;26,1;21,5;73,3;7;2,6;51,6;null;
2002-06-30;14;80;null;null;201,2;5,4;17;319,8;998,6;28,6;25,1;20,6;77,5;6;2,5;47,2;null;
2002-07-31;14;113;null;null;226,4;5;14;241;998,7;28,6;25;21,5;77,5;5,4;1,8;48,8;null;
2002-08-31;14;96;null;null;252,9;4,9;12;173;998,1;29,1;25,1;20,7;75,6;5;2,5;53,7;null;
2002-09-30;14;163;null;null;300,1;4,3;1;3;997,8;30,3;26,5;21,5;66,3;8;1,9;58,7;null;
2002-10-31;14;148;null;null;287,6;4,6;4;32,4;997,8;30,2;26,2;21;68;5;2,5;55,8;null;
2002-11-30;14;169,5;null;null;279,5;4,9;8;100,9;997,7;30,9;26,2;21,2;70,1;5;1,8;55,9;null;
2002-12-31;14;151;null;null;294,4;5,6;4;15;998,1;29,7;27,4;23,1;65;5,5;3;57,3;null;
2003-01-31;14;211;147,8;147,8;267,9;5;9;52,2;997,3;30,6;26,8;22,2;70,8;5,4;2,4;57,3;null;
2003-02-28;14;null;135;135;214,9;5,5;11;285,6;998,3;30;25,9;21,8;73,9;5;2,3;52,2;null;
2003-03-31;14;148;137,7;137,7;240,6;5,3;11;362,6;998,4;30;25,6;21,4;73,2;5,4;2,3;51,8;null;
2003-04-30;14;169;134,9;134,9;257,9;4,9;10;135,8;998,5;30,7;25,9;21,4;73,6;5,3;2,3;54,2;null;
2003-05-31;14;116;null;null;256,1;4,9;11;139,8;999,1;30,1;25,6;21,6;75,7;5,5;1,6;56,2;null;
2003-06-30;14;106;129,5;129,5;196,4;5,1;13;245,7;999,7;28,6;24,6;21;82,3;5,5;2,1;47,1;null;
2003-07-31;14;142;131,2;131,2;271,1;5,1;8;71,4;999,2;29,2;25;21;78,9;5;2,4;56,9;null;
2003-08-31;14;155,2;135,4;123,6;257,4;5,2;5;80;998,8;30,4;25,6;21,8;75,1;5;2,8;53,8;null;
2003-09-30;14;157;138,6;58,1;279,9;5,3;8;121,1;998,4;30,1;26;21,8;71,2;5,4;2,1;57,8;null;
2003-10-31;14;183;146;20,5;312;5,1;6;20,5;998,5;31;26,5;22,1;68,6;5,5;2,6;58,4;null;
2003-11-30;14;206,5;143;17,2;323;4,9;2;17,2;998,1;31,4;27,2;22,4;65,2;5,5;2,1;60;null;
2003-12-31;14;170,5;149,9;126;287,7;5,9;6;126;998,1;30;27,5;23;63,7;5,5;2,3;45,6;null;
2004-01-31;14;120,8;146,8;146,8;195,8;5,8;17;324;999,3;29,5;25,7;22,2;76,3;5,5;2,6;40;null;
2004-02-29;14;108,6;136,5;136,5;234,8;5,3;12;255,6;999,3;29;25,4;21,8;77,2;5,4;2;47,3;null;
2004-03-31;14;136,6;142,2;142,2;300,9;5,1;9;102,6;999,2;30,2;25,8;22;73,8;5,5;2,3;55;null;
2004-04-30;14;108,8;134,8;134,8;224,4;5,5;12;159,8;999,1;29,8;25,9;21,8;73,3;5,5;2,5;49,4;null;
2004-05-31;14;107,8;138;138;257,8;5,1;15;313;999,5;29,5;25,3;21,7;76,3;5,5;3,2;49,3;null;
2004-06-30;14;105;129,9;129,9;219,2;5,4;16;313,3;999,7;28,8;25,2;22,1;78;9,1;3,2;43,9;null;
2004-07-31;14;124,2;134,6;134,6;197,2;6,3;11;315;999,7;29,4;25,3;21,5;77,1;7,9;3;41,1;null;
2004-08-31;14;130,2;135,2;135,2;263,6;6,4;7;77,8;999,6;29,6;25,5;21,8;74,3;9;4,6;42,3;null;
2004-09-30;14;117,9;137,1;87,6;295,6;5,9;3;48;998,9;30,4;26,3;22,3;70,1;5,9;3,8;50,2;null;
2004-10-31;14;127,6;141;10;316,7;5,5;1;10;998,9;30,5;26,6;22,5;67,7;6;3,5;52,7;null;
2004-11-30;14;142;144;0;293,6;5,9;0;0;999;31,3;27,3;23,1;64,6;5,8;3,7;51,9;null;
2004-12-31;14;128,7;null;null;317,6;6,3;1;15;998,9;30,3;27,6;23,3;62,3;7,2;2,3;52,1;null;
2005-01-31;14;131,9;null;null;326,7;5,3;3;17,2;998,6;31,6;27,1;22,9;65,9;5,5;2,8;53;null;
2005-02-28;14;120,9;null;null;285,1;6,1;4;85,6;998,8;31,2;27;23;67,1;5,5;3,2;49,3;null;
2005-03-31;14;135;null;null;292,7;5,6;4;61,3;999,3;30,9;26,7;22,6;68;5,5;2,4;52,9;null;
2005-04-30;14;83;null;null;255;5,3;9;71,2;999;30,4;26,4;22,2;70,2;5,5;2,4;50,7;null;
2005-05-31;14;83;null;null;223,8;5,5;17;292,8;999,7;29,6;25,9;22;72,6;5,5;2,3;48;null;
2005-06-30;14;51,9;null;null;117,7;5,8;23;541,4;1000,2;28,4;25,1;22;78;5,5;2,8;41,7;null;
2005-07-31;14;86,2;null;null;243,3;5,6;5;82,8;999,8;29,1;25,7;22,5;74,3;5,5;3,2;54,5;null;
2005-08-31;14;106;null;null;262,2;5,4;15;184,8;1000;29,3;25,7;22,3;75,5;5,5;2,9;54,8;null;
2005-09-30;14;88,5;null;null;275,1;5,4;6;58;999,3;29,5;26,1;22,6;71,5;5,5;3,1;57,1;null;
2005-10-31;14;91,8;null;null;320,6;5,6;5;33,6;999,5;30,3;26,7;22,5;67,5;7,5;3,2;57,6;null;
2005-11-30;14;100,6;null;null;316,1;5;1;2;999,3;31,6;27,2;22,2;62,3;5,5;2,9;61,1;null;
2005-12-31;14;82,6;null;null;320,3;6,9;2;11;998,8;30,9;28,1;23,3;60,5;5,5;3,5;60;null;
2006-01-31;14;101,4;null;null;306,4;5,6;1;2,8;998,9;31,6;27,1;22,5;64,1;5,5;3,5;60;null;
2006-02-28;14;90,4;null;null;268;5,4;5;65,6;999,1;31,2;26,4;22,1;68,6;5,5;2,7;56,3;null;
2006-03-31;14;89,3;null;null;274,6;5,7;8;182,2;999,5;30,1;26,3;22,1;70;5,5;2,3;52,9;null;
2006-04-30;14;88,8;null;null;214,4;5,6;12;217,8;999,7;29,9;26,2;22,1;69,8;5,5;2,3;52;null;
2006-05-31;14;66,3;null;null;226,6;5,8;11;113,4;1000,1;29,4;25,8;22,2;72,3;5,5;2,5;53,4;null;
2006-06-30;14;69;129,5;129,5;212,4;5,4;12;228,4;1000,3;29,2;25,8;22,2;73,8;7,7;2,7;49,9;null;
2006-07-31;14;77,8;134,2;134,2;221,4;5,4;9;96,8;1000,4;29,2;25,9;22,2;73,4;5,7;2,7;53,7;null;
2006-08-31;14;81,8;135,4;135,4;264,5;5,5;6;92;1000,5;29,3;25,8;22,4;72,7;5,5;2,9;52,9;null;
2006-09-30;14;95,3;139,7;64,4;304,4;5;5;45,2;999,8;30,2;26,9;23,1;66,9;5,5;3,1;52,4;null;
2006-10-31;14;106,9;143,9;5;330,6;5;1;5;999,6;31,1;27,5;23;63,4;5,5;3,1;55,5;null;
2006-11-30;14;119,1;143,1;35,1;291;5,2;5;35,1;999,8;30,6;27,2;23;65,4;5,5;3;60;null;
2006-12-31;14;69,9;148,5;56;277,8;4,8;6;62;999,4;30;27,8;23,2;62;5,5;3,4;39,2;null;
2007-01-31;14;109,8;144,8;63,4;291,4;5,3;7;63,4;999,8;30,2;26,8;22,9;67;5,4;2,2;55,7;null;
2007-02-28;14;108,1;137,7;122,6;247,4;5,4;9;122,6;999,8;30,4;26,9;22,8;67,1;5,5;2,5;49,5;null;
2007-03-31;14;102,8;141,6;141,6;289,4;5,2;7;180,8;1000,2;30;26,8;23;67,4;5,5;2,6;55;null;
2007-04-30;14;76,9;138,5;138,5;250,5;5,2;11;346,1;1000,1;29,6;26,7;22,9;68,2;5,4;2,2;54,7;null;
2007-05-31;14;75,7;137,7;137,7;242;5,2;8;92,8;1000,3;29,5;26,8;23,1;68,9;5,9;2,4;47,5;null;
2007-06-30;14;39,3;132,9;132,9;152,8;5,5;12;605,2;1000,5;28,5;26;22,9;74,8;5,4;1,9;40,9;null;
2007-07-31;14;80,6;134,1;134,1;194,8;5,4;7;92,4;1000,7;28,3;25,7;23,1;76,9;5,4;2,2;48,5;null;
2007-08-31;14;98,3;141,6;141,6;228,9;5,3;7;105,1;1000,9;28,7;26;23,2;74;5,5;2,3;49,7;null;
2007-09-30;14;83;139,6;93,6;251,2;5,2;4;74,2;1000,6;29,1;26,5;23,1;70,5;5,5;2,4;57;null;
2007-10-31;14;103,2;150;0;305,8;5,3;0;0;1000,5;30,2;27;23,2;67,1;5,4;2,2;55,2;null;
2007-11-30;14;128,2;146,8;36,7;292,2;5,1;3;36;1000,5;30,8;27,4;23;63,9;6,6;2,3;60;null;
2007-12-31;14;142;156,3;35,2;324,8;5,3;3;35,2;1000,6;30,9;27,6;23,1;62,4;5,4;2,3;54,8;null;
2008-01-31;14;148,6;152,5;63;299,8;5,2;4;63;1000,5;30,2;27,2;23;64,6;3,3;2,2;49,6;null;
2008-02-29;14;122,7;144,7;0;289,2;5,3;0;0;1000,5;30,7;27,3;23;64,1;3,3;2,3;60;null;
2008-03-31;14;100,6;141,4;141,4;251,4;5,4;10;304,5;1000,8;29,6;26,6;23;69,5;5,4;1,6;36,6;null;
2008-04-30;14;60,4;138,4;138,4;213,8;5,5;10;357,7;1000,9;29;25,8;22,9;75;3,3;2,1;50,2;null;
2008-05-31;14;111,8;141,3;141,3;252,3;5,4;7;157;1001;29,7;26,3;22,9;71,3;5,4;2,3;51,7;null;
2008-06-30;14;81,4;null;null;193;5,4;11;194,2;1001,2;29,2;25,8;23;76,1;3,3;2,3;54,1;null;
2008-07-31;14;89,4;null;null;247;5,4;9;134,2;1001,3;28,6;25,6;23;76,5;3,3;2,2;57,7;null;
2008-08-31;14;null;146,4;146,4;208,1;5,3;13;246,8;999,8;29,2;26,4;23,1;68,1;4,1;1,8;96,4;null;

