Nome: CAMPINA GRANDE
Codigo Estacao: 82795
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.27
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;130,5;null;null;242;6,5;12;78,4;948,7;29,8;24,3;21,2;74,8;6,5;3,9;59,5;null;
2000-02-29;9;124,6;null;null;212,9;6,8;13;153,9;949,6;30,2;24,7;21,4;73,7;6,3;3,6;59,8;null;
2000-03-31;5;128,4;null;null;243,1;7,1;15;63,4;948,7;29,9;24,7;21,6;74,7;6,3;4;59,6;null;
2000-04-30;5;94,9;null;null;201,6;7,3;17;148,7;949,8;28,7;23,9;20,9;80,1;8;3,3;57,8;null;
2000-05-31;5;96,7;null;null;200,4;7;15;98,6;950,8;27,6;23,2;20,1;80,5;6,5;3,5;59,6;null;
2000-06-30;null;64,4;null;null;125,2;null;22;232,2;null;25,6;null;19,4;null;null;null;null;null;
2000-07-31;null;57,4;null;null;103,1;null;23;171,5;null;24,7;null;19;null;null;null;null;null;
2000-08-31;null;79,6;null;null;188,5;null;17;200,7;null;25,6;null;18,9;null;null;null;null;null;
2000-09-30;null;86,5;null;null;175,7;null;20;149,4;null;26,2;null;19,4;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;133,8;null;null;230,1;null;13;207,1;null;30;null;21,3;null;null;null;null;null;
2001-04-30;null;98,5;null;null;188,8;null;16;105;null;28,3;null;21;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;2;5;954,5;null;null;null;null;6,7;null;null;null;
2001-10-31;9;148,2;null;null;238;6,2;9;29,6;953,5;29,6;23,6;20,3;72;6,6;4,1;43,8;null;
2001-11-30;9;null;null;null;null;5,5;0;0;952,6;30,7;24,4;20,8;71,6;6,7;4,4;95;null;
2001-12-31;9;null;null;null;null;7;13;14,4;951,8;30,4;24,7;21,5;75,3;6,7;4,3;95,9;null;
2002-01-31;9;null;null;null;null;8,1;18;82,3;952,2;29;24,1;21,4;80,2;5,7;3,3;95,9;null;
2002-02-28;14;null;null;null;null;6,2;10;74,6;952,4;30,6;24,7;21,3;74,8;7;3,7;96;null;
2002-03-31;14;null;null;null;null;7;14;137,3;952,3;29,4;24,3;21,2;79,8;5,7;3,4;95,9;null;
2002-04-30;14;null;null;null;190,9;7,4;11;24,1;951,6;29,8;24,5;21,2;76,3;6,7;3,5;96;null;
2002-05-31;9;null;null;null;172,9;7,1;15;106,5;953,4;28,3;23,7;20,8;81,9;6,7;3,3;95,9;null;
2002-06-30;14;null;null;null;153,7;7,8;22;123,1;955;25,7;22;19,5;86,8;6,2;2,9;95,7;null;
2002-07-31;14;81,8;null;null;179;7;10;55,1;955,6;26,1;21,9;19,2;83,2;6,3;3,2;42,9;null;
2002-08-31;14;null;null;null;208,1;6,5;17;51,6;955,5;27;21,8;18,7;79,8;6,2;3,9;94,9;null;
2002-09-30;14;null;null;null;284,4;5,4;4;2,3;954,3;29,2;23;19,3;71,3;7,2;4,1;96;null;
2002-10-31;14;null;null;null;264,6;5,4;7;22,6;953;29,7;23,5;20;71,4;6,2;4,3;96;null;
2002-11-30;9;185,1;null;null;273,9;6,3;9;41,6;952,7;30,5;24;20,6;71,7;6,6;4,4;43,5;null;
2002-12-31;9;null;null;null;282,4;6;3;2,7;952,3;31,6;25;21,3;69,7;6,3;4;43,3;null;
2003-01-31;9;187;125,3;125,3;261,3;5,8;10;24,3;952,3;31,7;25,2;21,5;70,1;6,6;3,8;43,2;null;
2003-02-28;14;null;102,4;102,4;173,7;7,8;11;64,8;952,2;29,8;24,5;21,4;75,4;6,5;3,7;43;null;
2003-03-31;14;109,9;110,5;110,5;202,4;7,7;22;130;951,6;28,8;24,2;21,2;80;7,3;3,5;42,4;null;
2003-04-30;14;114,1;105,1;105,1;231,2;6,5;13;35,2;952,2;29,5;24,3;21,1;78,8;6;3,4;43,2;null;
2003-05-31;14;107,8;100,9;65,9;207,6;6,4;13;53,9;953;28,5;23,8;20,7;79,3;5,3;3,5;43,3;null;
2003-06-30;14;88,2;78,8;78,8;153,1;6,9;16;122;953,8;26,4;22,1;19;82,5;6,1;3,3;41;null;
2003-07-31;14;95,1;73,6;73,6;171,3;6,6;19;87,6;955,4;25,7;21,3;18,1;81,7;6,3;3,6;40,5;null;
2003-08-31;14;138,9;82,6;82,6;245,6;5,6;16;44,7;955,2;27,6;22,2;18,4;75,4;5,8;3,7;41,6;null;
2003-09-30;14;156,1;null;null;241,3;5,7;11;34,9;954,4;28,7;22,8;19,1;74;6,3;4;42,6;null;
2003-10-31;14;203,2;null;null;284,4;5,6;5;8,8;952,8;30,2;23,8;19,8;69,5;7,3;4,5;43,3;null;
2003-11-30;14;203,9;null;null;281,8;5,7;5;7,6;951,6;31,3;24,5;20,5;68,7;7,1;4,4;43,9;null;
2003-12-31;14;213,1;null;null;268,1;5,5;7;2,9;951,8;31,4;24,8;20,9;69,6;6,5;4,4;43,8;null;
2004-01-31;14;114,2;null;null;157,2;7,7;21;279;950,9;29,2;24;21;81,1;6,5;3,2;41,7;null;
2004-02-29;14;94;null;null;189,3;7,6;18;243,7;952;28,6;23,9;20,9;82,7;5,3;3;41,6;null;
2004-03-31;14;133;null;null;241,5;7,4;10;64,6;951,5;29;24,2;20,9;78,4;5,5;3,4;43,2;null;
2004-04-30;14;103,6;null;null;194,7;7,6;20;91,4;952,1;28,5;23,9;20,8;82,9;4,6;3,2;43,3;null;
