Nome: CAMPOS SALES
Codigo Estacao: 82777
Latitude: -7.07666666
Longitude: -40.38999999
Altitude: 586.06
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;156,2;null;null;193,7;5,5;11;29,2;943,5;30,3;24,5;20,4;72,5;null;null;83,5;null;
2000-02-29;5;132,4;null;null;169,9;6,3;17;162,1;944,8;29,8;23,9;20;78;null;null;82,8;null;
2000-03-31;5;129,3;null;null;186,5;5,3;13;116,1;943,6;29,2;23,5;19,5;80,1;null;null;82,8;null;
2000-04-30;14;114,4;null;null;201,6;5,6;15;87;944,6;29,1;23,6;19,7;80,8;null;null;82,1;null;
2000-05-31;14;203,3;null;null;251,3;3,5;4;2,2;945,4;30,4;24;19,1;68,5;9;4,3;84;null;
2000-06-30;null;268,4;null;null;217;null;1;,2;null;29,6;null;19,6;null;null;null;null;null;
2000-07-31;null;280,8;null;null;251,2;null;3;5,8;null;29,9;null;19,2;null;null;null;null;null;
2000-08-31;null;328,9;null;null;277,8;null;1;6,4;null;31,2;null;19,3;null;null;null;null;null;
2000-09-30;null;330,1;null;null;239,4;null;7;15,5;null;32,1;null;20,4;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;139,9;null;null;172,9;null;15;86,9;null;30,5;null;20,2;null;null;null;null;null;
2001-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;1;2;948,2;null;null;null;null;null;null;null;null;
2001-10-31;14;311,9;null;null;263,4;3,3;3;37,2;946,9;33,8;27,6;21,9;43,4;9;5,1;63,5;null;
2001-11-30;5;null;null;null;null;3,2;0;0;945,6;33,9;28,1;22,5;49,5;7,3;4,4;96,8;null;
2001-12-31;9;null;null;null;null;4;9;72,6;945,5;32,1;26,6;21,7;59,4;7,3;4,1;97,6;null;
2002-01-31;5;null;null;null;null;7,5;17;154,3;947,3;28,4;23,6;20,1;83,3;7,3;3;97,7;null;
2002-02-28;14;null;null;null;null;4,1;8;11,8;947,2;31;24,8;20;71,8;14;4,3;97,6;null;
2002-03-31;14;null;null;null;null;5,9;10;76,3;947,3;30,2;24,3;20,1;76,2;7,3;3,9;97,7;null;
2002-04-30;14;null;null;null;199,8;4,8;6;54,2;946,8;30;24,3;19,8;73,6;7,2;4;96,6;null;
2002-05-31;14;null;null;null;238,9;3,4;6;21;947,9;31;25;20;66,7;8,7;4,2;97,7;null;
2002-06-30;14;null;null;null;247,7;2,8;1;3;949,8;30,5;24,5;19,7;61;8,7;6,6;97,7;null;
2002-07-31;14;270,1;null;null;279,9;1,9;2;3,2;950,1;31,1;24,7;19,5;52;9;5,6;63,5;null;
2002-08-31;14;null;null;null;289,2;1,6;1;,2;949,8;31,4;24,9;19,3;51,7;8,7;6,4;96,8;null;
2002-09-30;14;null;null;null;276,3;2,3;3;10,7;948,3;32,9;26,4;20,6;45,2;8,7;5,5;97,7;null;
2002-10-31;14;null;null;null;291,7;2,6;null;0;946,8;34,2;27,8;21,8;41,3;8,7;6,1;97,7;null;
2002-11-30;14;358,9;null;null;267,9;3,2;2;12;946,6;34,1;28;22,1;42,3;9;5,1;63,5;null;
2002-12-31;5;null;null;null;225;4,7;10;40,7;946,8;33;27,2;22,2;55,8;8;4,4;62,4;null;
2003-01-31;5;231,5;147,9;147,9;225,3;4,8;9;56,1;947,2;32,4;26,7;21,7;57,8;9;4,4;62;null;
2003-02-28;14;167,4;110,8;110,8;131,3;6,6;13;82,7;947,2;30,5;25,2;21,5;69,1;9;4,4;61,9;null;
2003-03-31;14;124;107,1;107,1;195,4;5,6;19;224,2;946,9;29,5;24,2;20,3;77,4;7;3,4;62;null;
2003-04-30;14;119,1;100,6;100,6;244,6;4,4;14;101,8;947,5;29,8;24,2;20;77,1;8;3,7;62;null;
2003-05-31;14;146,8;101,3;101,3;255,4;4;5;33,4;948,3;30;24,1;19,6;71,8;8;4,4;62,7;null;
2003-06-30;14;209,4;99,7;32,1;260,2;2,8;0;0;948,7;30,3;24,2;19,6;56,6;9;5,5;62,7;null;
2003-07-31;14;273,7;99,5;,8;297,9;2,1;1;,8;950,1;30;23,9;19;53;9;6,6;61,5;null;
2003-08-31;14;279,4;121;3,6;311,9;1,9;1;3,6;949,6;32,1;25,5;19,9;46;9;5,8;63,4;null;
2003-09-30;14;380,8;null;null;297,7;1,9;0;0;948,4;33;26,7;20,5;41,7;9;6,4;62,7;null;
2003-10-31;14;454,1;null;null;299;2;0;0;946,6;34,1;27,8;21,6;39,2;9;6,1;62,7;null;
2003-11-30;14;376;null;null;253,5;4,2;1;26,6;945,6;33,9;27,9;22,5;44,7;9;5;62,7;null;
2003-12-31;5;359,1;null;null;238,3;4,4;4;6,6;945,9;33,9;28;22,7;46,5;9;4,2;63,4;null;
2004-01-31;5;143,2;null;null;123,8;7,7;22;332,5;946;29,6;25,1;21,5;72,8;8;3,2;58,9;null;
2004-02-29;14;104,3;null;null;161,5;6,2;17;291,5;947,2;28,5;23,8;20,2;79,7;8,7;3,3;59,7;null;
