Nome: CANAVIEIRAS
Codigo Estacao: 83398
Latitude: -15.67333332
Longitude: -38.96111111
Altitude: 4.71
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;null;null;null;221,2;6,3;14;79,1;1009,9;29,7;26,3;22,3;81,6;5;2,3;63,1;null;
2000-02-29;5;null;null;null;193,3;6;17;160,9;1011,5;30,2;26,4;22,2;82,7;5;1,9;63,8;null;
2000-03-31;0;null;null;null;183,9;6,8;21;189,4;1011;29,6;25,8;21,9;85,1;3;1,4;62,4;null;
2000-04-30;23;null;null;null;151;7,2;22;319,2;1012,5;28,9;25;21,3;85,8;4;1,6;60,3;null;
2000-05-31;23;null;null;null;181,4;6,4;15;167;1014,1;28,2;23,9;19,6;86,7;3;1,7;61,4;null;
2000-06-30;23;null;null;null;144,4;6,8;20;106,6;1016,4;26,8;22,4;18,3;86,6;4;1,6;61;null;
2000-07-31;23;null;null;null;158,7;7;20;163,6;1016,4;26,2;22,1;17,5;84,2;5;1,8;58,4;null;
2000-08-31;23;null;null;null;170,9;6,8;21;88,1;1017,5;26,1;22,2;17,7;83,9;6;1,9;62,1;null;
2000-09-30;9;null;null;null;182,2;7,2;18;68;1016,6;26,9;23,3;19,1;82,5;4;2,2;50,5;null;
2000-10-31;5;null;null;null;258,9;5,8;16;93,6;1016,2;28,4;25;20,5;77,7;5;2,5;46,5;null;
2000-11-30;5;null;null;null;223,6;7,1;14;128,9;1012,2;28,8;25,7;22,2;82,4;6;2,5;47;null;
2000-12-31;36;null;null;null;170,5;7,5;24;221,9;1012,3;28,9;25,8;22,9;84,1;5;2,2;46,6;null;
2001-01-31;5;null;null;null;293,3;6,3;21;86,7;1014,7;29,8;26,3;21,9;76,1;4;2,4;36,6;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;5;null;null;null;231;6,9;23;114,8;1013,9;30,1;26,4;22,1;80,7;4;1,9;35,3;null;
2001-04-30;5;null;null;null;216;6,2;25;112,4;1014,4;29,6;25,3;21;82;4;1,6;36,3;null;
2001-05-31;0;null;null;null;162,3;6,8;15;267,2;1014,2;28,4;24,6;20,7;85,7;5;1,6;35,7;null;
2001-06-30;9;null;null;null;178,5;6,7;21;177,1;null;27,5;22,8;19,2;84,2;null;null;5,4;null;
2001-07-31;23;null;null;null;177,6;6,9;20;117,5;null;26,8;22,5;18,6;84,8;null;null;5,3;null;
2001-08-31;23;null;null;null;179,8;7;24;130,6;null;26,5;22,3;18,6;81,2;null;null;12,1;null;
2001-09-30;5;104,5;null;null;192,4;7,2;14;61,9;1017,6;26,9;23,3;19,5;79,9;4,1;null;40,3;null;
2001-10-31;5;93,1;null;null;167,2;7,6;16;189,7;1015,7;27,4;24,2;20,9;82,6;5,2;2,2;93,4;null;
2001-11-30;5;134,5;null;null;229,8;6,6;10;34,7;1013,7;29,5;26,1;22,2;80,5;5,2;2,5;94,4;null;
2001-12-31;5;108,7;null;null;193,9;7;19;262,3;1013,7;29,1;26,1;23;80,3;4;2,1;38;null;
2002-01-31;5;92,5;null;null;195,5;7,4;23;225,5;1012,5;29,1;25,9;22,8;83;4;1,9;37,2;null;
2002-02-28;5;99,9;null;null;223,6;6,2;13;116,1;1013,4;29,8;26,2;22,5;78,3;4;1,7;38,7;null;
2002-03-31;9;96,2;null;null;255,5;6,2;19;234,4;1013,8;30,1;26,4;22,5;79,2;3;1,7;37,5;null;
2002-04-30;18;80,4;null;null;198,7;6,2;21;146,3;1013,4;29,7;25,5;21,9;82,9;3;1,5;36,3;null;
2002-05-31;0;85,9;null;null;201,4;6;15;122,3;1015,7;27,9;23,9;19,9;82,5;4;1,5;36,7;null;
2002-06-30;0;null;null;null;151,1;7,3;25;137,2;1019,2;27,7;23;19,7;85,3;3;1,3;36,7;null;
2002-07-31;0;null;null;null;142,7;7,2;24;174,5;1019,4;26,9;22,6;19,1;85,3;3;1,3;37,4;null;
2002-08-31;9;null;null;null;195,4;6,6;21;110,9;1019,9;26,9;23,1;18,8;79,7;3;1,5;36,7;null;
2002-09-30;5;null;null;null;163,7;7,8;19;193,2;1017,4;27,2;24;20,6;82,4;4;2;37,1;null;
2002-10-31;5;null;null;null;248,5;6,2;9;17,1;1015,8;28,6;25,1;20,6;76,3;5;2,4;36,7;null;
2002-11-30;5;null;null;null;210,1;6,7;10;84,9;1015,2;29;25,7;22,3;81,4;4;2,3;37,2;null;
2002-12-31;5;null;null;null;210,9;6,9;13;189,3;1013,3;29,9;26,3;22,2;81,5;4;2,1;35,8;null;
2003-01-31;5;null;162,1;162,1;275;6,6;6;8;1013,1;31;27,2;23,1;81,9;5;2,1;36,8;null;
2003-02-28;5;null;135;135;225,8;6,9;18;119,7;1014,4;30,5;26,7;22,5;82,6;4;1,9;36,9;null;
2003-03-31;5;null;146,3;146,3;227,7;7;19;137,3;1013,7;30,4;26,7;22,5;84,8;3;1,5;36,7;null;
2003-04-30;18;null;124,4;124,4;199,8;7,1;13;182,3;1014,5;30;26,1;22,2;86,7;4;1,5;35,9;null;
2003-05-31;18;null;104,2;104,2;151;7,9;15;168,1;1016,1;28,5;24,5;21;87,2;4;1,6;37,1;null;
2003-06-30;18;null;77,8;77,8;184,2;6,7;15;41,6;1017,5;27,8;22,6;18,6;86,4;3;1,1;36,7;null;
2003-07-31;18;null;75,7;75,7;150,9;8,1;21;141,6;1020,3;26,5;22,1;18,5;86,7;3;1,5;36,7;null;
2003-08-31;0;null;73,7;73,7;147,2;8;18;190,9;1019,4;26,4;22,4;19,3;87,7;9,5;1,6;37,1;null;
2003-09-30;5;null;null;null;208,8;7,8;11;40,4;1018,5;27,5;23,9;19,5;82,1;11;2,3;37,1;null;
2003-10-31;9;null;null;null;220,3;7,9;14;124,1;1016,4;28,1;24,5;20,5;80,2;4;2,5;36,9;null;
2003-11-30;5;null;null;null;223;7,8;20;75,2;1014,3;28,7;25,4;21,7;81,7;4;2,4;36,7;null;
2003-12-31;5;155,5;null;null;280,4;7;11;53,4;1013,6;30,5;26,7;22,4;76,1;4;2,5;36,7;null;
2004-01-31;5;124,2;null;null;180;8,3;22;140,5;1012,4;29,9;26,7;23;82,4;4;2,3;32,1;null;
2004-02-29;9;98,9;null;null;203,6;7,7;23;108,5;1014,1;30,2;26,6;22,8;83,5;3;1,8;30,7;null;
2004-03-31;0;74,9;null;null;135,8;8,5;25;242,9;1014,2;29,5;26;22,7;87,5;4;1;29,7;null;
2004-04-30;null;null;null;null;null;null;9;null;null;null;null;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;9;null;1016;28,6;24,6;21,1;90,1;2;null;null;null;
2004-06-30;0;null;null;null;132,5;8;21;200,9;1020,7;27;22,8;19,6;92,1;3;,8;30,7;null;
2004-07-31;0;null;null;null;null;8,2;17;127,1;1019;26,4;22,5;19,2;91,8;3;1;31,3;null;
2004-08-31;null;null;null;null;null;null;2;null;null;null;null;null;null;null;null;null;null;
2004-09-30;9;126,3;null;null;232;7,2;10;38,5;1019,4;27,5;23,4;18,1;80;3;1,5;30,7;null;
2004-10-31;9;null;null;null;189,7;8;13;93,9;1016,4;28,3;24,8;20,8;null;4;2,4;31;null;
2004-11-30;5;126,8;null;null;201;7,9;18;178,3;1014,8;28,6;25,5;22,3;null;5,2;2,4;30,7;null;
2004-12-31;36;null;null;null;null;7;6;null;1013,5;30;26,3;21,9;null;5,2;2,3;30,8;null;
2005-01-31;36;111;null;null;216,1;7,3;16;158,2;1012,6;30;26,5;22,8;null;4,4;1,9;30;null;
2005-02-28;36;93,9;null;null;199,9;7,8;12;145,9;1012,6;30,3;26,6;23;null;4;1,7;30,7;null;
