Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;78,3;null;null;191,5;7,1;10;95,8;951,4;29,3;23,9;20,5;77;5;1,7;36,1;null;
2000-02-29;5;91,8;null;null;202,6;6,5;16;91,4;952,5;29,7;24,1;20,4;73,9;6,6;1,8;37,4;null;
2000-03-31;5;71;null;null;216,9;6;12;39,9;951,2;30,4;24,1;19,8;72,6;6;2;36,7;null;
2000-04-30;9;73,5;null;null;196,6;6,8;15;133,5;952,2;29,4;23,8;19,8;76,4;5;1,8;37,1;null;
2000-05-31;9;94,7;null;null;276,3;4,3;2;21,6;953,4;30,6;23,7;18,2;67,5;3,6;1,9;36,7;null;
2000-06-30;9;207,5;null;null;244,3;3,7;null;0;955,1;31,3;24,1;18,6;60,4;5;2,3;36,7;null;
2000-07-31;9;281;null;null;285,7;2,9;0;0;954,5;31,7;24,3;19,1;55,8;5;2,3;37,1;null;
2000-08-31;9;294,5;null;null;310,9;2,7;0;0;954,8;32,9;25,5;20,2;53;5;2,5;36,7;null;
2000-09-30;9;276,5;null;null;258,4;3,9;1;,9;953,2;33,8;26,6;20,3;52,3;5;2,5;36,7;null;
2000-10-31;9;294,5;null;null;264;4,5;1;2;952,7;34,8;27,7;20,6;50,7;5;2,4;36,2;null;
2000-11-30;9;161;null;null;213,7;5,2;8;162,6;951,2;30,7;25,1;20;61,7;5;1,9;36,2;null;
2000-12-31;9;108;null;null;197,6;5,8;13;139,5;953,6;29,5;24,2;20;68,1;3,3;1,7;36,7;null;
2001-01-31;9;132,5;null;null;237;4,7;7;43,4;954,6;30,3;24,1;18,7;59,7;5;2,1;37,1;null;
2001-02-28;27;102,4;null;null;162,3;6;14;129;953,6;30,1;23,9;19,4;66,9;4,6;1,4;36,8;null;
2001-03-31;36;67,6;null;null;177,9;6;10;137;954,6;29,8;23,8;19,5;71,4;5;1,7;35,2;null;
2001-04-30;36;152,2;null;null;236,1;5,4;4;19,9;955;31,2;24;18,7;61,5;5;1,9;38;null;
2001-05-31;9;259,4;null;null;263;3,9;3;17,9;954,9;32,5;24,6;18,3;54,8;6,6;2;36,7;null;
2001-06-30;14;284,5;null;null;252,9;3,6;1;1;957,2;31,3;24;17,1;48,3;6,6;2,7;36,7;null;
2001-07-31;14;372,3;null;null;294,6;2,9;0;0;957,3;31,6;23,6;15,8;44,8;8,3;3,4;36,7;null;
2001-08-31;9;299,1;null;null;308;3,1;0;0;958,8;31,6;23,9;16,3;45,6;8,3;2,3;36,7;null;
2001-09-30;9;253,6;null;null;295,9;3,6;1;1,2;954,6;34,3;26,2;18,8;50,3;8,3;2,5;36,7;null;
2001-10-31;9;303,9;null;null;248,1;5,3;3;1,9;953,8;34,6;27,5;20;50,7;9,3;2,2;36,2;null;
2001-11-30;9;269,4;null;null;233,5;5,5;7;107,4;952,6;34,1;27,3;20,7;54,9;8,7;2;36,7;null;
2001-12-31;9;90,3;null;null;199,4;6,5;12;78,4;952,7;32,2;25,5;19,8;64,8;7,6;2,4;36,9;null;
