Nome: CARINHANHA
Codigo Estacao: 83408
Latitude: -14.29749999
Longitude: -43.77138888
Altitude: 455.25
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2020-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;117,7;null;null;210,7;6,7;12;143,5;958;30,6;25,1;20,5;72,4;5;1,9;70;null;
2000-02-29;9;122,6;null;null;245,9;5,1;12;51,8;959,3;31,7;25,8;20,7;68,2;4,6;2;70;null;
2000-03-31;9;131;null;null;254,1;5,3;11;98,6;958,8;31,1;25,4;20,6;68,9;6,1;2,1;69,8;null;
2000-04-30;9;184,7;null;null;273,9;4,2;2;1,9;959,9;32,7;26;19,7;57,9;5,8;2,3;70;null;
2000-05-31;14;240,6;null;null;10,5;3,1;0;0;961,1;32,6;24,5;16,6;48,6;6,3;2,3;70;null;
2000-06-30;9;235,6;null;null;298,6;2,1;0;0;962,8;31,4;23,2;15,1;46,1;7,1;2,4;70;null;
2000-07-31;9;249,2;null;null;289,1;3;0;0;962,2;31,2;23,5;15,9;46,9;5,8;2,7;70;null;
2000-08-31;9;296,8;null;null;10,9;2,5;0;0;962,8;32,6;24,7;16,7;41,7;6;2,6;70;null;
2000-09-30;9;291,8;null;null;271,7;4,1;4;15,9;962,1;32,9;26;20,3;45,9;6,3;3,2;69,3;null;
2000-10-31;9;381,4;null;null;296,6;3,2;3;16,2;960,7;35,3;27,9;21,5;41;6,1;2,9;70;null;
2000-11-30;9;152,3;null;null;180,3;7;13;197,6;959,1;31;25,5;21,8;70,1;9,6;2,3;69,7;null;
2000-12-31;9;98,3;null;null;159,3;7,8;20;220,1;959,7;29,9;24,5;21,1;81;7;2,3;51,7;null;
2001-01-31;9;170,9;null;null;11,9;5,4;2;30,5;961,3;31,3;25,2;19,8;66;5;2,4;50;null;
2001-02-28;9;214,9;null;null;266,2;4,5;6;45,5;959,4;34,7;27,2;20,7;54,2;6,6;2,3;50,5;null;
