Nome: CAROLINA
Codigo Estacao: 82765
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.94
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;0;59,2;null;null;143,4;7,3;24;334,9;null;987,9;31,1;25,4;21,6;81,7;5;,7;69,7;
2000-02-29;0;53,8;null;null;130,2;7,2;22;294,1;null;989,4;30,2;25,3;21,9;83,2;6,6;,7;68,6;
2000-03-31;0;66,1;null;null;165,7;7;22;354,2;null;987,9;31,1;25,7;22,2;82,1;2,6;,4;68,7;
2000-04-30;0;72,4;null;null;177,6;6,7;15;139,6;null;989;31,1;26;22,1;80,4;2,8;,3;69,6;
2000-05-31;0;147,8;null;null;280,2;3,9;6;69,1;null;989,4;32,5;26,5;21,5;72,5;3,3;,4;69,9;
2000-06-30;0;215,3;null;null;292;2,7;0;0;null;990,3;33,5;26,8;21,1;60,9;5;,6;69,7;
2000-07-31;0;224,1;null;null;265,2;3,7;5;97,5;null;989,9;33,3;26,6;20,4;56,9;2,5;,5;69,2;
2000-08-31;5;233,8;null;null;296,7;2,7;2;31,5;null;989,8;35;27,8;21,4;51,4;3,3;,8;69,9;
2000-09-30;0;150,5;null;null;187,2;6,1;13;59,6;null;988,6;33,4;27,5;22,2;64,2;1,6;,5;69,8;
2000-10-31;0;129;null;null;191,1;6,1;8;41,7;null;988,9;33,8;27,3;22,1;67,4;2,5;,6;65,9;
2000-11-30;0;75,8;null;null;153;7,2;12;251;null;987,9;31,6;26,7;22,7;79,7;4;,5;69;
2000-12-31;0;59,1;null;null;142,7;7,4;19;312,4;null;989,8;30,8;26,2;22,9;83,9;3,3;,5;67,7;
2001-01-31;0;75,2;null;null;171,9;8,3;18;130,2;null;990,5;31,7;26,6;22,8;79,6;7;,6;70;
2001-02-28;0;53,6;null;null;139,3;8,3;19;300,7;null;989,8;31,4;25,8;22,5;82,4;2,8;,5;68,3;
2001-03-31;0;54;null;null;142,7;7,4;25;414,5;null;990,3;31,2;26;22,6;85,9;4,1;,4;68,3;
2001-04-30;0;59,2;null;null;174,2;6,2;14;196,9;null;990,5;32;26,6;22,7;82,4;3,3;,4;69,1;
2001-05-31;0;80,5;null;null;238,3;5,8;12;79,4;null;990,4;33,5;27,6;23,5;78,3;3,1;,5;69,9;
2001-06-30;0;111,3;null;null;270,5;4,9;6;3,3;null;991,8;34,1;27,3;21,7;69,3;3,6;,8;70;
2001-07-31;0;146,7;null;null;297,8;3,2;2;10,3;null;991,9;35,2;27,8;21,2;60,6;4,3;1;70;
2001-08-31;14;198,2;null;null;309,4;3;0;0;null;992,8;36,1;28,7;21,3;45,3;7,3;1,6;69,8;
2001-09-30;5;162,7;null;null;231;6,7;3;33,5;null;989,9;35,9;29,5;24;58,4;5;1,5;67,4;
2001-10-31;36;null;null;null;136,9;8,3;15;146;1013,8;990;33,6;27,7;23,8;73,4;4,5;1,5;60,3;
2001-11-30;5;null;null;null;116,1;8,4;15;113,1;1013,1;989,2;32,7;27,3;23,8;78,7;7;1,5;62,2;
2001-12-31;5;52,9;null;null;118,7;8,1;22;188,2;1012,5;988,7;31,7;26,6;23,4;84,6;3,3;1;68,9;
2002-01-31;32;55,6;null;null;131,8;8,4;26;503,3;1014,3;990,2;30,9;26,3;23,1;83,8;5;1,3;69,7;
2002-02-28;9;67,1;null;null;172,5;7,5;20;340,5;1014;989,9;32,8;27,2;23,6;80,8;8,3;1,4;68,6;
2002-03-31;36;65,7;null;null;151,9;8,2;16;204,7;1014;990;32,4;27;23,5;83,5;4,3;1,1;67,5;
2002-04-30;11;69,6;null;null;185,2;7;13;85,6;1013,5;989,5;33,1;27,2;23,4;81,5;5;1,2;68,6;
2002-05-31;14;90,2;null;null;239,1;5,5;10;97;1014,3;990,5;33,7;27,8;23,4;77,4;5;1,3;69;
2002-06-30;14;120;null;null;275,9;5,5;2;3,2;1016,1;992,3;34,5;27,5;21,6;67,2;4,1;1,4;69,7;
2002-07-31;8;160,2;null;null;299,2;3,7;1;,5;null;992,3;36,2;28,6;22,1;60,3;5;1,6;70;
2002-08-31;8;212,5;null;null;313,9;2,7;0;0;1015;991,4;36,8;29,2;22,2;50,9;5,8;2,1;68,8;
2002-09-30;36;165,4;null;null;231,4;6,2;5;49,3;1014,1;990,4;36;29,4;24,1;61;5,8;1,8;66,6;
2002-10-31;36;102,5;null;null;166,2;6,8;9;139,3;1013,1;989,2;33,4;27,8;23,6;73,8;4,5;1,4;62,7;
2002-11-30;0;86,8;null;null;172,4;6;11;83,3;1013,8;989,9;33;27,4;23,3;77,5;5;1,3;64,4;
2002-12-31;0;62,9;null;null;120;7,2;19;143,7;1014,4;990,4;31,4;26,6;23,5;83,3;4;1,3;67,3;
2003-01-31;0;67;152,6;152,6;169,3;7,3;22;284,9;1014,6;990,6;32,2;27;23,5;83;4,1;1,1;68,7;
2003-02-28;0;52,8;115,6;115,6;125,3;7,8;18;350,1;1014,2;990,2;31,3;26,4;23,3;85,4;5;1,4;66,7;
2003-03-31;0;54,3;133,3;133,3;121,3;7,7;20;206,2;1014,3;990,2;30,9;26,2;23,4;86,5;4,1;1,1;68,9;
2003-04-30;0;63,4;143,1;143,1;197,7;5,8;17;152;1014,4;990,5;32,3;27,2;23,5;83,1;3,1;,9;69,8;
2003-05-31;0;79,8;151,6;151,6;237,8;4,5;11;215,3;1015;991,1;32,7;27,4;23,4;79,4;3,3;1;69,8;
2003-06-30;0;104,4;139,9;117;289,2;3,4;3;17;1015,4;991,3;33,8;27,1;21,7;71,6;5;1;69,9;
2003-07-31;11;157,1;133,8;0;322,9;1,9;0;0;1016,6;992,5;35,1;27,2;20,2;59,9;5,8;1,7;70;
2003-08-31;0;167;176;18,8;261;4,1;5;18,8;1015,9;991,9;35,9;28,4;22,1;60,6;4,3;1,4;70;
2003-09-30;11;157,8;null;null;238,2;4,4;7;17,1;1014,4;990,6;35,8;29,1;23,7;62,1;4,8;1,6;66;
2003-10-31;0;109;null;null;177,6;7,2;12;96,4;1013;989,3;34,1;28,1;24,1;74,2;3,3;1,1;60,8;
2003-11-30;0;72,1;null;null;148,9;7,8;10;102,7;1013;989,1;32,5;27;23,6;81,6;5;1,2;66,2;
2003-12-31;0;56,5;null;null;null;7,2;18;288,1;1013,7;989,5;31,7;26,5;23;84,3;7;1;67,3;
2004-01-31;0;50,1;null;null;null;7,8;28;439,3;1013,3;989,3;30,7;26,2;23,5;87,4;4,1;1,1;70;
2004-02-29;0;48,3;null;null;116,9;7,7;24;500,1;1014,6;990,5;30,8;26,1;23,4;87,4;5,8;1,1;66,5;
2004-03-31;0;56,8;null;null;158;7,2;23;244,3;1013,6;989,7;32;26,8;23,7;85,4;4,1;1;68,6;
2004-04-30;5;66,8;null;null;198,5;6,6;12;156,2;1013,8;989,9;32,5;27,2;23,6;82,5;4;1;69,7;
2004-05-31;5;101,1;null;null;292,8;4,1;5;83,1;1014,9;990,7;33,9;28;23,6;75,9;3,6;1,2;70;
2004-06-30;9;121,3;null;null;281,9;3,3;1;1;1017,1;993,1;34;27,1;21,6;67;4,5;1,6;70;
2004-07-31;5;152,2;null;null;294,4;3,1;1;1,2;1015,8;991,9;34,8;27,6;21,5;62,8;5,6;1,5;69;
2004-08-31;5;180,8;null;null;287,7;3,6;4;58,2;1016,2;992,2;36;28,7;22,3;57,9;5;1;69,9;
2004-09-30;5;164,6;null;null;241,2;4,6;6;34,2;1013,9;990,2;36,2;29,4;23,7;59,8;6,6;1,7;69,2;
2004-10-31;5;89;null;null;139,7;6,9;13;80,1;1013,4;989,4;32,8;27,4;23,6;78,4;5;1,4;66,3;
2004-11-30;5;84,2;null;null;161,9;6,3;10;145,1;1012,9;988,9;33;27,6;23,7;79,1;4,3;1,3;66,2;
2004-12-31;5;65,9;null;null;null;7;17;261,7;1013,3;989,3;32;26,6;23,2;83,6;4,3;1,1;67,2;
2005-01-31;5;61,4;null;null;null;7,4;21;264,5;1012,9;989;31,8;26,8;23,7;84;4,5;1,2;68,7;
2005-02-28;0;46,1;null;null;126,9;7,6;19;262,1;1013,1;989,1;31,5;26,7;23,9;86,4;3,3;1;68,5;
2005-03-31;0;48,1;null;null;121,7;7,6;29;571,5;1014,4;990,3;31,1;26,4;23,8;87,8;6,6;1,1;69,2;
2005-04-30;0;75,4;null;null;212,3;6,2;12;126,4;1013,9;990;33,7;28;23,9;77,7;4,6;1,1;69,7;
