Nome: CEARA MIRIM
Codigo Estacao: 82596
Latitude: -5.65333333
Longitude: -35.42583332
Altitude: 62.2
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;149,6;null;null;252,3;5,8;14;51,1;1002,4;31,5;26,9;22,9;76,1;6,6;3,6;50;null;
2000-02-29;9;141,8;null;null;210,2;6,4;8;96,2;1003,6;31,9;27,2;23;75,2;6,8;3,3;50;null;
2000-03-31;9;155,9;null;null;247;6,1;16;113,5;1002,4;31,5;27,2;22,7;75,7;8;3,6;50;null;
2000-04-30;14;98,4;null;null;217,7;6,9;17;195,4;1003,3;30,7;26,6;22,9;82,1;6,1;3;49,5;null;
2000-05-31;14;107,3;null;null;215,6;6,4;16;192,8;1004,5;29,9;25,7;22;81,9;7;3,2;50;null;
2000-06-30;18;88,8;null;null;203,4;6,7;18;370,5;1005,8;28,7;24,8;21,3;84,1;7;3,4;46,3;null;
2000-07-31;14;80,3;null;null;134,5;7,6;23;337,1;1005,7;27,8;24;20,7;85,9;6,6;3,3;47,5;null;
2000-08-31;14;119,4;null;null;247;6,4;15;149;1006,8;28,8;24,4;20,6;80,6;7,5;3,5;48,7;null;
2000-09-30;14;125,5;null;null;236,4;6;17;119,4;1006,2;29,4;25;21;82,6;6,5;3,8;44,3;null;
2000-10-31;14;228,9;null;null;288,8;5,5;4;4;1007,4;30,2;25,6;21;74,3;6,6;4,1;40;null;
2000-11-30;9;247,9;null;null;248,8;5,4;6;3,3;1005;31;26;21,2;72,8;6,6;4;40;null;
2000-12-31;9;174,1;null;null;250,6;5,6;7;17,9;1005,9;31;26,2;21,4;76,1;8,1;3,6;40;null;
2001-01-31;9;191,2;null;null;251,6;6;4;46,5;1006,1;31,2;26,5;21,4;73,6;6,6;3,9;40;null;
2001-02-28;9;177,9;null;null;228,2;5,6;3;12,6;1004,6;32,3;27,1;21,9;70,8;6,5;3,7;40;null;
2001-03-31;9;156,6;null;null;224,8;6,1;12;98;1005,2;31,7;26,9;22,1;75,5;7,1;3,5;40;null;
2001-04-30;14;105,7;null;null;174,3;7;18;381,1;1005,6;29,8;25,8;21,8;82,6;5,8;3,2;39,7;null;
2001-05-31;14;129,6;null;null;297,7;5;8;20,2;1006,1;30,8;26;21,3;77,4;7,3;3,2;40,2;null;
2001-06-30;14;100,2;null;null;153,6;6,8;17;273,6;1007,7;29;24,6;20,6;82;6,6;3,3;41;null;
2001-07-31;14;114,4;null;null;228,7;5,9;25;77,6;1008,4;28,8;24,3;20,2;81,9;6,6;3,6;39,7;null;
2001-08-31;14;175,6;null;null;255,5;5,1;13;43,4;1009,9;29,1;24,1;19,5;75,5;7,1;4,4;39,7;null;
2001-09-30;14;170;null;null;264,2;5,3;5;14,1;1007,5;30,3;25,3;20,8;72,1;6,8;4;40;null;
2001-10-31;9;201,3;null;null;286,1;5,4;4;1,9;1006,7;31,2;26,6;22,2;68,5;6,6;4,1;40,9;null;
2001-11-30;9;190,3;null;null;266;5,7;6;40,6;1005,6;31,4;27,1;22,8;71,5;7;4,4;39,5;null;
2001-12-31;9;169,6;null;null;280,5;6;14;40,3;1004,7;31,3;27,3;23,7;74,8;6,1;4;40,5;null;
2002-01-31;9;105,2;null;null;176,7;7,4;20;270,3;1005,2;30,4;26,5;23,3;80,8;6;3;41,2;null;
2002-02-28;9;122,3;null;null;226,5;6,3;7;47,5;1005,5;31,3;26,9;23;79,8;5,3;3,1;40,4;null;
2002-03-31;14;119,1;null;null;203,1;6,8;20;363,7;1004,9;30,7;26,4;22,9;86;6,3;2,1;39,9;null;
2002-04-30;14;99,1;null;null;196,8;6,5;17;102,6;1004,5;30,3;26,2;23;87;5,8;2,5;40;null;
2002-05-31;14;111,8;null;null;228,1;6,8;14;121,1;1005,7;30,3;26,2;22,8;88,2;5,8;2,9;40;null;
2002-06-30;14;94;null;null;182,6;6,9;17;244,6;1007,8;29;24,9;21,8;86,7;5,8;2,9;40;null;
2002-07-31;14;104,3;null;null;222,4;6,6;18;166,2;1008,5;28,9;24,6;21,3;82,8;5,8;3,1;41;null;
2002-08-31;14;126,4;null;null;234,9;6,5;17;201,5;1008;28,7;24,2;20,7;82,9;6,6;3,2;40,3;null;
2002-09-30;9;183,7;null;null;295,5;5,6;1;,2;1007,3;30,1;25,1;20,7;77,9;6,3;3,8;40,7;null;
2002-10-31;9;204,3;null;null;289,8;6,3;11;23,9;1007,1;30,6;26;22,3;73,4;6,6;3,8;40;null;
2002-11-30;9;237,9;null;null;263,3;6,8;10;44,7;1007,1;30,9;26,4;22,9;73,3;5,8;3,5;40;null;
2002-12-31;9;222,6;null;null;302,6;6,5;7;8;1006,1;31,5;27,1;23,5;75,3;6,1;3,9;39,7;null;
2003-01-31;9;184,2;153,3;153,3;252,3;6,4;9;135,2;1006;31,5;27,1;23,4;76,2;6,3;3;40,2;null;
2003-02-28;9;130,6;134,3;134,3;204,7;7,1;12;245,4;1005,4;31,1;27;23,7;79,9;6,1;3,3;39,5;null;
2003-03-31;9;116,7;141,6;141,6;190,9;7;18;313,7;1004,8;30,6;26,6;23,6;82,6;5,8;2,9;40;null;
2003-04-30;9;115,9;135,2;135,2;201,1;7;20;174,3;1005,4;30,8;26,7;23,7;80,3;5,8;2,9;40,7;null;
2003-05-31;9;114,3;133;133;229,4;6,7;13;114,8;1006,3;30,5;26,3;23,2;83,2;5,8;3,1;40,3;null;
2003-06-30;14;122,5;110,8;110,8;179,3;6,8;13;150,2;1007;29,2;25,2;22,6;84,6;6,3;3,4;39,7;null;
2003-07-31;14;140,9;107,3;107,3;239,3;6,7;12;116,8;1007,9;29,3;24,8;21,5;81,7;7,1;4;40,3;null;
2003-08-31;14;156,9;122,2;122,2;261,9;6,4;9;24,3;1008,5;29,5;24,9;21,3;80,4;6,6;4;42,6;null;
2003-09-30;14;177,5;null;null;268,2;5,9;6;25,2;1007,9;30,5;25,7;21,9;78,1;6,6;3,6;41;null;
2003-10-31;14;204,6;null;null;274,7;6,3;2;7;1006;31,2;26,5;22,6;77,5;6,6;3,8;41,2;null;
2003-11-30;9;182,4;null;null;293;6,1;7;15,9;1004,7;31,5;27;23;77;6,6;3,5;40,7;null;
2003-12-31;9;182;null;null;276,9;6,2;14;26,7;1004,8;31,6;27,3;23,2;78,2;8;3,6;41,3;null;
2004-01-31;9;110,3;null;null;184,8;7,2;19;462;1003,9;31;26,8;23,5;83,4;6,3;2,9;38,9;null;
2004-02-29;14;95,2;null;null;192,6;6,7;19;193,6;1005;30,7;26,5;23,3;85;6,1;3,3;41;null;
2004-03-31;14;114,8;null;null;223,7;7,1;17;221;1004,6;30,7;26,7;23,3;82,8;6,1;3,1;40;null;
2004-04-30;14;113,7;null;null;196,1;7;13;126,9;1005;30,8;26,7;23,2;82,7;6,1;3,2;39;null;
2004-05-31;14;102,3;null;null;232,6;6,3;15;109;1006,4;30,2;25,8;22,5;84,2;5,6;3;37,8;null;
2004-06-30;14;77,2;null;null;138,6;7,4;22;467,9;1008,6;28,9;24,7;21,9;88;6;3;41;null;
2004-07-31;14;87;null;null;196,3;6,8;18;356,3;1007,8;28,8;24,6;21,2;85,3;6,6;3,2;41;null;
2004-08-31;14;111,5;null;null;223,5;5,6;11;36,6;1009,8;29,5;24,8;20,7;84,5;7,5;3,7;34,6;null;
2004-09-30;14;155,2;null;null;252,9;5,3;10;39,3;1007,6;30;25,3;21;78,2;6,6;4,5;40,2;null;
2004-10-31;9;162,4;null;null;266,2;5,2;7;12,1;1006,4;30,5;25,9;21,9;74,5;7;4,4;39,7;null;
2004-11-30;9;178,6;null;null;291,3;4,9;6;9,4;1005,5;31;26,2;22,1;72,6;7;4,2;40,2;null;
2004-12-31;9;192,9;null;null;278,2;5,6;5;7,4;1005,4;31,4;26,7;22,6;71,7;6,6;4,1;40;null;
2005-01-31;9;160,8;null;null;250,9;5,9;3;2,9;1005,3;31,5;27,3;23,3;77,6;6,6;3,5;35,7;null;
2005-02-28;9;142,2;null;null;228,2;5,6;5;17,8;1004,7;31,9;27,6;23,8;77,5;6,8;3,7;36,6;null;
2005-03-31;9;142,3;null;null;219,3;7;11;167,3;1005;32,2;27,6;23,8;76,3;6,8;3,4;40;null;
2005-04-30;14;103,2;null;null;204,8;6,7;18;89;1005,1;31;27,1;23,4;81,5;5,8;3,4;40;null;
2005-05-31;9;84,8;null;null;185,4;7,2;19;448,1;1005,9;30,2;26,2;22,6;85,2;6,5;3,1;40;null;
2005-06-30;14;69;null;null;131,9;7,2;24;469,9;1007,2;29,1;25,3;21,7;87,5;5,6;3;39,4;null;
2005-07-31;14;110,4;null;null;237,3;6,1;13;70,8;1009;29,5;25;21,2;82;6,5;4;40,6;null;
2005-08-31;14;113,7;null;null;219,5;6,8;12;71,4;1008,6;29,3;24,8;21,2;82,5;6,6;3,8;40,3;null;
2005-09-30;14;127,9;null;null;249,2;5,7;12;15,5;1008,1;30,1;25,1;21;76,7;7,1;4;40;null;
2005-10-31;14;139,5;null;null;273,3;5;5;13,4;1007,1;30,9;25,9;21,3;71,7;6,6;4,2;41;null;
2005-11-30;14;136,1;null;null;288,1;5,2;6;6,6;1005,3;31,6;26,8;22,2;70;6,3;4,2;40;null;
2005-12-31;9;181,6;null;null;281,4;5,2;3;11,9;1004,3;32;27,3;23;70,4;5,8;4;40,2;null;
2006-01-31;14;164,6;null;null;260,6;5,7;6;7,6;1005,1;32;27,1;22,1;75,6;5,8;3,9;40,4;null;
2006-02-28;9;133,8;null;null;223,4;6,1;6;5,8;1005,6;32,4;27,4;22,7;78,7;5,8;2,7;37,1;null;
2006-03-31;9;130,4;null;null;256;6,4;13;143,2;1004,9;32,4;27,7;23,8;75,8;6,1;3,2;39,8;null;
2006-04-30;9;85,6;null;null;175,2;7,1;19;286,4;1004,4;30,9;26,8;23,6;84;5,5;2,5;38,7;null;
2006-05-31;14;93,2;null;null;210;6,9;16;79,3;1006,2;30,4;26,4;23,6;81,9;6,6;3,1;39,7;null;
2006-06-30;14;102,5;107,9;107,9;176;6,7;20;175,8;1007,4;29,6;25,6;23,2;82,1;7,1;3,6;39,9;null;
2006-07-31;14;108,3;108,8;108,8;214,9;6,2;16;92,1;1008,7;29;24,6;21,1;81;6,6;3,6;39,5;null;
2006-08-31;14;134,8;105,4;105,4;251;5,7;9;55,3;1008,4;29,2;24,6;20,6;80,1;6;3,7;40,3;null;
2006-09-30;9;150,5;110,6;30,8;256,7;5,1;9;22,2;1008,4;30,4;25,1;20,2;77,2;6,1;4,1;40;null;
