Nome: CHAPADINHA
Codigo Estacao: 82382
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;95,5;null;null;191,5;6;19;183,2;996,2;31,8;26,2;22,7;80,8;4,3;1,8;66,7;null;
2000-02-29;5;71,9;null;null;171,3;7,1;23;397,9;997,9;31,2;25,7;22,7;84,8;4,6;1,7;66,7;null;
2000-03-31;5;68,9;null;null;186;7;26;432;996,5;31,1;25,7;22,7;86,8;4,1;1,5;66,7;null;
2000-04-30;5;59,4;null;null;170;7;24;334,4;997,5;31;25,6;22,7;87,2;3,5;1,5;66,7;null;
2000-05-31;14;97,6;null;null;234,7;5,2;17;241;998;31,6;26,6;23;81,1;5;1,6;66,7;null;
2000-06-30;14;100,3;null;null;259,8;4,3;12;177;999;30,9;26,3;22,5;79,2;3,5;1,6;66,7;null;
2000-07-31;14;94,3;null;null;235,8;4,9;11;129,9;998,8;30,8;25,9;22,4;81,3;4,6;1,8;66,7;null;
2000-08-31;5;150,9;null;null;295,8;3;3;2;999,6;32,4;26,7;22,4;75,5;4,5;2,2;66,7;null;
2000-09-30;5;181;null;null;295;3;3;9,5;998,2;34,1;27,6;23,2;72;5,1;2,5;66,7;null;
2000-10-31;5;209,8;null;null;301,7;2,6;1;9,2;998,3;35,1;27,9;23,1;68,8;4,5;2,5;66,7;null;
2000-11-30;5;216,6;null;null;294,6;2,6;2;,4;996,1;35,8;28,4;23,3;66,9;5,3;2,6;66,7;null;
2000-12-31;5;188,5;null;null;223;4,4;6;34,6;997,5;34,6;27,7;23,4;71,9;5,1;2,5;66,7;null;
2001-01-31;5;125,5;null;null;193;5,8;13;136,8;998,3;32;26,2;22,7;81,7;4,5;2;66,7;null;
2001-02-28;5;71,8;null;null;155,3;7,3;21;309,7;997,7;31,1;25,4;22,1;87,8;4,5;1,5;66,7;null;
2001-03-31;5;75,6;null;null;184,3;6,8;24;315,8;998,1;31,3;25,8;22,6;87,6;5;1,6;66,7;null;
2001-04-30;5;55,6;null;null;161,3;7,4;27;561,6;998,5;31;25,7;22,7;90,5;5,3;1,4;66,7;null;
2001-05-31;5;94;null;null;234,7;4,4;11;91,9;998,6;31,7;26,6;23,2;84,5;4,3;1,8;66,7;null;
2001-06-30;14;86;null;null;239,5;4,8;13;128,1;999,9;30,9;25,9;22,4;84,7;4,5;1,8;66,7;null;
2001-07-31;14;117,9;null;null;269,7;3,1;7;12,4;1000;31,6;26,3;22,3;79,5;4,1;1,9;66,7;null;
2001-08-31;14;194,5;null;null;311,8;1,9;2;33,7;1001,8;33,2;26,9;21,9;66,9;5,5;2,2;63,9;null;
2001-09-30;36;201,6;null;null;291,4;2,6;1;3,2;999,7;35;27,7;23,2;69;6,1;2,4;53,2;null;
2001-10-31;5;234,9;null;null;287;2,8;0;0;999;36;28,4;23,4;66,2;5;2,5;53,7;null;
