Nome: CIPO
Codigo Estacao: 83192
Latitude: -11.10138888
Longitude: -38.52416666
Altitude: 143.53
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;null;null;null;233,2;4,5;6;45,5;993,2;33,6;27,1;22,4;62,9;9;3,2;69;null;
2000-02-29;14;154,3;null;null;212,9;5,1;11;73;994,7;33;26,8;22,5;70,4;8;2,4;69,1;null;
2000-03-31;14;161,7;null;null;214,1;4,9;7;32,7;993,9;33,1;26,8;22,3;64,9;6;2,6;70;null;
2000-04-30;14;118,5;null;null;188;5,5;14;75,9;995,2;31,7;26;22,6;75,8;7;2,8;69,3;null;
2000-05-31;14;132,9;null;null;203,6;4,9;14;41;996,6;30,8;24,8;20,8;76,9;7;2,6;69,2;null;
2000-06-30;14;98,9;null;null;152,2;6,5;17;73,7;998,3;28,7;23,7;20,3;82,3;8;2,8;68,2;null;
2000-07-31;14;104,9;null;null;171,8;5,4;18;38,6;998,9;28,5;22,6;18,5;77,9;6;2,9;66,5;null;
2000-08-31;14;118,9;null;null;165,3;6,2;16;37,3;1000,4;28,9;23,2;19,7;79,9;8;3;57,6;null;
2000-09-30;14;143,5;null;null;201,3;5,7;16;59,1;999;29,8;23,8;20,1;77,9;7;3,6;58,8;null;
2000-10-31;14;176,8;null;null;253,2;4;4;6,7;998,1;32,6;25,5;20,7;67,2;8;3,5;60;null;
