Nome: COLINAS
Codigo Estacao: 82676
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.56
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;65,4;null;null;183,6;6,4;18;240,1;null;31,5;25,9;22,1;83,4;null;null;58,3;null;
2000-02-29;null;51,1;null;null;128;6,9;23;176,8;null;30,4;25,1;21,7;86,8;null;null;57,5;null;
2000-03-31;null;56,3;null;null;165,7;7,1;20;277,5;null;31;25,5;22,1;85,9;null;null;56,9;null;
2000-04-30;null;54,6;null;null;151,4;6,7;23;259,9;null;31;25,6;22,3;85,3;null;null;58,9;null;
2000-05-31;null;80,9;null;null;239,1;4,4;7;67,8;null;32;25,7;21,3;80;null;null;59,1;null;
2000-06-30;null;96,3;null;null;241;4,2;5;3,6;null;32;25,4;20,7;76,8;null;null;60;null;
2000-07-31;null;131,1;null;null;265,6;3,4;2;39,2;null;32,6;25,3;19,9;71,7;null;null;59,4;null;
2000-08-31;null;145,1;null;null;291,9;2,7;4;25,5;null;33,9;25,8;19,5;67,8;null;null;59,8;null;
2000-09-30;null;128,3;null;null;225,5;4,2;10;108,7;null;34,3;26,7;21,1;70,3;null;null;54,6;null;
2000-10-31;null;141,8;null;null;231,9;4,7;5;36,4;null;35,1;27,5;22;67;null;null;51,6;null;
2000-11-30;null;137;null;null;211,5;5,2;6;27,9;null;34,7;27,7;22,6;67,2;null;null;58,9;null;
2000-12-31;null;105,6;null;null;170,1;6;10;257;null;32,6;26,6;22,4;75,5;null;null;57;null;
2001-01-31;null;64,8;null;null;145,1;6,5;21;211,8;null;31;25,3;21,5;83,3;null;null;58,8;null;
2001-02-28;null;48,3;null;null;113,5;7,1;16;158,5;null;30,7;25,1;21,5;85,5;null;null;56,9;null;
2001-03-31;null;58,5;null;null;154,8;7,3;20;170,2;null;31,2;25,6;22;84,4;null;null;56,8;null;
2001-04-30;null;65,2;null;null;182,2;6,5;13;106,1;null;31,9;25,8;21,9;82,7;null;null;58,4;null;
2001-05-31;null;74;null;null;189,5;5,3;11;30,5;null;32,3;26;21,8;81,7;null;null;59,1;null;
2001-06-30;null;105,2;null;null;260,9;4,1;5;22,8;null;32,7;25,5;20,4;73,4;null;null;59,7;null;
2001-07-31;null;144,8;null;null;292;3,2;2;20,9;null;33,8;25,8;19,5;66,5;null;null;59,7;null;
2001-08-31;null;223,1;null;null;318,1;2,1;1;,3;null;35,4;26,6;18,7;51,7;null;null;56,8;null;
2001-09-30;null;176;null;null;233,1;4,2;3;25,5;null;36;28,1;21,9;57,2;null;null;49,7;null;
2001-10-31;5;170,8;null;null;231,4;4,8;10;58,2;null;36;28,6;23,2;61,2;4;1,3;52,4;null;
2001-11-30;5;98,5;null;null;166;5,6;9;138,9;null;33,5;27,4;22,9;73,6;4,5;1,2;57;null;
2001-12-31;5;93,9;null;null;204;5,4;10;306,1;null;32,8;27;22,5;77,6;4,6;1,2;57,7;null;
2002-01-31;5;51;null;null;138,4;7,4;21;322,5;null;30,7;25,6;22,2;86,2;3,8;1,2;56,5;null;
2002-02-28;5;71;null;null;206,5;5,4;13;142,3;null;32,3;26,4;22;81,7;4,3;1,3;58,3;null;
2002-03-31;0;63,1;null;null;169,2;6,8;17;214,2;null;31,6;26,1;22,2;85,3;5,8;1,1;58,8;null;
2002-04-30;0;66,9;null;null;192,9;6,3;18;109,4;null;32;26,1;22;85,1;4,5;1,1;59,2;null;
2002-05-31;0;71,9;null;null;199,2;5,2;13;201,7;null;31,9;26,1;21,8;85,1;5;1;58,5;null;
2002-06-30;12;104,9;null;null;260,4;3,5;3;18,5;null;32,3;25,4;19,9;75,5;5,3;1,7;58,9;null;
2002-07-31;12;127,4;null;null;274,3;3,2;5;4,7;null;33,6;25,7;19,5;73;5,5;1,6;58,6;null;
2002-08-31;12;197;null;null;316,2;2,4;0;0;null;35,2;26,5;19;61,9;5,6;1,7;59,1;null;
2002-09-30;7;159,4;null;null;245,7;3,9;6;103,4;null;34,9;27,3;21,1;66,7;4,6;1,6;54,7;null;
2002-10-31;36;181,3;null;null;245,9;4,2;5;19,3;989,3;35,6;28;22,2;65,5;4,8;1,5;53,9;null;
2002-11-30;2;139;null;null;198,4;5,1;7;62,7;989,9;34,7;28,1;23;69,6;4,6;1,4;58,4;null;
2002-12-31;36;101,4;null;null;167;6,1;12;122,3;990,3;32,7;26,9;22,6;79;4,1;1,3;57,7;null;
