Nome: CORRENTINA
Codigo Estacao: 83286
Latitude: -13.33249999
Longitude: -44.61749999
Altitude: 551.69
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;77,7;null;null;199,4;5,3;14;175,5;943,5;30,4;24,2;19,5;79,5;null;null;70;null;
2000-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-03-31;null;88,1;null;null;240,1;4,3;13;59,5;944,3;30;24,3;19,7;77,5;null;null;69,4;null;
2000-04-30;null;117,3;null;null;245,7;3,9;1;16,7;945,5;31;24,5;19,1;69,6;null;null;70;null;
2000-05-31;null;143,6;null;null;294,5;1,6;0;0;946,5;31,3;22,7;15,1;62,4;null;null;70;null;
2000-06-30;null;162,9;null;null;287,6;1,3;0;0;948;30,5;21,8;13,3;57,5;null;null;70;null;
2000-07-31;null;180,9;null;null;262;2,3;1;,5;947,5;30,6;22,4;14,6;53,7;null;null;70;null;
2000-08-31;null;214,8;null;null;10,2;1,6;0;0;947,5;32,3;23,7;14,6;46,6;null;null;70;null;
2000-09-30;null;229,7;null;null;265;3,2;4;19,8;946,1;32,1;25,3;18,4;49,9;null;null;69,7;null;
2000-10-31;null;237,6;null;null;266,1;3,7;6;28,2;945,3;34,3;26,5;19,1;48,4;null;null;69,7;null;
2000-11-30;null;107,5;null;null;162,1;6,4;19;146,4;944,1;30,3;24,9;20,7;73;null;null;58,2;null;
2000-12-31;9;66,2;null;null;143,6;7,3;20;406,1;945,3;29,4;24,3;21,3;80,9;3,5;1,4;52;null;
2001-01-31;9;115;null;null;277,6;3,6;6;100,5;946,8;31,2;24,6;19,4;68,5;4,6;1,9;53,7;null;
2001-02-28;9;120,9;null;null;234,8;4,3;11;88,1;945,2;33,3;25,9;20,2;63,4;5,6;1,8;52,9;null;
2001-03-31;9;90;null;null;227,5;5,2;17;179,8;946,3;30,7;24,7;20,3;73,5;5,5;1,6;53,1;null;
2001-04-30;9;143,1;null;null;276,8;2,7;2;7,5;946,8;32;25;19,5;60,3;5,1;2;53,3;null;
2001-05-31;27;141,7;null;null;258,5;3,3;3;28;946,9;32,3;24,9;19,1;60,5;3,8;1,7;53,1;null;
2001-06-30;9;159,6;null;null;274,5;2;1;,2;949,4;30,5;23,2;17,2;51,7;5,3;2,4;53,1;null;
2001-07-31;9;187,7;null;null;289,6;1,9;0;0;949,6;30,8;22,9;16;48,4;6,1;2,3;53,3;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;9;245,1;null;null;286;2,3;1;,9;946,8;33,9;26,7;20,4;40;4,6;2,2;54,2;null;
2001-10-31;9;201,5;null;null;189,2;6,1;13;46,3;946,1;32,7;26,7;22,4;54,8;7,1;2,2;55,8;null;
2001-11-30;9;107,3;null;null;165,8;6,5;17;173,8;945,1;31,4;25,6;21,8;71,1;5,5;1,7;53,9;null;
2001-12-31;9;115,2;null;null;206,8;6,2;17;175,5;944,9;31,2;25,3;21,3;71,3;6;1,8;53,5;null;
