Nome: CRATEUS
Codigo Estacao: 82583
Latitude: -5.19055555
Longitude: -40.6736111
Altitude: 299.12
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2018-04-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;125;null;null;193,7;6,1;10;85,1;null;976,4;31,1;25,7;21,9;74,5;6,5;2,2;71,7;
2000-02-29;5;108,3;null;null;189,1;7,2;20;296;null;977,9;31,5;25,3;21,4;78,2;6;2,1;71,5;
2000-03-31;9;92,1;null;null;190,8;6,2;19;174;null;976,7;31,1;25,3;21,7;81,1;6;2,2;70,5;
2000-04-30;9;74,7;null;null;177;6,4;22;160,9;null;977,7;30,4;24,9;21,6;83,3;6,5;2;72,8;
2000-05-31;9;158,5;null;null;207,5;5;7;32;null;978,4;31,3;25,2;20,8;75,2;5,6;2,3;72,5;
2000-06-30;9;293,4;null;null;167,1;5,3;5;12,1;null;979,1;32,1;25,7;20,7;63,8;7,8;2,9;72,7;
2000-07-31;9;353,4;null;null;199,8;4,9;8;13,1;null;978,7;32,8;26,2;21;58,2;7,5;2,8;73;
2000-08-31;9;460,5;null;null;256,1;3,6;4;11,9;null;979,5;33,7;27,1;21,3;49,7;7,1;3,6;72,8;
2000-09-30;9;null;null;null;246,9;3,8;3;,6;null;977,9;34,9;28,4;23,2;45,9;7,3;3,4;72,2;
2000-10-31;5;null;null;null;268,1;2,8;1;,1;null;977,7;35,9;29,4;23,4;39,4;7,5;3,4;72,7;
2000-11-30;5;484,8;null;null;256,9;3,8;1;,9;null;975,8;35,4;29,2;23,4;41,8;7,3;3,4;72,7;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;9;325,7;null;null;183,4;6,1;5;10,8;null;977,5;34,2;27,9;23,2;54,3;5,5;2,8;72,9;
2001-02-28;32;134,1;null;null;144,2;7,8;14;144,2;null;976,8;32,6;26,2;22,3;72,5;4,5;1,8;71,5;
2001-03-31;9;122,9;null;null;172,3;6,9;17;133,6;null;977,7;31,2;25,6;22,1;78,2;4,6;2;71,5;
