Nome: CRUZETA
Codigo Estacao: 82693
Latitude: -6.42638888
Longitude: -36.79138888
Altitude: 226.33
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;190,5;null;null;257,5;5,6;12;89;984,5;33,9;27,7;23,1;62,5;8,5;3;58,5;null;
2000-02-29;14;147,8;null;null;227,1;6,5;14;202,2;986;33,4;27,1;22,9;67,6;6;2,5;58,4;null;
2000-03-31;14;148;null;null;224,5;6,1;14;94,9;984,7;33,4;27,4;22,9;65,5;7;3,1;58,1;null;
2000-04-30;14;117,9;null;null;213,5;6,3;13;89,1;986,3;32,1;26,7;22,5;72,9;6,1;3;58,2;null;
2000-05-31;14;179,2;null;null;241,4;5,2;8;24,8;986,8;33,1;27;22,1;62,7;8;3,6;58,6;null;
2000-06-30;14;144,2;null;null;198,9;5,8;6;29,7;988,1;31,8;26,2;21,8;64,3;8;4;59,1;null;
2000-07-31;14;125;null;null;181,1;6;10;52;988;31;25,5;21,6;66;6,6;3,8;59,3;null;
2000-08-31;14;205,5;null;null;251,7;4,4;6;65,2;988,9;31,6;25,6;21,1;60,7;6,5;4;58,4;null;
2000-09-30;14;225,2;null;null;232,2;5;9;24;987,5;33;26,6;22;59,8;7,6;4,3;59,1;null;
2000-10-31;14;312,2;null;null;299,2;3,5;1;,5;987,3;34,9;27,7;22,6;51,7;8,3;4,8;59,3;null;
2000-11-30;9;300,1;null;null;283,2;4,1;2;1,3;984,8;35,5;28,2;23,1;49,9;7,3;4,3;59,3;null;
2000-12-31;5;265,9;null;null;246;4,9;5;15,1;985,9;35,1;28,2;23,4;54,4;7;4;58,8;null;
2001-01-31;9;321,6;null;null;256,8;5,1;2;2,2;986;35,4;28,5;23,2;49,7;7;4,3;59,3;null;
2001-02-28;5;266;null;null;230,2;4,7;4;28,6;984,7;36,4;29,3;23,9;49,1;6,6;3,9;59,3;null;
2001-03-31;14;201;null;null;231,7;5,7;12;174,3;985,8;34,4;28;23,3;60,8;6,5;3,2;59,1;null;
2001-04-30;14;151,6;null;null;188,2;6,2;11;65,6;986,4;32,1;26,8;22,9;67;6;3,1;59,3;null;
2001-05-31;14;239,7;null;null;275,4;3,6;6;24,7;986,4;35;28,2;22,8;54,1;6,6;3,5;59,3;null;
2001-06-30;14;208;null;null;187;6;12;25,5;988,5;31,9;26,3;21,9;62,1;7,3;3,8;59,3;null;
2001-07-31;14;252,7;null;null;255,6;4,5;6;7,8;989,1;31,8;26,1;21,3;58;7,5;4,4;59,3;null;
2001-08-31;14;332,9;null;null;282,4;3,4;1;4,9;990,5;32,4;26,1;20,9;52,4;7,6;5,2;59,3;null;
2001-09-30;14;353,8;null;null;297,1;2,9;0;0;987,5;34,6;27,5;22,6;49,8;7,6;4,8;59,3;null;
2001-10-31;14;343,6;null;null;267,6;4,2;2;1,8;986,7;35,4;28,3;23,3;49,7;6,5;4,2;59,2;null;
2001-11-30;9;340;null;null;294,4;3,6;0;0;985,4;36,1;28,8;24;48,8;7,1;4,3;59,3;null;
2001-12-31;9;348,4;null;null;249,3;4,8;1;,7;984,9;35,6;29,1;24,5;52,2;7,5;4,8;59,1;null;
2002-01-31;14;140;null;null;203,8;7,3;18;207,8;986;32,5;26,8;23,1;70,3;5,8;2,7;58,3;null;
2002-02-28;14;161,2;null;null;245,7;5,3;9;133,8;986,3;33,3;27,1;22,3;64,6;7,5;2,9;59,3;null;
2002-03-31;14;137;null;null;228;6,1;14;187,6;986;32,4;26,7;22,6;72,1;6;2,5;58,6;null;
2002-04-30;14;144,6;null;null;197,9;6,9;11;127,9;985,4;32,5;27;22,8;69,5;5,5;2,7;59,3;null;
2002-05-31;14;162,3;null;null;224,4;5,6;10;131;986,8;32,4;26,7;22,3;67,6;6,5;3,1;59,3;null;
2002-06-30;14;173,6;null;null;207,2;5,3;9;28;989,2;31;25,5;21,2;66,8;6,8;3,5;58,8;null;
2002-07-31;14;250,4;null;null;244,1;4;6;4,2;989,5;32,7;26,3;21,4;57,3;7,1;3,8;59,3;null;
2002-08-31;14;340,9;null;null;278,2;3,5;1;,2;989,2;33,3;26,7;21,4;52;8,3;5,2;59,3;null;
2002-09-30;14;344;null;null;309,3;2,4;0;0;988;35;27,5;21,9;48,7;8,1;4,5;59,3;null;
2002-10-31;9;376,5;null;null;309,7;3,3;0;0;986,6;35,4;28,1;22,9;49,5;8,8;5;59,3;null;
2002-11-30;9;322,3;null;null;310,3;3,2;1;1;986,4;35,8;28,5;23,3;50;6,6;4,5;59,3;null;
2002-12-31;5;289;null;null;287,8;4,2;3;38,4;986,2;35,9;28,8;23,7;53;8;4,1;58,2;null;
2003-01-31;5;243,2;187,1;187,1;263,7;4,7;8;68,5;986,4;35,7;28,5;23,5;56;7,1;3,7;59;null;
2003-02-28;5;189,4;159,6;144,3;184,1;6,8;12;44,3;986;34,4;28,2;23,7;60;7,1;3,7;59,3;null;
2003-03-31;9;186;164,9;109,8;220,7;6,3;12;109,8;985,7;33,8;27,8;23,5;66,4;7;3,2;58,6;null;
2003-04-30;14;144,5;146,4;114,9;232,1;5,4;9;114,9;986,3;33,3;27,3;22,8;66,4;5,8;2,7;59,9;null;
2003-05-31;14;183,7;147,2;51,7;255,3;4,8;6;101,7;987,1;33;27,2;22,5;63,4;7,1;3;58,5;null;
2003-06-30;14;218;124,1;65;230,9;4,5;5;65;987,9;32,2;26,3;21,8;60;6,8;3,7;58,4;null;
2003-07-31;14;267,7;122,9;8,4;263,5;4;1;8,4;989,7;32,1;25,9;21,1;57,4;8,5;4,7;58,5;null;
2003-08-31;14;316,2;139,9;15,8;298,9;3;2;15,8;989,2;33,5;26,8;21,5;52,2;7,5;4,9;59,3;null;
2003-09-30;14;353,7;null;null;296;2,7;0;0;988,2;34,5;27,7;22,3;49,7;9,8;5,4;59,3;null;
2003-10-31;14;385,3;null;null;318,1;2,7;0;0;986,4;35,7;28,4;23,2;47,1;9,6;5,7;59,3;null;
2003-11-30;14;345,9;null;null;309;3,1;0;0;985,1;36,3;28,9;23,8;47,9;10,5;4,9;59,3;null;
2003-12-31;14;332,6;null;null;292,2;4;3;5,1;985;36,3;29,2;24,4;50,5;7,8;4,8;59,3;null;
2004-01-31;14;174,1;null;null;157,2;7,1;17;329,4;985,7;32,9;27,1;23,6;75,4;7,8;3,2;47,5;null;
2004-02-29;14;99,9;null;null;220,4;5,8;15;243,9;986,9;31,4;26,5;22,6;79,2;5;2,6;45,5;null;
2004-03-31;14;158,2;null;null;255,8;4,8;9;98,3;985,2;32,7;27,1;22,6;66,2;5,3;3;59,3;null;
