Nome: CRUZ DAS ALMAS
Codigo Estacao: 83222
Latitude: -12.67527777
Longitude: -39.08972221
Altitude: 219.69
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;119,6;null;null;241,5;4,5;14;77,2;986,7;30,5;25,2;21,6;85,7;8,9;2,8;65,8;null;
2000-02-29;14;133,2;null;null;206,7;5,4;11;64,8;988;31,4;25,7;21,7;84,1;8,6;3,2;64,2;null;
2000-03-31;14;111;null;null;212,6;6,1;21;75;987,6;30,1;25,1;21,6;86,4;6,6;3,3;61,7;null;
2000-04-30;14;72,6;null;null;174,5;6,5;24;181,6;989;28,4;24,3;21,6;91;6,3;2,9;59,1;null;
2000-05-31;14;65,4;null;null;171,9;6,5;22;159,9;990,5;27,5;23,3;20,6;91;8,4;3;58,1;null;
2000-06-30;14;64,9;null;null;155,6;6,4;26;160,7;992,3;26,3;22,1;19,3;92,5;7,5;3,1;57,3;null;
2000-07-31;14;71,9;null;null;199,7;5,9;23;124;992,1;25,7;21,4;18,3;94,4;7;3,1;58,1;null;
2000-08-31;18;79,1;null;null;157,6;7;19;84,7;994,3;26;21,7;18,7;87,4;9,3;3,7;43;null;
2000-09-30;14;98,8;null;null;185,9;6,5;14;93,9;993,8;26,9;22,4;19,5;83,3;7,5;3,7;41,2;null;
2000-10-31;14;150,3;null;null;275,7;5,2;11;22,9;992,7;29,8;24;20,2;76,4;8,5;3,8;43,5;null;
2000-11-30;14;121,1;null;null;211,3;6,3;12;121,9;989,2;30,4;25;21,3;78,7;8,5;3,3;43,3;null;
2000-12-31;9;128,9;null;null;189,7;6,5;10;131,9;989,4;30,5;25,2;21,9;75,9;9,2;3,4;43,4;null;
2001-01-31;14;133,6;null;null;249,9;5,5;12;72,1;991,3;30,1;24,8;21,5;78,2;7,1;3,3;47,3;null;
2001-02-28;9;167,2;null;null;235;5,1;8;14,7;989,5;32,2;26,1;22,4;72,4;7,8;3,4;47,5;null;
2001-03-31;14;125,9;null;null;231,6;6,3;14;163,2;989,7;30,7;25,5;22,2;79,7;6,6;3;43,9;null;
2001-04-30;14;102,3;null;null;221,9;5,7;16;53,8;989,1;29,5;24,6;21,4;82;7,8;3,2;45;null;
2001-05-31;14;87,2;null;null;245,9;5,5;13;136,5;988,9;29,4;24,5;21,6;84;6,8;2,8;44;null;
2001-06-30;18;65,5;null;null;171,8;6,6;28;202,5;992,2;26,3;22,2;19,7;87,6;8,4;3,3;40,7;null;
2001-07-31;14;75;null;null;189,4;6,3;23;170,3;992,8;26,2;21,8;18,9;86,1;9,1;3,2;42,2;null;
2001-08-31;14;76,8;null;null;143;7;27;141,8;995,1;25,4;21,3;18,5;85,8;9,4;3,6;41,3;null;
2001-09-30;14;89;null;null;179,5;6,2;15;140,3;991;27;22,3;19,2;83,3;8,1;3,4;43;null;
2001-10-31;9;126,2;null;null;172,8;6;13;95,9;989,6;28,8;23,8;20,8;80,8;8,7;3,6;42,7;null;
2001-11-30;9;169,9;null;null;238,4;5,1;3;3,9;987,6;31,1;25,2;21,5;74,8;7,1;3,9;47,2;null;
2001-12-31;9;175,7;null;null;190,4;5,9;8;65,4;987,5;31,4;25,7;22,3;75,8;8,3;3,9;44,7;null;
2002-01-31;9;103,3;null;null;187,2;6,2;21;241,3;987;29,7;25;22,3;82;6,6;3,1;46;null;
2002-02-28;9;129,9;null;null;222,3;5;6;88,1;987,7;30,9;25,4;22;76,7;9,3;3,1;47,1;null;
2002-03-31;14;140,9;null;null;223;5,2;15;86,8;987,5;30,7;25,5;22,3;79,4;8,4;3,3;49,9;null;
2002-04-30;18;108,5;null;null;210,6;5,3;20;57,6;987,9;29,5;24,9;22;81,5;7,4;3;48,9;null;
2002-05-31;18;98,4;null;null;205,5;5,4;13;115,4;989,5;27,9;23,5;20,6;81,2;6,7;3,1;44,9;null;
2002-06-30;18;69,9;null;null;140,3;7;27;161,9;992,5;26,3;22,3;20;86,8;6,7;3;42,7;null;
2002-07-31;18;65,6;null;null;118,9;7;24;135,5;992,9;26;22;19,6;87;6,8;2,7;40,2;null;
2002-08-31;14;89,9;null;null;187,2;6,1;24;117,4;993,3;26,4;21,8;18,6;83,3;9,1;3,3;43,1;null;
2002-09-30;14;103,1;null;null;160,8;5,7;14;76,2;991,1;28;23,1;20,2;81,5;7,5;3,4;42,1;null;
2002-10-31;9;170,7;null;null;276,9;4,2;6;13;989,7;30;24,1;20;73,8;8,8;4,2;46;null;
2002-11-30;9;194,4;null;null;202,3;4,7;7;14,4;989;31;25,1;21,9;72;11;4,2;47,8;null;
2002-12-31;9;192,2;null;null;215,1;5,2;7;34,5;987,7;32,5;26,1;22,3;70,5;7,1;3,8;49,1;null;
2003-01-31;9;210,4;153,4;153,4;262,9;4,3;5;57,5;987,5;33,7;27;23,4;67,9;9,8;3,8;51,2;null;
2003-02-28;14;163,8;132,8;118,4;205,5;4,9;8;18,4;988,4;31,7;26,3;22,6;72,7;8,4;3,9;53,4;null;
2003-03-31;14;143,5;143;85;213,9;6;15;85;987,9;31;26,1;23;79,5;9;3,7;52;null;
2003-04-30;14;101,8;132;59,8;214;4,8;12;59,6;988,7;30,2;25,4;22,4;84,4;6,8;3,5;49;null;
2003-05-31;18;74;129,5;129,5;181,3;5,9;18;135,6;989,9;28,1;23,9;21,4;90,9;8,7;3,5;44;null;
2003-06-30;18;58,5;119,2;119,2;145,7;5,8;24;163,2;991,4;26;22,3;19,8;91,5;6,8;2,9;43,9;null;
2003-07-31;18;null;121,7;121,7;173,9;6,3;23;178,9;993,6;25,6;21,5;18,6;88,4;6,7;3,3;95,1;null;
2003-08-31;14;72;126,7;126,7;157,3;6;20;113,2;993;26,1;22,1;19,3;87,8;8,2;3,3;45,4;null;
2003-09-30;14;93,4;null;null;180,9;5,3;19;138,3;992,1;27,4;22,6;19,4;85,1;8,3;3,5;44,1;null;
2003-10-31;14;145,1;null;null;181;4,8;7;31,2;990,2;29;23,7;20,1;78,1;11,8;4,2;47,4;null;
2003-11-30;14;120,8;null;null;191,7;5,6;14;108,7;988,1;29,4;24,5;21,3;81,2;11,1;4,1;47,4;null;
2003-12-31;9;166,9;null;null;210,8;4,4;11;22,3;987,9;31,7;25,7;22;74,5;9,2;3,8;50,8;null;
2004-01-31;14;119,4;null;null;173,1;6,2;16;260,8;986,3;null;null;22,4;null;8;3,6;54,2;null;
2004-02-29;9;95,2;null;null;null;6,5;9;244,6;987,6;null;null;22,2;null;7,1;3,2;66,8;null;
2004-03-31;14;102,3;null;null;199,3;7,1;12;31,7;987,4;null;null;22,4;null;6,7;3,3;63,4;null;
2004-04-30;14;84,7;null;null;null;7;12;112,2;988,4;null;null;21,9;null;6,9;3,6;58;null;
2004-05-31;14;69,1;null;null;158;6,8;19;118,9;990,1;null;null;20,9;null;6,1;3;53,6;null;
2004-06-30;14;59,1;null;null;137,9;7;25;131,9;993,1;null;null;19,6;null;5,8;3;44,9;null;
2004-07-31;null;74,6;null;null;null;6,9;20;59,8;992,4;null;null;18,3;null;6,7;null;55,3;null;
2004-08-31;null;83,5;null;null;163,6;6,8;14;54,3;993,4;null;null;18,2;null;null;null;57,7;null;
2004-09-30;null;132,7;null;null;null;6,5;9;11,2;991,9;null;null;18,4;null;null;null;59,4;null;
2004-10-31;null;137,4;null;null;166,4;6,5;14;89,3;989;null;null;20,4;null;null;null;62,1;null;
2004-11-30;null;141,1;null;null;171,4;6,2;9;110,3;987,8;null;null;21,3;null;null;null;63;null;
2004-12-31;9;176,7;null;null;191,8;5,7;0;0;987,3;null;null;21,8;null;8,3;4,3;70,6;null;
2005-01-31;14;172,7;null;null;174,1;5,8;7;75,4;986,2;null;null;22,7;null;7,9;3,8;68,4;null;
2005-02-28;9;103,9;null;null;154,3;6,6;13;148,6;986,5;null;null;22,7;null;8,1;3,8;63,3;null;
2005-03-31;14;142,7;null;null;221,8;6,2;11;87,3;987,3;null;null;22,8;null;10,6;4,2;72,4;null;
2005-04-30;14;71,8;null;null;126,9;7,1;22;124,8;988,6;null;null;22,1;null;9,2;3,5;68,7;null;
2005-05-31;14;87,9;null;null;195,3;6,4;18;92;989,7;null;null;21,2;null;9;4;67,1;null;
2005-06-30;14;55,1;null;null;118,5;7,4;25;227,6;991,6;null;null;19,9;null;9,2;3,5;58,7;null;
2005-07-31;14;53,9;null;null;119,8;6,4;27;132;993,7;null;null;18,5;null;10;4,4;63,8;null;
2005-08-31;14;71,1;null;null;174,5;6,6;23;123,4;993,1;null;null;18,5;null;8,5;4,2;62,2;null;
2005-09-30;14;121,4;null;null;182,5;6;10;57,5;991,5;null;null;19,7;null;7,6;4,4;66,7;null;
2005-10-31;9;166,2;null;null;203,5;5,5;5;14,2;989,8;null;null;20,4;null;8,7;4,7;74,1;null;
2005-11-30;9;157,4;null;null;123;6,8;10;147,4;987,7;null;null;21,4;null;8,2;4,5;70,6;null;
2005-12-31;14;154,1;null;null;186,2;6,6;7;51,3;987,1;null;null;21,9;null;8,3;4,2;73,6;null;
2006-01-31;14;190,4;null;null;null;5,8;13;63;987,9;null;null;21,5;null;10,1;4,9;80,1;null;
2006-02-28;14;202,3;null;null;236;5,4;1;,5;986,6;null;null;23;null;8,7;4,1;74,6;null;
2006-03-31;14;179,7;null;null;187,2;6,5;10;41,4;986,9;null;null;23,3;null;8,2;3,8;74,4;null;
2006-04-30;14;88,5;null;null;142,4;7;17;167,6;987,3;null;null;22,9;null;7,8;3,8;69,9;null;
2006-05-31;14;77,4;null;null;135,8;6,6;16;106;990,6;null;null;20,6;null;7,8;3,7;64,4;null;
2006-06-30;18;67,3;null;null;102,1;7,6;22;281,1;992,8;null;null;19,3;null;11,8;4,6;58;null;
2006-07-31;14;80,8;null;null;137,7;7;19;70,8;993,6;null;null;18,4;null;8,7;4;62,6;null;
2006-08-31;14;108;null;null;209,7;6,3;21;77,9;992,8;null;null;18,9;null;8,6;4,2;64;null;
2006-09-30;9;103;null;null;161,3;6,7;15;125,5;991,9;null;null;19,8;null;7,3;4,4;64,9;null;
2006-10-31;14;98,6;null;null;121,5;7,3;13;90,5;989,2;null;null;21,3;null;7,4;4,1;64,3;null;
2006-11-30;9;101,1;null;null;188,5;6,6;10;89,1;987,7;null;null;21,5;null;6,6;3,5;68,7;null;
2006-12-31;9;162,7;null;null;234,3;6;4;12,7;988,5;null;null;22,3;null;7,6;4,4;68,5;null;
2007-01-31;9;180,8;null;null;224,2;5,9;4;8,1;988,2;null;null;22,8;null;10,7;4,4;59,2;null;
2007-02-28;14;116;null;null;140,2;6,6;19;146,9;988,1;null;null;22,9;null;8;3,8;57,3;null;
2007-03-31;14;99,8;null;null;208;5,8;25;136,6;989,1;null;null;22;null;8,6;3,8;57,7;null;
2007-04-30;14;82,1;null;null;179;5,9;20;59,6;989,3;null;null;21,6;null;7,4;3,4;60,1;null;
2007-05-31;14;68,6;null;null;167,3;6,1;21;96,8;990,6;null;null;20,8;null;8,5;4;49,6;null;
2007-06-30;14;65,6;null;null;140,3;6,2;23;168,7;992,9;null;null;19,3;null;6,2;3,7;46,3;null;
2007-07-31;14;72,9;null;null;150;6,2;16;68,5;993;null;null;18,6;null;7,2;3;52,3;null;
2007-08-31;14;86,4;null;null;163,3;6,2;23;134,4;993,8;null;null;18,2;null;9;4,6;59,7;null;
2007-09-30;14;92,5;null;null;165,3;6,3;16;95,8;993,7;null;null;null;null;7,5;4,5;54,6;null;
2007-10-31;9;100;null;null;164,9;6,3;14;39,5;990,8;null;null;20;null;7,5;4,2;58,3;null;
2007-11-30;9;158,7;null;null;164,7;6;10;14,9;988,1;null;null;null;null;7,1;4;65,5;null;
2007-12-31;14;162,5;null;null;null;6,3;7;19,7;987,9;null;null;21,9;null;7,8;4,3;64,2;null;
2008-01-31;9;204,1;null;null;214,1;6,2;5;8,4;987,9;null;null;21,9;null;8,2;4,4;68;null;
2008-02-29;14;147,8;null;null;215;6,1;10;156,4;987,9;null;null;22,8;null;8,8;3,7;61,6;null;
2008-03-31;14;102,7;null;null;174,2;6,6;15;127,6;987,5;null;null;22,6;null;6;3,3;57,1;null;
2008-04-30;14;97,1;null;null;222,3;6;12;72,8;987,2;null;null;22,3;null;6;3,1;57,1;null;
2008-05-31;14;81,6;null;null;161,5;6,8;16;59,1;990,2;null;null;20,5;null;8,4;4,1;52,2;null;
2008-06-30;14;64,5;null;null;121,2;6,6;24;171,6;992,3;null;null;19,5;null;6,6;3,9;54,7;null;
2008-07-31;14;73;null;null;132,9;6,8;22;116,4;993,9;null;null;17,8;null;6,8;3,7;54,6;null;
2008-08-31;14;86,9;null;null;192,9;6,5;20;55,9;992,3;null;null;18,3;null;null;null;59,5;null;
2008-09-30;14;95,7;null;null;148,4;6,8;15;72,6;992,2;null;null;19,1;null;null;null;58,5;null;
2008-10-31;14;135,7;null;null;194,3;6,2;12;57,4;991,1;null;null;20,4;null;null;null;60,8;null;
2008-11-30;9;173,3;null;null;180,3;5,5;6;50,1;987,8;null;null;21,7;null;null;null;65,7;null;
2008-12-31;9;104,4;null;null;136,5;6,4;12;86,4;987,5;null;null;22;null;null;null;67,3;null;
2009-01-31;14;147,8;null;null;190,8;6,1;7;29,8;988,1;null;null;null;null;null;null;64;null;
2009-02-28;14;81,9;null;null;135;6,4;12;44,5;987,9;null;null;22,4;null;null;null;69,7;null;
2009-03-31;14;161,3;null;null;204,9;5,2;7;8,1;986,7;null;null;23,1;null;null;null;75,3;null;
2009-04-30;14;96,1;null;null;131;6,3;15;101,8;988,3;null;null;22,9;null;null;null;69,4;null;
2009-05-31;14;72,7;null;null;117,2;7;18;280,1;990;null;null;21,4;null;null;null;63,3;null;
2009-06-30;14;56,3;null;null;148,7;6,5;17;94,1;991,9;null;null;20,5;null;null;null;65;null;
2009-07-31;14;63,7;null;null;172,5;6,2;16;107,3;992,7;null;null;19,5;null;null;null;70,4;null;
2009-08-31;14;76;null;null;170,7;6,3;16;66,5;992,9;null;null;19,1;null;null;null;69,5;null;
2009-09-30;14;112,5;null;null;215,6;5,2;6;50,3;991,8;null;null;19,9;null;null;null;69,7;null;
2009-10-31;9;104,3;null;null;145,8;6,6;11;80,2;988,2;null;null;21,9;null;null;null;67,2;null;
2009-11-30;9;168,3;null;null;208,7;5,5;4;9,9;988,2;null;null;21,6;null;null;null;78,7;null;
2009-12-31;14;177,3;null;null;139,5;6,2;7;13,8;988,1;null;null;23;null;null;null;73,5;null;
2010-01-31;14;161,9;null;null;204,1;6,4;7;26,9;988,7;null;null;null;null;null;null;71,2;null;
2010-02-28;14;161,7;null;null;176,8;6,2;12;34,8;988,3;null;null;null;null;null;null;76,7;null;
2010-03-31;9;117,8;null;null;175,5;6,7;16;111,9;987,7;null;null;null;null;null;null;73,3;null;
2010-04-30;14;74,1;null;null;167,7;6,7;22;246,7;988,8;null;null;null;null;null;null;69;null;
2010-05-31;14;75,3;null;null;188;6,2;14;57,7;989,6;null;null;null;null;null;null;71,6;null;
2010-06-30;18;76,8;null;null;132,3;6,7;15;94,7;992,9;null;null;null;null;null;null;65;null;
2010-07-31;14;54,3;null;null;124,4;7,5;29;264,5;993,6;null;null;null;null;null;null;64,9;null;
2010-08-31;14;82;null;null;181,4;6,8;22;81,2;994;null;null;null;null;null;null;70,6;null;
2010-09-30;14;101,3;null;null;173,6;6,5;18;72;992,4;null;null;null;null;null;null;68,6;null;
2010-10-31;14;123,6;null;null;null;6,4;12;34,7;989;null;null;null;null;null;null;68,7;null;
2010-11-30;14;150,1;null;null;197;6,6;2;4,9;987,2;null;null;null;null;null;null;71,9;null;
2010-12-31;5;144,7;null;null;191,4;6,6;7;107,1;985,5;null;null;null;null;null;null;72,9;null;
2011-01-31;14;131,5;null;null;200,1;6,7;17;74,7;986,8;null;null;null;null;null;null;70,4;null;
2011-02-28;14;145,8;null;null;206,8;6,4;9;52,3;987,4;null;null;null;null;null;null;77,5;null;
2011-03-31;14;134,3;null;null;194,8;6,6;9;82,5;986,3;null;null;null;null;null;null;74,8;null;
2011-04-30;14;52,9;null;null;199,5;6,7;22;297,7;988,3;null;null;null;null;null;null;68,3;null;
2011-05-31;14;40,2;null;null;125,7;7,3;24;135;990;null;null;null;null;null;null;67,3;null;
2011-06-30;14;55,6;null;null;107,9;6,9;19;159;991,8;null;null;null;null;null;null;65,4;null;
2011-07-31;14;76,8;null;null;179,8;6,7;18;64,3;992,7;null;null;null;null;null;null;70,4;null;
2011-08-31;14;84,4;null;null;210,3;6,5;16;92,7;992,9;null;null;null;null;null;null;67,6;null;
2011-09-30;14;109,4;null;null;null;6,6;17;90;993,7;null;null;null;null;null;null;65,5;null;
2011-10-31;14;107,2;null;null;139;7;16;121,8;988,7;null;null;null;null;null;null;65,8;null;
2011-11-30;14;82,3;null;null;143,8;7,4;12;70,3;988,6;null;null;null;null;null;null;65,8;null;
2011-12-31;9;139,8;null;null;212,9;6,7;10;41,8;987,9;null;null;null;null;null;null;66,1;null;
2012-01-31;14;157,6;null;null;216,5;6,5;9;33,4;988,4;null;null;null;null;null;null;68,1;null;
2012-02-29;14;157,8;null;null;null;6,4;13;53,4;988,3;null;null;null;null;null;null;73,1;null;
2012-03-31;14;182,9;null;null;267,6;6;7;15,9;988,6;null;null;null;null;null;null;69;null;
2012-04-30;14;139,7;null;null;231,9;6,3;13;53,6;989,1;null;null;null;null;null;null;68,1;null;
2012-05-31;14;105,9;null;null;175,9;6,8;17;73,8;990,7;null;null;null;null;null;null;64,7;null;
2012-06-30;14;75,4;null;null;176,7;6,6;22;115,1;992,3;null;null;null;null;null;null;64,9;null;
2012-07-31;14;86,1;null;null;211,9;6,7;18;99,3;993;null;null;null;null;null;null;64;null;
2012-08-31;14;94,5;null;null;214,6;6,9;24;135,3;994,5;null;null;null;null;null;null;63;null;
2012-09-30;14;119,6;null;null;225,9;6,5;13;48,4;993,3;null;null;null;null;null;null;62,5;null;
2012-10-31;14;141,5;null;null;210,1;6,3;9;32,5;990,2;null;null;null;null;null;null;68,5;null;
2012-11-30;14;130,3;null;null;129,8;7,2;8;55,9;987;null;null;null;null;null;null;65,5;null;
2012-12-31;9;198,4;null;null;245,7;6;4;11;987,3;null;null;null;null;null;null;69,3;null;
2013-01-31;9;168,9;null;null;208,8;7,2;7;86,5;987,7;null;null;null;null;null;null;78,2;null;
2013-02-28;14;157,2;null;null;231;6,1;9;76,3;988,1;null;null;null;null;null;null;69,4;null;
2013-03-31;14;158,9;null;null;267,4;6;8;19;987,9;null;null;23,1;null;null;null;70,1;null;
2013-04-30;18;102,7;null;null;142,4;6,9;16;142;988,8;null;null;null;null;null;null;63,9;null;
2013-05-31;14;39;null;null;164,3;6,7;5;130,5;990,2;null;null;null;null;null;null;66,6;null;
2013-06-30;14;null;null;null;89,1;7,6;null;181,3;991,4;null;null;null;null;null;null;60,9;null;
2013-07-31;14;56,8;null;null;126,6;7,2;null;137,3;992,9;null;null;null;null;null;null;62,8;null;
2013-08-31;14;76,7;null;null;null;6,8;null;121,5;992,6;null;null;null;null;null;null;64,1;null;
2013-09-30;14;88,9;null;null;170,8;6,9;null;71,2;992;null;null;19,3;null;null;null;69,1;null;
2013-10-31;14;111,6;null;null;198,2;6,3;null;90,4;990,3;null;null;null;null;null;null;69;null;
2013-11-30;14;121,7;null;null;null;6,6;null;89,6;987,9;null;null;null;null;null;null;66;null;
2013-12-31;5;114,2;null;null;147,9;6,8;null;72,7;986,9;null;null;22,6;null;null;null;66,4;null;
2014-01-31;null;156,9;null;null;238,8;6,5;null;32,3;989;null;null;21,7;null;null;null;67,2;null;
2014-02-28;null;null;null;null;null;7,2;null;131;988,4;null;null;22;null;null;null;66,9;null;
2014-03-31;null;111,5;null;null;162,6;6,6;null;82,2;988,4;null;null;22,3;null;null;null;70,1;null;
2014-04-30;null;112,6;null;null;203,3;6,3;null;76,2;988,4;null;null;22,4;null;null;null;67,8;null;
2014-05-31;null;71,6;null;null;162,1;6,9;null;174,1;989,8;null;null;21,4;null;null;null;62,2;null;
2014-06-30;null;64,7;null;null;128,1;6,9;null;83,3;992;null;null;19,8;null;null;null;62,2;null;
2014-07-31;null;59,4;null;null;139,5;7,5;null;219,6;994,3;null;null;19,1;null;null;null;59,7;null;
2014-08-31;null;80,8;null;null;167,7;6,8;null;78,2;993,7;null;null;17,3;null;null;null;66,4;null;
2014-09-30;null;99,5;null;null;142,1;6,6;18;88,6;992,2;null;null;18,2;null;null;null;64,6;null;
2014-10-31;null;131,1;null;null;177,6;6,4;null;28,2;991,1;null;null;18,7;null;null;null;66,2;null;
2014-11-30;null;123,8;null;null;137,3;6,7;null;33,1;988,4;null;null;20,2;null;null;null;67,3;null;
2014-12-31;null;136,9;null;null;149,1;7,2;null;58,1;988,9;null;null;21,9;null;null;null;69;null;
2015-01-31;9;163,9;null;null;217,5;6;null;47,1;989,5;null;null;21,8;null;null;null;72;null;
2015-02-28;14;131,1;null;null;null;6,9;null;88,5;988,5;null;null;22,6;null;null;null;70;null;
2015-03-31;14;147,7;null;null;167,3;6,7;null;29,1;988,3;null;null;22,6;null;null;null;70,8;null;
2015-04-30;14;98;null;null;127,6;6,8;null;115,2;988,3;null;null;22,6;null;null;null;67,9;null;
2015-05-31;18;55,4;null;null;124,5;7,4;null;266,6;990,6;null;null;21,2;null;null;null;62,2;null;
2015-06-30;18;55,3;null;null;126,5;7,2;null;222,2;992,8;null;null;20,4;null;null;null;64,7;null;
2015-07-31;18;65,7;null;null;152,5;6,8;null;152,8;993,3;null;null;19,6;null;null;null;63,8;null;
2015-08-31;14;86,6;null;null;178,1;6,9;null;107,5;993,2;null;null;18,8;null;null;null;64,4;null;
2015-09-30;9;113,6;null;null;180,3;5,8;null;27,3;991,2;null;null;19,7;null;null;null;69;null;
2015-10-31;14;144,6;null;null;null;6,2;6;14,8;990,2;null;null;20,7;null;null;null;69,2;null;
2015-11-30;9;185;null;null;207,5;5,1;null;3;987,4;null;null;22,5;null;null;null;80,5;null;
2015-12-31;14;226,9;null;null;248,9;5,2;null;9,6;989,3;null;null;22,6;null;null;null;84,2;null;
2016-01-31;5;115,3;null;null;128;7;null;179,2;987,5;null;null;23,5;null;null;null;66,9;null;
2016-02-29;14;132,5;null;null;null;6,3;7;50,1;989;null;null;22,6;null;null;null;74,2;null;
2016-03-31;14;152,4;null;null;null;6;11;45,4;989,1;null;null;22,8;null;null;null;76;null;
2016-04-30;14;130,5;null;null;null;6,1;15;67,9;989;null;null;22,1;null;null;null;71,8;null;
2016-05-31;14;79,9;null;null;null;6,8;null;157,2;991,5;null;null;21,1;null;null;null;69,6;null;
2016-06-30;14;83,6;null;null;null;6,2;null;83,4;993;null;null;20,1;null;null;null;66,6;null;
2016-07-31;14;84,6;null;null;166,4;6,2;17;79,6;993,4;null;null;18,9;null;null;null;68,7;null;
2016-08-31;14;98;null;null;175,3;6,2;16;148,4;993;null;null;18,9;null;null;null;66,8;null;
2016-09-30;14;108,6;null;null;178;6,6;null;68,4;992,2;null;null;19,7;null;null;null;68,2;null;
2016-10-31;14;135,4;null;null;231,2;6,3;null;60;989,4;null;null;21,3;null;null;null;69,1;null;
2016-11-30;14;148,8;null;null;221;6,2;null;34,6;988,2;null;null;21,6;null;null;null;70,6;null;
2016-12-31;14;178,1;null;null;170,3;6,5;8;50,5;988,1;null;null;22,3;null;null;null;71,3;null;
2017-01-31;null;195,4;null;null;214,4;6;null;14,5;988,4;null;null;21,7;null;null;null;73,6;null;
2017-02-28;null;172,6;null;null;null;6,6;null;40,4;988,1;null;null;22,2;null;null;null;71,4;null;
2017-03-31;null;153,8;null;null;null;6,4;null;44,6;988,2;null;null;22,5;null;null;null;74,4;null;
2017-04-30;null;98,6;null;null;null;6,7;null;152,6;989,1;null;null;22,2;null;null;null;69,5;null;
2017-05-31;null;63,2;null;null;127,3;6,8;21;174,8;990,6;null;null;20,9;null;null;null;64,3;null;
2017-06-30;null;68,1;null;null;142,5;6,5;null;135,8;992,4;null;null;20;null;null;null;65,4;null;
2017-07-31;null;64,3;null;null;121,2;7,4;28;160,7;995,4;null;null;18;null;null;null;63;null;
2017-08-31;null;82,9;null;null;181,4;6,2;null;49,6;993,1;null;null;18,1;null;null;null;67,2;null;
2017-09-30;null;97,6;null;null;151,2;7,1;22;167,5;993,6;null;null;18,9;null;null;null;64,9;null;
2017-10-31;null;118,3;null;null;220;6,4;11;32,5;990,7;null;null;19,6;null;null;null;69,6;null;
2017-11-30;null;116,1;null;null;142,9;6,8;9;69,1;988;null;null;21,1;null;null;null;68,2;null;
2017-12-31;null;136,4;null;null;137,4;6,4;8;129,4;987,6;null;null;22,1;null;null;null;72,5;null;
2018-01-31;9;158;null;null;228,2;6,2;null;56,3;988,4;null;null;21,9;null;null;null;72,4;null;
2018-02-28;14;127,2;null;null;null;6,5;6;74,7;987,3;null;null;22,4;null;null;null;74,8;null;
2018-03-31;14;141,9;null;null;173;6,5;null;118,2;987,5;null;null;22,5;null;null;null;72,4;null;
2018-04-30;14;87,2;null;null;145,3;7,1;20;170,7;989,6;null;null;21,3;null;null;null;68,1;null;
2018-05-31;14;64,2;null;null;131,4;7,1;19;184,2;991,3;null;null;20,7;null;null;null;64;null;
2018-06-30;18;51,7;null;null;131,4;7;null;168,8;993,1;null;null;19,9;null;null;null;60;null;
2018-07-31;14;76,8;null;null;170,2;6,3;21;51,1;993,4;null;null;18,6;null;null;null;66,6;null;
2018-08-31;14;87,5;null;null;188,3;6,3;null;59,1;993,5;null;null;18,7;null;null;null;64,2;null;
