Nome: ESPERANTINA
Codigo Estacao: 82298
Latitude: -3.9
Longitude: -42.25944444
Altitude: 88
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2018-11-19
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;87,5;null;null;243,3;4,6;15;89,8;null;32,5;26,4;21,8;81,7;4;1,7;62,8;null;
2000-02-29;14;87,7;null;null;184;5,6;17;310;null;32,1;26,1;21,9;84,2;4;1,5;59,9;null;
2000-03-31;5;67,3;null;null;212,5;5;22;222,3;null;31,6;26,2;22,1;null;3;1,4;61,4;null;
2000-04-30;0;48,9;null;null;192,1;5,9;27;376,1;null;30,9;25,7;21,9;87,7;4;1,2;56,8;null;
2000-05-31;14;68,9;null;null;239,8;4,2;12;99,2;null;31,9;26,3;22;84,9;5;1,6;null;null;
2000-06-30;null;90,2;null;null;248,3;null;10;82,7;null;32,2;null;21,4;null;null;null;null;null;
2000-07-31;null;90,4;null;null;267,2;null;13;191;null;31,7;null;21,7;null;null;null;null;null;
2000-08-31;null;144,4;null;null;300,3;null;3;42,7;null;33,7;null;20,9;null;null;null;null;null;
2000-09-30;null;179,1;null;null;294,9;null;8;34,3;null;35,5;null;21,8;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;69,8;null;null;195,3;null;21;308,8;null;31,7;null;21,9;null;null;null;null;null;
2001-04-30;null;44,7;null;null;171,4;null;27;466,5;null;30,9;null;21,9;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2001-10-31;5;188,8;null;null;302,8;2,4;1;1,2;null;36,9;28,5;21,8;69,5;5;2,3;10;null;
2001-11-30;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2001-12-31;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-01-31;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-02-28;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-03-31;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-04-30;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-05-31;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
