Nome: FEIRA DE SANTANA
Codigo Estacao: 83221
Latitude: -12.1961111
Longitude: -38.96722221
Altitude: 229.52
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2018-12-17
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;57;null;null;null;5,6;9;31;984,7;31;25,4;21,5;75,4;null;null;40,1;null;
2000-02-29;null;61,7;null;null;null;5,3;8;54,1;986;31,8;26;21,9;75,2;null;null;40,5;null;
2000-03-31;null;63,7;null;null;null;5,5;6;8,5;985,2;31,6;25,6;21,5;76,3;null;null;40,4;null;
2000-04-30;null;43,2;null;null;null;6;18;140;986,7;29,3;24,6;21,4;84,5;null;null;39,8;null;
2000-05-31;null;40,3;null;null;null;5,7;20;101;988,7;27,9;23,5;20,6;86,5;null;null;40,5;null;
2000-06-30;null;36,4;null;null;null;6,7;17;96,6;990;26,3;22,4;19,7;86,7;null;null;40,9;null;
2000-07-31;null;52,4;null;null;null;6;19;46,9;990;26,2;21,5;18,8;86,2;null;null;41,1;null;
2000-08-31;null;39,7;null;null;null;7,4;17;66,4;990,8;26,3;21,9;19,1;86,5;null;null;40;null;
2000-09-30;null;57,5;null;null;null;6,7;20;71,4;989,8;27,4;22,6;19,5;82,4;null;null;40;null;
2000-10-31;null;69,7;null;null;null;4,9;5;8,1;988,8;30,1;24,2;19,5;72,5;null;null;40,5;null;
2000-11-30;null;68,5;null;null;null;6;12;130,6;985,8;30,8;25;20,9;77,4;null;null;40;null;
2000-12-31;null;71,5;null;null;null;6;8;119;985,7;30,7;25,1;21,1;74,3;null;null;40,4;null;
2001-01-31;null;63,8;null;null;null;5,6;10;53,4;987,3;30,9;24,8;20;74,9;null;null;40;null;
2001-02-28;null;87,4;null;null;null;5;4;2,2;985,4;32,9;26,3;21,6;70,4;null;null;40,6;null;
2001-03-31;null;71,8;null;null;null;5,9;13;103,4;986,3;31,3;25,8;21,9;77,7;null;null;40;null;
2001-04-30;null;57,7;null;null;202,6;5,9;13;22;987,3;30,2;24,8;21;79,6;null;null;42,8;null;
2001-05-31;null;52,1;null;null;230;5,1;9;40,9;987,4;30,5;24,8;20,8;79,7;null;null;40,5;null;
2001-06-30;null;38,7;null;null;131,9;6,4;19;86,3;990,6;27,1;22,7;19,7;84,6;null;null;39,8;null;
2001-07-31;null;56,1;null;null;150,2;6,3;14;54,1;991,7;26,2;22,2;18,8;83,5;null;null;49,4;null;
2001-08-31;null;62;null;null;115,6;7;24;70,3;993,6;26;21,4;17,8;83,5;null;null;49,3;null;
2001-09-30;null;68,6;null;null;154;6,5;12;64,7;989,8;27,8;22,5;18,5;81,6;null;null;49,1;null;
2001-10-31;null;84,1;null;null;168,8;5,8;11;72,2;988,3;29,8;23,9;20;77;null;null;60,8;null;
