Nome: FLORANIA
Codigo Estacao: 82691
Latitude: -6.12388888
Longitude: -36.81194444
Altitude: 324.45
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;null;null;null;220,5;6,7;17;80,2;972,3;32,5;26,5;21,6;67,8;6;2,1;70;null;
2000-02-29;32;null;null;null;205,2;6,5;13;147,7;973,8;32,4;26,1;21,5;72,7;4;2,4;70;null;
2000-03-31;32;null;null;null;238,6;6,4;16;215,8;972,7;32,4;26,3;21,5;73,4;4;2,3;70;null;
2000-04-30;32;null;null;null;211,7;6,7;16;255,3;973,6;30,6;25,4;21;78,8;6;2,2;70;null;
2000-05-31;14;null;null;null;234,7;5,5;6;29,7;974,5;31,3;25,7;20,5;68,9;6;2,7;70;null;
2000-06-30;null;null;null;null;196,8;null;10;42,3;null;30,5;null;20,5;null;null;null;null;null;
2000-07-31;null;null;null;null;175,6;null;8;32,5;null;29,8;null;19,9;null;null;null;null;null;
2000-08-31;null;210,4;null;null;250;null;6;43,6;null;31,3;null;20,5;null;null;null;null;null;
2000-09-30;null;257,7;null;null;236,5;null;6;5,9;null;32,7;null;21,8;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;213,6;null;null;144,9;null;11;103,6;null;33,6;null;22,5;null;null;null;null;null;
2001-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2001-10-31;14;324,2;null;null;243,3;4,3;1;,1;976,1;34,8;27,6;22,1;53;6;3;54;null;
2001-11-30;5;null;null;null;null;4,1;0;0;975;35,2;27,7;22,6;59,8;4,1;2,9;96,2;null;
2001-12-31;5;null;null;null;null;5,2;2;11;974,4;34,4;27,9;23,2;62,3;6,2;3,3;97;null;
2002-01-31;5;null;null;null;null;7,9;19;205;975,7;31,5;25,9;21,9;78,5;6,2;2,2;97;null;
2002-02-28;5;null;null;null;null;5,5;10;123,1;975,8;32,1;26;21,3;74;4,1;2,5;97;null;
2002-03-31;5;null;null;null;null;6,6;12;177;975,6;31,6;25,9;22,1;79,4;4,1;2,6;97;null;
2002-04-30;14;null;null;null;209,8;7;11;76,5;975,1;31,7;26,1;22,2;77,1;4,1;2,5;97;null;
2002-05-31;14;null;null;null;203,3;5,9;11;70,5;976,4;31,6;25,9;21,7;74,9;4,1;2,8;97;null;
2002-06-30;14;null;null;null;203,3;5,3;8;33,9;978,5;30,3;24,7;20,5;74;6,2;3,3;97;null;
2002-07-31;14;240;null;null;241;4,2;4;7,6;978,8;31,9;25,7;20,9;61;6;3,5;54,1;null;
2002-08-31;14;null;null;null;270,6;3;0;0;978,1;32,5;25,7;20,6;60,7;6,2;4,7;96,2;null;
2002-09-30;14;null;null;null;291,7;2,7;0;0;977;34,4;26,7;21,1;52,5;7,2;4,1;97;null;
2002-10-31;14;null;null;null;284;3,1;null;0;975,6;34,7;27,1;21,9;54,1;6,2;4;97;null;
2002-11-30;14;306,1;null;null;296,1;3,6;1;,4;975,5;35,1;27,6;22,1;53;8;3,7;54,2;null;
2002-12-31;5;null;null;null;228,2;4,5;1;1;975,4;35;28;22,9;57,7;6;3;53,5;null;
2003-01-31;5;215;160,1;160,1;223;5,6;7;61,9;975,5;34,7;27,4;21,9;62,5;6;2,5;54,2;null;
2003-02-28;14;172;134,4;134,4;176,8;7,7;11;88,9;975,1;33,2;27;22,6;70,1;6;2,7;53,3;null;
2003-03-31;14;163,3;139,6;139,6;201,2;6,7;11;153,1;974,7;32,5;26,5;22,2;73,9;6;2,3;53,3;null;
