Nome: FLORIANO
Codigo Estacao: 82678
Latitude: -6.76166666
Longitude: -43.00333333
Altitude: 126.6
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;0;51,5;null;null;190,3;6,7;15;84,4;null;994,2;32,1;26,4;22,2;80,3;3,6;,8;68,9;
2000-02-29;0;54,6;null;null;147,1;7,4;23;193,2;null;995,9;31,2;25,7;21,7;86,1;3;,6;69,8;
2000-03-31;0;68,8;null;null;182,9;7,5;21;296,8;null;994,4;31,5;25,9;22;82,9;4,1;,7;69,8;
2000-04-30;0;73,6;null;null;184,5;7,1;19;235,3;null;995,6;31,3;26;22;84,1;5;1;70;
2000-05-31;14;132,4;null;null;290;4,9;3;50;null;996,2;32,3;26,3;21,4;74,4;8;1,7;70;
2000-06-30;null;185,3;null;null;244,9;null;1;4,2;null;null;32,6;null;21,1;null;null;null;null;
2000-07-31;null;262,5;null;null;278,4;null;1;7,2;null;null;33,9;null;21,1;null;null;null;null;
2000-08-31;null;343,7;null;null;309,2;null;1;3;null;null;35,7;null;21,3;null;null;null;null;
2000-09-30;null;342;null;null;273,1;null;3;1,7;null;null;36,4;null;23,7;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;91,8;null;null;145,1;null;15;62,6;null;null;31,9;null;22,7;null;null;null;null;
2001-04-30;null;135,5;null;null;196,8;null;10;53;null;null;33,5;null;22,5;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;14;null;null;null;323,6;2,5;0;0;null;null;36;29,5;24;41,4;null;null;11,6;
2001-09-30;14;null;null;null;294,5;3,9;1;36;null;998,1;37,6;30,8;25,2;45;6,2;null;37,7;
