Nome: GARANHUNS
Codigo Estacao: 82893
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2022-11-11
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;114,8;null;null;218,5;6,8;11;85,3;919,8;27,7;22,7;18,5;88,7;7,5;3,3;48;null;
2000-02-29;14;133,6;null;null;217,4;6,4;5;46,1;921;28,8;22,7;18,7;87,7;7,5;3,3;47,9;null;
2000-03-31;14;144,3;null;null;214,9;7,1;8;31,4;920,1;28,6;22,7;19;88,5;7,5;3,7;48,2;null;
2000-04-30;14;80,1;null;null;196,3;7,2;18;75,4;921,1;26,6;21,8;18,8;93,3;6,8;3,2;46;null;
2000-05-31;14;62,4;null;null;182,7;7;20;85;922,3;24,8;20,6;17,8;95,4;6,6;3;46;null;
2000-06-30;14;38,8;null;null;113,5;8,3;23;181,2;null;23,4;19,7;17,4;96,2;null;null;6;null;
2000-07-31;14;37,3;null;null;126,5;8,3;25;153,3;null;22,7;18,9;16,6;96,5;null;null;5,8;null;
2000-08-31;14;52,2;null;null;158,8;7,5;22;166,1;null;23,3;19,1;16,4;95;null;null;6;null;
2000-09-30;14;null;null;null;130,2;7,9;21;135,1;null;24,3;19,7;16,9;94;null;null;5,9;null;
2000-10-31;14;null;null;null;180,5;6,3;5;6,8;null;26,4;20,7;17,1;90,2;null;null;6,2;null;
