Nome: GUARAMIRANGA
Codigo Estacao: 82487
Latitude: -4.26138888
Longitude: -38.9311111
Altitude: 865.44
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2019-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;50,7;null;null;124,7;6,9;21;254,3;913;24,8;20,8;18,8;88,3;6;2,9;44;null;
2000-02-29;9;48,6;null;null;100,5;6,9;20;181,4;914,3;25;20,9;18,5;88,1;5;2,5;47,6;null;
2000-03-31;9;43,7;null;null;74,8;7,7;28;341,6;913,1;24,1;20,8;19,3;91,6;5,8;3,2;38;null;
2000-04-30;9;38,3;null;null;76,2;8,4;27;404,7;914;24,1;20,9;19;91,2;5,3;3;39,2;null;
2000-05-31;9;null;null;null;137,2;6,9;18;183,6;null;23,4;20,5;18,7;89,8;null;null;5,4;null;
2000-06-30;9;55,9;null;null;138,7;7;13;180,8;null;23,1;20;18,3;88,8;null;null;5,5;null;
2000-07-31;9;55,9;null;null;123,1;6,7;14;153;null;23,2;19,8;17,8;89,7;null;null;5,4;null;
2000-08-31;9;67;null;null;147,6;6,9;12;161,2;null;23,4;19,5;17,4;86,8;null;null;5,7;null;
2000-09-30;9;null;null;null;105,4;6,9;15;91;null;24,7;20,1;17,9;87,4;null;null;5,5;null;
2000-10-31;9;null;null;null;231,1;6;7;13;null;26,2;20,6;17,8;82,7;null;null;5,3;null;
2000-11-30;9;null;null;null;192,9;5,7;11;40,9;null;26,5;20,9;18,7;82,8;null;null;5,2;null;
2000-12-31;5;null;null;null;170,5;6,3;9;51,1;null;26,2;21,1;18,9;83,4;null;null;5,2;null;
2001-01-31;9;null;null;null;140,7;6,6;17;259,7;null;25,6;20,8;18,8;86,4;null;null;5,1;null;
2001-02-28;9;null;null;null;122,7;6,6;12;81,4;null;25,5;21,2;19,3;85,9;null;null;5,2;null;
2001-03-31;9;48,3;null;null;120,1;7,5;22;229,2;null;25,2;21,2;19,3;88,8;null;null;5,2;null;
2001-04-30;9;29,5;null;null;50,2;8,7;26;491,8;null;23,3;20,6;19,1;92,9;null;null;4,6;null;
2001-05-31;9;null;null;null;159,4;6,5;19;131,3;null;24,3;20,7;18,9;89,1;null;null;5,1;null;
2001-06-30;9;null;null;null;151,8;6,5;15;184,2;null;23,7;20,1;18,2;88,9;null;null;5,2;null;
2001-07-31;9;null;null;null;186,2;6,4;9;147,8;null;24,6;19,9;17,3;84,5;null;null;5,1;null;
2001-08-31;9;null;null;null;239,1;5;6;20,8;null;26;null;16,7;null;null;null;15,9;null;
2001-09-30;9;null;null;null;208,4;5,7;3;17,8;918,3;27;20,6;17,5;81,6;null;null;38,3;null;
2001-10-31;9;100,9;null;null;179,9;5,7;9;28,4;917,6;27,2;21;18,2;80,5;null;null;35,6;null;
2001-11-30;9;null;null;null;143,2;6,5;0;0;916,8;26,7;21,1;18,7;85,6;null;null;94,2;null;
2001-12-31;9;null;null;null;115,2;6,8;15;82,9;915,9;25,9;21,4;19,3;87;null;null;88,2;null;
2002-01-31;9;null;null;null;35,3;8,2;27;594,8;917,1;24,5;20,8;18,6;92,6;null;null;93,8;null;
2002-02-28;9;null;null;null;78,5;6,9;14;113,4;917,1;25;21,2;18,9;88,1;null;null;93,9;null;
2002-03-31;9;null;null;null;43,1;7,3;27;470,4;917,1;24,5;21,1;18,8;91;null;null;95,1;null;
2002-04-30;9;null;null;null;71,8;8,3;23;392;916,6;23,6;20,9;18,8;92;null;null;94,6;null;
2002-05-31;9;null;null;null;100,3;8,1;22;230,5;917,8;23,7;20,7;18,8;92,7;null;null;93,9;null;
2002-06-30;9;null;null;null;116,2;7,3;17;243;919,4;22,6;19,7;17,7;92,4;null;null;94;null;
2002-07-31;9;47,2;null;null;163,4;6,3;12;177,7;919,6;23,4;19,6;17,3;88,6;null;null;33;null;
2002-08-31;9;null;null;null;206,2;5,5;7;20,6;919,5;25,4;20;16,8;82,7;null;null;94,5;null;
2002-09-30;9;null;null;null;191;5,6;8;36,2;918,8;26,2;20,1;17;81,2;null;null;94,3;null;
2002-10-31;9;null;null;null;217,2;5,9;13;34,8;916,9;26,9;20,8;17,5;81;8,2;4;95,2;null;
2002-11-30;9;94,6;null;null;191;5,9;15;96,4;916,8;26,6;20,8;17,8;85,5;7;null;33,4;null;
2002-12-31;5;95,6;null;null;170,1;6,5;8;62,2;917;26,4;21,4;18,9;85,5;7,5;3,4;32,3;null;
2003-01-31;9;90,2;88,2;88,2;159,1;6;12;200;917,2;26,4;21,4;18,6;84,4;5,8;3;34,1;null;
