Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;94,4;null;null;207,1;6,7;20;167,7;988,5;30,7;25,3;21,8;77,9;5,6;2,2;62,3;null;
2000-02-29;9;99,7;null;null;208,4;6,6;17;113;990,3;31,6;25,8;22,1;76,7;6,5;2,3;63,4;null;
2000-03-31;14;76,9;null;null;196,4;6,7;20;144,2;990,3;30,5;25;21,4;81,8;4,8;1,7;58,1;null;
2000-04-30;14;65,3;null;null;179,5;6,7;20;142,5;991,7;29,1;24,1;20,9;83,1;6,1;2;62;null;
2000-05-31;14;71,9;null;null;178,4;5,9;11;54,9;993,2;27,8;22,9;19,5;79,3;5;2;60,4;null;
2000-06-30;14;76,4;null;null;174,4;5,8;10;28,9;995,3;27,2;21,8;17,8;78,6;6;1,9;63,7;null;
2000-07-31;18;67,7;null;null;163,2;6,5;15;72;995,2;26,2;21;17,3;81,3;6;2;61,6;null;
2000-08-31;9;88,1;null;null;161;6,7;12;53;996;26,4;21,1;17,3;77,8;7,1;1,9;59,2;null;
2000-09-30;14;86,1;null;null;149,1;7,1;21;96,7;994,8;26,9;21,9;18,5;80,8;6;2,2;54,3;null;
2000-10-31;9;121,8;null;null;223,5;6,2;11;60,2;993,2;30;23,9;19,6;74,2;6;2,3;64,4;null;
2000-11-30;9;92,4;null;null;184,8;7,1;17;224,8;989,6;30,2;24,6;21,1;79,4;6,8;2,4;54,8;null;
2000-12-31;36;87,9;null;null;144,3;7,9;17;176,7;989,3;30,1;24,9;21,5;79,5;5,3;2,3;51,5;null;
2001-01-31;9;137,7;null;null;266,3;5,6;8;26,6;991,9;31,7;25,5;21,1;71,8;8,1;2,5;48,9;null;
2001-02-28;9;144,8;null;null;233;5,2;7;71,8;989,9;33,7;26,5;21,9;70,1;8,5;2,3;47,7;null;
2001-03-31;9;79,4;null;null;218,6;5,8;16;108,2;991,4;31,2;25,4;null;79,4;5;1,7;61,6;null;
2001-04-30;9;83,9;null;null;219,1;5,4;19;110,8;992,5;30;24,4;20,4;80,6;6,8;1,9;46;null;
2001-05-31;14;68,9;null;null;167,3;6,7;14;106;992,1;28,6;23,7;20,6;82,2;7,5;1,9;43;null;
2001-06-30;14;57,7;null;null;173,9;5,6;17;96,3;995,9;26,5;21,8;18,6;83,7;5;1,8;43,7;null;
2001-07-31;14;69,1;null;null;183,9;5,9;15;86,9;996,4;26,4;21,4;17,8;81,5;4,1;1,7;44;null;
2001-08-31;14;81,7;null;null;193,1;5,6;19;94,1;998,9;26;21;17,3;79;6,6;2,1;41,5;null;
2001-09-30;9;95,9;null;null;169,5;7;14;62,8;994,4;27,1;22,1;18,3;77,7;5,6;2,2;44,2;null;
2001-10-31;14;76,8;null;null;128,8;7,9;21;204,7;992,6;27,4;22,5;19;81,8;6,3;2,1;38,2;null;
2001-11-30;9;121,6;null;null;164,8;7,5;10;46;990,3;30,3;25;21,6;74,5;7,8;2,5;47;null;
2001-12-31;9;102,1;null;null;161,4;7,6;19;165;990,6;30,5;25,1;22;78,4;6,6;2,4;42,6;null;
2002-01-31;9;92,3;null;null;190,4;7,6;19;307,6;990,1;30,4;25,1;21,8;79,5;5,8;2,5;41,8;null;
2002-02-28;9;101,1;null;null;188,9;5,9;12;149,1;990,9;31,7;25,6;21,6;75,1;6;1,9;45,9;null;
2002-03-31;9;106,7;null;null;221,9;5,7;15;127,5;992;31,1;25,4;21,6;78,5;5,3;1,9;42,6;null;
2002-04-30;14;84,6;null;null;216,8;5,2;19;95,5;991,7;29,7;24,5;20,6;80,8;6;1,9;45,5;null;
2002-05-31;18;88,6;null;null;229,8;4,9;10;85,4;993,3;28,5;23,3;19,5;77,9;5,8;1,8;47;null;
2002-06-30;14;53,9;null;null;139,1;6,3;22;85,3;996,9;26,1;21,7;18,4;86,2;7,1;1,4;42;null;
2002-07-31;14;65,3;null;null;159,3;6,3;20;66,5;996,8;26;21,4;18,3;83,6;5;1,6;42,2;null;
2002-08-31;14;76,3;null;null;196,2;6,1;18;76,5;997,2;26,6;21,7;17,9;81,3;5,5;1,9;43,7;null;
2002-09-30;18;68,5;null;null;118,2;8,7;19;158,4;994,7;26,7;22,3;19,5;83,2;6,3;2,4;36,4;null;
2002-10-31;9;111,1;null;null;236,1;5,9;6;35,1;992,9;30,1;23,9;19,6;73,3;6,6;2,6;48,7;null;
2002-11-30;5;108,2;null;null;160,4;7,5;14;48,3;992,3;30,3;24,5;21;75,8;5,6;2,5;45,1;null;
2002-12-31;5;137;null;null;189,9;6,4;8;167,1;990;32,8;26,1;21,9;70,3;6,1;2,5;46,3;null;
2003-01-31;9;119,3;153,2;153,2;204,1;6,3;10;96,8;990,2;33,2;26,7;22,6;73,2;5,8;2,2;48,8;null;
2003-02-28;14;100,8;120,2;120,2;206,2;6,2;12;55;991,9;32;25,9;21,9;74,6;6,3;2,2;47,9;null;
2003-03-31;9;117,7;137,2;112,1;237;5,4;11;79,1;991,3;33;26,2;22;75,2;6,6;2;48,6;null;
2003-04-30;14;87,4;114,2;113,7;189,8;5,5;13;113,7;992;30,6;25,3;21,6;77,4;5,5;2,1;47;null;
2003-05-31;18;84,2;93,6;68,1;194,9;5,6;11;67,5;993,6;28,5;23,6;20;77,8;5,8;2,2;47,2;null;
2003-06-30;9;87,7;77,6;,9;248,4;3,5;3;1,1;995;28,3;22,2;17,4;75,2;4,3;1,5;49,8;null;
2003-07-31;14;77;68,3;53,6;156,7;5,8;15;53,4;997,7;26,3;21;16,6;78,9;6,3;2,1;43;null;
2003-08-31;14;78,2;72,3;35,1;150,2;7,3;15;35,3;996,5;26,6;21,6;18;79,3;4,6;1,9;42,4;null;
2003-09-30;14;86,8;null;null;166,2;6,5;15;51,7;995,5;27,5;22,4;18,4;77,6;5,8;2,2;43,7;null;
2003-10-31;14;123,8;null;null;207,8;6,7;9;103,7;993,4;29,3;23,3;19,1;73,4;6,6;2,8;45,5;null;
2003-11-30;9;97,4;null;null;185,8;7,6;13;78,1;991;29,6;24,3;20,7;77,5;5;2,5;44,2;null;
2003-12-31;9;143,3;null;null;222,9;6,5;12;56,7;990,3;32,6;26,1;21,9;71;6,8;2,5;47,2;null;
2004-01-31;9;85,9;null;null;132,5;8,3;17;171,5;988,9;30,1;25,1;21,9;79,3;6,1;2,2;40,1;null;
2004-02-29;14;null;null;null;187,6;7,2;18;189,4;990,3;30,9;25,3;21,6;79,6;5,3;2,1;44,8;null;
2004-03-31;14;62,6;null;null;134,7;7,9;25;313,7;990,6;29,1;24,4;21,3;85;8,6;2;42,5;null;
2004-04-30;9;58,8;null;null;163,2;7;22;104,7;992;29,4;24,2;21;84,4;5,1;1,7;42,1;null;
2004-05-31;14;57,4;null;null;151,5;7,2;22;84,5;993,4;27,8;23,3;20,2;86,1;5,1;1,8;41,1;null;
2004-06-30;14;51,7;null;null;142,2;6,4;20;65;996,9;26,2;21,6;18,3;85,4;5,5;1,7;44,7;null;
2004-07-31;18;65,2;null;null;153,6;6,7;18;83,9;996,2;25,3;20,7;17,4;81,7;6;2,1;44,7;null;
2004-08-31;14;90;null;null;227,8;5,3;8;20,5;996,6;27,2;21,4;17;76,8;5,8;2,1;47,6;null;
2004-09-30;9;112,6;null;null;256,9;5;9;15,1;995,4;28,8;22,3;17,5;71,6;6,1;2,3;48,6;null;
2004-10-31;9;126,2;null;null;189,5;7;12;28,7;992;30,1;23,7;19,3;71,9;6,1;2,9;45,8;null;
2004-11-30;9;114;null;null;172,9;7,4;13;92;990,7;30,1;24,5;20,7;75,4;6,6;2,9;41,9;null;
2004-12-31;9;118,8;null;null;238;6,4;10;44,8;989,6;31,6;25,6;21,2;72,5;6,5;2,4;47,9;null;
2005-01-31;9;112;null;null;162,8;6,6;13;140,8;988,9;31,8;26,4;21,9;74;6,3;2,4;43,8;null;
2005-02-28;9;87,6;null;null;199,9;7,1;18;198,6;989;31,5;25,7;21,7;78,8;6,6;2,4;45,8;null;
2005-03-31;14;80,2;null;null;222,2;6,8;20;102,2;990,2;31,5;26;22,4;83;4,5;1,9;46,9;null;
2005-04-30;14;73,3;null;null;195,1;6,5;17;76,6;992;29,9;24,8;21,1;85,8;5,3;1,8;45,8;null;
2005-05-31;14;71,5;null;null;185,4;5,7;20;119,1;993,1;28,3;23,5;20,1;84,6;5;2,1;43,7;null;
2005-06-30;14;58,5;null;null;155,1;5,9;24;114,7;995,3;26,3;21,9;19;86,7;6,6;2;40,4;null;
2005-07-31;18;77,6;null;null;225,6;4,5;15;40,4;997,3;26,3;21,2;17,2;81,5;7;2;45,4;null;
2005-08-31;9;63,5;null;null;165,9;7,2;23;103,9;996,7;26,4;21,3;17,8;83,9;5,1;1,8;41,8;null;
2005-09-30;9;83,4;null;null;152,5;7,4;9;46,2;994,7;28,2;23;19,6;77,2;8,8;2,3;45,4;null;
2005-10-31;9;123,9;null;null;263,7;5,8;10;26,7;992,5;30,8;24,3;19,8;72,1;6,8;2,5;48,8;null;
2005-11-30;9;89,7;null;null;124,2;7,9;17;279;990,5;28,4;23,8;20,7;83,2;6;2,3;39,7;null;
2005-12-31;14;88,8;null;null;180,6;7,6;20;234,1;989,5;30,3;25;21,6;76,7;7,8;2,2;41,9;null;
2006-01-31;9;100,5;null;null;246;6,4;17;123;991,1;30,6;24,9;20,9;75,1;6,3;2,3;42,4;null;
2006-02-28;9;123;null;null;245,8;6,3;9;20,1;988,8;33,5;26,6;22;71,5;7;2,3;48,3;null;
2006-03-31;9;89,5;null;null;184,3;6,4;22;145,3;989,5;31,8;26;22,5;79,9;6,5;2,1;39,9;null;
2006-04-30;14;67,1;null;null;181,6;7;17;105,5;990,1;29,5;24,6;21,3;83;5,5;2,1;43,7;null;
2006-05-31;18;85,7;87;55,3;197,4;5,6;7;17,3;993,6;28;22,8;19;77,5;5;1,8;44,2;null;
2006-06-30;14;70;65,6;65,6;145,9;6,6;13;90;996,7;25,7;21,1;17,8;82,5;6,5;2,1;36,1;null;
2006-07-31;14;75,3;62,1;62,1;207;5,4;10;39,2;996,7;26;20,5;16,2;79,8;6,6;1,7;41,7;null;
2006-08-31;9;73,5;75,2;74;153,3;6,8;16;67,6;995,8;26,7;21,7;18,3;80,6;5,1;2;42,6;null;
2006-09-30;9;75;81,8;55;150,1;7,1;15;54,6;994,7;27,4;22,2;18,6;79,4;6,8;2,5;40,8;null;
2006-10-31;14;64,2;102;102;88,8;8,9;21;195,5;992;27,7;23,2;20,3;82,9;6,3;2,3;35,4;null;
2006-11-30;9;77,1;110,8;110,8;174,9;7,9;16;186,4;990;29,4;24,4;21,2;79,5;6;2,3;40;null;
2006-12-31;9;84,8;134,8;134,8;168,3;7,5;16;331,8;990,8;30,3;25,1;21,8;79;5;2;41,1;null;
2007-01-31;9;103,7;147,6;147,6;209,2;6,8;11;68,6;990,3;32,3;26,3;22,7;75,3;5,8;2,2;44,5;null;
2007-02-28;9;63,7;115;115;166,9;7,3;22;199,4;990,5;30,7;25,2;21,9;81,8;6,3;2,2;39,4;null;
2007-03-31;14;79;123;123;241,6;5,2;17;93,7;991,5;30,5;25,2;21,3;79,6;6,5;2,2;45,7;null;
2007-04-30;14;70,7;107,9;107,9;198,9;5,8;18;131,5;991,9;30;24,8;20,9;81,2;4,6;1,6;45,1;null;
2007-05-31;9;72,1;88,1;88,1;189,6;5,9;9;24,7;993,2;27,8;22,9;19,2;79,9;5,3;1,8;43,1;null;
2007-06-30;9;65,3;71;63,2;193,7;5,4;10;32,2;995,9;27,2;21,7;17,6;79,5;6;1,6;43,6;null;
2007-07-31;14;67,7;71,1;55,2;173,7;6,1;12;55,2;996;26,4;21,4;17,7;82,1;6,3;1,7;42,5;null;
2007-08-31;14;74,4;68,5;51,5;199,9;5,7;19;51,5;997,1;26,3;21;17,3;78,9;6,6;2,4;42,9;null;
2007-09-30;14;76,7;76,8;42,2;165,5;6,8;14;42,2;996,7;27,1;21,6;17,9;79;8,8;2,4;44,3;null;
