Nome: IGUATU
Codigo Estacao: 82686
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.58
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;98;null;null;219,8;6,1;10;144,9;985,6;31,1;26,1;22,6;77,7;5,3;1,8;47,7;null;
2000-02-29;5;94,5;null;null;215,9;6,3;20;247,2;987;31,9;26,4;22,7;78,9;5;1,9;48;null;
2000-03-31;14;77,1;null;null;197,2;5,9;21;302,8;986,1;30,6;25,8;22,4;84,1;5;1,8;47,5;null;
2000-04-30;14;77,2;null;null;233,8;5,9;21;215,5;987;30,7;25,8;22,6;81,5;5,5;2;47,9;null;
2000-05-31;14;150,4;null;null;266,9;5,1;8;67,4;988;31,1;25,7;21,7;74,9;7,8;2,3;48,3;null;
2000-06-30;14;213,5;null;null;230,1;5,4;11;20,9;989,2;31,4;25,5;21,7;68,8;6,5;2,9;48,2;null;
2000-07-31;14;226,1;null;null;247,5;5;5;31;988,9;32,2;26,2;21,4;59,5;6,6;3,2;48;null;
2000-08-31;14;231,8;null;null;null;4,7;3;12,4;989,2;33,3;26,8;21,3;54,8;7,1;3,5;48,1;null;
2000-09-30;14;253;null;null;254,2;4,8;4;56,2;987,2;34,1;27,5;22,5;58;7;3;48,3;null;
2000-10-31;9;283,2;null;null;307,8;4,1;0;0;987,4;35,9;28,9;22,8;49,1;8,1;3,6;48,3;null;
2000-11-30;5;265,9;null;null;248,5;4,5;1;,4;985,4;35,7;29,1;23,3;48;7,5;3,7;48,2;null;
2000-12-31;5;225,6;null;null;251,9;5,1;5;100,7;986,5;34,5;28,6;23,5;54,4;7;3;47,7;null;
2001-01-31;18;186,3;null;null;237,1;6;8;59,5;986,9;33,9;27,6;23;62,3;6,3;2,1;56,6;null;
2001-02-28;18;121,5;null;null;168,2;6,3;13;78,7;986;33,4;27,2;23,4;69,8;4,8;2;57,5;null;
2001-03-31;14;91,7;null;null;200,8;6,2;18;262,7;987,2;31,5;26,2;22,6;77;6,3;1,9;57,1;null;
2001-04-30;18;88;null;null;196,8;6,2;11;128,9;987,3;31;26,1;22,8;76,8;4,6;1,9;57,9;null;
2001-05-31;14;137,2;null;null;258;4,6;6;13,6;987,9;33,5;27;22,7;70,4;5,5;1,9;59,3;null;
2001-06-30;14;168,8;null;null;234,8;5,4;6;53,6;989,6;32,3;26,4;22;62,5;6,8;2,9;59;null;
2001-07-31;14;233,9;null;null;263,5;4,3;2;10,4;989,8;33,2;27;21,7;52,1;7,5;3,7;69,5;null;
2001-08-31;14;323,1;null;null;316,6;3,1;1;24;990,9;34,1;27,3;21,6;43,6;7,5;4,6;59;null;
2001-09-30;14;272,5;null;null;286,5;3,9;3;6,2;987,4;35,6;28,6;23;44,6;6,6;3,1;49,1;null;
2001-10-31;5;265,9;null;null;266;4,5;2;16,9;987,1;35,8;29,2;23,5;46,7;7,5;3;57,7;null;
2001-11-30;9;275;null;null;261;4,4;0;0;985,8;36,2;29,9;24,6;46,9;9,8;3,4;48,1;null;
2001-12-31;9;259,1;null;null;254,5;5;6;109,7;985,4;35,2;29,3;23,8;50,7;8,3;3,9;48,1;null;
2002-01-31;14;70,8;null;null;172,3;6,8;23;234,8;987,5;30,8;25,9;22,7;82,1;7,1;2,1;47,5;null;
2002-02-28;14;108,1;null;null;225,7;5,2;9;44;987,6;32,7;26,6;22;72,5;6,8;2,4;48,3;null;
2002-03-31;14;102,1;null;null;215,9;5,6;14;215,3;987,5;31,9;26,6;22,6;78,1;5,5;2,2;48;null;
2002-04-30;14;81,1;null;null;219,2;5,9;13;117;986,4;31,2;25,9;22,4;78,3;5,6;2;47,8;null;
2002-05-31;14;102,8;null;null;233,4;5;12;142,3;988,4;31,1;25,8;22;77,2;7,5;2,3;48,3;null;
2002-06-30;14;174,4;null;null;249;5,2;5;26,8;990,1;31,8;25,6;20,8;66,8;7,1;3,1;48,3;null;
2002-07-31;14;247,3;null;null;270,3;4;4;15,6;990,5;33,7;26,9;21,2;53,6;8,8;3,1;48,3;null;
2002-08-31;14;323,7;null;null;311,8;3,5;0;0;989,8;34,7;27,5;21,2;43;8,5;3,7;48,3;null;
2002-09-30;9;278,1;null;null;299;3,7;1;,5;988,5;35,9;28,8;22,3;38,2;8,1;3,3;48,1;null;
2002-10-31;5;331,1;null;null;310,7;3,7;1;6,4;987,1;36,7;29,8;23,2;38,4;8,1;3,8;48,5;null;
2002-11-30;5;302,6;null;null;265,5;4;1;,4;987;36,6;29,9;23,6;40;8,1;3,4;48,5;null;
