Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.53638888
Longitude: -47.47888888
Altitude: 126.33
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-05-31;null;null;null;null;null;null;5;null;null;33,9;27,9;23,3;73,2;3,5;null;null;null;
2000-06-30;14;125,8;null;null;270,7;5,8;5;24,1;null;33,8;27,7;22,7;69,4;3,8;1,2;61,3;null;
2000-07-31;14;125,9;null;null;261,1;5,3;5;19,4;null;34;27,5;21,9;68,5;2,6;1,1;63,5;null;
2000-08-31;9;null;null;null;null;4,8;1;,3;null;35,5;28,4;21,2;58,9;3,3;1,5;65,2;null;
2000-09-30;5;135,3;null;null;null;6,6;7;113;null;34,2;27,8;22,2;70,1;3,8;1,3;63,6;null;
2000-10-31;5;137,9;null;null;176,7;5,9;4;15,8;null;34,9;28,4;22,7;68,2;3,3;1,4;64,7;null;
2000-11-30;5;113,2;null;null;144,1;6,3;16;76;null;34,4;28;22,7;72;4,1;1,2;64;null;
2000-12-31;5;131,4;null;null;146,3;6,6;14;221,8;null;33,4;27,5;22,5;74,4;4,2;1,3;62,4;null;
2001-01-31;14;100,5;null;null;132,4;7,7;20;191,9;null;32,1;26,1;21,3;80,3;3,1;1,1;61,3;null;
2001-02-28;5;86,7;null;null;119,7;7,6;21;234,4;null;32,5;26;21,3;79,7;3,6;1,1;62,7;null;
2001-03-31;36;79,8;null;null;149,5;7,6;23;216,5;null;32,4;26,2;21,3;82,6;6,3;1,1;62,8;null;
2001-04-30;0;82,7;null;null;178,9;7;19;318,1;null;32,7;26,7;21,3;80,4;3;,6;63,9;null;
2001-05-31;9;123,6;null;null;207,1;6,3;8;81,1;null;33,6;27,6;21,8;76;3,8;1,1;65,5;null;
2001-06-30;9;null;null;null;244,2;5,2;3;30,4;null;33,3;26,8;20,2;71,2;4;1,4;66,1;null;
2001-07-31;9;178,8;null;null;300,4;4;1;4,4;null;34,4;27,1;19;65,2;3,3;1,5;68,6;null;
2001-08-31;9;245,3;null;null;302,3;3,2;0;0;999,4;35,9;28,5;20,9;47,7;8,7;1,6;57,7;null;
2001-09-30;9;194,9;null;null;197,7;6,4;5;10,4;997,4;35,3;28,8;23,5;61,7;3,6;1,6;45,8;null;
2001-10-31;9;162,1;null;null;154,7;7,4;6;63,6;996,5;34,9;29,2;24,5;64,8;3,5;1,3;43,3;null;
2001-11-30;9;null;null;null;128;8,2;13;184,8;996;33,2;27,9;24,1;74,3;4,3;1,5;41,5;null;
2001-12-31;9;106,4;null;null;156,2;7,4;11;101,8;995,3;32,9;27,7;23,9;76,3;4,1;1,4;46,6;null;
2002-01-31;0;86,8;null;null;83,9;7,6;22;356,3;997,3;31,6;26,4;23;81,7;4,1;1,3;41,9;null;
2002-02-28;9;118,1;null;null;null;6,8;12;101,2;997,1;33,1;27,6;23,6;75,8;3,3;1,3;48;null;
2002-03-31;9;80,8;null;null;164,8;7,5;20;141,2;997,1;32,7;27,1;23,5;79,9;3,5;1,2;45,2;null;
2002-04-30;0;107,2;null;null;180,7;7,4;14;135,1;996,4;32,8;27,4;23,9;77,6;3,3;,6;52,7;null;
2002-05-31;0;129,3;null;null;214,6;5,8;7;69,8;997,3;32,9;27,6;23,7;74,9;4;,9;61,6;null;
2002-06-30;0;196,5;null;null;262,1;3,9;2;7,2;999,2;33,6;27,8;22,9;67,3;2,8;,7;66,6;null;
2002-07-31;0;204,7;null;null;261,5;4,6;2;11,8;999,6;34,6;27,9;21,7;63,6;2,8;,3;66,6;null;
2002-08-31;0;232,5;null;null;283,3;4,2;1;3,2;998,5;36,2;28,8;20,8;53,6;2,3;,4;65,9;null;
2002-09-30;0;178,1;null;null;219,3;5,6;2;49,4;997,7;35,7;28,9;22,3;58,4;2,3;,2;64,3;null;
2002-10-31;0;195;null;null;172,2;6,7;6;79,1;996,6;34,8;28,6;22,7;63,4;1,8;,1;57,5;null;
2002-11-30;0;140,9;null;null;135,8;7,1;11;72,6;996,8;33,3;27,6;22,2;72,6;1,3;0;55,8;null;
2002-12-31;0;118,5;null;null;131,1;7,5;19;233,2;997,3;32,5;27,4;23,8;76,8;0;0;48,2;null;
2003-01-31;null;108,1;159,5;159,5;155,7;7,3;20;174,5;997,3;32,4;27,4;23,8;77,2;0;null;59,5;null;
2003-02-28;null;85;129,7;129,7;138,2;8,1;20;262,6;997,3;32,1;26,8;23,1;79,3;null;null;52,9;null;
2003-03-31;null;77,3;138;138;134,6;8,1;20;203,2;997,3;32;26,5;23;82,1;null;null;55,3;null;
2003-04-30;null;96,3;149,2;149,2;206,5;7,4;18;196,6;997,4;33,2;27,5;23,3;77,5;null;null;60,3;null;
2003-05-31;null;120,9;163,1;163,1;238,3;5,6;11;116,9;997,9;33,6;27,9;23,1;74;null;null;66,7;null;
2003-06-30;14;158,9;156,9;56,6;263,7;4,4;3;2,8;998,2;34,1;27,9;22,3;67;4;1,2;68,7;null;
2003-07-31;14;247,8;162,5;0;297,1;3,4;0;0;999,4;35,6;28;20,4;56;4,1;1,4;69;null;
2003-08-31;9;213,7;177,5;31,7;241,2;4,4;5;31,7;999,2;35,9;28,5;21,6;60,3;4,1;1,3;65,2;null;
2003-09-30;0;192,9;null;null;206,8;5,8;3;32,2;998;35,9;29;22,6;61,3;3,8;1,3;54,2;null;
2003-10-31;0;166,7;null;null;146,4;7,2;6;76,3;996,5;35,5;28,7;23,6;66,9;3,6;1,2;44,2;null;
2003-11-30;0;139,6;null;null;121,5;7,7;13;66,2;996;33,7;27,7;22,8;75,1;2,5;1,1;46,6;null;
2003-12-31;5;124,3;null;null;null;7,5;14;105,9;996,6;34;27,8;22,7;74,4;4,6;1,1;43,8;null;
2004-01-31;0;58,6;null;null;null;8,7;19;350,3;996,5;32,4;26,7;22,4;81,1;4,1;1,1;33,7;null;
