Nome: IRECE
Codigo Estacao: 83182
Latitude: -11.31138888
Longitude: -41.85861111
Altitude: 747.22
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;null;null;null;220,4;7,4;7;131,2;927,7;29,6;23,7;19,2;70,5;5,5;3;54,9;null;
2000-02-29;9;null;null;null;216,9;7,3;12;83,5;928,9;29,6;23,7;19,1;null;7;3,2;57,9;null;
2000-03-31;9;null;null;null;204,4;7,2;8;126,6;928,2;29,7;23,5;19;null;6,6;3,4;54,3;null;
2000-04-30;9;null;null;null;236,3;7,4;7;75,3;929,2;29,9;23,6;19;null;7,6;3,8;58,2;null;
2000-05-31;9;null;null;null;243,4;6,7;1;4;930,4;29;22,7;17,6;null;7,6;3,8;59,7;null;
2000-06-30;9;208,1;null;null;236,8;4,4;1;,5;932;28;21,4;16,3;66,3;8,6;4,5;58,6;null;
2000-07-31;9;230;null;null;275;3,9;1;,9;931,6;28,3;21,2;15,6;60,9;9;4,4;59,8;null;
2000-08-31;9;270,2;null;null;284,9;3,6;0;0;932,2;29;22;15,8;57,9;8,3;4,7;58,5;null;
2000-09-30;9;287,7;null;null;235,1;4,8;1;15,7;930,8;29,6;22,9;17,4;58,1;8,3;5;57,8;null;
2000-10-31;9;384,5;null;null;6,7;4,4;1;,3;930;32;25,1;18,3;44,7;7,8;4,4;48,5;null;
2000-11-30;9;203,2;null;null;222;7,4;9;279,1;927,9;29,5;23,8;19,2;67,4;9,6;3,4;55,2;null;
2000-12-31;9;128,4;null;null;188,8;8;13;263,2;928,6;28;23;18,9;75,8;5,8;2,9;46;null;
2001-01-31;14;199,1;null;null;288,6;5,7;4;2,2;929,7;29,6;23,1;17,8;63,6;8;3,9;40,5;null;
2001-02-28;9;248,7;null;null;253,6;5,9;2;2,1;928,1;32,7;25,5;19,4;51,6;6,3;3,2;37,9;null;
2001-03-31;9;185,1;null;null;242,3;7,4;11;94,6;929,3;30,3;23,8;18,8;66,4;6;3,2;40;null;
2001-04-30;9;242;null;null;245;7,2;2;2,8;929,8;30,3;23,7;18,2;60;7,5;4,5;41,2;null;
2001-05-31;14;241,9;null;null;277;5;1;6,4;929,8;31,2;24,4;18,6;55,9;6,6;3,2;42,2;null;
2001-06-30;14;226,6;null;null;236,2;5,5;5;4,9;932,5;27,8;21,3;16,4;66,4;7,5;4,5;45,2;null;
2001-07-31;9;256,4;null;null;269,1;4,5;4;1,8;932,9;28,1;21,3;15,4;60,5;9,1;4,8;45,6;null;
2001-08-31;9;270,4;null;null;237;5,8;1;1;934,5;27,2;20,9;15,8;62;8,1;5,3;45,7;null;
2001-09-30;9;305,1;null;null;283,3;4,8;0;0;930,7;30,8;23,7;17,7;53,1;8,5;4,6;44;null;
2001-10-31;9;342;null;null;249,6;6,8;3;1,3;929,4;32,2;25;18,8;51,2;7,5;4,2;44,4;null;
2001-11-30;9;364,8;null;null;269,8;7,1;4;34,1;927,9;33,2;null;null;48,5;6,8;3,7;45,1;null;
2001-12-31;9;302;null;null;251,5;7;8;104,1;928,1;31,4;25,1;19,7;59,3;8;4,3;43,4;null;
2002-01-31;9;122,8;null;null;216,2;7,6;17;245,3;928,4;28,5;23,1;19,1;75,1;8,7;3,2;43,5;null;
2002-02-28;9;130,1;null;null;257,3;6,7;7;135,2;929,1;29,4;23,2;18,1;68,7;7,3;3,2;43,8;null;
