Nome: ITABAIANINHA
Codigo Estacao: 83195
Latitude: -11.27222221
Longitude: -37.79499999
Altitude: 205.59
Situacao: Temporariamente Fechada
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;121,2;null;null;208;4,5;10;95,5;986,3;31;25,4;22;82,2;null;null;80;null;
2000-02-29;5;110,5;null;null;181,5;4,8;12;106,9;987,6;30,6;24,4;22,4;84,2;null;null;78,4;null;
2000-03-31;5;124,9;null;null;194,9;4,4;11;83,8;986,8;30,6;25,5;21,7;81,5;null;null;81,2;null;
2000-04-30;9;82,9;null;null;163,6;5,4;16;133,7;988;29,4;24,9;21,9;86;null;null;78,7;null;
2000-05-31;9;85,9;null;null;208;4,7;18;115,3;989,3;28,7;24,1;20,9;85,5;null;null;81,6;null;
2000-06-30;14;64,2;null;null;156,5;5,6;19;154,5;991,5;27,5;23,1;20,2;87;null;null;67,1;null;
2000-07-31;14;82,1;null;null;200,3;4,6;16;68,6;992,5;27;22,2;19;81,9;4,4;2,4;66,1;null;
2000-08-31;9;70,4;null;null;163,6;6;22;142;993,5;26,9;22,4;19,7;84,4;4;2,5;46,5;null;
2000-09-30;14;83,6;null;null;161,6;5,7;21;210,4;992,5;27,3;23;20,2;82,1;4,9;2,8;45,2;null;
2000-10-31;9;133,5;null;null;256;4;8;11,6;991,8;29,9;24,3;20,6;74,5;6;3,1;47,3;null;
