Nome: ITABERABA
Codigo Estacao: 83244
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2019-02-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;118,8;null;null;220,6;6;8;103,9;980,6;31,4;25,5;20,8;72,1;4,8;1,9;57,7;null;
2000-02-29;9;116,3;null;null;226,9;6,7;11;73;981,2;32,7;26,1;20,7;72;6,6;2;59;null;
2000-03-31;14;101;null;null;206,7;5,8;14;58,7;981,1;32,1;25,6;20,5;73,1;5,6;2,1;58,3;null;
2000-04-30;14;112,8;null;null;178,5;6,4;14;74,2;982,3;30,9;25,1;20,2;75,6;6,1;1,7;58;null;
2000-05-31;18;109,8;null;null;158,2;6,4;10;21,6;983,7;30;23,9;18,8;71,9;6,5;1,7;59;null;
2000-06-30;18;64,8;null;null;147,8;6,4;13;36,9;986,6;28,6;22,7;17,4;73;5,3;1,8;56,3;null;
2000-07-31;5;145,5;null;null;188,5;5,8;15;28;987;29;22,3;16,8;69,9;5,3;2,1;59,2;null;
2000-08-31;5;228,4;null;null;185,8;6,6;7;12,3;987,6;30;23,6;18,8;67,5;5,3;2,5;59;null;
2000-09-30;5;273,7;null;null;164,5;6,3;12;54,2;986,3;30;23,9;19,8;67,7;8,3;2,9;58;null;
2000-10-31;5;387,7;null;null;251,1;4,5;4;6,1;985,4;32,8;25,8;21,2;59,4;6,3;3;59,2;null;
2000-11-30;5;173,5;null;null;193,9;6,4;11;254,6;982,4;31,5;25,8;22,1;71,3;5,3;2,3;57,8;null;
2000-12-31;5;134,2;null;null;155,9;6,7;9;87,8;982,4;30,9;25,7;22,3;72,6;4,3;1,8;45,7;null;
2001-01-31;5;166,6;null;null;230,3;5,2;8;35;984,6;31,9;25,6;21,3;67,6;5;2,1;41,7;null;
2001-02-28;5;250,2;null;null;241,8;4,6;2;2,3;982,6;35,4;27,7;22,2;58;8,3;2,6;42,5;null;
2001-03-31;5;184,4;null;null;195,2;6;10;92,7;983,2;32,7;26,6;22,6;67,6;5;2,4;40,3;null;
2001-04-30;5;166,4;null;null;207;6,1;8;19,4;984,5;31,7;25,5;20,9;69,9;5;2,2;43,2;null;
2001-05-31;5;156,8;null;null;205,9;4,6;6;24,6;984,5;32,2;25,6;21,7;68,5;4,6;1,8;42,6;null;
2001-06-30;5;116,2;null;null;148,7;6,8;13;67;987,8;28,1;22,8;18,7;75;6,3;2;41;null;
2001-07-31;5;185,1;null;null;190,9;6,1;9;16,9;988,3;28,9;22,8;18,1;68,3;6,6;2,4;42,7;null;
2001-08-31;5;175,7;null;null;145,9;6,9;13;48,6;990,4;27,9;22,3;18;71,7;6,6;2,7;42,9;null;
2001-09-30;14;206,8;null;null;158,8;6;11;15,3;986,9;30;23,9;19,7;69;5,3;2,7;44,6;null;
2001-10-31;9;245;null;null;165,8;6,6;8;17,9;985,1;31,9;25,5;21,1;64,4;6,3;3,2;42,9;null;
2001-11-30;9;319;null;null;216,8;5,2;4;6,6;983,2;34,2;26,9;22;60,3;6,6;3,5;46,1;null;
2001-12-31;9;217,2;null;null;197,4;6,1;9;193,7;983,3;32,4;26,3;22,4;69,4;8,6;2,8;45,8;null;
2002-01-31;9;97,6;null;null;164,4;7;21;383,4;983,5;29,9;25;21,6;80,9;5,8;1,9;40,9;null;
2002-02-28;5;130,9;null;null;228,8;5,8;6;74,6;984,3;31,6;25,5;21,4;72,8;4,3;1,8;48,2;null;
2002-03-31;9;181,2;null;null;209,4;5,6;12;40,9;984,4;32,3;26,1;21,8;70,2;6,3;2,3;47,8;null;
2002-04-30;9;184,8;null;null;208;5,7;11;12,3;984;32,2;25,7;20,9;71,7;9,1;2,1;47,9;null;
2002-05-31;14;171;null;null;201,2;5,4;8;26,5;984,9;31;24,4;19,2;72,7;4,8;1,8;48,2;null;
2002-06-30;9;150,2;null;null;132;7,2;17;50,2;988,5;28,6;23,1;18,5;76;6,5;2,2;47,9;null;
2002-07-31;9;155;null;null;158,9;5,9;9;3,6;988,6;29,2;22,9;17,9;73,5;7,3;2;47,5;null;
2002-08-31;14;219,9;null;null;208,5;5,9;16;22,7;988,8;29,6;23,1;18,1;68,5;6,3;2,8;46,8;null;
2002-09-30;9;217,5;null;null;140,2;6,2;10;52,3;986,9;30,5;24,3;19,3;70,6;7,3;2,6;43;null;
2002-10-31;14;326,9;null;null;255;5,6;1;1;984,5;32,8;25,4;19,9;62,1;6,5;3,2;48,8;null;
2002-11-30;14;333;null;null;234,8;5,9;4;8;983,1;34;26,6;21;62,8;7,3;2,8;47,9;null;
2002-12-31;0;244,6;null;null;189,2;5,9;8;114,6;982;33,5;26,8;21,5;67,3;6,5;,9;43,8;null;
2003-01-31;0;239,1;161,6;161,6;245,1;5,2;4;20,1;981,7;33,9;27,3;21,6;66,2;4,5;,5;47,2;null;
2003-02-28;14;279,2;141,8;114,5;223,9;6,1;8;14,5;984,1;34,1;27,2;21,3;64,4;7,8;3,3;47,9;null;
2003-03-31;9;296,8;156,5;8;229,8;6;6;8;983,1;34,5;27,4;21,9;65,6;8;3,3;48;null;
2003-04-30;14;239,9;137,1;9,5;210,3;5,5;5;9,5;984,1;33,4;26,8;20,7;68,1;5,8;2,7;48,7;null;
2003-05-31;9;157,3;109,7;65,1;133,8;6,9;12;65,1;985,5;30,3;24,9;20,1;76,1;6,6;2;46,7;null;
2003-06-30;9;108,8;79,5;40,2;163,3;6,6;15;40,2;986,9;28,3;22,6;17,1;79,1;4,8;1,7;46,7;null;
2003-07-31;14;177,2;73,9;38,1;155,1;6,9;14;38,1;989,1;28;22;16,1;75,4;7,6;2,2;46,7;null;
