Nome: ITIRUCU (JAGUAQUARA)
Codigo Estacao: 83295
Latitude: -13.52777777
Longitude: -40.11972221
Altitude: 757.53
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2016-01-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;88,9;null;null;195,3;6,6;14;77,8;923,5;28;21,9;17,9;81,8;5;2;77,3;null;
2000-02-29;14;78,1;null;null;176,5;6,6;19;94,7;925;28,1;22,2;18,4;82,8;4,6;1,9;74,4;null;
2000-03-31;9;67,3;null;null;158,9;7,1;22;94,7;924,4;26,6;21,5;18,2;86,7;4;1,9;73,8;null;
2000-04-30;14;62;null;null;156,1;7,3;12;43,7;925,6;26,4;21,1;18,2;87;4,5;2;75,4;null;
2000-05-31;14;55,6;null;null;153;7,2;13;42,9;926,8;25;19,8;16,9;87,2;5;2,1;69,9;null;
2000-06-30;14;55,9;null;null;138,2;7,1;19;43,9;928,6;23,3;18,5;15,6;88,8;5;2,3;66,1;null;
2000-07-31;14;57,6;null;null;150,7;7,2;18;76,6;928,2;23;18;14,9;87,2;5;2,2;67,3;null;
2000-08-31;9;76,9;null;null;148,4;7,1;15;29,4;928,9;23,9;18,4;15;84,3;6,6;2,5;71,2;null;
2000-09-30;9;89,5;null;null;125,9;7;18;37,7;929,3;24,6;19,1;15,6;82,8;6,1;2,8;75,7;null;
2000-10-31;9;140,2;null;null;233,1;5,4;9;12,1;931,2;28,1;21;16,7;74,5;6;2,9;82,4;null;
2000-11-30;5;100,6;null;null;169,2;7,2;16;226,1;928,2;27,9;21,8;17,9;79,8;6,1;2,6;74,9;null;
2000-12-31;5;70;null;null;110,2;8;18;177,4;928,6;26,8;21,6;18,3;83,8;5,5;2,4;55,3;null;
2001-01-31;9;95;null;null;196,9;6,2;15;39,6;930,4;27,1;21,3;17,4;80,7;5;2,3;57,8;null;
2001-02-28;9;131,3;null;null;218,9;5,4;6;47,9;928,7;30,4;22,7;18,1;73,8;4,6;2,3;61,5;null;
2001-03-31;9;92,3;null;null;173,8;7,2;13;79,7;930;27,9;22;18,4;82,2;6;2,3;59,8;null;
2001-04-30;9;89,9;null;null;175,3;6,9;13;24;930,6;26,9;21,2;17,7;81,9;4,5;2,4;58,4;null;
2001-05-31;5;75,1;null;null;189,3;6,3;10;77,6;930,3;26,9;21,2;18,1;83,4;4,6;2,1;53,1;null;
2001-06-30;14;48,7;null;null;124,1;7,1;21;82,9;933,2;23;18,5;15,7;88,5;4,6;2,3;52,6;null;
2001-07-31;14;71,1;null;null;163,6;6,8;20;33,1;934,5;23,5;18,2;15,3;87,1;5;2,3;53;null;
2001-08-31;14;61,9;null;null;122,3;7,9;23;66,6;936,1;22,4;17,6;14,7;87,3;5;2,7;50,6;null;
2001-09-30;9;89,8;null;null;147,7;6,8;12;24,2;931,8;25,2;19,3;15,7;80;5;2,8;58,4;null;
2001-10-31;14;106,8;null;null;154;7,4;13;57,9;930,5;26,7;20,7;16,9;79,4;6,1;2,8;55,6;null;
2001-11-30;9;137,2;null;null;187,3;6,1;6;10,9;928,9;29,3;22,1;17,6;73,7;4,6;2,9;60,3;null;
2001-12-31;9;138,3;null;null;193;6,9;10;152,3;929,1;28,4;22,1;18,4;77,5;6,6;3;59,3;null;
2002-01-31;5;75,6;null;null;145,6;7,7;23;179,3;928,5;27;21,8;18,6;83,2;5;2,6;63,3;null;
