Nome: ITUACU
Codigo Estacao: 83292
Latitude: -13.81277777
Longitude: -41.29972221
Altitude: 534.44
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;121,8;null;null;222;5,5;13;81,1;950,2;31;24,9;20,2;69;7;2;59,8;null;
2000-02-29;5;141;null;null;225,4;6;10;105,8;951,7;32,1;25,6;20,8;66;12;2,2;60;null;
2000-03-31;5;120;null;null;204,5;6,2;14;61,6;951,2;30,5;24,6;20,4;70;7;2,1;59,8;null;
2000-04-30;14;106;null;null;187,1;6,6;10;62,7;952,5;30;24,1;20,2;71;7;1,7;60;null;
2000-05-31;14;127;null;null;205,1;5,7;8;4,2;953,8;29,4;23,5;18,6;64,8;7;2,1;59,4;null;
2000-06-30;14;126,4;null;null;179;5,2;9;9,3;955,7;27,7;21,8;17,3;66,7;7;2,1;59,3;null;
2000-07-31;14;126,9;null;null;195,2;5,6;10;18,3;955,3;27,5;21,5;16,9;65,6;7;1,8;59,7;null;
2000-08-31;14;170,9;null;null;228,5;4,6;3;8;955,9;28,6;22,3;17,2;59,9;7;2,3;59,2;null;
2000-09-30;14;163,5;null;null;199,3;5,2;10;14;954,6;28,9;23,4;18,9;58,9;7;2,5;59,3;null;
2000-10-31;5;250,5;null;null;281,1;3,7;2;1,8;953,8;32,4;26;20,3;48,6;7;2,8;60;null;
2000-11-30;5;142,9;null;null;183,5;6,5;14;109,8;951,6;30,6;25,2;20,7;63,9;5;1,9;59,8;null;
2000-12-31;14;90,2;null;null;127,3;7,2;19;307,9;952,2;28,7;23,9;20,3;80,1;7;1,5;58,1;null;
2001-01-31;14;146,4;null;null;252,4;5,3;10;35,5;953,8;30,4;24,5;19,7;64,8;7;2,2;58,7;null;
2001-02-28;14;193,9;null;null;253,9;4,6;4;19,8;951,8;33,9;26,8;20,9;51,8;7;2,1;60;null;
2001-03-31;14;152,1;null;null;210,9;5,9;7;54,5;953;31,8;25,8;21;61,5;7;1,6;59,8;null;
2001-04-30;14;160,8;null;null;215,6;5,4;8;7,1;954,1;31,4;25,2;20,1;58,2;7;2,4;60;null;
2001-05-31;14;146,7;null;null;215,3;5;6;7,5;954,4;31,2;24,8;19,6;60;5;1,5;60;null;
2001-06-30;14;126;null;null;185,3;5,8;7;17,6;957,2;28;22,3;17,4;64,7;7;2,1;59,2;null;
2001-07-31;14;157,3;null;null;194,3;5,8;6;4,2;957,5;28,2;22,2;17,3;61;5;2,1;59,7;null;
2001-08-31;14;149,2;null;null;181,4;6,2;12;9,1;959,4;27,6;21,9;17,1;61;7;2,7;59,7;null;
2001-09-30;14;182,1;null;null;226,4;5;5;11,9;955;30,4;24,1;18,9;54,7;7;3;60,6;null;
2001-10-31;5;179,5;null;null;166,2;7,3;9;90,1;954,1;30,4;24,8;20;59,8;5,3;2,4;46,5;null;
2001-11-30;9;214,7;null;null;226,6;6,5;1;5;951,9;32,8;26,6;21,5;53,9;6,3;2,7;46,7;null;
2001-12-31;5;161,5;null;null;182,6;6,9;10;74,6;952,2;31;25,3;20,9;62,4;6,6;2,4;46,6;null;
2002-01-31;0;98,7;null;null;192;6,2;20;284;951,9;29,7;24,3;20,1;73,6;5,1;1,7;45,6;null;
2002-02-28;0;124,1;null;null;228,4;5;3;148,4;952,8;30,7;24,8;19,4;64,1;4,6;1,7;48,2;null;
2002-03-31;9;147,2;null;null;234,6;5,7;6;15,5;953,1;31,5;25,4;20,5;60,5;7;2,2;47;null;
2002-04-30;14;148,2;null;null;221,6;5,6;4;8,6;953,5;31,3;25,2;20,3;60,8;7;2,1;46,6;null;
2002-05-31;0;141,2;null;null;235,7;4,3;4;24,8;954,9;29,6;23;17;62,3;7;1,7;46,6;null;
2002-06-30;5;106,5;null;null;153,8;6,4;11;19,8;958;27,6;22;17,6;66,4;4,8;1,7;46,2;null;
