Nome: JACOBINA
Codigo Estacao: 83186
Latitude: -11.17277777
Longitude: -40.53416666
Altitude: 486.37
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2023-03-02
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;null;null;null;239,8;6,2;9;130,2;null;952,9;30;24,7;20,5;73,9;8,3;2,7;64,6;
2000-02-29;14;null;null;null;228,7;6,2;9;124,8;null;954,1;30,6;25,1;20,5;71,6;7,3;3,1;66;
2000-03-31;14;null;null;null;217,6;6,7;16;94,4;null;953,3;30,2;24,7;20,5;74,6;6,6;3;64,4;
2000-04-30;14;null;null;null;193,2;6,9;14;119,9;null;954,6;29,3;24,1;20,2;77,2;7,6;3,3;64;
2000-05-31;14;null;null;null;178,1;6,7;13;55;null;955,5;27,6;22,6;19;79,8;6;2,9;62,3;
2000-06-30;14;null;null;null;149;6,6;13;49,9;null;957,6;26,2;21,5;17,8;80;6,5;3,3;62,3;
2000-07-31;14;null;null;null;197,9;6,7;12;25,1;null;958,6;27,1;21,5;17,5;74,6;8,5;3,8;64;
2000-08-31;14;173,4;null;null;184,5;6,3;18;27,3;null;961,9;27,8;22;18,4;71,1;9,8;4;63,9;
2000-09-30;14;203,6;null;null;178,4;6,9;20;38,5;null;960,2;29,1;23,2;19,2;67,5;11,6;4,7;63,1;
2000-10-31;14;296,4;null;null;262,3;5,1;3;2,1;null;959,7;32,2;25,6;20,5;54,4;10,3;4,9;65,9;
2000-11-30;14;167,3;null;null;183,1;6,9;16;172,9;null;957,2;30,2;24,8;20,9;71,2;10;3,1;60,8;
2000-12-31;14;137,6;null;null;194,9;6,5;10;144;null;957,4;29,7;24,4;20,6;72,9;5,6;2;61,6;
2001-01-31;14;216,2;null;null;256,8;6,2;9;34,4;null;957,2;30,8;24,9;20,6;64,3;8,1;3,8;63,4;
2001-02-28;14;280,4;null;null;236,1;5,1;4;1,8;null;957;33,8;27,1;21,6;54,1;9,3;3,8;65,3;
2001-03-31;14;182;null;null;213,4;6,6;16;108,9;null;958,6;31,1;25,4;21,5;69,3;7,1;3,3;60,6;
2001-04-30;14;205,6;null;null;196,6;6,8;13;27,9;null;959,4;31;25,2;20,8;66,3;8;4;62,4;
2001-05-31;14;196,1;null;null;235,3;5,3;9;42,5;null;959,3;31,3;25,1;21;64,8;8;3,4;64,1;
2001-06-30;14;115,9;null;null;146,9;7,2;17;75,6;null;962,2;26,2;21,8;18,9;79,2;8,3;4,1;58,7;
2001-07-31;14;131,2;null;null;174,6;6,9;13;44,9;null;962,7;26,5;21,6;18,3;76,3;9;3,7;61,1;
2001-08-31;9;142,4;null;null;158,4;7,9;25;46,7;null;964,5;26;21,1;17,8;77,2;7,3;4,1;58,2;
2001-09-30;14;178,3;null;null;191,9;6,2;13;46,8;null;960,9;28,7;23,2;19,2;67,6;7,5;4,2;65,5;
2001-10-31;14;237,9;null;null;214;5,8;7;12,5;1012,6;959,3;31,2;25,2;20,6;61,1;10,6;4,6;67,5;
2001-11-30;14;324,7;null;null;245,2;5,2;1;1,4;1010,5;957,4;33,7;27,1;21,4;50,7;11;4,9;71,9;
2001-12-31;14;240,6;null;null;181,7;6,2;13;128,6;1010,6;957,6;31,8;25,8;21,9;65,9;10,5;3,9;63,3;
2002-01-31;14;33,4;null;null;169,6;7,3;23;444;1011,6;957,7;29,2;24;20,7;78,2;6,5;2,4;61,8;
2002-02-28;14;96;null;null;227,4;5,8;11;97,9;1012,3;958,4;30,1;24,4;20,5;70;6,1;2,9;71;
2002-03-31;14;192,2;null;null;239,3;6,2;13;44;1012,2;958,3;30,7;25,1;21,4;69,5;7,6;3,5;68,3;
2002-04-30;14;172,7;null;null;203,3;6,6;10;25,7;1011,9;958,7;30;24,8;21,4;68,8;7,6;3,7;68,1;
2002-05-31;9;170,4;null;null;215,3;5,5;12;43;1013,8;960,2;28,9;23,3;19,7;70,7;9,6;3,4;71,2;
2002-06-30;14;141,7;null;null;150,6;7,4;18;44,2;1017,1;962,8;26,7;22,2;19,3;75,9;9,5;4,2;61,5;
2002-07-31;14;152;null;null;166,3;6,8;19;47,8;1017,2;963;26,8;21,9;18,5;74,4;8;3,7;63,3;
2002-08-31;14;183,3;null;null;221,4;6,4;18;54,3;1017,2;963;27,3;22;18,4;69,7;11;4,7;66;
2002-09-30;14;226,7;null;null;191,2;6,5;6;11,1;1014,4;960,8;29,9;24,1;19,8;62,4;9,5;4;67,2;
2002-10-31;14;335,8;null;null;271,8;4,5;3;2,4;1012,3;959,2;31,9;25,7;20,6;52,2;10,5;5;71,9;
2002-11-30;14;294,1;null;null;243,5;5,6;7;26,6;1011,7;958,8;33,1;26,4;21,2;57,3;10,8;4;68,8;
2002-12-31;9;262,4;null;null;202,6;6,1;7;144,5;1010,9;958,1;32,9;26,9;21,9;59,8;7,6;2,8;68,6;
2003-01-31;14;215,1;150,4;150,4;279,3;5,9;7;121,8;1010,8;958;33,2;26,7;22,1;60,7;5;2,3;68,9;
2003-02-28;14;200,2;121,9;121,9;239,1;6,3;9;77,5;1011,7;958,6;31,6;25,8;21,7;64,1;8,3;3,3;68,6;
2003-03-31;14;208,4;138;138;223,6;7;11;128,9;1011,1;958,1;31,9;26,3;22,2;67,6;7,3;3,1;68,2;
2003-04-30;14;210,3;127;53,1;243,2;5,8;5;6,5;1011,8;958,8;31,6;26,1;22;64,1;7,8;3,6;72,8;
2003-05-31;14;113,8;80,4;51,1;138,3;7,2;15;51,1;1014,1;960,4;28;23,3;20,2;79,1;7,5;2,7;65,8;
2003-06-30;14;100,9;72,9;57,7;173;7,3;19;57,7;1015,7;961,6;26,4;21,9;19,4;81,1;6;3,2;64;
2003-07-31;14;119,2;66,8;66,8;171,6;7,3;20;71,8;1017,8;963,4;25,2;21;18,2;78,5;8,8;3,6;63,7;
2003-08-31;14;136,2;79,2;25,7;177,3;6,6;14;21,1;1016,7;962,7;26,8;22,2;18,9;74,3;8,6;3,9;66,2;
2003-09-30;14;206,7;null;null;205,2;5,7;11;18,8;1015,3;961,5;29,1;23,5;19,6;63,8;8,5;4,3;69,5;
2003-10-31;14;291,5;null;null;227,4;5,5;4;3,7;1012,6;959,4;31,3;25,1;20,5;56,9;11,3;5,4;72,5;
2003-11-30;14;222;null;null;197,1;6,6;13;79,6;1011;957,9;30,4;25,2;21,2;66;7,5;4,1;68,4;
2003-12-31;14;309,2;null;null;243,7;5,4;4;2,1;1010,3;957,6;32,9;26,9;21,9;54,3;11,3;4,1;72,9;
2004-01-31;14;159,1;null;null;155,6;7,6;20;417,7;1009,9;956,8;30,8;25,6;21,8;73,7;5,5;2,5;59,6;
2004-02-29;14;135,1;null;null;201,6;6,7;12;101,1;1011,4;958,2;30,2;25,1;21,7;74,3;7,8;2,9;67,4;
2004-03-31;9;149,7;null;null;177,1;6,8;9;66,2;1011;957,9;null;null;21,8;74,2;5,6;2,9;67,9;
2004-04-30;14;174;null;null;220,4;6,2;6;6,7;1012,1;958,9;29,3;24,6;21,7;71,4;6,1;3,1;66,8;
2004-05-31;9;157,9;null;null;187,6;6,1;9;27,8;1013,9;960,3;28,2;23,3;20,1;77,1;7,5;3,1;68,1;
2004-06-30;9;176,5;null;null;161,5;6,8;11;26,6;1017,1;963,1;26,6;22,2;19,5;78,3;7,8;3,7;63,8;
2004-07-31;14;176,1;null;null;175,9;6,5;10;13,2;1016,3;962,2;26;21,5;18,2;74,3;9,8;3,9;65,7;
2004-08-31;14;251,7;null;null;213,9;5,6;3;2,9;1016,8;962,8;27,8;22,5;18,4;67,3;12;4,8;69,7;
2004-09-30;14;317,7;null;null;223,7;5,9;5;7,6;1014,7;961,1;29,6;23,6;19,2;64,5;11,5;5,3;69,7;
2004-10-31;14;365,3;null;null;238,7;5,4;2;2,1;1011,6;958,5;31,5;25,7;20,8;62;10,5;4,4;71,5;
2004-11-30;14;337,5;null;null;237,9;5,7;7;103,6;1010,5;957,5;32,1;26,2;21,5;64,3;10,1;4,2;70,8;
2004-12-31;14;328,8;null;null;260,9;5,4;2;11;1010,1;957,2;31,7;26,4;21,7;61,9;6,6;3,2;71,3;
2005-01-31;14;236,8;null;null;231,4;6;4;95,3;1009,1;956,5;32,7;27,1;22,4;61,6;18;3,2;70,2;
2005-02-28;14;169,5;null;null;195,2;6,6;12;107,8;1009,9;957;30,7;25,7;22,2;72,5;8;2,8;67,2;
2005-03-31;14;191,5;null;null;249,9;5,7;8;146,6;1010,6;957,7;30,9;25,8;22,2;71;6,6;2,6;69,6;
2005-04-30;14;134,3;null;null;186;7,7;19;181,7;1012,3;959;28,6;24,2;21,4;79,5;6;3,1;62,2;
2005-05-31;14;118,7;null;null;171,7;7,4;13;42,7;1013,7;960;26,8;22,9;20,3;80,8;6,8;3,1;64,3;
2005-06-30;14;102;null;null;154;7,6;16;34,1;1015,8;961,8;25,8;21,9;19,2;82;7,5;3,2;60,4;
2005-07-31;9;124,8;null;null;162,5;6,8;11;28,1;1017,8;963,6;25,3;21;17,9;77,9;7,6;3,5;64,9;
2005-08-31;14;116,4;null;null;214,7;6,7;12;63,7;1016,8;962,7;26,6;21,9;18,3;71,6;8,3;3,9;66,2;
2005-09-30;14;226,9;null;null;217,1;5,5;7;11,2;1014,5;961;29,6;24;19,7;63,4;8,5;4,1;70,5;
2005-10-31;14;324,8;null;null;288;4,5;3;1,7;1012,1;959,1;32,4;26,1;21;51,3;11,5;4,8;74;
2005-11-30;14;260,4;null;null;208,1;5,7;7;100,9;1010,1;957,2;31,9;25,9;21,4;60,1;11,6;3,6;69,9;
2005-12-31;14;228,4;null;null;205,7;6,4;7;10,1;1009,7;956,8;30,8;25,4;21,6;66,8;7,8;3,3;68,5;
2006-01-31;14;310;null;null;287,2;5,5;3;3,7;1010,1;957,4;32,7;26,7;21,7;55,2;9,1;4,4;68,1;
2006-02-28;14;286,8;null;null;253;5;7;53,4;1008,7;956,2;34,2;27,8;22,8;54,6;8,3;3,2;71,4;
2006-03-31;14;180;null;null;212;7,1;20;342,7;1009,8;956,9;31;25,9;22,3;71;7,8;2,5;67,1;
2006-04-30;14;97,7;null;null;177,9;7;25;233,1;1010,5;957,3;28,5;24,2;21,4;81,5;6,5;2,5;63,8;
2006-05-31;14;103,2;83,7;83,7;152,5;7,4;14;38,3;1014,4;960,5;26,4;22,6;19,7;79,3;9,5;3,1;64;
2006-06-30;14;93,3;64,3;64,3;110;7,8;19;42,8;1016,5;962,3;24,7;21;18,3;80;7,6;3,3;62,5;
2006-07-31;14;116;62,2;62,2;165,3;6,6;12;35,5;1017,6;963,2;25;20,5;17,1;76,1;7,5;3,1;64,6;
2006-08-31;14;168,3;76,1;63;206;6,3;11;56,6;1016,1;962;26,6;21,8;18,4;72;8,3;3,9;67,5;
2006-09-30;14;173,1;89,8;10,3;204;5,7;10;10,3;1015;961,2;28,7;23,1;18,9;68,1;8;3,9;70,1;
2006-10-31;14;133,6;112;87,1;151,6;7;16;87,1;1011,8;958,5;29,5;24,4;20,4;72,8;8,3;3,4;62,1;
2006-11-30;14;101,4;110,8;81,9;223,1;6,4;11;81,9;1010,9;957,7;29,6;24,3;20,5;74;7,8;2,7;66,5;
2006-12-31;14;184,9;139,7;30,1;265,3;4,8;4;30,1;1010,8;957,9;32;26;21,5;64,9;7,8;3,1;71,2;
2007-01-31;9;287;165,9;11,2;265,9;5,5;3;11,2;1009,8;957,3;34,3;27,6;22;56,1;10,5;3,5;68,6;
2007-02-28;14;102,1;109,7;109,7;173,6;7,5;18;409,6;1011;957,9;30,5;25,1;21,2;75,7;8;2,6;63;
2007-03-31;14;143,7;105,2;105,2;216,2;7,3;15;90,8;1012,3;958,9;28,7;24;20,7;77,3;7,6;3,2;62,8;
2007-04-30;14;129,7;96,6;96,6;191,4;6,2;9;85,3;1012,1;958,7;28,6;23,8;20,3;78,4;5,3;2,7;66,4;
2007-05-31;14;120;84,8;84,8;149,7;6,8;11;13,8;1013,9;960,2;27,2;22,7;19,3;79,5;7;2,9;65,2;
2007-06-30;14;154,9;72,9;35,6;184,7;6,6;13;32,5;1016,1;961,9;26,8;21,9;18,5;75;9,8;3,8;71,1;
2007-07-31;14;155,9;73,6;25,9;185;6,8;15;25,9;1016,4;962,4;26,5;21,7;18,4;73,9;8;3,3;63,3;
2007-08-31;14;230,8;76,1;19,5;210,9;6;13;19,5;1016,5;962,4;27,1;21,8;18,1;71,3;9,3;4,3;65,8;
2007-09-30;14;238,1;85,2;25,5;210,6;6,5;12;25,5;1016,2;962,3;28,5;22,7;18,3;66,5;9,3;4,4;72,9;
2007-10-31;9;264;114,7;5,5;230,7;5,6;4;5,5;1012,3;959,1;30,7;24,8;19,8;65,1;10;4,5;70,5;
2007-11-30;null;326,4;138,4;96,8;213,2;5,5;5;96,8;1009,7;956,9;32,5;26,3;20,9;58,1;null;null;73,5;
2007-12-31;null;228,4;133,4;13;260,9;5,3;4;13;1009,9;956,9;31,7;25,5;21;67,3;null;null;70,5;
2008-01-31;null;331,1;153,8;3,7;274,3;5,4;1;3,7;1009,2;956,6;32,9;26,9;21,3;55,4;null;null;71,4;
2008-02-29;14;240,8;138,1;86,5;235,7;6,2;8;86,5;1009,8;957,1;32,9;26,7;21,7;62,4;9,3;2,9;65,8;
2008-03-31;14;205,8;128,7;120,9;216,6;7,3;10;120,9;1009,8;957,2;31,5;25,7;21,4;71,1;7,1;3,1;66,7;
2008-04-30;14;138,2;109,1;74,7;218,8;6,3;11;74,7;1009,6;956,5;30,2;24,8;21,5;77;7;2,6;67,3;
2008-05-31;14;157,8;88,1;88,1;166,4;6,7;10;97,3;1013;959,4;28;23,1;19,5;76,4;7,3;2,9;66,2;
2008-06-30;14;146,6;70,9;48,1;170,5;7,2;13;46,1;1015,7;961,6;26,3;21,7;18,4;78;8,5;3,2;61,9;
2008-07-31;null;150,5;65,9;24,2;170,1;6,9;15;21,6;1017,5;963,2;25,5;20,9;17,7;76,9;null;null;61,6;
2008-08-31;14;226,8;83,6;36,5;233,8;6;12;34,7;1014,8;960,9;28;22,5;18,4;68,1;8,8;4,4;66,8;
2008-09-30;14;244,1;98,2;18,8;189;5,6;4;17,8;1014,5;960,8;29,3;23,9;19,4;66,3;9;4;69,5;
2008-10-31;14;319,7;121,9;14,5;249,3;5,7;7;13,7;1013;960;31,4;25,2;20,2;61,5;12,8;4,7;69,4;
2008-11-30;14;337,9;151,3;,3;225;5,2;0;0;1009,3;956,6;33,5;26,8;21,2;55,7;8,8;3,9;71,2;
2008-12-31;14;211,2;130,3;49,5;190;6,9;9;49,4;1009,8;956,8;30,4;25,4;21,2;71,2;8;3,1;67,7;
2009-01-31;14;243,4;145,4;33,9;260,2;5,8;6;33,9;1010,4;957,6;32,3;26,4;21,6;63,4;9,8;3,3;66;
2009-02-28;14;216,4;123,3;123,3;215;6,5;9;132;1009,7;956,9;31,3;26,1;21,5;66,8;8,5;3,5;67,1;
2009-03-31;14;315,9;167,9;14,5;269,4;5,8;4;7,5;1008,2;955,9;34,2;28,1;22,6;55,7;9,6;3,4;70,9;
2009-04-30;14;142,3;113,1;113,1;185,1;7,2;12;216,2;1010,9;957,8;29,8;25,1;21,2;77,3;4,5;2,2;65,8;
2009-05-31;14;123,2;89,3;81,2;118,6;8;9;46,1;1013,1;959,5;26,8;23,1;20;79,5;8,1;3;62,1;
2009-06-30;14;136,2;79;48,7;150,9;6,5;10;19,7;1015;961,2;26,8;22,4;19;77,7;6,6;3;64,3;
2009-07-31;14;169,1;80,9;47;196;6,8;15;33,5;1015,7;961,8;27,2;22,4;18,8;71;8,8;3,3;64,1;
2009-08-31;14;164,4;85,8;50,8;187,1;6,6;17;43;1015,5;961,5;27,3;22,7;18,8;71;10,6;4,2;66,1;
2009-09-30;14;142,7;131,9;16,4;250,9;4,5;3;6;1013,5;960,4;31;26,3;22,2;51,6;13,3;4,5;72,8;
2009-10-31;9;264,1;127,7;70,8;201,5;6,4;9;69;1010,4;957,3;31,4;25,5;20,5;64,9;9,6;3,2;67,5;
2009-11-30;9;305,6;127,7;6,4;265,6;4,8;1;4,8;1010,2;957,3;31,3;25,6;20,5;58,9;7,3;3,5;70,3;
2009-12-31;14;304,4;147,8;10,9;190,9;7;6;10,4;1010,1;957,3;32,5;26,5;21,2;60,8;8;3,7;69,1;
2010-01-31;null;240,5;140,6;62,5;282;6,2;10;62,4;1010,9;958;32,5;26,2;20,9;63;9,3;null;66,3;
2010-02-28;null;244,9;137,9;53,1;208,5;6,9;9;53,1;1010,4;957,7;33,2;27;21,4;56,3;null;null;65,7;
2010-03-31;14;190,2;136,4;136,4;218,5;6,5;14;147;1010,1;957,3;31,6;26,1;21,1;72,8;6,8;2,7;67,8;
2010-04-30;14;132,1;102,8;85,1;194;7;14;83,2;1011,8;958,6;29,3;24,3;20,4;78,9;6,6;2,9;64;
2010-05-31;null;174,6;106,3;21,9;217,8;5,7;6;16,7;1012,2;958,9;29,7;24,5;20,2;70,6;5,8;null;68,8;
2010-06-30;null;180,4;77,9;28;147,1;7,3;9;26,6;1016,1;962,2;27,1;22,4;18,4;74,7;7,6;null;63,4;
2010-07-31;9;121,5;66,8;66,8;143,4;8;25;94,1;1016,7;962,6;25;21;17,5;80,1;6,6;3,6;60,2;
2010-08-31;14;197,2;70;33,7;209,4;7,4;10;22,6;1017,2;963;26,3;21,2;16,7;71;9,1;4,1;62,3;
2010-09-30;14;248,2;87,5;29,2;225,2;6,4;18;20,2;1014,4;961;29;22,9;17,7;66,4;9,6;4,6;66,2;
2010-10-31;14;278,6;133,7;30,1;241,8;5,1;6;23,9;1010,9;958,3;32,2;25,9;20;57,6;8,1;4;70;
2010-11-30;14;null;141,5;2,4;240,7;5,2;0;0;1008,8;956,4;32,3;26,5;20,4;54,7;8,1;3,6;71,3;
2010-12-31;14;null;131,8;131,8;219,9;6,2;10;253;1007,7;955,3;31,3;25,4;20,7;70,8;5,6;2,7;65,9;
2011-01-31;14;156,7;123,7;112,7;237;6,4;8;72,7;1009,2;956,5;30,1;24,9;20,4;70,4;6,5;2,9;63,4;
2011-02-28;14;205,4;117,7;90,3;214,1;6,6;9;66,1;1009,6;957,1;31,5;25,7;20,8;65,2;8,5;3,3;65,5;
2011-03-31;14;162,8;130,3;130,3;226,1;6,6;11;141,7;1008,7;956,2;31,7;25,7;21,1;71,8;4,8;2;64,8;
2011-04-30;14;160,4;103,5;102,4;205,7;6,7;17;101,6;1010,6;957,8;29,2;24,3;20;76,2;7;2,9;63,6;
2011-05-31;14;132,9;83,7;63,8;145,8;7,8;15;50,9;1012,9;959,6;26,3;22,5;18,7;79,3;6,5;3;61,5;
2011-06-30;14;135,7;70,1;29,9;null;6,4;7;16;1014,9;961,1;26,7;21,5;17,1;77,6;8,1;3;63;
2011-07-31;14;233,2;72,8;36;197,8;6,1;10;29,1;1015,2;961,6;26,9;21,5;17;71,3;5,8;3,5;66,8;
