Nome: JAGUARUANA
Codigo Estacao: 82493
Latitude: -4.85361111
Longitude: -37.77722221
Altitude: 16.57
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2019-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;162,1;null;null;242,1;6,1;7;36,5;1007,3;33,6;28;24,1;72,8;null;null;35;null;
2000-02-29;5;119,2;null;null;212,8;7,6;17;154,9;1008,8;32,3;27,2;23,5;78,6;null;null;34,5;null;
2000-03-31;5;145,9;null;null;210,3;7,5;13;129,3;1007,5;32,4;27,4;23,7;78,7;null;null;35,3;null;
2000-04-30;9;89,4;null;null;202,5;7,6;23;226;1008,6;31,5;26,7;23,5;85,2;null;null;35;null;
2000-05-31;9;122,6;null;null;268,4;6;11;121,3;1009,5;31,1;26,4;22,7;81,6;null;null;35,7;null;
2000-06-30;9;150,5;null;null;222,6;5,1;5;16;null;31,9;26,5;22,4;75,9;null;null;5;null;
2000-07-31;9;188;null;null;210,5;6,2;5;17,2;null;32,6;26,7;22,4;72,7;null;null;5;null;
2000-08-31;9;218,4;null;null;266,8;4,2;6;39,7;null;32,9;26,6;21,7;70,4;null;null;5;null;
2000-09-30;9;195,1;null;null;271,7;3,9;3;34,4;null;33,6;27,5;22,7;69,7;null;null;5,6;null;
2000-10-31;5;null;null;null;320;3,2;0;0;null;34,5;28;22,8;63,9;8,5;5,8;7,7;null;
2000-11-30;5;null;null;null;284,3;5,2;0;0;null;34,2;27,9;23;65,6;9;5,4;7,6;null;
2000-12-31;5;null;null;null;265,9;5,1;6;11,4;null;33,6;27,8;23,5;69,1;8,6;4,5;7,7;null;
2001-01-31;9;null;null;null;254,2;6;3;16,9;null;34,4;28,2;23,7;67,7;null;null;7,7;null;
2001-02-28;5;null;null;null;241,2;6,9;10;89,8;null;34,4;28,2;24;69,9;null;null;7,7;null;
2001-03-31;5;159,5;null;null;219,6;7,3;11;96,4;null;33,1;27,8;23,9;74,6;null;null;7,7;null;
2001-04-30;14;90;null;null;170,1;8,2;18;209,8;null;30,9;26,7;23,5;82,1;null;null;7,6;null;
2001-05-31;5;null;null;null;278,2;4,7;2;,8;null;33,6;27,6;23,2;74,1;null;null;7,7;null;
2001-06-30;9;null;null;null;217,4;6,1;8;53,6;null;32,8;26,9;22,7;72,6;null;null;7,6;null;
2001-07-31;9;null;null;null;280,3;3,9;3;8,4;null;33,7;27;22;66,6;null;null;7,7;null;
2001-08-31;9;null;null;null;316,7;2;1;1,3;null;34,7;27,4;21,8;60,5;null;null;14,4;null;
2001-09-30;9;null;null;null;295,8;2,3;1;,5;1011,7;35,1;27,9;22,6;63,1;7,8;null;41,7;null;
2001-10-31;5;305,7;null;null;297;3,7;0;0;1011;35;28,4;23,5;62,8;8,3;5,5;63,5;null;
2001-11-30;5;null;null;null;280,3;3,7;0;0;1010,1;34,6;28,3;24,2;68,1;7,8;5,6;96,9;null;
2001-12-31;5;null;null;null;280,7;4,5;2;6;1009;34,8;28,9;24,6;68,8;7,8;5,5;90,8;null;
2002-01-31;5;null;null;null;201,8;7,7;13;146;1010,4;31,9;27,1;23,8;82,2;7,8;3,1;95,8;null;
2002-02-28;9;null;null;null;211,5;5,9;12;76,8;1010,3;32,4;27,1;23,2;79,5;7;3,2;96,6;null;
2002-03-31;5;null;null;null;212,5;7,4;17;191,7;1010,2;32,3;27;23,4;82,2;7,3;2,6;97,6;null;
2002-04-30;5;null;null;null;182,6;7,1;17;136,5;1009,5;31,5;26,8;23,4;85,5;5,1;1,9;97,5;null;
2002-05-31;5;null;null;null;250,2;6,8;15;140,5;1010,9;31,7;26,8;23,1;84;5,1;2,2;96,5;null;
2002-06-30;14;null;null;null;224,3;5,7;10;73,1;1013;30,7;25,9;21,8;82,8;5,1;2,3;97,6;null;
2002-07-31;5;157,9;null;null;269,5;3,5;3;3,7;1013,4;32,8;26,2;21,1;73;6,6;3,2;62,8;null;
2002-08-31;9;null;null;null;290,8;2,9;0;0;1012,8;34,5;27,1;21,3;67,8;7,7;4,1;96,9;null;
2002-09-30;5;null;null;null;291,7;2,5;0;0;1012,1;34,7;27,4;22,1;65,9;8,2;5;95,8;null;
2002-10-31;5;null;null;null;326,4;3,1;0;0;1010,6;35,1;28,2;22,6;65,8;8,7;5,6;97,6;null;
2002-11-30;5;273,1;null;null;303,5;3,5;3;1;1010,7;35,1;28,4;23,4;66,8;7,8;5,3;63,5;null;
2002-12-31;5;null;null;null;282,8;4,6;3;3,7;1010,5;34,8;28,5;23,9;68,8;9,3;4,9;95,9;null;
2003-01-31;5;193,6;163,3;163,3;228,9;5,6;10;147,6;1011;32,9;27,6;23,6;74,5;8,1;3,8;62,8;null;
2003-02-28;5;114,8;140,5;140,5;174,7;8,5;12;191;1010,2;32,3;27,3;23,8;80,4;6,1;2,9;61,7;null;
2003-03-31;9;81,5;143,8;143,8;192,1;7,8;23;318,9;1010;31,5;26,7;23,4;85,3;6;2,1;61,1;null;
2003-04-30;5;79;137,6;137,6;222,2;7,3;20;231,1;1010,6;31,6;26,8;23,5;84,3;5,6;2,2;63,2;null;
2003-05-31;5;88,3;144,8;144,8;249,6;5,9;11;69,3;1011,1;31,8;26,9;23,4;80,6;6,3;2,3;62,7;null;
2003-06-30;5;136,3;130;50,4;275,5;3,6;5;24,2;1011,7;32,5;26,5;22;75,8;5;2,4;62,7;null;
2003-07-31;9;218,1;132,7;9;283,7;3,2;3;9;1013;33,5;26,4;21,2;69,4;7,1;3;62,4;null;
2003-08-31;5;302,9;149,5;0;317,5;2,2;0;0;1012,9;34,7;27,1;21,6;64,8;8;3,9;62;null;
