Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;128,9;null;null;263;6,9;13;96,4;1010,8;30,4;27,7;24,5;75;5;2,6;20;null;
2000-02-29;9;120,2;null;null;213,4;6,8;18;149,4;1012,1;30,7;27,9;24,5;76,9;5;2,6;20;null;
2000-03-31;9;155,3;null;null;251,2;6,7;15;109,2;1011,1;30,9;28,1;24,8;76;5;3;20;null;
2000-04-30;14;94,5;null;null;205,8;7,1;23;216,5;1011,9;30,2;27,2;23,9;83,1;6;2,7;19,5;null;
2000-05-31;14;107,3;null;null;218,1;7;20;333,9;1013,2;29,8;26,7;23,4;82,7;5,3;2,7;20;null;
2000-06-30;14;93,5;null;null;167,3;7,5;23;557,7;1014,8;28,8;25,6;22,8;85,5;6,6;2,6;20;null;
2000-07-31;14;86,4;null;null;129,8;7,9;28;444,4;1014,7;28;24,7;22,1;87,6;5,6;2,8;19,8;null;
2000-08-31;14;101,8;null;null;232,4;7;23;167,9;1015,3;28,5;25,3;22,1;80,8;5;2,8;29,5;null;
2000-09-30;14;112,2;null;null;210,2;7,2;23;228,8;1014,3;28,9;26,2;23,3;78,6;6,3;3,1;44,5;null;
2000-10-31;9;150,1;null;null;286,7;6,3;17;15,9;1014,2;29,7;27,1;24,8;72,6;6,3;3,7;58,1;null;
2000-11-30;5;146,7;null;null;276,8;6,3;12;45,7;1011,5;30,1;27,4;24,9;73,6;5;3,3;62,4;null;
2000-12-31;5;115,9;null;null;246;6,9;14;81,4;1012,1;29,6;27;24,5;77;5;2,7;58,9;null;
2001-01-31;9;161,3;null;null;282,5;6,5;11;25,3;1012,6;30,3;27,6;24,7;73,6;5,5;3,4;63,5;null;
2001-02-28;9;149,1;null;null;266,9;6;3;7,1;1011,4;31,1;28,1;24,8;72,6;6,3;3,6;62,7;null;
2001-03-31;9;119,3;null;null;235,7;6,7;17;197;1012;30,8;27,7;24,1;76,3;5,6;2,9;62,2;null;
2001-04-30;14;102,7;null;null;191,8;7,3;20;267,2;1012,5;29,9;26,8;22,9;80,5;5,8;2,9;60,4;null;
2001-05-31;14;130;null;null;288,4;6;13;47,8;1013,3;30,4;27,3;22,7;75,2;5,8;3;63,3;null;
2001-06-30;18;89,7;null;null;169,1;7,1;27;254,9;1015;29,1;25,5;22,1;82,4;6,3;2,8;58;null;
2001-07-31;18;86,5;null;null;209,3;7;28;184,7;1016,7;28,5;25,3;22;null;5,8;2,7;54,1;null;
2001-08-31;14;134,7;null;null;250,2;6,6;23;62,1;1018,5;28,5;25,2;21,9;null;6,3;3,6;59,4;null;
2001-09-30;null;86,7;null;null;null;null;12;44;1016;29;26;23,1;null;6;null;null;null;
2001-10-31;18;135,4;null;null;277,9;6,2;10;22,3;1015,1;29,8;27,2;24,8;null;5;3,1;57,4;null;
2001-11-30;18;134,9;null;null;284,8;5,8;12;16,1;1013,8;30,3;27,7;25,4;null;4,6;3,5;59,3;null;
2001-12-31;18;126,5;null;null;271,6;6,2;18;50;1013;30,6;27,7;23,9;null;5,3;3,3;59;null;
2002-01-31;14;101;null;null;207;6,8;23;179,4;1013,4;30,2;27,6;24,9;null;5,3;2,8;53,2;null;
2002-02-28;18;106;null;null;231,5;5,8;14;133,3;1013,7;30,6;27,9;25;null;6,3;3;57,8;null;
2002-03-31;18;107;null;null;228;6,3;21;251;1013,2;30,6;27,5;24,1;null;7,3;2,9;56,5;null;
2002-04-30;18;null;null;null;193;6,5;22;196,7;1011,5;30,4;27,1;23,6;79,7;6,6;3,4;59,8;null;
2002-05-31;14;86,2;null;null;207,2;6,3;23;265,5;1012,5;29,9;26,8;23,8;82,2;8,3;3,4;60,9;null;
2002-06-30;18;67,3;null;null;152,6;7;27;472,3;1014,6;28,6;25,2;22,5;86,4;6;3,1;57,9;null;
2002-07-31;14;92,8;null;null;200,6;6,2;21;262,4;1015,6;28,5;25,4;22,5;81,9;6,6;3,5;60,2;null;
2002-08-31;14;127,3;null;null;241,6;6,3;22;140,1;1015,7;28,5;25,5;22,4;78;7,1;4,1;60,4;null;
2002-09-30;14;138,9;null;null;290,5;4,8;9;13,4;1015;29,4;26,5;23,8;72,1;6,3;3,9;63,3;null;
2002-10-31;14;152,2;null;null;283,2;5,8;11;43,1;1013,7;29,7;27;24,6;74,7;6,6;3,9;63,3;null;
2002-11-30;5;132,7;null;null;264,6;6;15;35,9;1013,4;30,1;27,2;24,8;75,7;5,6;3,5;63,1;null;
2002-12-31;5;132,9;null;null;293,1;5,6;10;10;1012,8;30,7;28;25,8;76,6;6,3;3,6;63;null;
2003-01-31;5;123,1;175;175;264,9;5,7;11;51,3;1012,6;31;28,1;25,1;76,4;6,8;3,1;61,8;null;
2003-02-28;14;103,4;149,2;149,2;201,8;6,3;19;252,9;1012;30,5;27,7;24,1;77,2;5,6;3,2;60,7;null;
2003-03-31;14;101,5;160,7;160,7;197,2;6,4;20;275;1011,6;30,7;27,7;24,1;79,1;5;2,7;60,2;null;
2003-04-30;14;105,1;154,9;154,9;224,5;6;18;206,7;1012,2;30,8;27,8;24;75,9;6;3,1;61,4;null;
2003-05-31;14;95,7;147,8;147,8;219;5,9;15;212,6;1013,1;30,2;27,3;23,6;77,1;5,6;2,9;60,5;null;
2003-06-30;18;79,1;107,9;107,9;134,5;6,9;20;626,2;1014;28,6;25,2;22;85,5;5;2,7;49,6;null;
2003-07-31;14;null;null;null;null;6,2;14;null;1015,4;28,6;25,1;22;79,8;8,3;3,5;56,5;null;
2003-08-31;null;null;119,7;119,7;null;null;14;null;1015,5;28,8;25,6;22,2;77;8,3;null;null;null;
2003-09-30;14;128,6;null;null;257,9;5,2;14;97,2;1015;29,2;26,2;23;75,6;6,6;4,4;63,3;null;
2003-10-31;9;147,1;null;null;282;5,2;11;36,3;1013,4;30;27,1;24,5;71,7;6,6;3,9;63,1;null;
2003-11-30;5;138,7;null;null;291,3;5,1;9;15,4;1012;30,7;27,7;25,2;72,2;6,6;3,5;62,6;null;
2003-12-31;5;134,7;null;null;265,3;5;12;65,5;1012,2;30,7;27,9;25,4;73,4;7,9;3,3;62,8;null;
2004-01-31;5;89,8;null;null;152,5;7,2;21;303,2;1010,8;30,1;27,2;24,3;81,4;5;2,5;60,3;null;
2004-02-29;9;99,2;null;null;192,4;6,5;14;128,2;1011,7;30,6;27,7;24,5;76,7;5,8;2,9;62,4;null;
2004-03-31;9;121,2;null;null;250,8;5,7;14;158,8;1011,3;31;28;24,9;74,8;5,3;3,1;62,6;null;
2004-04-30;9;96,9;null;null;196,4;5,7;22;136,9;1011,6;30,6;27,5;23,9;77,7;5,6;2,9;60,7;null;
2004-05-31;14;80,9;null;null;190,6;5,9;24;302;1013;29,7;26,4;22,8;82,5;5,5;2,5;58,7;null;
2004-06-30;14;71,8;null;null;125,3;6,7;26;483,1;1015,2;28,7;25,3;22,1;84,5;5,6;2,7;59,4;null;
2004-07-31;18;80;null;null;170,1;5,9;24;475,8;1014,3;28,2;24,8;21,3;82,7;5,8;2,8;57,4;null;
2004-08-31;14;103,9;null;null;220,9;5,6;20;162,5;1015,8;28,7;25,3;21,6;78,2;6;3,1;59,7;null;
2004-09-30;14;130,1;null;null;250,8;5,4;13;37,5;1014,6;29,5;26,3;22,9;72,2;6,6;3,9;61,3;null;
2004-10-31;14;123,9;null;null;278,2;5,1;10;27,4;1013,2;30;27,1;24,7;71,8;5;3,2;62,8;null;
2004-11-30;14;133,9;null;null;289,7;4,5;7;9,1;1012,2;30,5;27,5;25;71,4;5,1;3,2;63,7;null;
2004-12-31;9;133,5;null;null;291;4,9;7;5,1;1011,6;30,8;27,9;25,3;72,1;5,6;3,1;63,1;null;
2005-01-31;9;118,6;null;null;276,2;5,2;4;37,4;1010,7;31,1;28,3;25,8;73,6;5;3;62,7;null;
2005-02-28;9;104,5;null;null;242,9;5,2;10;56,6;1010,2;31,6;28,8;26,1;74,1;5,1;3,1;62,3;null;
