Nome: LUZILANDIA(LAG.DO PIAUI)
Codigo Estacao: 82296
Latitude: -3.46972221
Longitude: -42.26805554
Altitude: 44.13
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;83;null;null;202,2;5,4;10;148,4;null;33,3;27,4;21,2;74,7;7;2,7;null;null;
2000-02-29;9;56,8;null;null;103,5;6,5;20;144,1;null;31,9;26,5;21,2;81,7;7;2,4;60;null;
2000-03-31;9;71,5;null;null;169,2;5,7;20;85,7;null;31,4;26,8;21,3;81,3;7;2,4;null;null;
2000-04-30;9;55;null;null;167,6;6,2;25;323;null;31,9;26,6;21,4;83,3;6;1,9;null;null;
2000-05-31;14;61,1;null;null;217,3;4,9;15;119,4;null;32,7;27,5;21,6;79,3;9;1,8;null;null;
2000-06-30;9;68,4;null;null;228,2;3,7;11;130,9;null;32,6;27,3;20,6;75,8;4;1,9;null;null;
2000-07-31;9;72,6;null;null;250;4,3;12;115,4;null;32,5;27,2;20,8;75,8;4;2,1;null;null;
2000-08-31;9;129,5;null;null;274,1;2,9;2;3,5;null;35;28,7;20,8;63,6;5;2,4;null;null;
2000-09-30;9;176,5;null;null;284,4;3,3;7;15,4;null;37;29,9;21,6;55,1;8;2,9;null;null;
2000-10-31;9;216,7;null;null;297,5;2,8;1;,4;null;37,8;30,7;21,8;49,3;6;3;null;null;
2000-11-30;9;null;null;null;null;2,6;null;0;null;37,6;30,7;22,3;49,3;7;3,3;null;null;
2000-12-31;9;160,2;null;null;220,1;4,3;8;87,9;null;35,7;29,1;21,9;59,6;7;3,2;null;null;
2001-01-31;5;85,2;null;null;157,8;5,7;14;314,5;null;32,4;26,8;21,9;74,7;8;1,5;null;null;
2001-02-28;9;52,3;null;null;140,2;6,4;19;183,4;null;32,1;26,5;21,8;81,6;6;2,1;null;null;
2001-03-31;9;79,7;null;null;170,2;6,7;23;333,7;null;32,2;26,7;21,9;80,2;4;1,5;null;null;
2001-04-30;5;53;null;null;132,3;7,2;29;352,7;null;31,1;26,4;22,3;83,7;5;1,6;null;null;
2001-05-31;9;83,1;null;null;257,5;3,9;8;87,2;null;33,2;28,4;23,1;74;3;1,6;null;null;
2001-06-30;9;76,2;null;null;233,3;4,3;11;72,1;null;33;27,8;23;75,6;4;1,5;null;null;
2001-07-31;9;95,3;null;null;274,4;3,4;6;32,6;null;34,5;28,4;23,2;70,5;4;1,7;null;null;
2001-08-31;9;157,2;null;null;308,9;2,4;0;0;null;37,3;29,9;24,2;55,5;5;2,3;null;null;
2001-09-30;9;164,6;null;null;283,8;3,1;null;0;null;38;30,1;23,4;55,7;7;2,7;1,9;null;
2001-10-31;9;192,6;null;null;282,1;3,1;0;0;null;38,3;30,6;23,3;52,8;6;3,3;2;null;
