Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;87,2;null;null;242,8;4,4;8;97,8;null;31,5;28,2;25,1;75,5;7,3;4,4;57,1;null;
2000-02-29;5;68;null;null;205,9;5,6;11;167,4;null;31,3;27,8;24,7;79,1;7,3;3,7;56,1;null;
2000-03-31;14;74,3;null;null;211,6;5,1;11;146,8;null;32,2;28,3;25;77,5;7,3;4,3;54,1;null;
2000-04-30;14;61,3;null;null;190;5,8;17;178,8;null;32;27,7;24,6;81,3;8;3,5;54,6;null;
2000-05-31;9;85,2;null;null;208,5;5;10;89,1;null;32,6;27,7;24;76,1;6,1;3,9;56;null;
2000-06-30;14;88,7;null;null;179;4,7;8;19;null;32,1;27,3;23,5;73,3;null;null;7,1;null;
2000-07-31;14;88,1;null;null;155;5,7;9;46,4;null;31,8;26,8;23,1;74,1;null;null;6,5;null;
2000-08-31;14;110;null;null;222,3;5,4;8;29,1;null;32,2;null;23;null;null;null;6,7;null;
2000-09-30;9;101;null;null;235,8;4,8;4;19,2;null;32,6;27,5;23,4;68,8;null;null;6,6;null;
2000-10-31;9;null;null;null;292,6;3,5;0;0;null;33;27,8;23,4;65,2;null;null;6,8;null;
2000-11-30;5;null;null;null;284,4;4;0;0;null;31,5;27,8;23,9;67,1;null;null;6,8;null;
2000-12-31;5;null;null;null;253,5;4,5;3;3,4;null;31,1;27,7;24,3;71,3;null;null;6,6;null;
2001-01-31;14;null;null;null;237,2;6,3;4;14,4;null;32,8;null;24;null;null;null;6,7;null;
2001-02-28;5;null;null;null;236,4;5,1;3;17,1;null;32,5;28,8;25,2;69,9;null;null;6,7;null;
2001-03-31;5;101,7;null;null;217,4;5,7;6;29,6;null;32,4;28,7;25,4;71,5;null;null;6,6;null;
2001-04-30;14;null;null;null;160,7;6,5;15;48,7;null;33,3;28,2;24,7;75,3;null;null;6,3;null;
2001-05-31;14;null;null;null;255,3;3,9;2;6,8;null;33;28,5;24,7;72;null;null;6,8;null;
2001-06-30;14;null;null;null;165,2;5,8;9;48;null;32,7;27,7;23,9;71,9;null;null;6,4;null;
2001-07-31;14;null;null;null;216;4,2;5;14,7;null;32,8;27,4;23,1;69,5;null;null;6,7;null;
2001-08-31;14;null;null;null;262,2;3;2;4,2;null;34,2;27,6;22,5;64;null;null;14,4;null;
2001-09-30;14;null;null;null;284,2;3,1;0;0;null;33,4;27,8;23,4;70,1;6,2;null;38,7;null;
2001-10-31;9;120;null;null;280,9;3,8;0;0;null;31,8;27,9;24,1;68,6;5,6;4,3;57,2;null;
2001-11-30;5;null;null;null;288,7;3,6;0;0;null;32;28,1;24,4;72,1;6,2;4,4;91,1;null;
2001-12-31;5;null;null;null;274,1;3,9;1;,2;1010;32,7;28,9;25,6;71,8;7,8;5,5;89,8;null;
2002-01-31;5;null;null;null;186,3;6,6;8;108;1011,2;31,3;28,1;25,2;79;7,3;4,2;89,5;null;
2002-02-28;5;null;null;null;210,6;4,9;4;104;1011,3;32,6;28,2;24,9;77,3;10;4,5;93,3;null;
2002-03-31;9;null;null;null;178,9;6,2;17;146,2;1011,2;32,4;28;24,7;78,7;6,7;3,9;96,3;null;
2002-04-30;14;null;null;null;174,8;6,7;10;120,1;1010,5;32,6;28;25;79,4;7,2;3,6;96,3;null;
2002-05-31;9;null;null;null;192,3;5,4;10;39,4;1011,6;32,6;28,2;25;76,7;8,2;4,3;95,5;null;
2002-06-30;9;null;null;null;147,2;5,1;9;90;1013,9;31,8;27;23,5;79,7;9,8;3,6;95,3;null;
2002-07-31;9;96,7;null;null;210,6;3,9;7;41,6;1014,3;32;27,1;23,5;72,1;9;4,7;55,7;null;
2002-08-31;9;null;null;null;220,3;3,4;2;6,2;1014;32,6;27,4;23,1;71,2;10,3;5,8;94,2;null;
2002-09-30;9;null;null;null;286,6;2,6;0;0;1013,2;32,3;27,5;23,3;67,3;9,8;5,9;91,7;null;
2002-10-31;9;null;null;null;284,2;3,2;0;0;1011,8;31,9;27,9;24;65,3;9,8;6,8;92,8;null;
2002-11-30;9;108,6;null;null;280,2;3,2;0;0;1011,7;32,5;28,1;24,4;67,4;10,6;6,1;56,2;null;
2002-12-31;9;null;null;null;278,8;3,7;2;25,2;1011,7;31,6;28,3;25,1;69,6;9,5;5,7;53,9;null;
2003-01-31;5;86,7;173,6;173,6;225,9;4,8;7;103,8;1012;31,3;28;25,1;73,5;9,1;4,4;54;null;
2003-02-28;5;86,4;163,3;144,7;175;6,6;10;44,7;1011,1;32,2;28,4;25,5;74,1;8;4,7;52,7;null;
2003-03-31;5;77,7;174,1;152,8;171,8;5,7;14;152,8;1010,9;32,2;28,2;24,9;78,2;8,1;null;51,7;null;
2003-04-30;14;69,5;171,1;155,9;187,2;6,1;14;155,9;1011,3;32,1;28;25,1;78,7;null;null;50,8;null;
2003-05-31;14;84,8;null;null;197,6;4,9;7;46,4;1012,1;32,4;28,3;24,9;73;null;null;53,1;null;
2003-06-30;14;95,7;157,3;128,5;200,4;4,2;10;28,4;1012,5;32,7;27,9;24,2;70,6;null;null;52,9;null;
2003-07-31;14;118,9;158,4;1,4;214,3;3,5;4;2;1013,8;33,2;27,7;23,2;65,7;null;null;54,3;null;
2003-08-31;9;113;159,8;0;255,2;2,8;0;0;1014,1;33,3;27,7;23,2;67,6;null;null;54,6;null;
2003-09-30;9;122,1;null;null;258,7;2,8;1;1;1013,1;33,6;28,1;23,7;64,8;null;null;55,7;null;
2003-10-31;5;113,5;null;null;273,6;2,7;0;0;1011,6;33,7;28,5;24,4;64,8;null;null;55,2;null;
2003-11-30;5;101,8;null;null;289,6;3,4;0;0;1010,8;32,7;28,5;24,8;67,3;null;null;57;null;
2003-12-31;9;103,3;null;null;276,7;3,3;1;6,8;1011;32,6;28,7;25;68,3;10;6,1;57,2;null;
2004-01-31;9;58;null;null;153,4;6;14;192,9;1010,5;31,4;27,7;24,7;78,2;11,1;4,5;53,1;null;
2004-02-29;14;48,3;null;null;191,2;5,8;16;134,9;1011,2;32,1;27,9;25,1;79,4;8,8;3,8;53,8;null;
2004-03-31;14;69,7;null;null;220,1;4,6;8;42,2;1010,6;32,6;28,4;24,9;74;7;4,3;56,5;null;
2004-04-30;14;74,6;null;null;202,7;5,2;10;65,5;1010,9;32,8;28,5;24,9;74,3;8,3;3,8;56,2;null;
2004-05-31;14;84,2;null;null;228,6;4,2;5;38,4;1012,2;32,5;28,1;24,6;74,6;9,6;4,4;57,4;null;
2004-06-30;14;47,6;null;null;148;5,4;16;109,1;1014,6;31;26,8;23,6;76,8;9,8;4,1;53,9;null;
2004-07-31;14;60,4;null;null;172,9;4,5;6;36;1013,5;31,2;27;23,4;74,5;8,3;4,2;56,8;null;
2004-08-31;14;131,3;null;null;233,4;3,5;4;6,8;1014,5;32,6;27,5;22,9;66;10;6;57;null;
2004-09-30;14;174,9;null;null;269,6;2,9;1;1,4;1012,7;34,1;27,7;22,5;65,2;10;6,7;57,9;null;
2004-10-31;14;143,8;null;null;261,5;3,3;0;0;1011,7;33;27,8;23,3;67;11,6;6,6;59;null;
2004-11-30;14;139,3;null;null;287,3;3,3;0;0;1011;32,4;28;24,2;69,7;11,6;6,4;58,9;null;
2004-12-31;5;116,8;null;null;237,1;4;0;0;1010,7;31,6;27,9;23,9;68,5;11,6;null;56,9;null;
2005-01-31;5;123,7;null;null;194;4,7;1;2,8;1010,2;32,4;28,4;24,7;71,5;null;null;56,3;null;
2005-02-28;5;121,5;null;null;207,4;4,3;4;19,7;1009,8;32,7;28,9;24,6;69,6;null;null;57,1;null;
