Nome: MACEIO
Codigo Estacao: 82994
Latitude: -9.55138888
Longitude: -35.77083332
Altitude: 84.12
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-04-07
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;104,6;null;null;243,7;6,9;13;90;1002,5;30,3;25,6;20,9;76,4;7,4;3;80,2;null;
2000-02-29;9;102,1;null;null;216,5;6,7;13;151;1003,6;30,8;25,7;20,6;74,6;7;2,7;79,3;null;
2000-03-31;14;88,8;null;null;196,5;7,2;16;136;1003;30,6;25,6;20,9;75,3;6,4;2,5;78,7;null;
2000-04-30;14;78,5;null;null;200,2;7,5;24;404,2;1003,9;29,7;25,3;20,9;75,6;6,5;2,1;76,7;null;
2000-05-31;14;77,4;null;null;236,6;7,2;23;300,3;1005,3;29;24,6;20,5;78,3;6,3;2,3;61,1;null;
2000-06-30;14;68;null;null;160,5;8,1;29;235,4;1006,3;27,9;23,7;19;80;6,1;1,8;43,6;null;
2000-07-31;14;66,4;null;null;162,8;8,3;30;393,5;1006,5;26,9;23,1;19,8;84,7;6,3;2;46;null;
2000-08-31;14;65,8;null;null;180,4;7,3;22;300,2;1007,4;27,6;23,4;19,5;81,8;7;2,2;42,5;null;
2000-09-30;14;52;null;null;136,7;8;25;426,9;1006,4;27,6;23,5;19,8;83,3;7,5;2,3;39,9;null;
2000-10-31;14;88,2;null;null;204,8;7;12;64,2;1006;29,1;24,2;19,8;80,5;7,1;2,8;43,7;null;
2000-11-30;14;106,2;null;null;233,2;6,7;9;55,7;1003;30,6;25,1;20,7;78,6;7,5;3,4;45,3;null;
2000-12-31;14;null;null;null;247;6,7;8;66;null;30,2;25;20,5;79,4;null;null;5,9;null;
2001-01-31;14;null;null;null;250,1;6,5;9;27,6;null;30,5;25,6;20,8;74,8;8,1;3,4;9,4;null;
