Nome: MONTEIRO
Codigo Estacao: 82792
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.41
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;256,5;null;null;254;7;8;128,3;940,9;31,3;25,2;20,7;67;7;2,8;45,7;null;
2000-02-29;9;205,5;null;null;232,2;7,2;14;238,7;942,5;31,4;24,8;20,4;71,5;6,3;2,9;44,7;null;
2000-03-31;9;188,7;null;null;236,8;7,9;11;58,8;941,5;30,8;24,7;20,4;70,9;5,1;3;46,1;null;
2000-04-30;9;259,9;null;null;225,7;6,7;10;176,1;942,6;30,1;24,1;19,9;73,8;6,6;2,9;46;null;
2000-05-31;14;298,7;null;null;228,7;5,9;12;46,1;942,7;29,9;23,6;19;71,7;5,3;2,8;46,9;null;
2000-06-30;14;166,6;null;null;174,8;6,7;11;43,2;943,4;28,5;22,7;18,1;74,6;5;2,7;47,6;null;
2000-07-31;18;168,9;null;null;176,3;7,1;10;93,3;942,7;27,8;22,2;18;74,5;5,8;2,7;46,5;null;
2000-08-31;14;222;null;null;228,5;6,6;11;22,1;947,6;29;22,3;17,3;null;5,6;3;38,3;null;
2000-09-30;9;237,2;null;null;229,7;7,1;6;52,6;947,2;30;23,1;17,8;70;5,1;3,1;36;null;
2000-10-31;9;344,9;null;null;294,9;5,5;0;0;946,9;31,9;24,1;17,6;62,1;8;3,8;37,1;null;
2000-11-30;9;347,1;null;null;267,7;5,8;1;7,4;944,6;32,8;25,2;18,9;59,7;8,6;4,1;36,6;null;
2000-12-31;9;294,4;null;null;188,5;5,9;7;143,3;945,7;31;24,7;19,1;65,7;6,6;3,6;35,5;null;
2001-01-31;14;293;null;null;284,8;6;3;22,9;945,9;32,3;24,5;17,9;62,7;7,5;3,3;36,7;null;
2001-02-28;9;287,4;null;null;226,4;6,1;1;16,4;944,5;33,8;25,8;18,8;59,2;6,3;3,2;36,9;null;
2001-03-31;9;207,9;null;null;244,2;7,5;11;198,2;945,7;31,8;24,5;18,6;72;7;2,8;36,5;null;
2001-04-30;9;198,2;null;null;243,1;6,5;6;12,2;946,2;31,4;24,3;18,6;69,6;5,5;2,9;37;null;
2001-05-31;9;258,4;null;null;276,5;5,1;0;0;946,5;33;25,5;18,7;60,3;5;3;36,7;null;
2001-06-30;18;142,2;null;null;166,3;7,3;14;137,8;949,1;28,3;22,2;17,7;78,8;5;2,5;34,9;null;
2001-07-31;14;137,2;null;null;208,9;6,9;14;82,7;949,3;27,5;21,7;17,6;81,1;6,6;2,8;36,1;null;
2001-08-31;14;217,8;null;null;235;5,3;6;10,9;950,6;28,7;21,7;16;72,5;6,3;3,4;36,7;null;
2001-09-30;9;276;null;null;287,4;4,2;2;29,3;947,3;31,8;23,9;17;63,6;6,3;3,2;36,6;null;
2001-10-31;9;263,3;null;null;256;5,4;3;59,8;946,5;31,8;24,8;18,8;64,3;8;3,8;36,7;null;
2001-11-30;9;359;null;null;287,6;4,6;0;0;945,1;33,7;25,9;19,9;60,4;6,6;3,9;37,1;null;
2001-12-31;9;null;null;null;null;5,8;4;45,9;944,6;33,7;26,2;20,5;62;6,6;4;36,9;null;
2002-01-31;9;137,5;null;null;196,4;7,6;19;194,2;945,7;30,3;24,3;20,4;77,5;4,6;2,3;36,2;null;
2002-02-28;9;158,8;null;null;235,2;5,7;8;124,6;946,1;30,9;24,3;19,2;71,6;6;2,6;38,4;null;
2002-03-31;14;178,2;null;null;222,8;6,3;12;150,7;945,5;31,1;24,5;19,5;72,3;5;2,6;36;null;
2002-04-30;14;167,6;null;null;204,9;6,1;9;75,3;945,1;30,9;24,5;19,5;68,4;6,6;2,5;36,7;null;
2002-05-31;5;156;null;null;175,6;6;10;128,1;946,5;29,7;23,7;18,5;74,2;5;2,6;36,7;null;
2002-06-30;9;138,1;null;null;171;6,8;12;48,3;949,1;28;22,5;19,7;79;5;2,7;36,1;null;
2002-07-31;18;284,3;null;null;241,4;5,3;4;16,9;949,4;29,6;23,4;20,5;68,9;5,5;2,9;36,7;null;
2002-08-31;9;262,4;null;null;270;4,8;3;3,4;948,6;30;23;17,5;66,1;5,8;3,5;36,7;null;
2002-09-30;9;204,8;null;null;283,1;4,6;1;,1;947;31,5;24,4;18,5;57,5;7,3;4;37;null;
2002-10-31;9;217,3;null;null;299,1;4,6;3;1,1;945,8;32,5;25,2;19;63,8;6,3;3,7;37,5;null;
2002-11-30;9;271,5;null;null;293,6;4,4;3;2,3;945,6;33,3;26,2;20,6;63,5;6;3,7;36,7;null;
2002-12-31;9;240;null;null;166,3;5,6;5;79,2;945,6;33,4;26,7;21,5;68,4;6,6;3,6;37,8;null;
2003-01-31;9;221,2;146,3;146,3;257,5;6;6;100,9;946,2;32,8;26,6;21,6;68,8;7,1;3,2;36,5;null;
2003-02-28;9;149,6;132,1;132,1;189,9;7,5;10;90,7;945,7;31,6;25,6;21;72,5;6,6;2,8;36,7;null;
2003-03-31;14;166,3;143,9;143,9;231,6;7,1;10;122;945,5;31,5;25,5;21,1;76,3;7,5;3;36,3;null;
2003-04-30;18;141,1;133,8;71;246,8;6,2;10;34,3;945,9;31,5;25,3;20,4;81,1;8,2;2,6;36,6;null;
2003-05-31;9;134,8;123,3;73,3;226,7;6,3;9;73,3;946,4;30,3;24,5;20,4;86,6;5,3;2,3;36,7;null;
2003-06-30;18;151,5;105,7;35,1;218;5,5;5;35,1;947,4;29,7;23,3;18,4;85,3;5;2,5;36,7;null;
2003-07-31;18;166,1;99,7;32,2;221,4;4,6;5;32,2;948,4;28,6;22,5;17,6;82,5;5,5;3;36,7;null;
2003-08-31;9;217,4;125,7;1,6;278,4;4,2;1;1,6;948;30,4;23,7;18;78,3;6,6;3,6;36,7;null;
2003-09-30;9;214,3;null;null;258,2;3,5;4;15,6;948,4;30,9;24,1;18,5;81;7;3,5;29,8;null;
2003-10-31;9;257,9;null;null;290,5;2,8;3;19,3;946,7;32,4;25,4;19,6;79,1;6,6;4,1;29,1;null;
2003-11-30;9;272,8;null;null;302,4;3,6;1;1,6;945,3;33,6;26,5;21,1;76,4;8,3;4,3;30,5;null;
2003-12-31;9;305,6;null;null;151,5;3,2;2;6,2;945,4;33,6;26,8;21,5;76,2;8,3;4,7;30;null;
2004-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2004-02-29;9;72,3;null;null;218,5;6,2;8;73,4;946;29,5;24,6;21;93,3;5;2,7;30,4;null;
2004-03-31;9;160;null;null;258,7;4,8;4;60,2;945,4;30,6;24,9;20,8;92,1;6,3;3,1;30;null;
2004-04-30;9;144,9;null;null;210,8;5,1;8;91,6;946;30,7;25;21,1;92,8;6,3;3;34,3;null;
2004-05-31;9;128,8;null;null;205,2;5;8;64;947,3;29,4;23,9;19,9;93,9;6,3;2,5;30;null;
2004-06-30;9;107,6;null;null;169,2;6,6;14;69,8;949,6;27,4;22,3;18,8;93,3;6,3;2,4;30;null;
2004-07-31;9;129,8;null;null;158,5;6,2;9;45,9;948,6;27,1;21,9;18,3;91,2;6,6;2,7;32;null;
2004-08-31;9;186,3;null;null;240,8;4;1;5,8;949,7;29;22,6;17,3;75,9;6,3;3,1;30;null;
2004-09-30;9;207;null;null;249,1;4,2;0;0;948,4;30,4;23,7;17,9;67,9;5,1;3,4;30;null;
2004-10-31;9;244,6;null;null;306,9;3;0;0;946,4;32,5;25,3;19,3;63,2;8,3;4,8;30,6;null;
2004-11-30;9;245,6;null;null;299,9;3;0;0;945,4;33;26;19,9;60,4;8;5,1;30;null;
2004-12-31;5;245,9;null;null;153,9;3;2;3,7;945,1;33,4;26,4;20,5;60,8;8,3;4,6;30;null;
2005-01-31;9;208,7;null;null;245,4;5;2;23,8;944,5;33,3;27;21,3;62,8;8,3;4,7;30;null;
2005-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2005-03-31;9;153,6;null;null;227,5;6,2;7;254,8;945,5;32,7;26,3;21,5;73,2;8,2;3,1;31;null;
2005-04-30;9;112;null;null;244,4;4,1;4;32,4;945,9;30,1;24,8;20,4;82;6,5;2,3;30;null;
2005-05-31;9;104,4;null;null;175;6,5;12;54,2;946,6;28,4;23,5;19,8;85,6;7,5;2,5;30;null;
2005-06-30;9;85,5;null;null;135,5;6,4;13;123,2;947,4;26,9;22,2;18,7;88,5;6,6;2,4;30;null;
2005-07-31;9;123,1;null;null;204,4;4,9;8;27,5;949,4;27,2;21,4;16,5;83,1;5,3;2,4;30;null;
2005-08-31;9;155,4;null;null;205,5;5,9;10;26,7;948,1;28,6;22;16,6;75,9;6,3;3;36,6;null;
2005-09-30;9;217,9;null;null;278;4,2;0;0;947;31;23,9;17,8;66,7;6,6;3,7;36,7;null;
2005-10-31;9;269,1;null;null;314,7;3,2;1;1,6;945,6;32,9;25,3;18,8;58,6;7;4,2;36,7;null;
2005-11-30;9;267;null;null;299,2;4,1;0;0;943,7;33,3;26;19,9;60,1;8;4,6;36,7;null;
2005-12-31;9;210,8;null;null;272,6;5,1;4;82,5;943,3;31,6;25,1;19,6;68,6;6,5;3,8;36,7;null;
2006-01-31;9;242,5;null;null;284,9;5,3;0;0;943,3;33,6;26,1;19,4;61,6;6,5;3,7;36,7;null;
2006-02-28;9;170,6;null;null;219,7;7,1;13;102,3;943,1;33,2;26,4;21,2;74,2;6,5;2,9;36,6;null;
2006-03-31;9;135,4;null;null;241,6;6,9;13;99,1;944;31,6;25,5;20,9;82,1;5,1;2,7;36,6;null;
2006-04-30;9;88,2;null;null;215;7,6;17;200,5;943,8;30,2;24,6;20,7;87,1;4,1;1,9;36,6;null;
2006-05-31;9;97,3;null;null;191,9;7,1;12;250,6;946,2;28,5;23,4;19,4;87;5,3;2,2;36,7;null;
2006-06-30;9;103,5;89,5;89,5;151,2;6,9;13;56,1;947,6;27,2;22,1;17,7;81,1;5,6;2,7;39;null;
2006-07-31;9;130,3;95;75,5;180,8;5,8;4;8,9;948,3;28,2;22;16,9;76,4;5,8;2,6;37,6;null;
2006-08-31;9;184,5;107,2;3;238,8;4,8;2;3;947,6;29,7;22,7;16,7;66,7;6,6;3,3;36,7;null;
2006-09-30;36;211,4;129,5;6,7;291;4;3;6,7;946,8;31,6;24,4;18,2;59,7;6,5;3,5;38,2;null;
2006-10-31;36;232,2;159,7;,8;299,7;3,6;2;,8;944,8;32,8;25,7;19,5;56,5;8;4;37,6;null;
2006-11-30;9;227,7;158,6;73;296,2;4,1;4;73;943,8;33,4;26;19,9;57;7;4,1;38,5;null;
2006-12-31;5;242,1;173,7;5,1;306,3;4;1;5,1;944,7;33,6;26,6;20,6;57,1;7,3;4,2;36,8;null;
2007-01-31;9;227,4;176,6;5,4;279,8;4,4;3;5,4;944,5;33,7;26,8;20,8;55,7;7,1;3,9;38,5;null;
2007-02-28;9;145,8;133,5;133,5;210,6;7,1;14;230;944,7;32,2;25,8;21;70,6;8,3;3,1;36,5;null;
2007-03-31;9;111,3;127,7;127,7;244,8;6,5;10;95,6;944,8;30,1;24,3;19,5;77,4;5,8;2,5;37,6;null;
2007-04-30;9;149,9;133,8;122,7;221,5;5,9;8;63,1;945,1;31,5;25,2;20,1;71,6;5,6;2,4;37,6;null;
2007-05-31;9;115,5;114;114;207,1;6,2;13;114,5;945,8;29,4;23,6;19;77,3;5,3;2,3;36,7;null;
2007-06-30;9;124,9;95,1;32,9;180;6,1;8;32,4;947,7;28,3;22,5;17,9;76,9;5,2;1,7;37,6;null;
2007-07-31;9;149,5;102,1;24,1;225,1;4,8;5;24,1;947,9;29,1;22,4;16,8;75,3;7;2,1;36,7;null;
2007-08-31;9;184,9;101,1;16,2;224,9;5,5;9;16,2;948,1;28,8;22,3;17,1;68,2;6,6;3,7;36,7;null;
2007-09-30;9;217,5;164,6;2,6;248,4;4,8;2;2,6;948,2;30;23;17,1;62,1;7;4;37,6;null;
2007-10-31;9;241,6;146,9;2,6;291,2;4;1;2,6;945,6;32,3;24,9;18,3;55,6;8,1;4,3;37,6;null;
2007-11-30;9;244,1;158,6;2,1;295,5;3,3;1;2,1;943,8;33,2;25,9;19,7;53,5;8,1;4,6;36,7;null;
2007-12-31;9;233,1;165,1;6,8;284,8;5;4;6,8;943,4;33;26;20,2;57,6;7,5;4;36,7;null;
2008-01-31;9;217,3;169,6;24,8;254,3;5,8;3;24,8;943,2;33,2;26,5;20,5;57,8;8;3,9;36,7;null;
2008-02-29;9;182,9;150,3;94,3;209,4;6,6;6;94,3;944,3;32,8;26,2;20,5;61,1;7,5;3,3;36,7;null;
2008-03-31;9;109,6;131,9;131,9;220,3;7,2;21;285;943,5;30,4;24,9;20,7;76,6;6;2,1;36,7;null;
2008-04-30;9;60,7;115,9;115,9;232,6;7,4;11;55,5;943,6;29,5;24,1;20,1;81,5;7;2,2;36,7;null;
2008-05-31;18;69,5;101,4;101,4;183,8;6,7;18;227,2;945,6;27,8;22,9;18,9;83,4;6,3;2,3;36,7;null;
2008-06-30;14;81,8;85,2;83,1;190,4;6,1;12;64;946,5;26,9;21,6;17,1;84,2;5;2,5;36,2;null;
2008-07-31;14;97,9;82,9;57,3;169;6,6;9;19,1;947,9;26,9;21,1;16,7;82,8;5,5;2,7;36,7;null;
2008-08-31;14;137,9;98,7;70,6;218;6,3;8;55,6;946,7;28,5;22,1;16,8;76,5;6;2,9;36,7;null;
2008-09-30;14;171,2;119,9;23,2;265,6;4,2;3;4,1;946,8;30,6;23,5;16,8;67,2;5,8;3,6;36,7;null;
2008-10-31;14;199,5;148,5;6,7;279,1;4,5;0;0;945,8;32,2;24,8;18,3;58,8;6,3;4,2;37,6;null;
2008-11-30;9;257,1;163,5;1,6;315,1;3,4;0;0;943,5;33,3;26,1;19,4;54,8;8,3;4,4;36,7;null;
2008-12-31;5;235,8;173,7;7,9;286,3;5;4;7,6;943,4;33,4;26,5;20,4;56,5;6,6;3,6;37,5;null;
2009-01-31;5;211,8;167,9;130,4;276;5,6;4;130,4;944,2;33,1;26,4;20,6;59,3;7;3,5;37,6;null;
2009-02-28;9;111,5;123,9;82,5;177,2;7,3;12;82,5;943,4;30,8;25,1;20,4;72,5;6,3;2,9;37,2;null;
2009-03-31;9;140,4;145,5;76,8;null;5,9;9;76,8;943,1;31,7;25,5;20,7;71,4;6;2,8;37,6;null;
2009-04-30;9;67,6;121,3;121,3;214,6;7,4;19;245,8;944,2;29,6;24,5;20,7;84,4;6,3;2;36,7;null;
2009-05-31;18;63,3;106,4;106,4;157,4;8,6;20;336,8;945,1;28;23,4;20,1;87,2;5;1,8;36,7;null;
2009-06-30;14;71;91,7;77,6;181,6;6;10;33,5;946,8;27,1;22,2;18,1;84,7;5;2,1;36,7;null;
2009-07-31;14;92,5;95;69,7;202,4;5,8;13;49,1;947,5;27,7;22;17,1;93,8;5;2,3;38,1;null;
2009-08-31;14;105,8;98,7;76,5;204,1;6;10;66,9;947,4;28,3;22;17;82,2;5,6;2,8;36,7;null;
2009-09-30;5;174,5;128,1;18,7;271,9;3,8;1;,2;947,2;31,2;24;17,8;61,8;6,3;3,7;36,7;null;
2009-10-31;5;212,6;153,2;34,1;276,3;3,5;3;29;944,3;32,5;25,5;19,5;56,6;6,8;3,6;36,7;null;
2009-11-30;5;221,9;156,9;7,5;287;4,1;3;5,9;944,4;32,7;25,6;19,5;57,7;6,6;4;39,4;null;
2009-12-31;9;211,6;134,9;16,9;252,2;5,9;4;16,6;945,6;32,8;26,1;20,4;64,3;7,3;4,2;30;null;
2010-01-31;9;151,2;118,8;64,1;217,1;6,8;7;64;945,9;31,3;25,2;20;72,3;6,6;3,1;30;null;
2010-02-28;9;153,8;115,9;46,3;198,3;5,8;8;46,3;945,5;32,4;25,8;20,3;70,9;7,6;3,1;30;null;
2010-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2010-04-30;18;107,3;114,7;110,5;228,8;6,1;12;110,3;945,9;31,4;25,3;20,5;79,7;5;2,4;30,3;null;
2010-05-31;18;null;116,6;17,2;238,5;4,5;3;14,7;946,2;31,9;25,2;19,2;73;5;2,6;30;null;
2010-06-30;0;null;82;82;159,3;6,7;11;134,7;948,6;28;22,7;18,3;82,5;5,4;2,5;30;null;
2010-07-31;18;null;77,7;48,2;204,6;5,5;6;19,2;948,8;27,6;21,8;16,5;80;5,4;2,2;30;null;
2010-08-31;5;null;104,7;23,6;247,2;5,4;0;0;948,2;28,9;22;15,6;66,2;6,5;3,2;36,7;null;
2010-09-30;5;179,5;119,8;14,7;271,8;4,2;4;6;946,7;30,5;23,2;16,6;61,8;6,5;4,1;36,7;null;
2010-10-31;36;194;154,8;154,8;245,8;4,7;4;160,4;944,9;32,5;25,3;19,1;60,8;7,3;3,6;36,1;null;
2010-11-30;36;203,6;125,3;6,9;309,4;3,2;0;0;943,5;32,5;25,5;19,2;57,2;7,3;4;36,7;null;
2010-12-31;5;153,8;102,2;102,2;251,5;6;6;172,4;942,7;31;25,1;19,6;63,7;8,1;3,5;36,7;null;
2011-01-31;9;128,6;142;142;256,1;7,3;10;231,1;943,1;30,9;24,6;19,3;67,8;6,6;2,9;36,2;null;
2011-02-28;9;91,3;104,7;104,7;236,5;8;12;108,1;943,8;30,8;24,6;19,5;72,8;6,6;3,1;36,7;null;
2011-03-31;5;104,5;140,9;139,6;287,2;6,2;8;124,7;943,5;31;24,9;19,9;71,8;6,3;3;36,7;null;
2011-04-30;9;94,7;106,6;86,1;212,9;7;13;48,7;944;30,8;24,5;19,3;73,6;5;2,5;36,7;null;
2011-05-31;9;72,2;105,9;105,9;172,5;8,1;15;186,9;945,2;28,2;23,2;19,1;79,9;5,5;2,6;36,7;null;
2011-06-30;14;88,1;81,4;76,9;196,3;6,7;9;49,8;946,7;28,5;22,4;17,2;74,8;6,6;2,5;36,7;null;
2011-07-31;9;105,9;74;65;171,1;7,4;10;48,8;947,2;27,3;21,5;16,1;76,4;6,6;3;36,6;null;
2011-08-31;9;155;89,9;42;260,7;5;5;11;947,5;29,4;22,4;15,9;65,4;7;3;36,7;null;
2011-09-30;9;194;90,9;17,9;276,7;4,8;3;2,8;947,8;30,4;23,1;16,2;58,9;6,6;3,9;37,1;null;
2011-10-31;36;201,4;120,2;50,6;250,9;5,4;3;45;944,2;31,9;24,9;18,7;56,3;7;4,1;36,7;null;
2011-11-30;36;189;118,1;54,9;274,1;5,5;4;52,5;943,9;31,9;25;19,3;59,2;6,6;4,3;36,7;null;
2011-12-31;36;229,2;137,7;2;307,8;4,4;0;0;943,9;33,3;26;19,7;55,3;8;4,7;36,7;null;
2012-01-31;36;165,9;153,1;110,9;238,8;6,7;5;110,7;944,2;32;25,2;19,1;59,5;8,3;4,1;37,1;null;
2012-02-29;36;154,1;139,9;21,9;232,1;6,2;6;21,6;943,9;31,9;25;18,8;61;6,6;3,8;37,6;null;
2012-03-31;36;210,5;134,7;,9;278,8;4,9;2;,8;944,3;33,4;26;19,4;55,3;6,5;3,9;37,2;null;
2012-04-30;36;197,7;127,9;5,4;283;4,9;1;5,4;944,3;33,5;26,1;19,1;53;6,8;3,5;37,5;null;
2012-05-31;36;193,1;118,9;35,2;260,8;5,2;6;35,2;945,9;32,1;25,3;18,9;57,6;6,5;3,6;36,7;null;
2012-06-30;9;147,5;94,5;12,9;213,3;5,8;4;12,9;947,2;30,2;23,7;17,9;64,5;5,5;3,3;36,7;null;
2012-07-31;9;122,5;84,4;12,4;221,9;5,5;6;12,4;948;29,2;22,5;16,2;69,7;7,6;3,5;32,8;null;
2012-08-31;9;162,3;86,6;10,5;281,8;4,1;5;10,5;949,7;29,7;22,6;16;65;6,6;4;30;null;
2012-09-30;36;187,9;99,2;0;303,3;2,4;0;0;949,2;31,6;23,9;16,4;58,4;7,5;4,7;31,4;null;
2012-10-31;36;194,2;151,8;,3;287,7;4,2;1;,3;945,5;32,5;25;18,1;56,3;9,6;4,7;36;null;
2012-11-30;36;203,8;144,5;5,1;289,5;3,9;1;5,1;943,8;33,6;26,2;19,4;51,9;8,3;4,7;37,1;null;
2012-12-31;36;180,5;136,2;3,8;291,8;5,1;1;3,8;943,6;33,9;26,5;20;53,7;8,3;4,3;36,7;null;
2013-01-31;36;188,5;180,8;82,8;260,8;5,9;5;82,8;944,3;33,3;26,6;20,2;55,9;8,1;4,3;36,7;null;
2013-02-28;36;231,8;161,2;5,1;246,4;5,4;3;5,1;943,7;33,9;26,7;19,9;50,7;9,6;4,5;36,7;null;
2013-03-31;36;207,3;177,4;94,2;259,5;6,5;3;94,2;944,1;33,8;27;20,9;53,6;8;4;36,7;null;
2013-04-30;36;148,4;150,4;95,6;257,2;6,1;7;95,6;944,8;32,3;26,1;20,6;61,3;8;3,4;36,7;null;
2013-05-31;36;129,1;127,3;57,6;221,6;6,9;8;57,6;945,7;30,5;24,5;19,2;67,6;5,8;2,9;36,7;null;
2013-06-30;36;115,5;109;66,4;213,3;5,7;9;66,4;946,4;29,5;23,4;18;70;6,3;3,2;36,7;null;
2013-07-31;36;133,7;100,4;27,1;186,5;6,5;11;27,1;947,7;28,1;22,1;16,6;71,3;6,6;3,1;36,7;null;
2013-08-31;5;167,5;120;5,5;248,3;6,2;2;5,5;947;29,7;23,1;17,2;63,1;6,5;3,6;37;null;
2013-09-30;36;176,3;129,4;,7;271,5;4,9;2;,7;946,7;31,3;24;17,3;57,1;6,3;4,2;36,7;null;
2013-10-31;36;190;148,5;19,6;281;5,4;3;19,6;945,6;32,3;25,1;18,5;55,9;6,8;4,4;36,7;null;
2013-11-30;36;166,3;144,4;6,2;233,1;6,4;2;6,2;944;31,7;25;19,1;57,4;7,3;4,7;36,7;null;
2013-12-31;36;177,3;158,6;97,4;245,4;6;5;97,4;944;32,1;25,6;19,6;57,3;8;4,2;36,7;null;
2014-01-31;36;185,4;124;21,8;279,6;6,3;null;21,8;945,5;32,4;25,5;19;54,3;6,6;4,2;30;null;
