Nome: MONTE SANTO
Codigo Estacao: 83090
Latitude: -10.44249999
Longitude: -39.33083332
Altitude: 465.84
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2020-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;123,9;null;null;219,3;6,2;10;120,1;958,3;31,2;25,5;20,8;63,7;4,1;2,2;69,7;null;
2000-02-29;14;117,5;null;null;215;6;11;84,3;959,6;31,3;25,3;21,1;66;5,8;2,3;70;null;
2000-03-31;9;141,8;null;null;214,2;6,8;6;13;959,2;31,6;25,6;21,1;63,6;5,6;2,6;70;null;
2000-04-30;14;96,1;null;null;176,8;7,3;15;61,8;959,9;30,4;24,7;20,9;71,3;6;2,7;69,8;null;
2000-05-31;9;113,4;null;null;196,4;7;9;33,8;960,8;29,7;24;20,3;73,3;5,1;2,8;68,4;null;
2000-06-30;9;72,2;null;null;126,1;8;19;83,6;962,4;26,9;22,2;18,7;83,3;6;2,6;67;null;
2000-07-31;9;78,1;null;null;176,4;6,7;15;32,1;962,4;26,8;21,5;17,7;82,9;6,6;2,4;68,5;null;
2000-08-31;9;79,8;null;null;152,3;7,4;17;29,5;963;27,7;21,9;18,2;79,9;5,8;2,7;68,9;null;
2000-09-30;14;105,8;null;null;168,7;6,8;17;35,2;961,6;29,1;22,8;18,9;72;5,6;2,9;67,2;null;
2000-10-31;14;228,4;null;null;243,9;5;1;,4;961,4;31,7;24,9;19,7;60,7;6;3,4;69,7;null;
2000-11-30;14;133,2;null;null;191,8;6,7;13;196,9;959,1;30,5;24,8;20,6;69,2;5;2,5;69,5;null;
2000-12-31;14;150,9;null;null;215,5;6,2;9;65,6;959,6;30,8;25,1;20,6;66;5;2,1;69,8;null;
2001-01-31;14;229,2;null;null;252,2;5,9;4;11,8;960,8;32,4;25,6;20,4;62,5;5,3;3,1;70;null;
2001-02-28;14;195,8;null;null;210,1;5,2;0;0;959,2;34;27,1;21,1;53,4;5;2,9;70;null;
2001-03-31;14;177,1;null;null;212,6;6,4;6;51;960,2;32,2;26;20,9;62,2;4,1;2,4;69,7;null;
2001-04-30;14;151,8;null;null;202,8;6,6;5;11,7;960,9;31,2;25,1;20,3;66,1;5,6;3,2;55,1;null;
2001-05-31;14;191,5;null;null;233,1;5,3;4;8,2;960,9;32,1;25,7;20,5;62;5;2,4;55,9;null;
2001-06-30;14;97,1;null;null;123,7;7,1;19;64,9;963,6;27,3;22,5;19,1;77,3;5,6;2,9;49,9;null;
2001-07-31;14;87,4;null;null;161;7,3;19;31,8;964;26,7;21,6;18,4;78,8;6,3;2,5;51,4;null;
2001-08-31;14;111,8;null;null;153,9;7,4;18;25,2;966;26,4;21,2;17,6;78,4;6,6;3,2;49,3;null;
2001-09-30;9;147,5;null;null;206,9;6,3;13;14;962,6;29,3;23,1;18,6;68,9;5;2,7;50,9;null;
2001-10-31;9;201,8;null;null;221,3;5,5;6;11,2;961;32,3;25,1;19,4;60,6;6,6;3;52;null;
2001-11-30;9;240,7;null;null;264,3;4,9;4;2,3;959,4;33,9;26,6;20,7;54,8;5,6;3,1;53,1;null;
2001-12-31;9;198,4;null;null;215,8;6,2;11;217,3;959,1;32,3;25,8;20,8;61,3;6,3;2,8;51,3;null;
2002-01-31;9;91,1;null;null;178,6;7,6;19;220,7;959,4;29,2;24,3;19,9;72,2;4,6;1,9;45,3;null;
2002-02-28;14;143,3;null;null;213,3;5,6;7;43,9;960;31,2;25,1;20,3;61,8;6;2,1;53,3;null;
2002-03-31;14;165,8;null;null;207,7;5,9;6;6,2;959,5;32,2;25,9;20,7;56,7;6;2,4;56;null;
2002-04-30;9;141,8;null;null;191,7;6,2;7;3,9;959,7;31,3;25,3;20,5;64,3;5,8;2,5;53,8;null;
2002-05-31;14;108,2;null;null;171;6,8;9;27,1;961,7;29,4;23,9;19,8;72,3;5;2,5;51,4;null;
2002-06-30;14;88,9;null;null;108,2;7,8;16;62,6;964,2;27,2;22,2;18,2;78,6;4,6;2,5;55,1;null;
2002-07-31;14;82;null;null;181,4;6,9;13;28,7;964,6;27,6;21,8;17,4;77,5;4,5;2,2;52;null;
2002-08-31;14;116,7;null;null;208,2;6,3;17;32,4;964,5;28,1;22,2;18,2;76;5;2,7;52,5;null;
2002-09-30;14;161,8;null;null;206,7;5,4;5;38,8;962,6;31,1;24,2;19,3;70,2;8;2,9;61,5;null;
2002-10-31;14;213,9;null;null;278,4;4,7;2;1,5;961;32,8;25,2;19,7;64,1;5,5;3,1;64,3;null;
2002-11-30;14;205,5;null;null;242,8;5;4;15,4;960,4;33,3;26,1;20,4;59,6;6,6;3,2;66,1;null;
2002-12-31;14;198,8;null;null;219,8;5,1;3;49,4;959,5;33,4;27,3;21,7;57,4;5;2,2;59;null;
2003-01-31;14;187,4;171,3;171,3;256,5;5,2;5;69,6;959,8;34,6;28,1;21,7;55,6;5,3;2,4;63,4;null;
2003-02-28;14;153,7;143,6;143,6;217,6;6,1;7;55,2;960,1;32,4;26,1;20,6;65,5;7,3;2,9;64,3;null;
2003-03-31;14;184,4;163,3;32;203,1;6,7;6;20,4;959,6;33;26,5;21,3;65,3;6,5;2,8;66,9;null;
2003-04-30;14;196,3;161,5;5,9;248,2;5,3;4;5,9;960;33,3;26,8;21,1;61,4;4,6;2,9;65,9;null;
2003-05-31;18;86,2;112,8;112,8;164,2;7,3;18;120;961,8;28,9;23,7;19,9;78,8;4,6;2,2;59;null;
2003-06-30;14;68;88,3;68,7;146,9;7,4;17;61,3;963,5;26,9;22;18,6;80,9;4,6;2,4;58,3;null;
2003-07-31;14;77,9;77,6;71,3;155,6;7,3;22;71,3;965;25,8;20,8;17,1;84,2;5;2,3;56,6;null;
2003-08-31;14;109,4;95,5;21,5;204,1;6,8;13;21,5;964,3;28,4;22,2;17,9;75,7;5,3;2,7;58,6;null;
2003-09-30;9;141,2;null;null;233,4;5,9;10;24,9;963,1;30,2;23,5;18,3;67,7;5;2,8;64,8;null;
2003-10-31;9;182,7;null;null;227,4;5,8;6;9,4;961,3;31,5;24,3;18,8;63,1;6,1;2,9;64,6;null;
