Nome: MORRO DOS CAVALOS
Codigo Estacao: 82684
Latitude: -7.85
Longitude: -41.9
Altitude: 242
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2015-02-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;0;95,7;null;null;233,2;5,8;13;205,2;null;32,1;26;21,4;79,8;9;1,9;null;null;
2000-02-29;0;57,7;null;null;181,8;6,1;18;212,8;null;31;25,1;20,6;84,8;9;1,5;null;null;
2000-03-31;0;77,7;null;null;208,3;5,4;14;146,3;null;31,3;25,3;20,8;80,9;9;2;null;null;
2000-04-30;0;82,6;null;null;205,2;5,7;14;158,2;null;32,1;25,7;21,2;79,9;9;2,1;null;null;
2000-05-31;14;174,1;null;null;265,1;4,2;3;23,5;null;33,1;25,7;19,5;70,6;9;2,9;null;null;
2000-06-30;14;234,6;null;null;258,4;4,5;0;0;null;33,3;26,5;20,5;57,4;12;4,3;null;null;
2000-07-31;14;298,3;null;null;285,6;2,9;0;0;null;33,9;26,7;20,3;51,9;9;4,6;null;null;
2000-08-31;14;323,5;null;null;286,4;2,6;0;0;null;35,2;27,8;21,2;44,8;12;5;null;null;
2000-09-30;14;318,3;null;null;282,7;3,2;1;5,5;null;36;29,2;23,1;43,3;9;4,5;null;null;
2000-10-31;14;324;null;null;305,1;3,7;1;8,8;null;36,6;29,5;23,4;45;12;3,9;null;null;
2000-11-30;0;153,2;null;null;260,5;4,6;6;164,7;null;34,2;27,8;22,3;64;9;2,8;null;null;
2000-12-31;0;95,1;null;null;228,2;5,8;12;116,5;null;33;26,8;22;75,1;9;1,9;null;null;
2001-01-31;0;117,6;null;null;232,4;5;6;43,4;null;32,8;25,8;20,4;73,9;9;2,5;null;null;
2001-02-28;0;61,6;null;null;146;6,1;10;55,9;null;31,3;25,1;20,5;81,4;7;1,7;null;null;
2001-03-31;0;74,3;null;null;184,9;4,7;13;175,6;null;31,4;25,4;20,8;80,7;9;2,2;null;null;
2001-04-30;0;81,2;null;null;208,9;4,7;6;49,5;null;33,1;25,7;20,1;71,6;9;2,8;null;null;
2001-05-31;0;159,8;null;null;256,6;3,7;4;64,5;null;34,4;26,5;20,2;66,9;9;2,7;null;null;
2001-06-30;14;248,3;null;null;245,9;4;1;1,4;null;33,7;27;20,7;52,1;9;4,9;null;null;
2001-07-31;14;303,6;null;null;287,4;3;0;0;null;33,9;27,3;21,4;48;9;5,1;null;null;
