Nome: MOSSORO
Codigo Estacao: 82591
Latitude: -5.213412
Longitude: -37.312164
Altitude: 37.99
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2008-10-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;161,1;null;null;248,6;4;11;63,8;1006,5;33,8;28,3;24,2;75;10;3,4;84;null;
2000-02-29;0;115,1;null;null;210,8;4,5;11;194,7;1007,8;32,9;27,2;23,2;79;8;2,3;84;null;
2000-03-31;0;111,4;null;null;238,8;5,1;19;137,7;1006,1;33,1;27,4;22,9;82,6;8;2,3;78,7;null;
2000-04-30;0;79,8;null;null;187,6;5,3;22;280,4;1007,1;31,9;26,7;22,8;87,3;6;,6;73,8;null;
2000-05-31;0;110,5;null;null;253,8;3,3;12;66,2;1008;31,9;26,5;21,9;80,2;6;1,2;74,2;null;
2000-06-30;14;157,5;null;null;212,8;3,8;10;38,3;null;32,4;26,5;21,5;77,9;null;null;8,8;null;
2000-07-31;14;142;null;null;184,9;3,7;11;30;null;32,7;26,3;20,9;75,1;null;null;8,3;null;
2000-08-31;14;156,8;null;null;260,6;2,9;7;19,7;null;33,6;26,8;20,9;69,1;null;null;8,4;null;
2000-09-30;14;178,5;null;null;253,2;2,9;3;25,5;null;34,1;27,5;21,5;70,4;null;null;8,4;null;
2000-10-31;5;null;null;null;310,9;1,9;1;4,8;null;34,1;27,2;21,3;66,5;null;null;8,3;null;
