Nome: NATAL
Codigo Estacao: 82598
Latitude: -5.83722221
Longitude: -35.20777777
Altitude: 47.68
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;232,9;null;null;266,5;7,1;12;50;null;1005,9;30;26,5;20,7;88,1;6,6;4,1;56,6;
2000-02-29;14;204,9;null;null;239,1;7,1;9;84;null;1006,8;30,7;26,8;20,8;89,7;6,8;3,6;56,4;
2000-03-31;9;236,4;null;null;245,6;6,9;18;114,9;null;1005,8;30,6;27;21,1;89,4;6,6;4,3;56,3;
2000-04-30;14;140,1;null;null;221,4;7,2;24;177,4;null;1006,4;30,1;26,3;19,9;91,5;7;3,7;56,6;
2000-05-31;14;156,4;null;null;219,8;7,1;18;222,4;null;1007,6;29,4;25,7;19,6;91,2;7,5;4,2;56;
2000-06-30;14;116,4;null;null;210,5;7,2;22;577,4;null;1008,9;28,5;24,4;18,3;93,2;8,3;3,8;54,1;
2000-07-31;14;90,2;null;null;152;7,9;24;482,3;null;1008,8;27,6;23,6;17,7;null;6,6;3,7;54,8;
2000-08-31;14;156,5;null;null;248,5;6,8;16;288,8;null;1009,8;28,3;24,3;18,2;null;7,5;4,5;56;
2000-09-30;14;188,2;null;null;245,5;7,1;20;205,1;null;1008,8;28,8;25,3;19,3;89,7;8;4,9;56,4;
2000-10-31;14;278,8;null;null;298,3;6,4;8;8,7;null;1009,1;29,4;25,9;20,5;null;7,5;5,3;56,7;
