Nome: PAO DE ACUCAR
Codigo Estacao: 82990
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.86
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;271,1;null;null;255,1;6,9;6;20,9;1007;35,3;28,6;23,8;65,9;7;1,7;58,1;null;
2000-02-29;14;250,9;null;null;219,5;7,7;7;41,9;1008,6;35,8;29;23,9;62,2;7;2;57,9;null;
2000-03-31;14;238,6;null;null;231,5;7,4;6;24,6;1007,6;35,8;28,9;23,9;62,4;7;1,7;57,2;null;
2000-04-30;14;183,4;null;null;225,7;7,3;16;100,6;1008,5;33,8;27,7;23,7;69,2;7;1,4;55,1;null;
2000-05-31;0;138,6;null;null;217,2;6,6;12;70,7;1010,4;32,2;26,5;22;79,2;7;1,4;59,8;null;
2000-06-30;0;103,1;null;null;158,8;7,7;20;103,6;null;30,1;25,1;21,6;86,2;null;null;7,5;null;
2000-07-31;14;89,8;null;null;163,9;7,3;18;71,8;null;29,7;24,7;21,5;87,7;null;null;7,7;null;
2000-08-31;14;158,9;null;null;174,9;7;14;54,2;null;31;25,1;21;84;null;null;7,6;null;
2000-09-30;14;185;null;null;206,1;7,3;13;62,5;null;32;26,4;21,3;83,8;null;null;7,8;null;
2000-10-31;14;null;null;null;275,5;6,3;1;2,4;null;34,3;28,1;21,8;75,6;null;null;8;null;
2000-11-30;14;null;null;null;251,3;6,6;3;null;null;36,2;29,8;23,7;69,9;null;null;8;null;
2000-12-31;14;null;null;null;254,9;6,6;7;62,6;null;35;28,8;23,3;75,9;null;null;7,9;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;14;null;null;null;228,3;6,9;null;0;null;36,9;30,3;24,1;64,1;null;null;8,1;null;
2001-03-31;14;316,3;null;null;255,4;7,1;4;20,2;null;36,6;30;24,4;70,1;null;null;8;null;
2001-04-30;14;288,9;null;null;240,5;6,7;3;16,5;null;35,5;28,9;23,2;72;null;null;7,9;null;
2001-05-31;14;null;null;null;267,8;5,6;4;4,9;null;35,7;28,8;23;75,1;null;null;8;null;
2001-06-30;0;null;null;null;182,2;7,2;19;131,6;null;30,8;25,6;21,8;86,2;null;null;7,6;null;
2001-07-31;0;null;null;null;162;8;25;112,8;null;29;24,7;21,2;89;null;null;7;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;3;8,3;1012,6;null;null;null;null;5,2;null;null;null;
2001-10-31;14;241,5;null;null;248,6;6,7;7;73,3;1011,5;34,7;28,3;22,1;75,7;7;2,3;72,3;null;
2001-11-30;14;null;null;null;null;5,9;0;0;1009,6;37,8;29,9;22,5;71,5;5,2;2;97,3;null;
2001-12-31;14;null;null;null;null;7,4;3;6,9;1009,4;36,4;29,5;24,3;74,2;5,2;2,2;97,9;null;
2002-01-31;14;null;null;null;176,3;8;13;123,2;1010,1;32,1;27,3;23,4;85,8;7,3;1,8;86,7;null;
2002-02-28;14;null;null;null;217,3;6,9;7;43,6;1010,3;33,6;27,8;23;83;5,2;1,9;93,3;null;
2002-03-31;14;null;null;null;239,9;7;4;50;1010,2;35,3;28,7;23,3;77,7;5,2;1,7;95;null;
2002-04-30;14;null;null;null;210,6;7;8;16,2;1009,8;34,6;28,2;23;76,5;6,2;2,4;96,8;null;
2002-05-31;0;null;null;null;173;7,9;8;82,5;1011,4;32,3;26,4;22,6;82,1;5,1;1;93,4;null;
2002-06-30;0;null;null;null;142,7;8;22;66,6;1013,9;29,1;24,7;21,7;86,7;6,2;1,1;96,6;null;
2002-07-31;14;112,1;null;null;188,6;7,2;13;63,5;1014,7;30,3;25;20,8;78,7;5;1,8;62,1;null;
2002-08-31;14;null;null;null;202,7;7,3;15;59;1015,1;30,9;24,9;20;77,8;5,7;2,4;94,8;null;
2002-09-30;14;null;null;null;259,7;6,3;1;8,6;1012,7;33,6;26,9;21;61,9;5,1;2,7;94,8;null;
2002-10-31;14;null;null;null;289,8;6,2;3;8,6;1011,3;35,1;28,5;21,9;54,4;7,2;3,3;92,2;null;
2002-11-30;14;356;null;null;290,7;5,4;1;1,1;1010,1;36,8;29,5;23,4;53,3;5,1;2,9;73,2;null;
2002-12-31;14;null;null;null;269,3;5,9;3;10,2;1009,7;37;29,3;24;59,7;5,1;1,9;92,6;null;
2003-01-31;14;322,2;164;164;278,5;5,7;4;10;1009,4;38,1;30,5;24,4;56;5;1,4;72,1;null;
2003-02-28;14;247,8;140,9;140,9;204,3;7,3;11;67,7;1010,1;36,2;29,5;24,4;63,3;5;2,4;67,2;null;
2003-03-31;14;274,6;153,7;43,7;231,9;7,4;8;16,9;1009,3;36,2;29,6;24,4;63,7;5;2,2;71,1;null;
2003-04-30;14;283,2;146,3;23,2;259,7;5,7;5;23,2;1009,7;36,3;29,6;23,9;61,1;5;2,2;71,4;null;
2003-05-31;14;178;115,8;33,4;215,8;7;10;32,3;1011,1;34,4;28,2;23,2;70,4;5;1,1;71,9;null;
2003-06-30;14;137,7;129,7;33,8;156,3;7,3;15;33,8;1013;30,5;25,7;21,7;75,4;5;1,6;67;null;
2003-07-31;14;172,4;132,6;26,2;211,2;6,6;10;25,3;1015,2;30,2;25;20,8;73,8;5;2,6;70,5;null;
2003-08-31;14;198,1;137,2;19,3;224,6;6,7;10;19,5;1014,6;31,8;25,8;20,6;70,3;5;2,1;70,5;null;
2003-09-30;14;270;135;17,9;264,9;6,7;8;17,8;1013,4;33,4;27;21,4;63,6;5;2,7;70,2;null;
2003-10-31;14;288,9;149;34,2;243,6;6,9;7;33,2;1011,3;34,2;27,8;22,4;63,9;5;2,5;69,4;null;
2003-11-30;14;262,6;150,8;44;252,4;6,5;4;44;1009,8;35,2;29;23,1;60,6;5;2,4;70,3;null;
2003-12-31;14;365,8;157,8;,2;302,1;5,8;1;,2;1009,3;37,5;30,6;23,8;51,3;9;2,6;73;null;
2004-01-31;0;184;156,7;156,7;179,4;7,9;18;412,4;1008,7;34,6;28,5;24,2;71,3;5;1,3;63,4;null;
2004-02-29;0;166,4;144,1;135,7;239,2;6,9;8;33,5;1009,9;34,8;28,8;24,1;68,8;3;1,2;71,3;null;
2004-03-31;14;248,9;150,7;84,6;269,3;6,5;4;30,6;1009,4;35,8;29,2;23,7;64,6;7;2,2;70,5;null;
2004-04-30;14;228,4;140,1;23,7;257,1;6,7;8;26,4;1010,4;35,8;29;23,8;66,8;7;2;73;null;
2004-05-31;14;189,4;137,1;36,6;223,2;7,4;14;31,2;1012,3;33,9;27,8;23,1;71,5;5;1,6;63,8;null;
2004-06-30;0;102,5;126,5;86,5;156;7,4;19;86,5;1016;29,1;24,9;21,8;82,9;5;1,4;54,5;null;
2004-07-31;14;131,4;129,8;18,1;176,7;7;12;18,1;1014,6;30;24,8;20,8;76;7;2,2;60,3;null;
2004-08-31;14;133,8;134,4;57,6;183,6;7,3;10;57,2;1015,3;29,8;24,8;20,8;76,5;5;1,7;63,5;null;
2004-09-30;14;198,7;135,4;34,1;218,4;6,8;11;43,9;1013,9;31,4;25,9;21,1;70,5;7;2,4;68,5;null;
2004-10-31;14;311,9;153,1;0;322,5;5,9;null;0;1010,3;35;28,7;22,4;56,4;7;3,1;73;null;
2004-11-30;14;325,3;155,1;22;295,2;5,8;1;16,6;1009,3;36,4;30;23,5;52,8;7;2,9;73;null;
2004-12-31;14;351,5;null;null;304,5;5,9;0;0;1008,7;36,9;30,6;23,8;49,9;7;2,4;73,2;null;
2005-01-31;14;297,1;null;null;293,8;6,6;5;41,7;1008,1;36,8;30,6;24,4;55,4;7;1,9;71,8;null;
2005-02-28;14;239;null;null;195,3;6,8;4;34,5;1008,9;36,1;30,2;24,7;60,9;7;2,3;65,3;null;
2005-03-31;14;260,7;null;null;250,6;7;6;69;1009,5;36,1;30,8;25,2;61,9;5;1,6;64,9;null;
2005-04-30;14;168,4;null;null;238,4;6,7;8;83,2;1010,1;33,6;28,7;24;68,9;5;1,6;72,3;null;
2005-05-31;0;94,3;null;null;163,4;7,2;23;128,5;1011,4;30,2;26,6;23,5;80,4;3;1,1;62,9;null;
2005-06-30;0;72,3;null;null;161,3;7,8;21;109,1;1013,4;29;25,4;22,1;81,7;5;,9;62,7;null;
2005-07-31;0;74,9;null;null;150,2;7;23;80,1;1015,7;28;23,9;20,9;83,7;5;1,4;59,3;null;
2005-08-31;0;95,4;null;null;181,8;7,1;15;104,5;1015,2;28,6;24,3;20,3;79,8;5;1,4;64,5;null;
2005-09-30;14;169,3;null;null;247,8;6,4;8;28,2;1013,4;32,1;26,5;20,8;67;7;1,8;69,9;null;
2005-10-31;14;258,5;null;null;299,7;6,2;1;,2;1011,5;35;28,6;21,7;56,2;7;3,1;72,7;null;
2005-11-30;14;321,5;null;null;281,8;5,6;0;0;1009,1;36,6;29,4;23,3;54,9;9;3,3;73;null;
2005-12-31;14;null;null;null;225;6,2;5;36;1009,2;35,7;29;23,5;62,5;7;2,5;68,8;null;
2006-01-31;14;309;null;null;292,6;5,9;1;,2;1010;35,8;28,9;22,9;59,3;7;3;67;null;
2006-02-28;14;274,3;null;null;264,3;5,2;2;1,7;1008,6;37,8;30,6;24,8;60,2;7;1,8;67;null;
2006-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2006-04-30;0;159,7;null;null;217,7;6,3;10;61,3;1009,4;34,6;28,9;24,3;68,9;5;1,4;64,3;null;
2006-05-31;14;98,6;null;null;173;6,9;17;199,9;1012,9;30,4;26,2;23,1;82,3;3;1,5;54;null;
2006-06-30;0;76,6;126,9;126,9;134;6,9;22;114;1014,4;28,6;24,7;21,7;86,1;5;1,3;62;null;
2006-07-31;14;59,7;127,9;127,9;153,8;7,6;22;148;1015,5;27,7;23,6;21,1;91,9;3;1,5;51,2;null;
2006-08-31;14;122,6;132,8;87,6;222,7;6,2;11;20,8;1015;30;24,2;20,3;83,5;5;2,7;63,5;null;
2006-09-30;14;139;137,1;92,4;225,1;6,5;7;92,4;1014;31,7;25,9;21;78,2;5;3,1;63,1;null;
2006-10-31;14;213,1;147,9;20,4;285,5;5,9;2;20,4;1011,5;34,5;27,5;22;75,1;7;3,2;66,7;null;
2006-11-30;14;260,9;151,9;16,4;288,2;5,9;4;16,4;1009,8;36,3;29,1;22,9;66;7,2;2,6;68,5;null;
2006-12-31;14;306,3;160,7;1,2;309,5;5,9;1;1,2;1010,2;37,4;29,7;23,9;63,8;7;4;66,6;null;
2007-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2007-02-28;14;202,6;139,2;111,6;207,8;6,9;10;101,6;1010,6;35,8;28,8;24,6;78,7;7,2;2,3;63,8;null;
2007-03-31;0;121,8;145,3;99,2;221,8;6,5;13;99,2;1011,1;32,5;27,3;23,6;81,4;5;1,2;54;null;
2007-04-30;14;170;139,4;57,3;211,6;6,4;7;57,3;1011,3;33,7;27,8;23,1;79,6;5;1,9;62;null;
2007-05-31;0;79,1;135,2;113,2;178,7;7,2;17;113,2;1012,6;30,4;25,9;22,7;86,5;5;1;49,4;null;
2007-06-30;0;91,2;126,2;62,9;191,4;7,1;20;62,9;1014,7;29,1;24,6;21,6;85,8;5;1,1;51,1;null;
2007-07-31;0;93,5;129;42;169,3;6,5;14;42;1015,3;29,1;24;20,5;86,9;5;1,3;52,9;null;
2007-08-31;0;115;130,2;104,6;180,3;7;16;104,9;1016,1;28,8;23,8;20,4;84,1;5;1,5;54,6;null;
2007-09-30;14;173,9;133,2;35,6;214,7;6,7;11;35,6;1015,9;31;25,1;20,4;78,6;5;2,6;58,1;null;
2007-10-31;14;266,9;148,2;1,4;277,6;6;3;30,4;1012,6;34;27,4;21,2;62,5;7;3,4;66,6;null;
2007-11-30;14;316;153,9;0;302,1;6;0;0;1010;36,3;29,4;22,6;56,4;5;3,1;67;null;
2007-12-31;14;303,9;161,9;1,2;277,7;6,5;2;1,2;1009,4;36,8;29,8;23,1;56,3;7;3;65,5;null;
2008-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2008-02-29;14;244,7;146,9;95,4;239,5;6,6;4;95,4;1010,3;36,9;29,4;24;65,8;5;2,7;62,6;null;
2008-03-31;14;178,8;150,5;119;210,5;6,8;12;119;1009,5;34,3;28,5;23,7;74;5;1,7;60,9;null;
2008-04-30;0;142,3;142,2;22;230,5;6,3;7;24,4;1009,5;33,9;28,4;23,7;72,7;3;1,2;62,8;null;
2008-05-31;0;85,2;135;123,9;153,5;7,6;19;123,9;1012;30;26,1;22,6;83,5;5;1,3;53,3;null;
2008-06-30;0;90,2;122,6;49,1;155,7;7,1;18;75,3;1014,4;null;null;21,2;81,6;3;,9;56;null;
2008-07-31;0;85,4;125,7;103,3;163,2;7,3;18;103;1015,9;null;null;20,3;86,3;5;1,1;49,3;null;
2008-08-31;0;116,8;135,7;40;200,1;6,7;17;39,8;1014,6;null;null;20,6;82,5;5;1,3;57,7;null;
2008-09-30;14;187,1;138,7;13;226,2;7;6;13;1014,5;32,3;26,5;21,3;77,6;5;2;58;null;
2008-10-31;0;219,2;149,8;5,9;278;6,6;6;7,1;1013,6;34,1;27,8;21,7;66,5;5;1,3;65,9;null;
2008-11-30;14;268,2;155,8;0;316,2;5,8;0;0;1009,6;36,9;30;22,7;52,3;5;1,6;67;null;
2008-12-31;14;256,8;164,2;16,6;294,5;6,1;2;16,6;1008,1;37,3;30,5;23,4;54,2;5;1,4;67,3;null;
2009-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2009-02-28;14;227;141,2;39,3;209,8;6,8;5;39,3;1009,2;36,1;29,4;24,1;65,2;5;1,6;65,5;null;
2009-03-31;0;270,9;158,5;0;287,1;6,1;0;0;1008,1;37,6;30,8;24,1;58,9;7;1,7;66,5;null;
