Nome: PARNAIBA
Codigo Estacao: 82287
Latitude: -3.08668
Longitude: -41.783139
Altitude: 52.11
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2018-09-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;127,7;null;null;230,5;6,4;20;168;null;null;31,7;26,3;22,7;82,5;8,6;3,3;39,2;
2000-02-29;5;75,5;null;null;150,6;8,4;19;231,3;null;null;30,5;25,7;22,5;86,6;6,8;2,7;39,5;
2000-03-31;5;87,5;null;null;181,5;6,9;22;156,1;null;null;30,8;26;22,7;87,5;6,1;2,8;39,4;
2000-04-30;5;74,2;null;null;178;7,2;23;388,2;null;null;30,9;25,9;22,5;88,4;7;2,4;39,9;
2000-05-31;9;100,9;null;null;211,9;5,7;17;199,5;null;null;31;26;22,6;86,9;5,8;2,4;39,9;
2000-06-30;5;107,9;null;null;245,2;3,7;10;73,5;null;null;31;25,6;21,9;84,3;null;null;5,8;
2000-07-31;9;121,5;null;null;255,9;4,8;8;91,1;null;null;31,4;25,8;22,1;83,5;null;null;5,7;
2000-08-31;5;182;null;null;289,1;2,9;4;16,1;null;null;32,6;26,4;22,2;76,6;null;null;5,7;
2000-09-30;5;246,5;null;null;301;2,7;3;3,1;null;null;34;27,6;23,3;70,7;null;null;5,7;
2000-10-31;5;null;null;null;307,3;1,8;null;0;null;null;34,2;27,9;23,7;66,3;null;null;5,7;
