Nome: PATOS
Codigo Estacao: 82791
Latitude: -7.05361111
Longitude: -37.27388888
Altitude: 251.65
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;233,5;null;null;282,9;6,4;8;133,6;null;979,6;33,2;27,4;22,8;60,4;6,1;2,7;60,6;
2000-02-29;9;176,6;null;null;250,6;7;16;151,3;null;981;33,4;27;22,6;65,9;6,3;2,4;61,7;
2000-03-31;9;183,3;null;null;268,4;7;16;155,6;null;979,8;33,1;27;22,4;66,4;5,3;2,6;60,2;
2000-04-30;9;172,6;null;null;251,6;6,5;13;92,4;null;980,9;32,6;26,8;22,4;67,8;6,1;2,7;62;
2000-05-31;9;233,3;null;null;259;5,3;7;32,3;null;981,8;33,6;27,1;21,8;57,5;6,1;3,4;60;
2000-06-30;9;259,9;null;null;206,3;6;10;21,5;null;983;32,8;26,5;21,4;59;6,3;3,8;60,5;
2000-07-31;null;286,3;null;null;207,4;null;6;16,9;null;null;32,5;null;21,1;null;null;null;null;
2000-08-31;null;300,6;null;null;260,2;null;5;64,2;null;null;32,6;null;21,9;null;null;null;null;
2000-09-30;null;357,7;null;null;265,7;null;3;9,7;null;null;34,1;null;22,9;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;0;0;null;985,4;null;null;null;null;7,8;null;null;
2001-10-31;9;458,7;null;null;267,3;4,6;1;2,6;1012,4;984,1;35,6;28,8;23,3;46;10;4,7;64,7;
2001-11-30;9;null;null;null;null;4,6;0;0;1011;982,9;36,6;29,5;23,9;48,4;7,8;4,7;96,8;
2001-12-31;9;null;null;null;null;5,3;4;21,5;1010,5;982,4;36;29,4;24,2;52,2;7,8;5;97,6;
2002-01-31;9;null;null;null;null;7,6;20;393,8;1012,3;983,7;32,4;26,6;22,8;74,1;7,8;2,4;97,7;
2002-02-28;14;null;null;null;null;6;10;96,4;1012,6;984;33,3;27,1;22,4;66;6,7;3;97,7;
2002-03-31;9;null;null;null;null;7,1;14;223,4;1012,2;983,7;33;26,9;22,5;70,5;6,2;2,8;97,7;
2002-04-30;9;null;null;null;228,4;6,6;10;56,2;1011,7;983,1;32,6;26,8;22,6;72,2;5,1;2,3;97,6;
2002-05-31;9;null;null;null;242;5,1;8;117,8;1013;984,4;32;26,4;21,9;54,2;7,2;2,9;97,7;
2002-06-30;9;null;null;null;203,1;6;6;64,1;1015;986,9;31,6;25,4;20,5;68,9;8,2;3;97,7;
2002-07-31;9;315,9;null;null;266,7;4;1;1,2;1015,1;987,1;33,4;26,6;20,9;56,9;8;3,9;63,1;
2002-08-31;9;null;null;null;295;3,5;1;,4;1014,4;986,5;33,7;26,8;21,4;52,7;8,2;5;96,9;
2002-09-30;9;null;null;null;314,1;3,1;1;3,8;1012,8;985;35,2;28;22,1;44,1;10,3;4,7;97,7;
2002-10-31;9;null;null;null;311,7;3,4;null;0;1011,3;983,4;36,1;28,6;22,8;44,6;9,3;5,3;97,7;
2002-11-30;9;428,8;null;null;300,6;3,6;1;1,3;1010,9;983,3;36,5;29,2;23,4;46,8;9,3;4,8;63,5;
2002-12-31;9;null;null;null;289,2;5,1;4;26,7;1010,9;983,2;36,1;29,5;23,8;50,4;8;4;63,7;
2003-01-31;9;282,1;155;155;267,8;6,2;11;167,8;1010,9;983,4;35,5;28,8;23,3;57,2;6,5;2,9;62;
2003-02-28;9;212,6;135,1;135,1;215,5;7,6;10;118,8;1011,1;983,1;34;27,8;23,2;64,9;7;3,1;62,9;
2003-03-31;9;181,1;145,1;145,1;249,4;7,5;18;208,5;1010,7;982,9;33,5;27;22,6;72,4;8;2,4;62,7;
2003-04-30;9;173,6;138,1;138,1;268,6;6,2;10;75,9;1011,1;983,3;34,1;27,1;21,4;66,5;7,6;2,3;62,7;
2003-05-31;9;240,3;140,9;72,4;248,1;5,6;6;34,6;1012;984,2;33,9;27,4;21,6;59,1;7,8;2,8;62,7;
2003-06-30;9;309,7;134,7;13,9;243,4;4,5;2;13,9;1012,8;985;33,5;26,7;20,7;54,9;8;3,8;62,7;
2003-07-31;14;334,8;137,8;7,4;267,8;4,5;1;7,4;1014,5;986,6;33,1;26,4;19,7;52,2;7;4;62,7;
2003-08-31;14;410,4;142,1;2,4;298,9;3,5;1;2;1014;986,2;34,4;27,1;20;47,2;8,3;4,5;62,4;
2003-09-30;9;436,5;null;null;294,4;3,5;1;,8;1013;985,2;34,9;27,6;20,3;45,3;8,6;4,9;61,5;
2003-10-31;9;534,7;null;null;323,2;3,7;1;,2;1011;983,3;36,1;28,4;21,1;43,2;11;5,6;62,5;
2003-11-30;9;463,9;null;null;303,7;4,1;0;0;1009,5;982;36,7;29,2;21,9;43,3;9,3;4,8;62,7;
2003-12-31;9;453,5;null;null;289,5;5,1;5;23,2;1009,8;982,3;36,8;29,5;22,4;44,5;8,5;4,4;62,7;
2004-01-31;5;205,3;null;null;172,9;8,1;21;393,3;1010,1;982,2;32,8;26,5;21;69,7;9,1;2,9;62;
2004-02-29;9;144,7;null;null;231,2;6,7;17;185,1;1011,2;983,3;32;26;20,9;71,8;6,3;2,2;63,2;
2004-03-31;9;76,1;null;null;274,1;6,3;7;16,9;1010,5;982,6;33,5;27,2;21;60,9;7,8;3,3;62,7;
2004-04-30;9;198,5;null;null;235;6,1;9;31,8;1010,7;982,9;34,6;28,2;23,4;57,7;7,6;3,2;62,5;
2004-05-31;9;198,3;null;null;238,7;6,2;6;8,2;1012,3;984,5;33,3;27,4;23,1;58,5;7,3;3,1;62,7;
2004-06-30;9;180,1;null;null;201,4;6,8;13;63;1016,2;987,9;31,2;25,8;22,1;69,9;7,6;3,1;54,1;
2004-07-31;9;220,8;null;null;217,2;6;6;18,7;1014,2;986,1;31,8;25,9;21,3;60;7;3,4;64,8;
2004-08-31;9;311,1;null;null;265,2;4;1;2,1;1014,7;986,8;33,6;26,9;21,7;52,3;7,8;4,3;63,6;
2004-09-30;9;371,8;null;null;302,4;3,4;2;2,3;1012,8;985,1;34,6;27,7;22,6;50,3;8,5;5,1;62,9;
2004-10-31;9;375,5;null;null;329,5;3,3;0;0;1010,8;983,3;36,1;28,7;22,8;48,2;9,8;5;62,7;
2004-11-30;9;386,6;null;null;308,7;3,6;0;0;1009,9;982,4;36,3;29,3;23,5;49,9;8,3;4,9;62,7;
2004-12-31;9;360;null;null;290;4,6;2;57,2;1009,8;982,1;36,9;29,8;23,8;52,7;8,3;4,4;62,7;
2005-01-31;5;287,3;null;null;273,2;5,9;4;18,9;1010,3;982,7;36;29,7;24,5;62;7,8;4,1;52,5;
2005-02-28;9;242,3;null;null;243,5;5,8;6;114,5;1009,4;981,8;35,1;28,9;23,7;61,4;7,8;3,6;62,7;
2005-03-31;9;258,2;null;null;207;6,7;13;307,3;1010,4;982,8;35,1;28,6;23,8;65,2;8,3;2,9;62,4;
2005-04-30;9;205,8;null;null;265;5,7;6;97,7;1010,9;983,1;33,6;27,9;23,6;68,1;9;3,1;63,4;
2005-05-31;14;179,5;null;null;217,2;7;8;28,2;1012;983,9;32,6;26,9;23;70,1;11,3;3,3;63,4;
2005-06-30;14;175,6;null;null;170,8;6,8;11;58,4;1013,5;985,5;31,2;25,9;22,1;71,1;6,1;3,1;62,9;
2005-07-31;14;247,5;null;null;253,5;3,4;1;,1;1016,1;988,1;32,7;26,2;20,9;62,1;7,1;3,7;53;
2005-08-31;9;null;null;null;null;3,9;1;null;1015,6;987,7;33,4;26,4;20,8;59,5;7,1;4,3;52;
2005-09-30;9;372,5;null;null;300,1;2,2;0;0;1014,5;986,6;34,9;27,6;21,4;52,4;8,3;5,1;52;
2005-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2005-11-30;9;399;null;null;305,5;2,9;0;0;1010,8;983,2;36,6;29,3;22,8;47,1;8;5,5;53,3;
2005-12-31;9;293,8;null;null;290,3;4,8;7;198,8;1010,4;982,7;34,3;28,1;22,6;58,5;7,8;4,2;52;
2006-01-31;9;374,8;null;null;309,8;3,4;0;0;1010,2;982,6;36,6;29,5;23,4;50;8,3;5,2;51,7;
2006-02-28;5;218,3;null;null;232,2;7,7;12;202,5;1010,7;983,1;35,6;28,8;23,7;64,1;6,8;3;52;
2006-03-31;5;112,8;null;null;270,8;7,9;22;343,9;1011,7;983,8;32,2;26,9;22,7;78,9;5;2,2;52;
2006-04-30;5;62;null;null;251;8;22;224,9;1011,7;983,6;31,9;26,3;22,6;84,8;5;1,9;53,1;
2006-05-31;14;102,9;null;null;266,2;6,3;14;148,4;1013,6;985,6;31,4;26,1;21,9;78,6;5,1;2,1;52;
2006-06-30;14;151,9;129,4;129,4;228,6;5,2;7;66,3;1014,9;986,8;30,8;25,2;20,8;72,3;5,1;2,5;52;
2006-07-31;null;null;136,6;136,6;null;null;null;null;null;null;null;null;null;null;null;null;null;
2006-08-31;9;308,4;139,9;100,2;276,4;3,5;1;,2;1014,9;987;33,4;26,5;20,4;56,8;6,6;4,1;53,2;
2006-09-30;9;351,8;142,1;0;313,7;2,6;1;3;1014;986,5;35,7;28;21,2;51,6;7,5;4,7;53,3;
2006-10-31;9;367,7;152,6;11,1;315,7;3;2;11,1;1011,9;984,2;36,4;28,9;22,3;51,5;8,8;5;53,2;
2006-11-30;9;332,8;150,4;7,1;299,8;3,6;3;7,1;1010,8;983,2;36,6;29,1;22,4;54,2;8;4,8;54,5;
2006-12-31;14;340,7;158,7;71,3;313,8;4,8;3;71,3;1011,6;984,1;36,9;29,7;23;55,2;7,5;4,3;50,7;
2007-01-31;9;335,3;157,7;8,6;290,5;4,6;3;8,6;1011,2;983,7;36,5;29,5;23;57,6;7;3,8;54,4;
2007-02-28;14;175,6;134;134;218,1;7,2;13;358,7;1011,8;984;34,1;27,6;22,3;73,3;6,3;2,6;52;
2007-03-31;14;191,2;145,1;132,7;274,7;5,5;10;32,7;1011,7;983,9;33,2;27,1;21,8;71,1;6;2,6;52;
2007-04-30;9;198;140,6;88,3;258;6,5;12;88,3;1012,2;984,3;34,4;27,8;22,3;72,1;5,8;2,8;54,5;
2007-05-31;14;197,3;140,6;68,8;250;4,9;7;68,8;1012,9;985;33,5;27;21,3;70,3;5,5;2,6;51,8;
2007-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2007-07-31;14;225;137,8;37;271,9;3,2;1;7;1015,1;987,1;33,2;26,3;20,2;60,5;8,3;4,2;53,2;
2007-08-31;14;315,3;138;1,1;262,5;3,9;1;1,1;1015,1;987,1;33;26;19,8;56,8;7,5;4,8;52;
2007-09-30;14;330,2;138,8;0;285,8;3,1;0;0;1015,2;987,3;34,1;26,9;20,1;52,7;8;4,8;53,3;
2007-10-31;9;384,2;150,3;0;331,5;2,3;0;0;1012,3;984,7;35,8;28,3;21,1;50,7;8,8;5,6;52;
2007-11-30;9;373,2;149,6;0;312,3;2,4;0;0;1010,6;983;36,7;28,9;21,5;51;8,8;5,1;52;
2007-12-31;9;298,5;154,8;29,6;277,3;4,1;1;29,6;1010,4;982,9;36;28,8;22;58;8,3;4,5;52;
2008-01-31;9;283,4;154,9;33,4;271,2;5,6;6;33,4;1010,1;982,5;36,2;28,8;22,4;61,8;7,6;3,8;52;
2008-02-29;9;210,4;139,6;126,6;262,8;6,7;11;126,6;1011,5;983,7;34,7;27,8;21,5;68,4;8;2,6;52;
2008-03-31;5;114,3;140,4;140,4;248,5;8;28;488,2;1011,6;983,6;32,3;26;20,8;82,5;6,1;2;52;
2008-04-30;9;80,6;133,7;133,7;251,3;7,2;14;97,4;1011,1;983,2;31,5;25,9;20,8;82,3;5,3;1,9;52;
2008-05-31;14;84,6;135,4;135,4;243;6,3;9;189,4;1012,7;984,7;31,4;25,6;20,4;79,8;5,6;1,8;52;
2008-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2008-07-31;14;123,6;null;null;229;5;8;22,3;1015,7;987,5;31,1;24,9;19,1;66,1;6,6;3,5;53,7;
2008-08-31;14;235,9;138,1;23,1;256,5;3,8;2;,7;1014;986;32,8;26;19,3;61,1;7,6;4;52;
2008-09-30;9;305,3;140;11,6;298,1;2,4;1;6;1014,2;986,4;34,6;27,3;19,7;55,9;8;4,8;52;
2008-10-31;9;393,4;150;1,5;321,5;2,8;0;0;1013,1;985,4;36,1;28,2;20,7;55,4;8,3;5,6;52;
2008-11-30;9;373;150;3;317;2,9;2;2,7;1010,9;983,3;36,8;29;21;55,1;8;5,1;52;
2008-12-31;9;306,6;155,2;92,6;303,6;4,4;2;92,6;1010,3;982,7;36,2;28,9;21,2;52,6;8,3;4;53,2;
2009-01-31;9;213,2;153;91,2;281,1;5,6;9;91,2;1011,2;983,5;35,5;28,3;21,1;60;9;3,6;53,2;
2009-02-28;9;110,1;130,9;130,9;210,7;7,2;10;167,7;1011;983,2;33;26,7;20,8;75,8;5,5;2,5;53,3;
2009-03-31;9;89,7;143,2;143,2;284,1;7,2;17;300,1;1011,1;983,2;33,2;26,6;20,7;79,8;5,3;2;52;
2009-04-30;9;24,4;null;null;219,4;7,9;23;508,5;1012,4;984,6;32,2;25,9;20,5;85,7;5;1,8;52,6;
2009-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2009-08-31;9;213,8;135,4;55,4;259,6;4,7;6;32,2;1014,9;986,8;32,5;25,3;17,9;65,3;6,3;3,3;52,5;
2009-09-30;9;307,9;139,2;9,6;294,1;2,7;0;0;1014,7;986,8;35,3;27,1;18,9;56,9;7,8;4,6;51,8;
2009-10-31;9;322,2;150,7;8,8;302,9;3,8;1;6,4;1011,7;983,9;36,5;28,4;19,5;55,2;7,1;4,3;52,6;
2009-11-30;9;364,9;148,1;4,8;290,8;3,8;1;4,2;1011,2;983,6;36,7;28,5;20;55,8;9,1;5,1;55,6;
2009-12-31;9;317,6;154,4;7,5;245;5,6;5;6,3;1011,3;983,6;36,1;28,5;20,7;59,3;7;3,7;52;
2010-01-31;9;195,7;147,8;130;239,5;6,7;11;130;1011,9;984,1;33,9;27;20;71,8;6,6;2,9;52;
2010-02-28;9;238,6;137,2;29,4;198,3;6,1;5;29,4;1011;983,4;35,3;28,3;20,7;63,9;6,6;3,4;52;
2010-03-31;5;217,5;151,9;102,5;289,3;5,7;10;102,5;1011,1;983,5;36,6;28,8;20,8;65;6,6;2,8;52;
2010-04-30;14;142,2;140,7;49,1;272,5;6,1;12;49,1;1011,5;983,8;34,9;27,8;20,5;71,5;6,3;2,5;52;
2010-05-31;14;256,4;146;9;286,5;4,5;5;9;1011,6;984;36,2;28,5;20,3;60,8;5,8;2,7;52;
2010-06-30;14;176,4;134;53,3;216,9;5,4;9;53,3;1014,6;986,7;33;26,6;21,3;68,2;5,6;2,7;52;
2010-07-31;14;235,8;138,2;1,3;250,5;4,7;3;1,3;1015;987;33,2;26,4;20,6;62,3;6,6;3,5;53,5;
2010-08-31;14;273,1;140,3;,4;294,2;4,1;1;,4;1014;986;34;26,6;20,2;54,3;7,5;4,4;62,7;
2010-09-30;14;290,8;139,5;0;303,5;3,6;0;0;1012,4;984,6;34,8;27,2;20,7;52,5;8,5;4,9;62,7;
2010-10-31;9;238,5;151,5;68,6;287;4,4;3;68,6;1010,5;982,8;36;28,5;21;54;7,3;3,9;62,7;
2010-11-30;9;281,3;150;,5;318,3;3,9;1;,5;1009,1;981,4;36,7;29;21,3;49,9;8,3;4,2;63,1;
2010-12-31;9;173,1;150,4;72,3;260;6;11;72,3;1008,3;980,6;34,6;27,6;20,7;63,2;6,6;3,1;62,8;
2011-01-31;9;178,7;148,7;148,7;225,4;7;13;287,1;1008,8;981,1;33,9;27,1;20,8;66,7;8,6;3;62,7;
2011-02-28;9;106;130,5;130,5;252;7,6;16;216,1;1009,7;981,9;33;26,6;21,2;72,7;6,3;2,4;62,7;
2011-03-31;5;95,6;142,4;136,1;295,1;7,1;12;104,8;1009,6;981,8;32,9;26,4;20,5;74,1;5;2,1;62,7;
2011-04-30;14;112,8;136,3;130,4;245,2;7,3;15;119,8;1010,1;982,1;33,6;26,7;21;72,9;6,3;2,2;62,7;
2011-05-31;14;107,4;134,6;125,4;215,7;7,1;13;115;1011,2;983,2;31,6;25,4;18,9;75,9;7;2,4;62,7;
2011-06-30;14;187,8;130,8;41,4;216;5,5;3;7,4;1013,9;985,9;32,5;25,7;18,9;70;5,6;2,9;52;
2011-07-31;14;178,9;133,8;34;196,3;6,4;6;24,7;1013,6;985,5;31,4;25,2;20,2;68,6;6,5;3,2;62,7;
2011-08-31;9;276,9;138,8;11;281,2;4,4;5;7,6;1013,6;985,6;33,2;26,2;20,3;59,5;7,5;4,1;62,7;
2011-09-30;9;322,7;140,3;1;306;2;0;0;1014,8;986,9;34,6;27,4;21,3;57,1;8,6;5,1;52;
2011-10-31;9;322;149,2;13,8;288,2;4,9;2;13,6;1009,6;981,8;35,7;28;19,8;54,2;8,3;4,4;62,7;
2011-11-30;9;315,5;145,4;15,7;290,7;5,4;4;15,6;1009,3;981,7;36,2;27,8;18,4;57,2;9,6;4,7;62,7;
2011-12-31;9;319,7;158,4;0;296,9;4,7;0;0;1009,2;981,7;36,7;29,1;21,1;50,6;8,6;4,4;62,7;
2012-01-31;9;298,8;155,7;20,7;238,8;6,3;7;20,7;1009,9;982,3;35,6;29;24,8;58,2;8,6;4,1;62,7;
2012-02-29;9;266,6;141,7;141,7;246,3;6;7;146,4;1009,8;982,1;34,8;28,3;24,3;59,9;7,6;3,8;63,5;
2012-03-31;14;284,4;151,8;18;287,9;5,4;2;14,5;1009,7;982,1;36,1;29;23,2;56,7;8,1;3,7;62,8;
2012-04-30;9;263,9;146,2;15,2;299,8;5,1;3;14,3;1009,5;982,1;36,8;29,5;22,8;54,5;7,3;3,5;63,5;
2012-05-31;9;281,4;147,4;2,9;281,1;4,9;3;2,7;1011,3;983,5;35,5;28,9;23,1;59,3;7,5;3,9;62,7;
2012-06-30;9;217,4;136,1;13,1;215,9;4,3;6;13;1014,5;986,6;33,5;27,2;22,2;64,3;7;3,9;52;
2012-07-31;9;218,9;139;1;261,2;4,4;1;1;1013,4;985,5;33;26,6;21,7;56,1;7,6;4;62,7;
2012-08-31;14;284,6;141,8;0;306,1;3,7;0;0;1013,7;986,4;34,2;27;21,7;54,8;7,5;4,4;62,7;
2012-09-30;9;316,5;142,5;0;314;2,2;0;0;1014,8;987;35,3;28;22;52,2;8,5;5,1;56,6;
2012-10-31;9;345,4;151,6;0;326,6;3,4;0;0;1011;983,2;36,3;28,6;23,2;52;8,6;4,9;62,7;
