Nome: PAULISTANA
Codigo Estacao: 82882
Latitude: -8.13222221
Longitude: -41.14305555
Altitude: 376
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;148,5;null;null;225,6;6;11;133,1;966,2;31,8;26,3;22,2;83,7;6,8;2,4;47,3;null;
2000-02-29;9;115,9;null;null;183,5;5,9;15;176,8;968;30,9;25,3;21,4;80,6;5,1;2,1;48,1;null;
2000-03-31;9;146,5;null;null;219,1;5,1;10;55,7;966,7;31,2;25,7;21,9;81,5;7,8;2,6;48;null;
2000-04-30;9;177,7;null;null;219,6;5,7;10;56,3;967,7;31,8;25,9;22,1;82,1;8,5;3,1;48,3;null;
2000-05-31;9;297,4;null;null;264,6;4;2;17,2;968,6;32,8;26,5;22,3;72,5;9,1;3,9;48,7;null;
2000-06-30;14;334,3;null;null;249,9;4,3;2;1;970,1;32,1;26,1;21,8;68,3;8,8;4,6;48,3;null;
2000-07-31;14;372,1;null;null;275,9;2,8;0;0;969,8;31,9;null;21,1;66,2;8,3;4,5;48,3;null;
2000-08-31;9;441,5;null;null;302,1;2,3;0;0;970,3;33,2;26,8;21,8;63,2;11,3;4,9;48,3;null;
2000-09-30;9;489,7;null;null;289,5;3,1;0;0;968,6;33,9;27,9;22,8;59,5;9,6;4,9;48,3;null;
2000-10-31;9;436,9;null;null;288,3;2,8;1;7,5;968,1;35,3;29;23,8;58,5;8,3;4,2;49;null;
2000-11-30;9;295,5;null;null;254,3;4,7;9;92,6;966;33,1;27,6;23,2;70,7;8,3;3,2;47,2;null;
2000-12-31;9;229,5;null;null;215,7;6,2;10;105,2;967,3;32,7;27,2;22,8;73,9;6,6;2,5;48,2;null;
2001-01-31;14;282,8;null;null;233,5;5,8;9;65,4;967,7;32,7;26,7;22,2;71,1;7,8;2,9;48,3;null;
2001-02-28;9;148,2;null;null;149,4;5,3;7;73,4;967,3;31,2;25,7;22;78,9;7,1;2,3;48,2;null;
2001-03-31;9;165,1;null;null;207,9;5,9;10;160,8;967,7;31;25,5;21,5;81,4;8,3;2,3;47,7;null;
2001-04-30;18;263,2;null;null;226,1;4,6;3;52,4;968,1;32,4;26,1;21,8;70,6;8,3;3,3;48,8;null;
2001-05-31;18;276,4;null;null;286,6;3,8;4;51,2;968,4;33,4;27,2;22,3;67,3;8,1;2,8;48,9;null;
2001-06-30;18;342,7;null;null;242;4,1;2;2,8;972,3;31,9;26,3;21,6;56;9,5;4,3;48,3;null;
2001-07-31;9;388,7;null;null;267,8;3,3;1;,1;972,7;31,9;26,2;21,3;51,8;8,1;4,8;48,3;null;
2001-08-31;14;469,2;null;null;314,9;2,4;0;0;974,4;31,8;25,9;20,6;47,8;9,8;5,4;47,6;null;
2001-09-30;14;484,4;null;null;309,6;2,4;1;1,4;970,6;34,5;28,3;22,4;43,2;8,3;4,7;48,3;null;
2001-10-31;9;499,4;null;null;284,9;3,4;3;12,2;969,3;36;29,9;24,2;40,5;8,3;3,8;48,3;null;
2001-11-30;9;479;null;null;291,3;4,3;5;36,5;967,9;36,7;30,5;25,3;41,4;6,6;3,2;48,3;null;
2001-12-31;9;415,9;null;null;251,7;4,8;5;51,8;968;34,7;29;24,3;50,7;8;3,8;48,2;null;
2002-01-31;18;118,4;null;null;193,9;7,3;21;285,4;969,8;29,9;25,1;21,3;79;6,5;2,4;46,5;null;
2002-02-28;18;217,7;null;null;250,4;4,4;2;16,2;969,8;32,6;26,7;21,9;64,6;8,3;3,3;48,3;null;
2002-03-31;9;257,4;null;null;233,9;5,7;6;92,3;969,5;33;27;22,2;61,8;8,3;3;48,3;null;
2002-04-30;18;228,7;null;null;231,8;5,3;5;87,8;969,2;32,2;26,4;22,3;64,3;9;3,4;48,1;null;
2002-05-31;9;367,2;null;null;273,3;3,8;0;0;970,4;33,4;27,7;22,6;51,1;8,3;4,1;48,3;null;
2002-06-30;9;371,3;null;null;258,5;3,9;3;5,9;972,9;31,7;26,1;21,3;53,4;9;5;48,3;null;
2002-07-31;9;396,7;null;null;282;2,8;0;0;973,1;32,4;26,5;21,1;48,9;8,3;4,5;48,3;null;
2002-08-31;9;451,6;null;null;317,5;1,7;0;0;972,9;32,9;26,6;21;45,2;9,1;5,1;48,3;null;
2002-09-30;9;446,2;null;null;304,9;2,5;0;0;970,9;34,9;28,8;22,8;39,7;8,3;4;48,3;null;
2002-10-31;9;507,3;null;null;324,5;1,9;0;0;969,3;36,1;29,6;22,5;36,7;8;4,2;48,3;null;
2002-11-30;9;451,2;null;null;306,3;2,8;2;16,1;969;36,2;30,3;24,5;39;8,3;4,1;48,3;null;
2002-12-31;9;270,3;null;null;245,6;5,4;11;139;969,4;34,1;28,3;23,7;57,4;5,1;2,4;49;null;
2003-01-31;9;148,8;149,9;149,9;251,3;5,3;8;60,9;969,7;33,4;26,9;20,3;62,2;5,5;1,8;51,7;null;
2003-02-28;9;185,7;139,9;139,9;193,6;5,8;8;51,8;969,9;33;27,2;23,2;64;8,6;3;48,3;null;
2003-03-31;9;223,8;152,3;152,3;221,6;5,7;10;169,2;969,5;33,1;27,1;22,9;65,4;6,6;2,5;48,3;null;
2003-04-30;9;222,7;136,7;43,5;276,9;3,6;3;14,8;970;32,3;26,8;22,6;63,7;7,1;3;48,3;null;
2003-05-31;9;233,4;133,3;58;265,1;4,4;5;58;970,9;31,8;26,5;22,1;63,1;7,8;3,8;48,3;null;
2003-06-30;9;347,2;131,5;0;280,8;2,6;0;0;971,5;32,2;26,7;21,8;51;8,3;4,3;48,3;null;
2003-07-31;9;346,7;113,2;10,2;285,6;3,2;1;10,2;973,4;31,3;25,4;20,6;53,1;10;4,8;48,5;null;
2003-08-31;9;401,1;156,4;0;316,6;1,7;0;0;972,3;33,7;27,6;22;44,3;8,3;4,4;48,3;null;
2003-09-30;9;414;null;null;303,2;1,6;0;0;971,1;34,7;28,6;22,7;40,3;8,3;4,5;47,4;null;
2003-10-31;9;461,7;null;null;320,1;2,2;0;0;969,3;35,6;29,5;24;39,8;9,5;4,5;48,3;null;
2003-11-30;9;358,6;null;null;276,1;3,9;3;3,3;967,9;35,8;30,1;24,7;44;8,3;3,7;47,6;null;
2003-12-31;9;345,9;null;null;260,1;5,2;6;36,2;968,1;36,5;30,6;25,6;43,3;8,3;3;48,8;null;
2004-01-31;9;134,8;null;null;147,2;7,4;20;544,2;969,3;31,1;26;21,5;80,1;6,6;2,1;37,2;null;
2004-02-29;9;87;null;null;191,1;5;10;216,5;970,4;30,2;25,4;22;81,4;5,3;2;37,4;null;
2004-03-31;9;145;null;null;255;5,5;9;164,4;968,9;31,2;25,6;20,5;73,6;5,8;2,4;48,3;null;
2004-04-30;9;183,2;null;null;231,5;5;5;43,3;969,3;32,8;26,5;21,1;65,1;7;2,9;49,1;null;
2004-05-31;9;245,6;null;null;276,5;3,6;3;17;970,6;32,3;26,4;21,3;59,7;7,6;3,4;48,3;null;
2004-06-30;9;270,8;null;null;247,1;4,3;2;10,5;973,1;31,2;25,5;20,1;54,8;9,3;4,4;50,5;null;
2004-07-31;9;319,3;null;null;290,5;3,4;0;0;972,3;31,2;25,5;20,4;51,7;8,3;4,4;49,3;null;
2004-08-31;9;374,9;null;null;325,1;2;0;0;972,8;32,6;26,7;21,1;44,8;7,5;4,4;48,3;null;
2004-09-30;9;427,3;null;null;309,3;2,5;0;0;970,9;33,7;27,6;21,3;41,5;10;4,7;49,8;null;
2004-10-31;9;417,8;null;null;317,4;3,6;5;25;968,4;35,6;29,2;23,3;41,8;7,8;3,7;48,3;null;
2004-11-30;9;382,4;null;null;273,7;3,6;4;49,7;967,7;35,6;29,5;24,2;43,8;7,5;3,2;48,3;null;
2004-12-31;9;303,6;null;null;266;5,5;6;35,9;967,6;35,5;29,6;24,4;46,9;7,1;2,7;48,3;null;
2005-01-31;14;236,8;null;null;212,9;5,2;16;147,2;969;32,9;26,9;21,8;73;6,6;2;39,5;null;
2005-02-28;9;129,9;null;null;191,5;5,6;9;75;968,6;32,4;27;23,2;73,5;6,6;2,2;38,9;null;
2005-03-31;9;119,1;null;null;208,8;6,7;12;146,5;968,8;31,8;26,4;22,6;74,7;5,8;2,1;48,3;null;
2005-04-30;9;147,2;null;null;238,3;5,5;4;20,5;969,1;32,5;26,6;22,4;66,7;7,5;3,1;49,1;null;
2005-05-31;9;156,3;null;null;213,4;5,8;7;40,1;970,2;31,1;25,8;21,8;67,8;8,3;3,6;48,3;null;
2005-06-30;9;224,5;null;null;234,3;4,7;2;3,6;971,8;31,7;26;21,4;57,7;7,6;4,4;49,8;null;
2005-07-31;9;277;null;null;282,7;3,2;1;,6;973,3;31,3;25,5;20,7;52,3;8,6;4,5;48,3;null;
2005-08-31;9;316,7;null;null;300,2;2,8;0;0;972,4;32,5;26,4;21;48,5;9,1;4,8;49,2;null;
2005-09-30;9;353,4;null;null;298,5;1,9;0;0;970,7;34,7;28,5;22,7;41,1;8,3;4,2;48,3;null;
2005-10-31;9;411,6;null;null;330,2;2;0;0;969;36,2;29,9;23,7;35,9;9,1;3,8;48,2;null;
2005-11-30;9;324,9;null;null;256,5;4,7;9;45,5;967,2;36;29,8;23,8;43,3;8,3;3,2;49,8;null;
2005-12-31;9;210,1;null;null;242,7;5;5;41,7;967,6;33,4;27,8;23,1;55;9,8;2,8;49,7;null;
2006-01-31;9;338,6;null;null;289,9;4,8;0;0;967,7;35,7;29,6;24,4;41,8;7;3,5;49;null;
