Nome: PAULO AFONSO
Codigo Estacao: 82986
Latitude: -9.378106
Longitude: -38.226771
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2015-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;null;null;null;244;4,9;6;103,5;979,8;32,8;27,3;22,8;67,4;9;3;70;null;
2000-02-29;14;null;null;null;221,7;5,7;8;122,4;981,2;32,3;26,9;22,6;68;7,5;2,7;69,9;null;
2000-03-31;14;null;null;null;206,1;6;7;63;980,1;32,7;27;22,8;66;6,1;2,9;70,1;null;
2000-04-30;14;null;null;null;225,2;5,8;13;79,4;981,4;32,3;26,4;22,6;71,2;6,1;3;67,9;null;
2000-05-31;14;null;null;null;212,5;5,6;12;15,9;982,9;31,1;25,4;21,4;70,2;6,5;3,3;67;null;
2000-06-30;14;null;null;null;141,3;6,9;17;45,1;984,9;29;24,2;20,8;76,4;6,3;3,4;67,3;null;
2000-07-31;14;173,1;null;null;187,8;6;13;19,6;986,2;28,8;23,4;19,9;73,3;6,3;3,7;62,5;null;
2000-08-31;14;195,4;null;null;192,8;6,2;16;29,8;987,1;29,9;24;20,5;70,7;6,5;3,7;59,5;null;
2000-09-30;14;259,3;null;null;221;5,3;6;30;985,5;31,3;25,2;21,4;65,8;7,5;4,6;64,5;null;
2000-10-31;14;347,3;null;null;269,2;4,2;0;0;984,8;33,2;26,6;22,2;57,9;7,3;4,4;67,8;null;
2000-11-30;14;269,6;null;null;237,5;5,1;5;35,9;981,8;33,5;27,5;22,5;58,6;7,6;3,5;66,9;null;
2000-12-31;14;265;null;null;240,5;4,5;6;58,5;982,7;32,8;27,1;22,2;60,1;6,5;2,8;66,4;null;
2001-01-31;14;353,9;null;null;273,3;4,5;2;,2;983,7;33,6;27,2;22;56,1;7,8;3,9;51,2;null;
2001-02-28;14;302,9;null;null;217,7;4,7;2;,6;982,2;34,8;28,2;22,8;55,7;7,5;3,7;51,6;null;
2001-03-31;14;262,9;null;null;236,1;5,5;8;127,2;983,1;33,6;27,4;22,7;62,2;8,3;3,3;51,8;null;
2001-04-30;14;251,3;null;null;235,7;5,1;5;3,1;984;32,4;26,8;22,3;61,4;7,3;3,6;51,6;null;
2001-05-31;14;269,5;null;null;277,6;4;1;1,1;984,1;33,7;27,4;22,9;59;6,8;3,4;53,7;null;
2001-06-30;14;177,6;null;null;176;6,7;15;32;987;29,6;24,3;20,9;72,5;6,3;3,6;43,9;null;
2001-07-31;14;119,7;null;null;168;6,8;22;77,4;987,8;27,9;23;20;79,1;5,8;3,4;39,9;null;
2001-08-31;14;180,3;null;null;194,5;5,9;20;37,9;989,6;28,2;22,6;18,6;74;8,6;4,1;41,5;null;
2001-09-30;14;285,4;null;null;247,7;4,2;7;5,4;985,7;32,1;25,3;20,2;60,8;7,5;4,2;49,9;null;
2001-10-31;14;305,3;null;null;260,5;4,2;8;21,5;984,3;33,6;26,6;21,2;59,6;9,6;4,2;49,1;null;
2001-11-30;14;332,3;null;null;292,5;3,7;1;,4;982,8;34,9;27,6;21,8;54;8,3;3,8;50,4;null;
2001-12-31;9;328,4;null;null;257,6;5,6;5;56;982,4;34,4;27,5;22,7;60,2;7,5;3,9;48,9;null;
2002-01-31;9;117;null;null;181,3;6,9;16;226;982,8;30,5;25,6;21,9;76,5;7,5;2,4;43,6;null;
2002-02-28;9;141,1;null;null;223,8;5,2;5;102,2;983,3;30,9;25,9;21,7;68,2;7,8;2,8;50,1;null;
2002-03-31;9;272,3;null;null;241,6;5,1;5;11,6;982,9;31,2;26,6;22,1;62,2;6,6;3,7;53,2;null;
2002-04-30;9;247,2;null;null;197,5;5,5;10;16;983,1;31,3;26,3;21,7;64,2;7,1;3,7;49,1;null;
2002-05-31;14;163,4;null;null;183,9;6,3;12;90,7;985;30,4;25;21,1;73,4;6,3;3,1;45;null;
2002-06-30;14;103,3;null;null;138,1;6,8;22;57,5;987,4;28;23,2;19,9;79,9;5,3;2,7;43,7;null;
2002-07-31;14;132,1;null;null;182,8;6;11;54,5;987,9;28,8;23,2;19,3;75,3;5;3;44,5;null;
2002-08-31;9;200,5;null;null;212,8;5,6;14;16,2;988,1;29,5;23,4;18,9;69,8;7;3,8;45,2;null;
2002-09-30;9;280,7;null;null;253,4;3,9;3;2,8;985,9;32,7;25,5;20;58,9;7,5;3,8;51,1;null;
2002-10-31;9;383,5;null;null;291;4,1;1;,1;984,4;34,1;26,7;20,9;54,2;8,3;4,6;51;null;
2002-11-30;9;387,8;null;null;282,6;3,7;0;0;983,8;35,1;27,7;22,1;52,2;8,3;4,6;51,3;null;
2002-12-31;9;311,7;null;null;244,1;4,6;4;5,4;983,2;34,9;28,1;22,6;56,6;7,5;3,6;49,4;null;
2003-01-31;9;302,8;192,3;192,3;272,5;3,9;5;123,5;983;35,5;28,8;23,2;55,1;9,8;3,2;48,3;null;
2003-02-28;9;210,2;137,3;137,3;204,5;5,9;6;41,2;983,6;32,7;27;22,5;63,8;9,1;3,8;47,3;null;
2003-03-31;14;249,5;160,8;43,8;246,2;6,1;5;39,9;982,9;33,8;27,7;22,9;62;7,5;3,5;48,1;null;
2003-04-30;14;258,5;156;9,6;260,7;4,4;4;9,6;983,4;34,1;27,8;22,5;59,2;8,3;3,9;50,6;null;
2003-05-31;14;184,9;128,9;30,1;213,4;5,6;14;30,1;984,8;31,9;26,2;22;67,8;7,1;3,3;47,6;null;
2003-06-30;14;190,6;96,6;9,7;175,4;5,9;13;10,5;986,3;29,9;24,4;20,3;69,4;7;3,9;48,1;null;
2003-07-31;14;212,5;88;23,4;186,7;5,8;13;24,4;988,2;28,9;23,5;19,2;67,5;7,3;4,1;47,4;null;
2003-08-31;14;238;100,4;13,7;231,1;5,5;6;13,7;987,7;30,5;24,4;19,8;66;7,3;4,3;47,3;null;
2003-09-30;14;307,4;null;null;252,4;4,7;6;3;986,6;32,3;25,6;20,7;58,5;9,6;4,7;48,3;null;
2003-10-31;14;182,3;null;null;254,6;5;4;8;984,6;32,9;26,2;21,4;59,4;9,3;4,9;50,4;null;
2003-11-30;14;326,8;null;null;273,1;4,4;2;2,6;982,9;34;27,4;22,5;58,3;8,3;4,6;50;null;
2003-12-31;14;392,3;null;null;296,8;3,7;0;0;982,7;35,3;28,4;23;52,6;9,3;4,8;49,1;null;
2004-01-31;14;217;null;null;178,5;6,6;14;227,5;982,1;32,3;26,9;23,3;70,5;9,1;3,4;46,5;null;
2004-02-29;14;174,1;null;null;229,6;5,7;6;40;983,4;31,6;26,6;22,9;70;6,6;3,5;48,6;null;
2004-03-31;14;null;null;null;259,7;5,4;2;70,4;982,6;33,8;27,6;22,9;61,8;7,1;3,9;49,2;null;
2004-04-30;14;null;null;null;247,8;4,5;2;,2;983,5;33,9;27,5;22,9;61,2;8,3;4,5;49,8;null;
2004-05-31;14;205,5;null;null;213,6;5,4;11;121,7;985,2;31,3;25,8;22;68,8;8;3,9;48,7;null;
2004-06-30;14;138,8;null;null;157,7;6,8;12;49,8;988;28,2;23,8;20,5;75,7;8,7;3,8;47;null;
2004-07-31;14;162,7;null;null;174,3;6,6;13;18,2;987,1;28,5;23,4;19,8;72,1;9,2;3,8;47,1;null;
2004-08-31;14;169,2;null;null;200,6;5,8;12;35,8;988,2;29,1;23,6;19,8;70,7;7,5;3,8;48;null;
2004-09-30;14;261,1;null;null;230,3;5;6;7,1;986,5;31,3;24,9;20,2;62,4;8,5;5,1;49,4;null;
2004-10-31;14;346,8;null;null;311;3,4;0;0;983,7;34,4;27,3;21,8;54,4;7,8;4,9;50,9;null;
2004-11-30;14;343,7;null;null;280,5;4,2;3;10,2;982,5;35;28;22,4;52,9;9,5;4,8;50,8;null;
