Nome: PESQUEIRA
Codigo Estacao: 82892
Latitude: -8.370701
Longitude: -36.707812
Altitude: 643.38
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2015-11-18
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;78,8;null;null;227,8;7,2;9;49,3;null;25,8;22,2;19,8;81,6;7;3,1;63;null;
2000-02-29;5;120,6;null;null;204,5;7,4;7;96,6;null;28;22,8;19,7;78,5;9;3,1;62,8;null;
2000-03-31;5;163,3;null;null;210,2;7,2;5;35,5;null;30,1;24,5;20;69,2;9;3,7;63,6;null;
2000-04-30;5;101,5;null;null;194,6;7,5;14;88,9;null;27,4;23,2;19,7;79,2;6;3,2;62,7;null;
2000-05-31;5;100,4;null;null;185,2;6,8;8;37,2;null;28;22,5;18,7;79,7;7;3,1;62,7;null;
2000-06-30;5;65,3;null;null;121,1;8,1;13;76,4;null;26,9;21,7;18,5;null;5;2,8;61,9;null;
2000-07-31;5;73,4;null;null;131,1;7,8;17;85,9;null;26,4;21,1;17,7;null;7;3,1;61,6;null;
2000-08-31;5;98,3;null;null;178,1;7,4;13;77,7;null;26,8;21,4;17,5;null;6;3,3;62,3;null;
2000-09-30;5;117,5;null;null;183,7;7,2;12;28,7;null;28,1;22,4;18,2;null;8;3,9;62,7;null;
2000-10-31;5;175,8;null;null;244,8;6,1;3;6,6;null;29,8;23,4;18,5;77,8;8;4,3;63,2;null;
2000-11-30;5;230,3;null;null;230,4;6,1;4;12,5;null;30,9;24,8;20,7;79,9;9;4,5;63,2;null;
2000-12-31;5;194,9;null;null;211,6;6,3;7;52,6;null;30,9;24,2;19,2;81,4;9;4,2;63,1;null;
2001-01-31;5;212,9;null;null;215,1;6,5;4;5,2;null;30;23,4;18,6;82,5;8;4,2;63,3;null;
2001-02-28;5;215,5;null;null;198;6;3;7,9;null;31,1;24,4;19,8;82,4;9;4;63,3;null;
2001-03-31;5;191,1;null;null;220,9;7,2;9;87,7;null;30,7;24,3;20,1;83,4;6;3,5;63,1;null;
2001-04-30;5;126,1;null;null;180,4;6,4;8;20,2;null;30,2;23,8;19,5;null;7;3,9;62,9;null;
2001-05-31;5;194,9;null;null;256,2;4,4;1;,4;null;30,8;24;19,3;null;9;3,9;63,3;null;
2001-06-30;5;76,5;null;null;105,6;8,2;17;80,5;null;27,2;21,4;17,9;null;8;3,2;62;null;
2001-07-31;5;70,8;null;null;138,2;8,3;21;54;null;26,8;21;17,7;85,1;7;3,2;61,6;null;
2001-08-31;5;99,8;null;null;187,6;7,8;13;24,8;null;26,9;20,7;16,5;null;7;3,5;62,6;null;
2001-09-30;5;170,4;null;null;241,8;5,7;5;5,1;null;29,3;22,5;17,9;null;9;4,2;63,2;null;
2001-10-31;5;185,4;null;null;221,2;5,8;4;36,3;null;30,3;23,6;18,7;83;9;4;63,1;null;
2001-11-30;5;99,2;null;null;256,3;5,3;1;26;null;30,2;23,4;19;null;9;4,2;63;null;
2001-12-31;5;193,6;null;null;206;7,2;0;0;null;30,7;23,1;19,6;null;8;4,1;63;null;
2002-01-31;5;117,2;null;null;147,6;7,4;13;103,2;null;29,4;22,7;19,9;80,8;6;3,4;62,8;null;
2002-02-28;5;126,7;null;null;187,5;7;9;91,2;null;30,2;23;19,5;78,6;7;3,7;63,1;null;
2002-03-31;5;140;null;null;194,5;7,3;7;37,2;null;30,6;23;19,5;null;6;3,5;63,1;null;
2002-04-30;5;124;null;null;145;6,9;9;48,5;null;30,4;23;19,6;null;6;3,6;62,9;null;
2002-05-31;5;97,6;null;null;149,2;7,7;7;73,3;null;29,6;22,5;19;79,5;7;3,7;62,5;null;
2002-06-30;5;74,5;null;null;113,4;8,1;20;66,1;null;28,2;21,6;18,3;81,1;5;3,2;61,9;null;
2002-07-31;5;95,2;null;null;160,9;7;7;43,2;null;28,3;21,2;17,6;78,5;5;3,4;63;null;
2002-08-31;5;121,8;null;null;176,5;7,5;13;16,7;null;27,3;20,3;16,6;null;6;3,5;62,2;null;
2002-09-30;5;191,1;null;null;230,7;5,6;3;5,3;null;29,9;21,6;17,2;72,7;9;4,1;63,3;null;
2002-10-31;5;232,6;null;null;252,9;5,3;3;5,5;null;30,9;22,4;18,1;null;12;4,5;63,2;null;
2002-11-30;5;241,6;null;null;254,9;4,8;3;7,9;null;31,5;22,8;18,3;72,4;9;4;63,3;null;
2002-12-31;5;242,5;null;null;240,8;5,6;4;31,2;null;32,7;23,9;19,6;null;9;4;63,3;null;
2003-01-31;5;214,3;141,2;141,2;237,7;5,3;5;27,1;null;32,5;24;19,7;74,1;8;3,8;63,3;null;
2003-02-28;5;153,7;130,4;130,4;153,3;6,4;9;54,4;null;31,7;23,8;19,6;null;8;3,8;63,1;null;
2003-03-31;5;177,7;133,6;55,5;228,8;6,8;9;46,5;null;32,3;24,2;19,8;75,3;8;3,7;63,3;null;
2003-04-30;5;172,1;128,6;19;197;6,9;6;18,7;null;32,4;23,7;19;74;8;3,5;63,2;null;
2003-05-31;5;126,2;125,8;11,5;199,8;6,5;10;11,5;null;30,4;22,8;18,8;77,2;8;3,8;63,2;null;
2003-06-30;5;84,2;121,3;24;132,1;6,9;8;23,5;null;28,9;21,6;17,9;78,4;5;3,3;62,7;null;
2003-07-31;5;101,1;128,4;21,2;159,3;7,1;13;21,2;null;28;20,7;16,8;null;8;3,5;63,1;null;
2003-08-31;5;175,4;127,9;14,3;199,9;6,3;3;14,3;null;29,8;21,6;17,5;73,7;8;3,8;63,3;null;
2003-09-30;5;194,5;null;null;199,4;6,2;7;12,1;null;29,1;21,6;18,1;76,1;8;3,5;62,9;null;
2003-10-31;5;225,1;null;null;258,3;5,8;2;7,8;null;31;22,6;18,7;73,4;9;3,9;63,1;null;
2003-11-30;5;201,9;null;null;256,6;5,8;2;2,4;null;31,7;23,5;19,5;74,3;8;4;63,1;null;
2003-12-31;5;261,2;null;null;252,3;5,4;1;4,1;null;33,1;24,5;20,1;72,2;8;3,8;63,3;null;
2004-01-31;5;175;null;null;128,4;7,7;14;102;null;30,7;23,6;20,5;78,6;6;2,9;63,2;null;
2004-02-29;5;123;null;null;null;6,9;12;170,1;null;30,1;23,2;20,1;79,7;5;3;63,1;null;
2004-03-31;5;187,8;null;null;234,8;5,6;2;4,8;null;32,1;23,8;19,8;null;7;3,4;63,2;null;
2004-04-30;5;182,3;126,9;13,9;188;6,9;8;14;null;31,2;23,6;20,1;76,5;6;3,3;62,9;null;
2004-05-31;5;140,7;null;null;161,7;7;5;10,7;null;30,4;23;19,4;77,7;7;3,4;62,9;null;
2004-06-30;5;67,3;null;null;84,8;8,5;23;104,8;null;26,4;20,6;18,3;84,1;5;2,3;61,6;null;
2004-07-31;5;91,6;null;null;110,6;7,7;15;63,3;null;25,9;20;17,6;83,5;5;2,5;62,2;null;
2004-08-31;5;119,6;null;null;177,3;7,7;11;26,4;null;26,5;20,2;16,9;81,8;6;2,9;62,3;null;
2004-09-30;5;140,1;null;null;174,7;7,1;3;13,3;null;28,5;21,2;17,5;77,5;7;2,9;63;null;
2004-10-31;5;242,2;133,8;0;225,5;5,4;0;0;null;31,4;22,7;17,9;73,4;8;3,2;63,3;null;
2004-11-30;5;251,1;131,8;,6;240,3;6,1;1;,6;null;31,5;23;18,7;72,9;8;3,8;63,3;null;
2004-12-31;5;342,1;null;null;285,4;5,9;2;16;null;32,1;23,8;19,7;73,9;8;3,6;63,3;null;
2005-01-31;5;290,6;null;null;254,6;5,9;3;22,7;null;33;24,4;20,1;72,6;9;3,4;63,3;null;
2005-02-28;5;223,9;null;null;211,6;6,4;3;38,5;null;31,8;24,2;20,4;77,2;9;3,5;63,2;null;
2005-03-31;5;220,4;null;null;193;6,5;6;214,6;null;32,1;24,3;20,4;76,5;9;3,3;63,2;null;
2005-04-30;5;89;null;null;203,9;6,7;7;9,7;null;30,3;23,4;19,9;81,1;5;2,7;63,1;null;
2005-05-31;5;67,8;null;null;134,4;8,1;17;102,3;null;29,6;22,9;19,4;81,5;6;2,9;62,7;null;
2005-06-30;5;39,5;null;null;114;8,1;19;139,4;null;26,9;21,2;18,4;83,7;6;2,6;62,1;null;
2005-07-31;5;73,6;null;null;154,4;7,2;10;20,3;null;25,7;20,3;17,5;82;10;2,9;63,1;null;
2005-08-31;5;89,4;null;null;157,7;7,8;17;35,7;null;26,2;20,4;17,7;81,2;7;3,1;62,9;null;
2005-09-30;5;171,7;null;null;249,4;6,1;7;5,3;null;27,8;21,1;17,6;78,7;10;3,3;63,1;null;
2005-10-31;5;269,3;null;null;264,8;3,7;0;0;null;31,1;23,3;19;null;6;3,4;63,3;null;
2005-11-30;5;315,1;null;null;263,5;4,1;0;0;null;31,8;24,6;21,5;76,6;8;3,4;63,3;null;
2005-12-31;5;201,5;null;null;238,2;6,2;8;199,4;null;30,3;23,5;20,6;78,5;7;3,1;63,2;null;
2006-01-31;9;264,6;null;null;250,9;5,7;2;2;null;31,5;24,3;20,9;76,2;8;3,2;63,3;null;
2006-02-28;9;214;null;null;196,5;5,7;3;26,8;null;31,6;24,7;20,9;78,8;8;3;63,3;null;
2006-03-31;5;181,4;null;null;213,3;6,5;7;79,1;null;31,2;24,6;19,7;82,2;6;3,1;63,3;null;
